"alpha.hat" "prob.high" "prob.low" "triggerids"
"105" 0.733333333333333 0.0129 0.9871 "106442"
"106" 0.688888888888889 0.017 0.983 "308812"
"107" 0.703703703703704 0.0152 0.9848 "412217"
"108" 0.718518518518519 0.0135 0.9865 "412220"
"109" 0.762962962962963 0.0098 0.9902 "422783"
"110" 0.666666666666667 0.021 0.979 "359884"
"111" 0.177777777777778 0.2087 0.7913 "359378"
"112" 0.792592592592593 0.0072 0.9928 "424998"
"113" 0.733333333333333 0.013 0.987 "306323"
"114" 0.325925925925926 0.1148 0.8852 "337073"
"115" 0.318518518518519 0.1269 0.8731 "283791"
"116" 0.207407407407407 0.1839 0.8161 "156434"
"117" 0.918518518518519 0.0024 0.9976 "371050"
"118" 0.792592592592593 0.0076 0.9924 "315819"
"119" 0.355555555555556 0.1016 0.8984 "232339"
"120" 0.00740740740740741 0.4973 0.5027 "231974"
"121" 0.362962962962963 0.0994 0.9006 "227996"
"122" 0.362962962962963 0.0999 0.9001 "423181"
"123" 0.00740740740740741 0.6209 0.3791 "423184"
"124" 0.162962962962963 0.2352 0.7648 "176620"
"125" 0.340740740740741 0.1091 0.8909 "210084"
"126" 0.933333333333333 0.0021 0.9979 "348152"
"127" 0.0518518518518519 0.3675 0.6325 "348650"
"128" 0.903703703703704 0.003 0.997 "348428"
"129" 0.207407407407407 0.1847 0.8153 "280958"
"130" 0.303703703703704 0.145 0.855 "312242"
"131" 0.637037037037037 0.0257 0.9743 "254532"
"132" 0.659259259259259 0.022 0.978 "255029"
"133" 0.303703703703704 0.1447 0.8553 "179968"
"134" 0.00740740740740741 0.5926 0.4074 "180151"
"135" 0.0592592592592593 0.3561 0.6439 "116116"
"136" 0.762962962962963 0.0097 0.9903 "251863"
"137" 0.688888888888889 0.0167 0.9833 "337115"
"138" 0.325925925925926 0.1119 0.8881 "206257"
"139" 0.318518518518519 0.1239 0.8761 "207281"
"140" 0.451851851851852 0.065 0.935 "164279"
"141" 0.474074074074074 0.062 0.938 "261132"
"142" 0.948148148148148 0.001 0.999 "283320"
"143" 0.303703703703704 0.1401 0.8599 "282808"
"144" 0.859259259259259 0.0055 0.9945 "345945"
"145" 0.518518518518518 0.0514 0.9486 "231702"
"146" 0.562962962962963 0.0406 0.9594 "334112"
"147" 0.748148148148148 0.0118 0.9882 "224552"
"148" 0.755555555555556 0.0111 0.9889 "224364"
"149" 0.637037037037037 0.0242 0.9758 "380311"
"150" 0.00740740740740741 0.4756 0.5244 "277571"
"151" 0.125925925925926 0.2826 0.7174 "159913"
"152" 0.318518518518519 0.1188 0.8812 "355942"
"153" 0.637037037037037 0.0247 0.9753 "151486"
"154" 0.659259259259259 0.0228 0.9772 "114485"
"155" 0.325925925925926 0.1151 0.8849 "276212"
"156" 0.933333333333333 0.0016 0.9984 "285653"
"157" 0.162962962962963 0.2325 0.7675 "202505"
"158" 0.562962962962963 0.0385 0.9615 "340895"
"159" 0.755555555555556 0.0111 0.9889 "323984"
"160" 0.562962962962963 0.0414 0.9586 "353567"
"161" 0.037037037037037 0.3918 0.6082 "287260"
"162" 0.111111111111111 0.3047 0.6953 "287088"
"163" 0.318518518518519 0.1237 0.8763 "145994"
"164" 0.125925925925926 0.2832 0.7168 "181126"
"165" 0.496296296296296 0.0554 0.9446 "304549"
"166" 0.333333333333333 0.1096 0.8904 "181156"
"167" 0.82962962962963 0.0063 0.9937 "272773"
"168" 0.303703703703704 0.1473 0.8527 "213486"
"169" 0.451851851851852 0.0667 0.9333 "230115"
"170" 0.177777777777778 0.2131 0.7869 "282073"
"171" 0.562962962962963 0.0372 0.9628 "313954"
"172" 0.037037037037037 0.4077 0.5923 "312958"
"173" 0.407407407407407 0.0771 0.9229 "155408"
"174" 0.207407407407407 0.1859 0.8141 "226382"
"175" 0.451851851851852 0.0645 0.9355 "382941"
"176" 0.251851851851852 0.1714 0.8286 "236430"
"177" 0.666666666666667 0.0211 0.9789 "315615"
