"alpha_try_array" "avg_obj" "obj_uncertainty"
"1" 0 0 0
"2" 0.00740740740740741 0.006 0.0143548112513055
"3" 0.0148148148148148 0.0232 0.0221509969677815
"4" 0.0222222222222222 0.0408 0.0241075033375859
"5" 0.0296296296296296 0.0604 0.0269649978882089
"6" 0.0370370370370370 0.0768 0.032
"7" 0.0444444444444444 0.0944 0.0338839373763028
"8" 0.0518518518518519 0.1088 0.0336734166650637
"9" 0.0592592592592593 0.126 0.0333333333333333
"10" 0.0666666666666667 0.1428 0.0356208995513657
"11" 0.0740740740740741 0.1628 0.0369569774442957
"12" 0.0814814814814815 0.1832 0.0369241647081412
"13" 0.0888888888888889 0.2056 0.0364128959284893
"14" 0.0962962962962963 0.2284 0.0390989420921752
"15" 0.103703703703704 0.2504 0.0379771329389493
"16" 0.111111111111111 0.2684 0.0422766263000388
"17" 0.118518518518519 0.2872 0.0426893878895427
"18" 0.125925925925926 0.302 0.0441759567130713
"19" 0.133333333333333 0.318 0.0449016883442217
"20" 0.140740740740741 0.3348 0.0453600634207598
"21" 0.148148148148148 0.3496 0.0431562816570734
"22" 0.155555555555556 0.3648 0.045582204573028
"23" 0.162962962962963 0.3792 0.0449394654569406
"24" 0.170370370370370 0.394 0.0452601905484814
"25" 0.177777777777778 0.4116 0.0441466792967409
"26" 0.185185185185185 0.4304 0.041825032376955
"27" 0.192592592592593 0.4512 0.042575660519678
"28" 0.2 0.4724 0.0424292637720999
"29" 0.207407407407407 0.4944 0.0396020609605515
"30" 0.214814814814815 0.5184 0.0405696806728743
"31" 0.222222222222222 0.5428 0.0407029147939957
"32" 0.229629629629630 0.5672 0.0445421149026402
"33" 0.237037037037037 0.5912 0.043514307411413
"34" 0.244444444444444 0.616 0.043670020690065
"35" 0.251851851851852 0.644 0.0434845845203687
"36" 0.259259259259259 0.6664 0.0441192140739729
"37" 0.266666666666667 0.6848 0.0466337546280274
"38" 0.274074074074074 0.7016 0.0519269105609417
"39" 0.281481481481481 0.7208 0.0475602754195116
"40" 0.288888888888889 0.7372 0.0462771623760118
"41" 0.296296296296296 0.7488 0.0418095731147832
"42" 0.303703703703704 0.762 0.042307197849763
"43" 0.311111111111111 0.772 0.0391835875763506
"44" 0.318518518518519 0.78 0.0366253210417894
"45" 0.325925925925926 0.7864 0.0369416684610599
"46" 0.333333333333333 0.792 0.0381385035698237
"47" 0.340740740740741 0.798 0.0378727267878012
"48" 0.348148148148148 0.8068 0.0346083425453657
"49" 0.355555555555556 0.8108 0.0335652537995210
"50" 0.362962962962963 0.8128 0.0315933761117962
"51" 0.370370370370370 0.8164 0.0301350495622823
"52" 0.377777777777778 0.8204 0.0275578363344139
"53" 0.385185185185185 0.8236 0.0248437541690486
"54" 0.392592592592593 0.8252 0.0245558526422908
"55" 0.4 0.828 0.023094010767585
"56" 0.407407407407407 0.8312 0.0224409438214162
"57" 0.414814814814815 0.836 0.0216491770902930
"58" 0.422222222222222 0.838 0.0222928171609085
"59" 0.42962962962963 0.8408 0.0234275155500639
"60" 0.437037037037037 0.8444 0.0233688042077683
"61" 0.444444444444444 0.8476 0.0252310534977448
"62" 0.451851851851852 0.8528 0.0259790125083516
"63" 0.459259259259259 0.8576 0.0274550137092987
"64" 0.466666666666667 0.8628 0.028
"65" 0.474074074074074 0.8676 0.0276748801243834
"66" 0.481481481481481 0.8728 0.0286419907891131
"67" 0.488888888888889 0.8824 0.0305213950460256
"68" 0.496296296296296 0.888 0.0306165598553093
"69" 0.503703703703704 0.8956 0.029484459183328
"70" 0.511111111111111 0.908 0.0319089614086986
"71" 0.518518518518518 0.916 0.0352766841475279
"72" 0.525925925925926 0.9248 0.0332872408595306
"73" 0.533333333333333 0.9332 0.0326870684590167
"74" 0.540740740740741 0.942 0.0338147060231838
"75" 0.548148148148148 0.9484 0.0332945228607537
"76" 0.555555555555556 0.9544 0.0336446072344380
"77" 0.562962962962963 0.9584 0.0331119923955663
"78" 0.57037037037037 0.9632 0.0325011266315990
"79" 0.577777777777778 0.9672 0.0308164982705136
"80" 0.585185185185185 0.9704 0.0293333333333333
"81" 0.592592592592593 0.9748 0.0276515110004148
"82" 0.6 0.9768 0.0267755353434678
"83" 0.607407407407407 0.9808 0.0250929584875233
"84" 0.614814814814815 0.9824 0.0236609041213218
"85" 0.622222222222222 0.9836 0.0235067151377145
"86" 0.62962962962963 0.986 0.0215556596894288
"87" 0.637037037037037 0.9872 0.0204040004000008
"88" 0.644444444444444 0.9896 0.0185276206587011
"89" 0.651851851851852 0.9912 0.0166533279957291
"90" 0.659259259259259 0.9932 0.0151010067227455
"91" 0.666666666666667 0.9952 0.0130639452948436
"92" 0.674074074074074 0.9952 0.0130639452948436
"93" 0.681481481481481 0.9956 0.0125786415094088
"94" 0.688888888888889 0.996 0.0120604537831106
"95" 0.696296296296296 0.9968 0.0109063969737716
"96" 0.703703703703704 0.9968 0.0109063969737716
"97" 0.711111111111111 0.9972 0.0102572959990497
"98" 0.718518518518519 0.9984 0.0078778554226773
"99" 0.725925925925926 0.9988 0.00685786431991062
"100" 0.733333333333333 0.9992 0.00562821176545159
"101" 0.740740740740741 0.9992 0.00562821176545159
"102" 0.748148148148148 0.9992 0.00562821176545159
"103" 0.755555555555556 0.9992 0.00562821176545159
"104" 0.762962962962963 0.9992 0.00562821176545159
"105" 0.77037037037037 0.9992 0.00562821176545159
"106" 0.777777777777778 1 0
"107" 0.785185185185185 1 0
"108" 0.792592592592593 1 0
"109" 0.8 1 0
"110" 0.807407407407407 1 0
"111" 0.814814814814815 1 0
"112" 0.822222222222222 1 0
"113" 0.82962962962963 1 0
"114" 0.837037037037037 1 0
"115" 0.844444444444444 1 0
"116" 0.851851851851852 1 0
"117" 0.85925925925926 1 0
"118" 0.866666666666667 1 0
"119" 0.874074074074074 1 0
"120" 0.881481481481482 1 0
"121" 0.888888888888889 1 0
"122" 0.896296296296296 1 0
"123" 0.903703703703704 1 0
"124" 0.911111111111111 1 0
"125" 0.918518518518519 1 0
"126" 0.925925925925926 1 0
"127" 0.933333333333333 1 0
"128" 0.94074074074074 1 0
"129" 0.948148148148148 1 0
"130" 0.955555555555556 1 0
"131" 0.962962962962963 1 0
"132" 0.97037037037037 1 0
"133" 0.977777777777778 1 0
"134" 0.985185185185185 1 0
"135" 0.992592592592593 1 0
"136" 1 1 0
