@relation input_data
@attribute Z numeric
@attribute A numeric
@attribute EP0 numeric
@attribute FL numeric
@attribute FLX_PC_LATE numeric
@attribute MAX_SNR numeric
@attribute T90 numeric
@attribute bat_image_signif numeric
@attribute bat_img_peak numeric
@attribute bat_is_rate_trig_binary numeric
@attribute bat_trigger_dur numeric
@attribute uvot_detection_binary numeric
@attribute PROB_Z_GT_4 numeric
@attribute triggerid_str {'106709','111063','111529','111622','114753','117504','130088','148225','148646','148833','150314','151207','152113','153514','154112','156467','163136','163170','174738','176453','177408','177533','178750','179968','180455','180977','191157','192059','205851','207399','208169','209352','209755','211117','211957','213486','213630','213823','214805','217704','217805','219101','221755','228006','228316','228581','229185','231231','231362','232339','232683','238108','238174','239899','240766','252593','255445','259714','263361','271019','275087','276205','278693','278854','279592','280706','282003','284856','285654','286809','287364','295670','296805','297114','299787','301981','302888','305288','306757','306778','308041','309096','309111','310613','312047','313087','313116','313299','313417','316204','316534','317508','319016','319036','319584','323898','324561','324895','326115','330856','331093','332851','332931','334877','335105','336489','337914','338895','342121','349510','350184','350311','352190','352648','353540','355083','357512','359530','359711','359951','370791','370846','373172','373458','374210','375246','377179','378559','412982','414592','416103','416135','419797','420398','421814','425151'}
@attribute useless1 numeric
@attribute useless2 numeric
@attribute useless3 numeric
@attribute useless4 numeric
@attribute useless5 numeric
@attribute useless6 numeric
@attribute useless7 numeric
@attribute useless8 numeric
@data
2.6147,-1.1652,286.555,8.6884e-06,9.562e-05,41.4,239.68,8.38,234,1,1.024,1,0.0893744,'151207',0.632051865570247,0.821997713297606,0.252095449250191,0.860574725316837,0.705805453239009,0.398064718348905,0.115321085089818,0.336962399305776
5.6,-0.82,70.8974,1.3183e-06,?,43.1,23.03,12.06,220,1,0.256,0,0.124197,'231362',0.307730877073482,0.988470679847524,0.729857945116237,0.542489025276154,0.0212345046456903,0.0672893049195409,0.625173530774191,0.398867212235928
3.2,?,23.707,2.4765e-07,?,17,7.05,11.6,371,1,1.024,0,0.0298625,'231231',0.87564458604902,0.00173006812110543,0.987131093628705,0.652391495648772,0.0222955602221191,0.343061957042664,0.112751771695912,0.0521169311832637
2.346,?,?,1.5581e-06,6.881e-05,14.1,4.9,11.47,264,1,2.048,1,0.0845535,'163136',0.467687726719305,0.13825748488307,0.415227514691651,0.106053083436564,0.285875568864867,0.785963079426438,0.376735056750476,0.163420668803155
0.08,-0.2721,?,1.6713e-07,?,7.3,8.32,9.84,527,1,4.096,0,0.133826,'163170',0.576530566439033,0.543920919066295,0.437783574219793,0.299396295566112,0.129415734438226,0.193775021005422,0.546495149610564,0.108309796079993
4.349,-1.219,77.2381,1.9154e-06,?,11.6,45.6,7.51,1323,0,64,0,0.134745,'301981',0.158038208028302,0.60330629744567,0.396874776110053,0.476787844207138,0.612385280430317,0.604186720680445,0.0996187627315521,0.653621518984437
0.297,-1.2156,108.924,1.0308e-06,?,12.5,34.44,8.16,533,1,8.192,0,0.101888,'152113',0.445544827729464,0.316557616693899,0.663717771181837,0.644618066493422,0.847307332325727,0.307833213591948,0.25370289478451,0.72094128606841
0.97,-0.275,?,5.4231e-07,?,12.5,161.25,10.8,2494,0,64,1,0.199427,'276205',0.42122490843758,0.216255496721715,0.62053658417426,0.449128737905994,0.416232966119424,0.553677983116359,0.00491632451303303,0.0658185472711921
0.49,?,42.5112,1.2386e-05,4.086e-05,50.7,9.57,17.95,660,1,1.024,1,0.00487404,'377179',0.763489951612428,0.641737737227231,0.0745620164088905,0.472182838013396,0.883389931637794,0.71124722994864,0.384428720688447,0.309605525573716
1.24,-0.464,78.2516,7.7496e-06,?,63.3,126.36,6.74,156,1,1.024,0,0.107049,'370791',0.559701540507376,0.380671164020896,0.474712272407487,0.0547643259633332,0.708559432765469,0.0108358482830226,0.160675670253113,0.2773310712073
3.082,-1.0137,?,3.6843e-06,0.0001379,50.7,102.55,14.77,490,1,1.024,1,0.17201,'213823',0.144367212895304,0.73109330656007,0.238353718770668,0.746755418833345,0.200134644284844,0.52304845280014,0.81630947557278,0.223921942757443
2.45,-1.8196,?,3.9601e-07,?,7.3,14.72,7.15,1465,0,64,0,0.159326,'286809',0.93360328534618,0.651313093723729,0.435638644034043,0.922135493485257,0.0852754262741655,0.0249371179379523,0.655971441650763,0.478452257346362
0.971,-1.6883,?,1.458e-06,6.29e-05,83.3,4.44,11.47,200,1,0.256,1,0.00934695,'373172',0.795764387585223,0.0513262851163745,0.257533272029832,0.475871963426471,0.142434863373637,0.426308445399627,0.246864735148847,0.913106777938083
1.755,-0.5261,36.0217,4.1091e-07,?,14.8,43.56,9.39,238,1,1.024,0,0.0416163,'420398',0.611970220925286,0.322836181148887,0.92104280856438,0.561094736447558,0.932924492284656,0.485234461026266,0.632244501495734,0.272327561862767
2.17,-0.7461,42.227,5.738e-07,?,24.6,7.68,?,?,?,?,1,0.0805385,'287364',0.155683509074152,0.0994493102189153,0.641216781921685,0.0828693876974285,0.227171767968684,0.991986798588187,0.678764690645039,0.92535418830812
4.667,-1.3728,58.5787,8.4459e-07,?,10.4,31.05,7.44,1426,0,64,1,0.142291,'412982',0.538921480532736,0.603842411888763,0.298742543440312,0.271572912344709,0.464466943405569,0.385883677750826,0.797369491541758,0.717545829480514
0.5915,-1.7402,51.2649,?,?,13.4,17.38,9,?,1,8.192,0,0.173641,'106709',0.907086997060105,0.812952735926956,0.736913881730288,0.476336659863591,0.893136510858312,0.158450897084549,0.97934441245161,0.381621841806918
0.937,-1.6966,142.501,2.2459e-06,?,43.5,5.92,19.85,927,1,1.024,1,0.0578667,'229185',0.670039419317618,0.550020744791254,0.60520087252371,0.584738926263526,0.177076882915571,0.84493458759971,0.90029259887524,0.435068020131439
2.68,?,20.5322,?,1.87e-05,6.4,39.9,6.78,345,1,4.096,1,0.116809,'213486',0.496688525890931,0.753225506283343,0.0937595658469945,0.289645545417443,0.92002624180168,0.338595787528902,0.891926506534219,0.948917436646298
3.78,-0.3394,?,6.0501e-07,0.0001163,16.4,18.54,7.96,363,1,3.072,1,0.134062,'213630',0.956504946108907,0.685045537771657,0.388621914666146,0.286534958519042,0.0259674910921603,0.487795318709686,0.95493559865281,0.503734525991604
3.355,-1.9393,?,3.2846e-06,?,22.6,42,10.83,1510,0,64,0,0.118595,'252593',0.773821735056117,0.412786429515108,0.193702682852745,0.00571686215698719,0.417749124579132,0.756127223139629,0.233804370043799,0.73162822262384
3.626,-1.1777,192.945,7.4479e-06,3.033e-05,26.8,330.66,?,?,?,?,1,0.115814,'285654',0.105015530018136,0.217464157612994,0.80280394316651,0.727162058930844,0.361315455986187,0.623795351944864,0.797299950383604,0.347384094493464
1.14,-1.5712,56.7923,1.037e-06,0.001393,10,79.2,7.13,1485,0,64,1,0.204159,'297114',0.68203701870516,0.0595044381916523,0.450263737002388,0.973362599033862,0.394909763010219,0.515575159806758,0.73858549981378,0.704389330465347
1.949,?,62.0052,4.3185e-06,0.0001808,43.7,94.6,8,?,1,1.024,0,0.0927309,'111063',0.0069156417157501,0.209963897475973,0.337766181444749,0.882431990699843,0.380330169806257,0.0616274126805365,0.816050870809704,0.926940854405984
3.24,-1.9988,?,1.8652e-06,0.0001249,18.2,153.55,10,?,1,1.024,1,0.147537,'111622',0.249215955147520,0.182756825350225,0.657571642659605,0.651158855529502,0.287302473559976,0.0728925461880863,0.717277269577608,0.0177191470284015
1.44,-1.2172,50.8613,1.4075e-06,0.0001288,49,30.96,9,?,1,0.512,1,0.0629064,'111529',0.898500780574977,0.356892416486517,0.0355948575306684,0.573857157025486,0.379072077106684,0.687436327338219,0.493351495591924,0.260609358781949
1.416,-1.7242,55.7354,1.4522e-06,?,16.1,125.28,11.68,2763,0,64,1,0.258199,'313116',0.391548529267311,0.0194546259008348,0.282490606885403,0.82334447093308,0.0298131203744560,0.645298174349591,0.954465702874586,0.609581264900044
1.6398,-1.1255,?,2.2323e-05,4.126e-05,157.5,19.57,25.82,1604,1,1.024,1,0.0289854,'313299',0.681194424629211,0.843987074214965,0.823993442114443,0.483226400800049,0.252212247345597,0.0947060184553266,0.0833118979353458,0.209001290611923
3.036,-1.1652,860.327,5.1189e-05,4.244e-05,123,83.66,17.87,741,1,1.024,1,0.0282951,'313417',0.143254993949085,0.604600944090635,0.452904864680022,0.706539202714339,0.610402510501444,0.514252504333854,0.689563293009996,0.467771436786279
0.54,-1.2938,141.254,0.00014773,0.0001623,719.8,115.2,22.57,1097,1,1.024,1,0.0261202,'355083',0.40395352197811,0.100555964978412,0.858505827374756,0.815508931409568,0.130031523993239,0.958999622613192,0.0884050198365003,0.0315559224691242
3.038,-1.3115,?,4.317e-06,9.483e-05,42,275.59,17.95,6719,0,128,1,0.28528,'332851',0.175208472181112,0.635658435057849,0.307789391838014,0.242971802363172,0.827723266091198,0.79716243292205,0.614771004533395,0.309913501841947
2.352,-1.5259,82.2751,2.4964e-06,2.697e-05,25.9,47.7,10.23,491,1,3.072,1,0.208746,'255445',0.745087065501139,0.205160917481408,0.790415830444545,0.373061605030671,0.683418807806447,0.909635809483007,0.877849307609722,0.613225131295621
4.9,-1.4133,?,4.3832e-06,?,22.3,229.89,10.54,2188,0,64,0,0.308321,'209352',0.584947955328971,0.491957102669403,0.906303343828768,0.836310787126422,0.0637402473948896,0.802105272654444,0.535714948782697,0.897555818082765
0.82,-1.004,?,3.337e-05,5.926e-05,262.1,21.2,?,?,?,?,1,0.02026,'278854',0.6930771835614,0.628261882578954,0.0489491031039506,0.049899984151125,0.424535740399733,0.182304053334519,0.499663276132196,0.309756229165941
3.8479,-1.4333,129.472,3.342e-06,3.569e-05,16,169.1,11.49,2138,0,64,1,0.218448,'332931',0.951220413204283,0.237745274789631,0.106859576655552,0.131147274980322,0.592218803009018,0.578002924332395,0.559433284914121,0.686821088194847
2.31,?,31.0335,1.9941e-07,?,8.6,3.55,8.48,2083,0,64,1,0.101626,'278693',0.846478590508923,0.532664008671418,0.415392120135948,0.968038250459358,0.766584935598075,0.703263214090839,0.596425685333088,0.107502990402281
3.91,-1.4744,96.4822,1.4223e-05,0.0003059,42.8,369.94,8.42,204,1,1.024,0,0.175267,'180977',0.740955273155123,0.840332206804305,0.497881126124412,0.83856953936629,0.488765138434246,0.305511983577162,0.728102866793051,0.273270424688235
3.44,-0.6588,144.268,?,?,15.8,32.39,8.14,361,1,4.096,0,0.0719493,'238174',0.531682106899098,0.552807239815593,0.501836513867602,0.255512811010703,0.531417784513906,0.922973644221202,0.0972628311719745,0.784693218767643
0.0331,-0.8437,?,7.8535e-07,?,6.3,128,7.84,2111,0,80,1,0.271464,'191157',0.687380700837821,0.0706129190512002,0.384439518442377,0.454420383321121,0.328651107382029,0.0648528039455414,0.86227829544805,0.641089766286314
0.696,-0.6803,?,1.2854e-06,?,13.7,113.16,10.01,1837,0,88,1,0.216866,'359951',0.104840776184574,0.775193088687956,0.317808398045599,0.18088117078878,0.0115070838946849,0.367818514350802,0.278713568113744,0.92641176446341
2.512,-0.5208,?,7.8846e-06,9.472e-05,24.4,19.38,9.79,241,1,4.096,1,0.0896585,'335105',0.483188906917349,0.128457640297711,0.328364305663854,0.555521331261843,0.382227178430185,0.107617234811187,0.570486936718225,0.539078254252672
1.165,-0.4458,?,5.6717e-07,?,10.3,52.48,7.29,187,1,1.408,0,0.163681,'259714',0.0190485441125929,0.778914405265823,0.921681604813784,0.171595869818702,0.559433360118419,0.379255739040673,0.476883483817801,0.0417781244032085
1.608,-1.387,172.256,8.704e-06,0.0001712,52.4,57.97,8.16,163,1,1.024,1,0.126235,'349510',0.275030486052856,0.543438695371151,0.186703645158559,0.920614898204803,0.434001541230828,0.170745578827336,0.352209114003927,0.228843015851453
2.04,?,?,3.4241e-07,?,10.4,11.31,9.07,384,1,4.096,1,0.141616,'282003',0.440111526753753,0.804458875907585,0.733585973037407,0.685334489913657,0.265816785860807,0.909176638815552,0.843445419566706,0.0206045988015831
2.752,-1.4019,?,2.8419e-06,4.211e-05,68.4,39.96,9.18,243,1,1.024,1,0.0992083,'374210',0.26396223786287,0.26395066967234,0.899565966334194,0.997724964050576,0.273935228353366,0.0523393391631544,0.485814620507881,0.477580856066197
0.54,-1.7949,57.9955,4.3217e-06,7.6e-05,44.7,119.51,7.13,243,1,4.096,1,0.174465,'221755',0.137236912036315,0.75827953685075,0.925991191761568,0.942218142794445,0.469773462973535,0.27627437422052,0.961021480616182,0.131243654992431
1.71,-1.2432,?,5.175e-06,7.828e-05,55.8,39,17.7,520,1,1.024,1,0.103873,'373458',0.345192415872589,0.643549812724814,0.586258063558489,0.276538925245404,0.92195540247485,0.257643195101991,0.552415304584429,0.284114962443709
5.3,-0.4337,?,8.0819e-07,2.294e-05,6.8,27.54,?,?,?,?,0,0.213529,'150314',0.513847617432475,0.0698835109360516,0.0885564549826086,0.626663430826738,0.427135405829176,0.871192333754152,0.914905317127705,0.278143340256065
0.937,-1.089,1381.91,0.00041119,3.155e-05,725.4,147.32,22.5,1909,1,1.024,1,0.0169694,'306757',0.699621361447498,0.163731879089028,0.311604860471562,0.714546992443502,0.859280465170741,0.472324520116672,0.222168978303671,0.670699220150709
1.95,-1.0297,?,5.3762e-06,?,60.5,32.88,15.1,459,1,1.024,1,0.097116,'306778',0.790031436830759,0.179291201289743,0.140870206756517,0.0307472327258438,0.985775890294462,0.518862914992496,0.461751279653981,0.953228048980236
1.51,-1.4146,131.73,4.5309e-06,2.715e-05,45.7,30.24,12.69,332,1,1.024,1,0.125541,'208169',0.57362150400877,0.366732227383181,0.596987989731133,0.689912472385913,0.230615722713992,0.217682204209268,0.257540295366198,0.356988598359749
0.542,-1.5913,68.1855,2.3823e-05,0.0005874,295.2,66.33,18.67,813,1,1.024,1,0.048831,'425151',0.983006593771279,0.953396868892014,0.0700874370522797,0.532488257391378,0.422068214276806,0.978724093642086,0.167132327100262,0.763371045934036
8.1,-0.7002,50.5504,6.6649e-07,?,31.3,12.36,8.16,203,1,1.024,0,0.136544,'350184',0.595740089658648,0.832156980410218,0.77934044203721,0.157705720514059,0.809127000859007,0.245939929503947,0.94729868345894,0.0502849107142538
0.544,-1.0778,126.079,2.8371e-05,4.8e-05,131.7,50.28,23.3,3348,1,1.024,1,0.009013,'350311',0.851674377685413,0.505790131166577,0.267191540449858,0.694247451145202,0.508313220692798,0.155326544540003,0.725053407484666,0.841867957497016
1.063,-1.284,?,3.8255e-06,5.425e-05,29.5,15.21,9.31,168,1,1.024,1,0.0332424,'378559',0.826616649748757,0.174624501960352,0.754849802237004,0.152719563804567,0.598524846835062,0.684632747899741,0.0357138516847044,0.701418977929279
0.92,-1.329,71.7872,1.427e-06,?,35.8,64.18,12.12,225,1,0.128,1,0.0759837,'284856',0.581516592763364,0.861726898234338,0.952908904058859,0.910973099060357,0.82503580674529,0.912193115334958,0.61054098745808,0.799257293576375
