@relation input_data
@attribute Z numeric
@attribute A numeric
@attribute EP0 numeric
@attribute FL numeric
@attribute FLX_PC_LATE numeric
@attribute MAX_SNR numeric
@attribute T90 numeric
@attribute bat_image_signif numeric
@attribute bat_img_peak numeric
@attribute bat_is_rate_trig_binary numeric
@attribute bat_trigger_dur numeric
@attribute uvot_detection_binary numeric
@attribute PROB_Z_GT_4 numeric
@attribute triggerid_str {'106709','111063','111529','111622','114753','117504','130088','148225','148646','148833','150314','151207','152113','153514','154112','156467','163136','163170','174738','176453','177408','177533','178750','179968','180455','180977','191157','192059','205851','207399','208169','209352','209755','211117','211957','213486','213630','213823','214805','217704','217805','219101','221755','228006','228316','228581','229185','231231','231362','232339','232683','238108','238174','239899','240766','252593','255445','259714','263361','271019','275087','276205','278693','278854','279592','280706','282003','284856','285654','286809','287364','295670','296805','297114','299787','301981','302888','305288','306757','306778','308041','309096','309111','310613','312047','313087','313116','313299','313417','316204','316534','317508','319016','319036','319584','323898','324561','324895','326115','330856','331093','332851','332931','334877','335105','336489','337914','338895','342121','349510','350184','350311','352190','352648','353540','355083','357512','359530','359711','359951','370791','370846','373172','373458','374210','375246','377179','378559','412982','414592','416103','416135','419797','420398','421814','425151'}
@attribute useless1 numeric
@attribute useless2 numeric
@attribute useless3 numeric
@attribute useless4 numeric
@attribute useless5 numeric
@attribute useless6 numeric
@attribute useless7 numeric
@attribute useless8 numeric
@data
2.641,-1.7522,90.0227,2.7375e-06,3.994e-05,36.6,43.89,17.85,4514,0,80,1,0.153451,'302888',0.763585326028988,0.421053138794377,0.413143248530105,0.993032218888402,0.409746527671814,0.918532411800697,0.470653456635773,0.701883863890544
4.6497,-0.8902,44.9122,1.9228e-07,?,13,10.68,8.16,397,1,4.096,0,0.125617,'342121',0.76818073540926,0.0367877050302923,0.271981490543112,0.430091442074627,0.657372804591432,0.357349392957985,0.0264383566100150,0.798856056993827
2.77,-1.0366,?,7.3056e-06,9.527e-05,147.6,33.48,8.08,115,1,0.256,1,0.0565464,'337914',0.274264217354357,0.822645612526685,0.920635475544259,0.116879014065489,0.872469398425892,0.883008679840714,0.782723783981055,0.275589808123186
4.772,-1.6523,64.5207,2.0753e-06,2.559e-05,23.3,65.1,10.4,928,1,12.16,0,0.227631,'421814',0.433330778265372,0.0437982697039843,0.629451039712876,0.348606096580625,0.784487371565774,0.41618784237653,0.90491683431901,0.734946284908801
2.58,?,51.8109,1.5737e-06,?,19.8,66.55,?,?,?,?,0,0.153556,'334877',0.286404574057087,0.461307544726878,0.0379738844931126,0.722597573651001,0.655888627748936,0.359017390059307,0.422029244014993,0.67008987441659
1.497,-1.671,105.029,9.0434e-06,8.937e-05,85.4,261.36,9.85,705,1,12.16,0,0.126068,'263361',0.540161331184208,0.482860107440501,0.596747647738084,0.200002765515819,0.292361531872302,0.825509695801884,0.227425662567839,0.96486124373041
0.845,-1.26,80.5384,3.2424e-06,6.028e-05,12.6,139.05,8.57,387,1,4.096,1,0.177203,'316534',0.894015219062567,0.490293949609622,0.51908458629623,0.139658528612927,0.943456841399893,0.366430678870529,0.543989097932354,0.502948401728645
0.689,-1.0842,?,5.551e-06,2.176e-05,89.3,62.53,20.32,860,1,1.024,1,0.140844,'324895',0.379899445455521,0.398397747427225,0.734134286642075,0.537186233792454,0.93438805709593,0.894062193343416,0.166453387355432,0.44306524656713
2.03,?,432.891,5.1194e-07,2.395e-05,20.5,15.28,8.51,242,1,1.024,0,0.141504,'176453',0.343001426197588,0.186878449283540,0.379877405241132,0.07649419689551,0.0449396292679012,0.30860848701559,0.734224184649065,0.729920788435265
3.076,-1.2316,200.427,3.6249e-06,?,13,49.68,7.64,494,1,16.384,1,0.101077,'375246',0.554928347002715,0.487089870264754,0.462543179513887,0.0457665314897895,0.069404774112627,0.631442097714171,0.473664283985272,0.471358822425827
