% 1. Title: Redshift Predictor for Swift GRBs
% 
% 2. Sources:
%     (a) Creator: Adam N. Morgan
%     (b) Data From: GCN Notices (http://gcn.gsfc.nasa.gov/),
%                    http://astro.berkeley.edu/~nat/Swift/
%                    http://swift.gsfc.nasa.gov/docs/swift/archive/grb_table.html/
%     (c) Date: Fri Feb  4 00:54:23 2011
% 
% 3. This file was created automatically. 
%    CHECK THE ATTRIBUTES before running Weka. 
% 
@RELATION swift_redshift

% !CHECK ME:
% !CHECK ME:
@ATTRIBUTE Z NUMERIC
@ATTRIBUTE A NUMERIC
@ATTRIBUTE B NUMERIC
@ATTRIBUTE EP0 NUMERIC
@ATTRIBUTE FL NUMERIC
@ATTRIBUTE FLX_PC_LATE NUMERIC
@ATTRIBUTE GAM_PC NUMERIC
@ATTRIBUTE MAX_SNR NUMERIC
@ATTRIBUTE NH_PC NUMERIC
@ATTRIBUTE T90 NUMERIC
@ATTRIBUTE bat_image_signif NUMERIC
@ATTRIBUTE bat_img_peak NUMERIC
@ATTRIBUTE bat_trigger_dur NUMERIC
@ATTRIBUTE PROB_Z_GT_5 NUMERIC
@ATTRIBUTE PROB_Z_GT_4 NUMERIC
@ATTRIBUTE PROB_Z_GT_3 NUMERIC
@ATTRIBUTE PROB_Z_GT_2 NUMERIC
@ATTRIBUTE PROB_Z_GT_1 NUMERIC
@ATTRIBUTE bat_is_rate_trig {yes, no}
@ATTRIBUTE uvot_detection {yes, no}

@DATA
2.64100e+00,-1.75220e+00,?,?,?,3.99400e-05,2.20390e+00,3.66000e+01,?,?,1.78500e+01,4.51400e+03,8.00000e+01,5.66354e-02,1.53451e-01,3.38519e-01,5.97887e-01,9.02958e-01,no,yes
4.64970e+00,-8.90200e-01,?,?,?,?,2.04450e+00,1.30000e+01,?,?,8.16000e+00,3.97000e+02,4.09600e+00,4.77577e-02,1.25617e-01,2.78609e-01,5.15954e-01,8.59135e-01,yes,no
2.77000e+00,-1.03660e+00,?,?,?,9.52700e-05,2.00690e+00,1.47600e+02,?,?,8.08000e+00,1.15000e+02,2.56000e-01,1.72983e-02,5.65464e-02,1.55269e-01,3.68410e-01,8.12793e-01,yes,yes
4.77200e+00,-1.65230e+00,?,?,?,2.55900e-05,2.21970e+00,2.33000e+01,?,?,1.04000e+01,9.28000e+02,1.21600e+01,9.43802e-02,2.27631e-01,4.47391e-01,7.00737e-01,9.38118e-01,yes,no
1.49700e+00,-1.67100e+00,?,?,?,8.93700e-05,2.01010e+00,8.54000e+01,?,?,9.85000e+00,7.05000e+02,1.21600e+01,4.44502e-02,1.26068e-01,2.93583e-01,5.53367e-01,8.93372e-01,yes,no
8.45000e-01,-1.26000e+00,?,?,?,6.02800e-05,1.99860e+00,1.26000e+01,?,?,8.57000e+00,3.87000e+02,4.09600e+00,6.72015e-02,1.77203e-01,3.78322e-01,6.40143e-01,9.19468e-01,yes,yes
6.89000e-01,-1.08420e+00,?,?,?,2.17600e-05,1.91710e+00,8.93000e+01,?,?,2.03200e+01,8.60000e+02,1.02400e+00,5.11773e-02,1.40844e-01,3.19149e-01,5.85781e-01,9.07877e-01,yes,yes
2.03000e+00,?,-2.00980e+00,?,?,2.39500e-05,2.10240e+00,2.05000e+01,?,?,8.51000e+00,2.42000e+02,1.02400e+00,5.44613e-02,1.41504e-01,3.06831e-01,5.47973e-01,8.71854e-01,yes,no
2.14500e+00,-1.05140e+00,?,?,?,3.63800e-05,1.74950e+00,1.00300e+02,?,?,2.21900e+01,1.24500e+03,5.12000e-01,9.07489e-03,3.62426e-02,1.14982e-01,3.01850e-01,7.31597e-01,yes,no
4.22000e-01,-1.32830e+00,?,?,?,5.24200e-05,1.96860e+00,1.99000e+01,?,?,7.61000e+00,1.45000e+03,7.20000e+01,5.12637e-02,1.44508e-01,3.28505e-01,5.91575e-01,9.02180e-01,no,no
1.71000e+00,-1.58610e+00,?,?,?,3.88600e-05,1.82950e+00,1.86000e+01,?,?,8.05000e+00,2.06000e+02,1.02400e+00,4.43109e-02,1.28117e-01,2.98919e-01,5.56056e-01,8.84128e-01,yes,yes
2.10000e+00,-1.43590e+00,?,?,?,6.02800e-05,2.02230e+00,8.03000e+01,?,?,7.56000e+00,1.87000e+02,1.02400e+00,5.75577e-02,1.58196e-01,3.53578e-01,6.25533e-01,9.19728e-01,yes,yes
2.95400e+00,-1.70480e+00,?,?,?,2.11800e-05,2.06290e+00,3.04000e+01,?,?,1.05200e+01,6.00000e+02,4.09600e+00,8.75329e-02,2.16848e-01,4.36200e-01,6.95007e-01,9.38412e-01,yes,yes
3.48000e-01,?,-3.07300e+00,?,?,9.43100e-06,1.92090e+00,5.40000e+00,?,?,1.42100e+01,4.77500e+03,1.28000e+02,2.76680e-02,6.88052e-02,1.50119e-01,2.95030e-01,6.73159e-01,no,yes
4.27000e+00,-1.40720e+00,?,?,?,9.08700e-05,2.02580e+00,2.18000e+01,?,?,1.00000e+01,?,2.04800e+00,5.23922e-02,1.47656e-01,3.34419e-01,5.97405e-01,9.03208e-01,yes,no
6.60000e+00,-1.39970e+00,?,?,?,?,2.19420e+00,1.15000e+01,?,?,6.58000e+00,4.54000e+02,1.63840e+01,5.18948e-02,1.45486e-01,3.28473e-01,5.88253e-01,8.98535e-01,yes,no
3.53000e+00,-1.14760e+00,?,?,?,?,2.18640e+00,2.74000e+01,?,?,1.04800e+01,7.75000e+02,8.19200e+00,9.10875e-02,2.17816e-01,4.30556e-01,6.86339e-01,9.34499e-01,yes,no
7.67000e-01,-1.74040e+00,?,?,?,4.77200e-05,2.04460e+00,5.27000e+01,?,?,1.08300e+01,2.62000e+02,5.12000e-01,3.54683e-02,1.07340e-01,2.61613e-01,5.10469e-01,8.61720e-01,yes,yes
5.29500e-01,-1.35290e+00,?,?,?,3.43100e-05,2.11880e+00,1.96000e+01,?,?,9.43000e+00,2.21000e+02,1.02400e+00,8.95126e-03,2.55989e-02,6.42216e-02,1.50126e-01,4.78981e-01,yes,yes
1.96850e+00,-1.30280e+00,?,?,?,4.20700e-05,2.07580e+00,5.07000e+01,?,?,1.00000e+01,3.82000e+02,2.04800e+00,8.34827e-02,2.06132e-01,4.18599e-01,6.82072e-01,9.38463e-01,yes,yes
7.14000e-01,-1.08840e+00,?,?,?,?,1.65200e+00,1.25000e+01,?,?,1.05900e+01,3.23000e+02,1.02400e+00,1.33067e-02,4.88872e-02,1.43924e-01,3.47768e-01,7.62541e-01,yes,no
