% 1. Title: Redshift Predictor for Swift GRBs
% 
% 2. Sources:
%     (a) Creator: Adam N. Morgan
%     (b) Data From: GCN Notices (http://gcn.gsfc.nasa.gov/),
%                    http://astro.berkeley.edu/~nat/Swift/
%                    http://swift.gsfc.nasa.gov/docs/swift/archive/grb_table.html/
%     (c) Date: Fri Feb  4 00:54:23 2011
% 
% 3. This file was created automatically. 
%    CHECK THE ATTRIBUTES before running Weka. 
% 
@RELATION swift_redshift

% !CHECK ME:
% !CHECK ME:
@ATTRIBUTE Z NUMERIC
@ATTRIBUTE A NUMERIC
@ATTRIBUTE B NUMERIC
@ATTRIBUTE EP0 NUMERIC
@ATTRIBUTE FL NUMERIC
@ATTRIBUTE FLX_PC_LATE NUMERIC
@ATTRIBUTE GAM_PC NUMERIC
@ATTRIBUTE MAX_SNR NUMERIC
@ATTRIBUTE NH_PC NUMERIC
@ATTRIBUTE T90 NUMERIC
@ATTRIBUTE bat_image_signif NUMERIC
@ATTRIBUTE bat_img_peak NUMERIC
@ATTRIBUTE bat_trigger_dur NUMERIC
@ATTRIBUTE PROB_Z_GT_5 NUMERIC
@ATTRIBUTE PROB_Z_GT_4 NUMERIC
@ATTRIBUTE PROB_Z_GT_3 NUMERIC
@ATTRIBUTE PROB_Z_GT_2 NUMERIC
@ATTRIBUTE PROB_Z_GT_1 NUMERIC
@ATTRIBUTE bat_is_rate_trig {yes, no}
@ATTRIBUTE uvot_detection {yes, no}

@DATA
2.61470e+00,-1.16520e+00,?,?,?,9.56200e-05,1.96620e+00,4.14000e+01,?,?,8.38000e+00,2.34000e+02,1.02400e+00,2.78307e-02,8.93744e-02,2.29896e-01,4.74497e-01,8.48095e-01,yes,yes
5.11000e+00,-6.85200e-01,?,?,?,?,2.00310e+00,1.65000e+01,?,?,1.33600e+01,3.11000e+03,6.40000e+01,9.42130e-02,2.27997e-01,4.48658e-01,7.02360e-01,9.38841e-01,no,yes
5.60000e+00,-8.20000e-01,?,?,?,?,1.95900e+00,4.31000e+01,?,?,1.20600e+01,2.20000e+02,2.56000e-01,4.43978e-02,1.24197e-01,2.86572e-01,5.40613e-01,8.78453e-01,yes,no
3.20000e+00,?,-2.48200e+00,?,?,?,2.20360e+00,1.70000e+01,?,?,1.16000e+01,3.71000e+02,1.02400e+00,1.04053e-02,2.98625e-02,7.51342e-02,1.75466e-01,5.27443e-01,yes,no
2.34600e+00,?,-2.00000e+00,?,?,6.88100e-05,2.05180e+00,1.41000e+01,?,?,1.14700e+01,2.64000e+02,2.04800e+00,2.61758e-02,8.45535e-02,2.19099e-01,4.56582e-01,8.31836e-01,yes,yes
8.00000e-02,-2.72100e-01,?,?,?,?,1.98100e+00,7.30000e+00,?,?,9.84000e+00,5.27000e+02,4.09600e+00,4.88818e-02,1.33826e-01,2.99815e-01,5.44481e-01,8.71055e-01,yes,no
2.49960e+00,-1.34560e+00,?,?,?,?,1.87390e+00,1.35000e+01,?,?,6.76000e+00,4.19000e+02,1.21600e+01,5.98992e-02,1.62741e-01,3.57331e-01,6.21059e-01,9.13419e-01,yes,yes
4.34900e+00,-1.21900e+00,?,?,?,?,2.11990e+00,1.16000e+01,?,?,7.51000e+00,1.32300e+03,6.40000e+01,4.71053e-02,1.34745e-01,3.10668e-01,5.69208e-01,8.90869e-01,no,no
8.30000e-01,?,-2.91370e+00,?,?,3.28700e-05,2.16160e+00,9.40000e+00,?,?,8.76000e+00,2.02000e+03,6.40000e+01,2.37294e-02,5.92313e-02,1.29439e-01,2.53609e-01,5.74142e-01,no,yes
2.97000e-01,-1.21560e+00,?,?,?,?,1.93360e+00,1.25000e+01,?,?,8.16000e+00,5.33000e+02,8.19200e+00,3.31857e-02,1.01888e-01,2.51927e-01,4.99141e-01,8.56894e-01,yes,no
1.60500e+00,-1.30810e+00,?,?,?,5.89600e-05,1.98890e+00,7.97000e+01,?,?,?,?,?,2.43593e-02,8.06349e-02,2.14599e-01,4.59857e-01,8.44664e-01,?,no
1.14000e+00,-1.57120e+00,?,?,?,1.39300e-03,1.77820e+00,1.00000e+01,?,?,7.13000e+00,1.48500e+03,6.40000e+01,8.26153e-02,2.04159e-01,4.12969e-01,6.68448e-01,9.27254e-01,no,yes
4.90000e-01,?,-2.13260e+00,?,?,4.08600e-05,1.81440e+00,5.07000e+01,?,?,1.79500e+01,6.60000e+02,1.02400e+00,1.68720e-03,4.87404e-03,1.23024e-02,2.89463e-02,9.56591e-02,yes,yes
1.24000e+00,-4.64000e-01,?,?,?,?,1.66340e+00,6.33000e+01,?,?,6.74000e+00,1.56000e+02,1.02400e+00,4.29143e-02,1.07049e-01,2.27072e-01,4.20936e-01,8.22166e-01,yes,no
1.29000e+00,-1.29310e+00,?,?,?,?,2.21080e+00,1.62000e+01,?,?,?,?,?,4.51748e-02,1.30951e-01,3.05197e-01,5.64158e-01,8.89024e-01,?,no
2.58000e+00,?,-2.13830e+00,?,?,?,?,1.98000e+01,?,?,?,?,?,6.62657e-02,1.53556e-01,3.08127e-01,5.33669e-01,8.71818e-01,?,no
1.03000e+00,-1.67810e+00,?,?,?,1.60800e-04,1.98730e+00,3.79300e+02,?,?,8.14000e+00,7.70000e+01,6.40000e-02,4.12959e-03,1.61621e-02,5.35725e-02,1.65690e-01,6.04508e-01,yes,yes
2.45000e+00,-1.81960e+00,?,?,?,?,1.96580e+00,7.30000e+00,?,?,7.15000e+00,1.46500e+03,6.40000e+01,6.13414e-02,1.59326e-01,3.40478e-01,5.89463e-01,8.92164e-01,no,no
9.71000e-01,-1.68830e+00,?,?,?,6.29000e-05,2.05840e+00,8.33000e+01,?,?,1.14700e+01,2.00000e+02,2.56000e-01,3.19589e-03,9.34695e-03,2.40011e-02,5.77862e-02,1.98839e-01,yes,yes
3.24000e+00,-1.99880e+00,?,?,?,1.24900e-04,1.99950e+00,1.82000e+01,?,?,1.00000e+01,?,1.02400e+00,6.06613e-02,1.47537e-01,3.06044e-01,5.37993e-01,8.72718e-01,yes,yes
2.17000e+00,-7.46100e-01,?,?,?,?,2.12910e+00,2.46000e+01,?,?,?,?,?,2.90857e-02,8.05385e-02,1.92442e-01,4.05639e-01,8.19759e-01,?,yes
4.66700e+00,-1.37280e+00,?,?,?,?,1.65610e+00,1.04000e+01,?,?,7.44000e+00,1.42600e+03,6.40000e+01,5.09050e-02,1.42291e-01,3.20991e-01,5.77184e-01,8.91943e-01,no,yes
2.82100e+00,-1.11880e+00,?,?,?,1.91400e-05,1.95880e+00,4.20000e+01,?,?,1.60000e+01,?,5.12000e-01,6.40849e-03,2.63409e-02,8.88690e-02,2.61060e-01,7.23674e-01,yes,yes
5.91500e-01,-1.74020e+00,?,?,?,?,1.96770e+00,1.34000e+01,?,?,9.00000e+00,?,8.19200e+00,6.74093e-02,1.73641e-01,3.65446e-01,6.18128e-01,9.05560e-01,yes,no
9.37000e-01,-1.69660e+00,?,?,?,?,2.03450e+00,4.35000e+01,?,?,1.98500e+01,9.27000e+02,1.02400e+00,1.63189e-02,5.78667e-02,1.65031e-01,3.83550e-01,7.90834e-01,yes,yes
2.68000e+00,?,-2.17100e+00,?,?,1.87000e-05,2.10180e+00,6.40000e+00,?,?,6.78000e+00,3.45000e+02,4.09600e+00,4.27832e-02,1.16809e-01,2.64559e-01,4.94069e-01,8.36843e-01,yes,yes
3.78000e+00,-3.39400e-01,?,?,?,1.16300e-04,2.08160e+00,1.64000e+01,?,?,7.96000e+00,3.63000e+02,3.07200e+00,4.65636e-02,1.34062e-01,3.09714e-01,5.67264e-01,8.88614e-01,yes,yes
3.37500e+00,-1.88560e+00,?,?,?,5.13000e-05,2.22810e+00,1.24000e+01,?,?,7.12000e+00,1.01100e+03,6.40000e+01,9.16913e-02,2.13445e-01,4.15789e-01,6.63283e-01,9.24971e-01,no,yes
8.36000e-01,-1.40670e+00,?,?,?,7.48100e-05,2.03030e+00,4.81000e+01,?,?,1.00300e+01,2.01000e+02,5.12000e-01,4.40804e-02,1.28738e-01,3.02434e-01,5.63110e-01,8.90028e-01,yes,yes
3.35500e+00,-1.93930e+00,?,?,?,?,?,2.26000e+01,?,?,1.08300e+01,1.51000e+03,6.40000e+01,4.78428e-02,1.18595e-01,2.52427e-01,4.65201e-01,8.39612e-01,no,no
3.62600e+00,-1.17770e+00,?,?,?,3.03300e-05,1.52390e+00,2.68000e+01,?,?,?,?,?,3.86933e-02,1.15814e-01,2.78748e-01,5.35223e-01,8.78471e-01,?,yes
1.94900e+00,?,-2.06100e+00,?,?,1.80800e-04,2.00680e+00,4.37000e+01,?,?,8.00000e+00,?,1.02400e+00,3.95625e-02,9.27309e-02,1.89045e-01,3.39926e-01,6.83048e-01,yes,no
1.75500e+00,-5.26100e-01,?,?,?,?,2.32170e+00,1.48000e+01,?,?,9.39000e+00,2.38000e+02,1.02400e+00,1.53159e-02,4.16163e-02,9.88667e-02,2.14415e-01,5.70274e-01,yes,no
1.44000e+00,-1.21720e+00,?,?,?,1.28800e-04,1.95540e+00,4.90000e+01,?,?,9.00000e+00,?,5.12000e-01,2.29994e-02,6.29064e-02,1.49214e-01,3.19462e-01,7.56270e-01,yes,yes
1.41600e+00,-1.72420e+00,?,?,?,?,1.86810e+00,1.61000e+01,?,?,1.16800e+01,2.76300e+03,6.40000e+01,1.13260e-01,2.58199e-01,4.84948e-01,7.31382e-01,9.47488e-01,no,yes
1.63980e+00,-1.12550e+00,?,?,?,4.12600e-05,1.79510e+00,1.57500e+02,?,?,2.58200e+01,1.60400e+03,1.02400e+00,8.03222e-03,2.89854e-02,8.81096e-02,2.43073e-01,7.18383e-01,yes,yes
3.03600e+00,-1.16520e+00,?,?,?,4.24400e-05,2.16090e+00,1.23000e+02,?,?,1.78700e+01,7.41000e+02,1.02400e+00,6.89194e-03,2.82951e-02,9.51902e-02,2.76020e-01,7.31695e-01,yes,yes
5.40000e-01,-1.29380e+00,?,?,?,1.62300e-04,1.97300e+00,7.19800e+02,?,?,2.25700e+01,1.09700e+03,1.02400e+00,9.33610e-03,2.61202e-02,6.18719e-02,1.26659e-01,2.95820e-01,yes,yes
3.03800e+00,-1.31150e+00,?,?,?,9.48300e-05,2.04910e+00,4.20000e+01,?,?,1.79500e+01,6.71900e+03,1.28000e+02,1.33848e-01,2.85280e-01,5.13016e-01,7.57435e-01,9.59684e-01,no,no
1.55000e+00,-1.01600e+00,?,?,?,4.78500e-05,2.20200e+00,6.26000e+01,?,?,1.50700e+01,5.25000e+02,1.02400e+00,4.17113e-02,1.23815e-01,2.95916e-01,5.59720e-01,8.90681e-01,yes,yes
2.35200e+00,-1.52590e+00,?,?,?,2.69700e-05,2.07550e+00,2.59000e+01,?,?,1.02300e+01,4.91000e+02,3.07200e+00,8.29877e-02,2.08746e-01,4.24062e-01,6.81678e-01,9.32453e-01,yes,yes
4.90000e+00,-1.41330e+00,?,?,?,?,2.16230e+00,2.23000e+01,?,?,1.05400e+01,2.18800e+03,6.40000e+01,1.43370e-01,3.08321e-01,5.49178e-01,7.87899e-01,9.65569e-01,no,no
2.71000e+00,-1.17710e+00,?,?,?,4.76500e-05,2.39960e+00,1.72000e+01,?,?,1.10700e+01,1.02000e+03,1.21600e+01,3.56374e-02,8.72283e-02,1.87079e-01,3.59164e-01,7.53257e-01,yes,yes
8.20000e-01,-1.00400e+00,?,?,?,5.92600e-05,1.80980e+00,2.62100e+02,?,?,?,?,?,5.82563e-03,2.02600e-02,5.97917e-02,1.63331e-01,5.78650e-01,?,yes
3.84790e+00,-1.43330e+00,?,?,?,3.56900e-05,1.95140e+00,1.60000e+01,?,?,1.14900e+01,2.13800e+03,6.40000e+01,8.84743e-02,2.18448e-01,4.38525e-01,6.97490e-01,9.39660e-01,no,yes
2.31000e+00,?,-2.00150e+00,?,?,?,2.29680e+00,8.60000e+00,?,?,8.48000e+00,2.08300e+03,6.40000e+01,3.40764e-02,1.01626e-01,2.45502e-01,4.81101e-01,8.38690e-01,no,yes
3.91000e+00,-1.47440e+00,?,?,?,3.05900e-04,2.10230e+00,4.28000e+01,?,?,8.42000e+00,2.04000e+02,1.02400e+00,6.65156e-02,1.75267e-01,3.78437e-01,6.50194e-01,9.29903e-01,yes,no
3.44000e+00,-6.58800e-01,?,?,?,?,2.19260e+00,1.58000e+01,?,?,8.14000e+00,3.61000e+02,4.09600e+00,2.11573e-02,7.19493e-02,1.95245e-01,4.27228e-01,8.20965e-01,yes,no
3.31000e-02,-8.43700e-01,?,?,?,?,3.83000e+00,6.30000e+00,?,?,7.84000e+00,2.11100e+03,8.00000e+01,1.27173e-01,2.71464e-01,4.91152e-01,7.31842e-01,9.48556e-01,no,yes
6.96000e-01,-6.80300e-01,?,?,?,?,1.69820e+00,1.37000e+01,?,?,1.00100e+01,1.83700e+03,8.80000e+01,9.53682e-02,2.16866e-01,4.17916e-01,6.66279e-01,9.29137e-01,no,yes
2.51200e+00,-5.20800e-01,?,?,?,9.47200e-05,1.90290e+00,2.44000e+01,?,?,9.79000e+00,2.41000e+02,4.09600e+00,2.79732e-02,8.96585e-02,2.33307e-01,4.88493e-01,8.61568e-01,yes,yes
1.16500e+00,-4.45800e-01,?,?,?,?,2.21450e+00,1.03000e+01,?,?,7.29000e+00,1.87000e+02,1.40800e+00,6.28252e-02,1.63681e-01,3.49422e-01,6.01539e-01,8.99157e-01,yes,no
8.10000e+00,-7.00200e-01,?,?,?,?,1.94770e+00,3.13000e+01,?,?,8.16000e+00,2.03000e+02,1.02400e+00,5.18429e-02,1.36544e-01,3.02835e-01,5.55372e-01,8.85284e-01,yes,no
1.60800e+00,-1.38700e+00,?,?,?,1.71200e-04,2.12470e+00,5.24000e+01,?,?,8.16000e+00,1.63000e+02,1.02400e+00,4.30794e-02,1.26235e-01,2.97922e-01,5.58792e-01,8.89404e-01,yes,yes
2.04000e+00,?,?,?,?,?,1.90440e+00,1.04000e+01,?,?,9.07000e+00,3.84000e+02,4.09600e+00,5.19768e-02,1.41616e-01,3.14471e-01,5.63040e-01,8.81030e-01,yes,yes
9.70000e-01,-2.75000e-01,?,?,?,?,2.38290e+00,1.25000e+01,?,?,1.08000e+01,2.49400e+03,6.40000e+01,9.26791e-02,1.99427e-01,3.73854e-01,6.02344e-01,9.00667e-01,no,yes
2.75200e+00,-1.40190e+00,?,?,?,4.21100e-05,2.18270e+00,6.84000e+01,?,?,9.18000e+00,2.43000e+02,1.02400e+00,3.97789e-02,9.92083e-02,2.14171e-01,4.08662e-01,8.15385e-01,yes,yes
1.09200e+00,-1.27590e+00,?,?,?,?,1.17070e+00,4.52000e+01,?,?,9.06000e+00,1.95000e+02,1.02400e+00,4.56277e-02,1.32201e-01,3.08254e-01,5.70717e-01,8.95218e-01,yes,no
5.40000e-01,-1.79490e+00,?,?,?,7.60000e-05,2.08370e+00,4.47000e+01,?,?,7.13000e+00,2.43000e+02,4.09600e+00,7.01303e-02,1.74465e-01,3.61141e-01,6.12944e-01,9.11346e-01,yes,yes
2.90000e+00,-1.43920e+00,?,?,?,7.90400e-05,1.99040e+00,3.93000e+01,?,?,1.00000e+01,?,1.02400e+00,1.47738e-02,5.02642e-02,1.42319e-01,3.46327e-01,7.91142e-01,yes,no
5.30000e+00,-4.33700e-01,?,?,?,2.29400e-05,1.91830e+00,6.80000e+00,?,?,?,?,?,8.87727e-02,2.13529e-01,4.22886e-01,6.74161e-01,9.27248e-01,?,no
9.37000e-01,-1.08900e+00,?,?,?,3.15500e-05,1.87410e+00,7.25400e+02,?,?,2.25000e+01,1.90900e+03,1.02400e+00,4.01552e-03,1.69694e-02,5.99726e-02,1.94432e-01,6.68461e-01,yes,yes
1.95000e+00,-1.02970e+00,?,?,?,?,1.62900e+00,6.05000e+01,?,?,1.51000e+01,4.59000e+02,1.02400e+00,3.08309e-02,9.71160e-02,2.47643e-01,5.04738e-01,8.66999e-01,yes,yes
1.51000e+00,-1.41460e+00,?,?,?,2.71500e-05,1.91480e+00,4.57000e+01,?,?,1.26900e+01,3.32000e+02,1.02400e+00,4.26685e-02,1.25541e-01,2.96911e-01,5.56522e-01,8.86680e-01,yes,yes
5.42000e-01,-1.59130e+00,?,?,?,5.87400e-04,2.36790e+00,2.95200e+02,?,?,1.86700e+01,8.13000e+02,1.02400e+00,2.01670e-02,4.88310e-02,1.01965e-01,1.87781e-01,3.98399e-01,yes,yes
5.44000e-01,-1.07780e+00,?,?,?,4.80000e-05,1.95800e+00,1.31700e+02,?,?,2.33000e+01,3.34800e+03,1.02400e+00,2.61201e-03,9.01300e-03,2.62178e-02,6.91660e-02,2.49527e-01,yes,yes
9.20000e-01,-1.32900e+00,?,?,?,?,1.89020e+00,3.58000e+01,?,?,1.21200e+01,2.25000e+02,1.28000e-01,2.29165e-02,7.59837e-02,2.01673e-01,4.31911e-01,8.17469e-01,yes,yes
