% 1. Title: Redshift Predictor for Swift GRBs
% 
% 2. Sources:
%     (a) Creator: Adam N. Morgan
%     (b) Data From: GCN Notices (http://gcn.gsfc.nasa.gov/),
%                    http://astro.berkeley.edu/~nat/Swift/
%                    http://swift.gsfc.nasa.gov/docs/swift/archive/grb_table.html/
%     (c) Date: Fri Sep 23 00:19:56 2011
% 
% 3. This file was created automatically. 
%    CHECK THE ATTRIBUTES before running Weka. 
% 
@RELATION swift_redshift

% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
@ATTRIBUTE z_man_best NUMERIC
@ATTRIBUTE web_alpha NUMERIC
@ATTRIBUTE web_Bayes_Ep_keV NUMERIC
@ATTRIBUTE web_Energy_Fluence_15_350_keV_erg_cme2 NUMERIC
@ATTRIBUTE web_S_N NUMERIC
@ATTRIBUTE web_N_H_excess_10e22_cme_2_2 NUMERIC
@ATTRIBUTE bat_image_signif NUMERIC
@ATTRIBUTE bat_img_peak NUMERIC
@ATTRIBUTE bat_trigger_dur NUMERIC
@ATTRIBUTE PROB_Z_GT_4 NUMERIC
@ATTRIBUTE bat_is_rate_trig {yes, no}
@ATTRIBUTE uvot_detection {yes, no}
@ATTRIBUTE triggerid_str {yes, no}

@DATA
2.352e+00,-1.152e+00,1.000e+02,1.824e-06,2.590e+01,-3.000e-03,1.023e+01,4.910e+02,3.072e+00,2.087e-01,yes,yes,255445
4.900e+00,-1.413e+00,7.604e+01,4.383e-06,2.230e+01,2.700e-02,1.054e+01,2.188e+03,6.400e+01,3.083e-01,no,no,209352
8.200e-01,-1.004e+00,2.078e+02,3.337e-05,2.621e+02,2.450e-01,1.990e+01,8.820e+02,1.024e+00,2.026e-02,yes,yes,278854
3.848e+00,-1.433e+00,3.004e+02,3.342e-06,1.600e+01,1.900e-02,1.149e+01,2.138e+03,6.400e+01,2.184e-01,no,yes,332931
2.309e+00,5.000e+00,7.077e+01,1.994e-07,8.600e+00,1.520e-01,8.480e+00,2.083e+03,6.400e+01,1.016e-01,no,yes,278693
3.913e+00,-1.474e+00,1.362e+02,1.422e-05,4.280e+01,7.200e-02,8.420e+00,2.040e+02,1.024e+00,1.753e-01,yes,no,180977
3.434e+00,-7.072e-01,5.474e+02,2.460e-06,1.580e+01,1.680e-01,8.140e+00,3.610e+02,4.096e+00,7.195e-02,yes,no,238174
3.310e-02,-8.437e-01,4.054e+01,7.854e-07,6.300e+00,3.720e-01,7.840e+00,2.111e+03,8.000e+01,2.715e-01,no,yes,191157
6.960e-01,-6.803e-01,4.493e+01,1.285e-06,1.370e+01,-7.900e-02,1.001e+01,1.837e+03,8.800e+01,2.169e-01,no,yes,359951
2.512e+00,-5.208e-01,1.822e+02,7.885e-06,2.440e+01,2.600e-02,9.790e+00,2.410e+02,4.096e+00,8.966e-02,yes,yes,335105
1.165e+00,-4.458e-01,6.596e+01,5.672e-07,1.030e+01,1.820e-01,7.290e+00,1.870e+02,1.408e+00,1.637e-01,yes,no,259714
1.608e+00,-1.387e+00,3.320e+02,8.704e-06,5.240e+01,1.950e-01,8.160e+00,1.630e+02,1.024e+00,1.262e-01,yes,yes,349510
2.039e+00,6.910e-02,6.703e+01,3.424e-07,1.040e+01,1.200e-02,9.070e+00,3.840e+02,4.096e+00,1.416e-01,yes,yes,282003
2.752e+00,-1.402e+00,5.627e+01,2.842e-06,6.840e+01,4.000e-02,9.180e+00,2.430e+02,1.024e+00,9.921e-02,yes,yes,374210
5.428e-01,-1.795e+00,6.685e+01,4.322e-06,4.470e+01,7.600e-02,7.130e+00,2.430e+02,4.096e+00,1.745e-01,yes,yes,221755
1.710e+00,-1.243e+00,1.221e+02,5.175e-06,5.580e+01,7.900e-02,1.770e+01,5.200e+02,1.024e+00,1.039e-01,yes,yes,373458
5.300e+00,-3.426e-01,6.065e+01,7.742e-07,6.800e+00,5.000e-03,6.810e+00,6.080e+02,1.638e+01,2.135e-01,yes,no,150314
3.463e-01,-1.271e+00,4.055e+02,4.945e-06,5.090e+01,4.500e-02,9.120e+00,2.460e+02,1.024e+00,5.127e-02,yes,yes,234905
9.382e-01,-1.089e+00,1.218e+03,4.112e-04,7.254e+02,5.300e-02,2.250e+01,1.909e+03,1.024e+00,1.697e-02,yes,yes,306757
1.949e+00,-1.030e+00,1.568e+02,5.376e-06,6.050e+01,7.300e-02,1.510e+01,4.590e+02,1.024e+00,9.712e-02,yes,yes,306778
1.503e+00,-1.430e+00,1.822e+02,4.426e-06,4.570e+01,4.100e-02,1.269e+01,3.320e+02,1.024e+00,1.255e-01,yes,yes,208169
5.420e-01,-1.591e+00,6.703e+01,2.382e-05,2.952e+02,5.940e-01,1.867e+01,8.130e+02,1.024e+00,4.883e-02,yes,yes,425151
8.200e+00,-7.002e-01,5.220e+01,6.665e-07,3.130e+01,7.100e-02,8.160e+00,2.030e+02,1.024e+00,1.365e-01,yes,no,350184
5.440e-01,-1.078e+00,1.284e+02,2.837e-05,1.317e+02,1.950e-01,2.330e+01,3.348e+03,1.024e+00,9.013e-03,yes,yes,350311
1.063e+00,-1.284e+00,7.047e+01,3.826e-06,2.950e+01,2.190e-01,9.310e+00,1.680e+02,1.024e+00,3.324e-02,yes,yes,378559
9.200e-01,-1.329e+00,1.649e+02,1.427e-06,3.580e+01,7.300e-02,1.212e+01,2.250e+02,1.280e-01,7.598e-02,yes,yes,284856
