% 1. Title: Redshift Predictor for Swift GRBs
% 
% 2. Sources:
%     (a) Creator: Adam N. Morgan
%     (b) Data From: GCN Notices (http://gcn.gsfc.nasa.gov/),
%                    http://astro.berkeley.edu/~nat/Swift/
%                    http://swift.gsfc.nasa.gov/docs/swift/archive/grb_table.html/
%     (c) Date: Fri Sep 23 00:19:56 2011
% 
% 3. This file was created automatically. 
%    CHECK THE ATTRIBUTES before running Weka. 
% 
@RELATION swift_redshift

% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
@ATTRIBUTE z_man_best NUMERIC
@ATTRIBUTE web_alpha NUMERIC
@ATTRIBUTE web_Bayes_Ep_keV NUMERIC
@ATTRIBUTE web_Energy_Fluence_15_350_keV_erg_cme2 NUMERIC
@ATTRIBUTE web_S_N NUMERIC
@ATTRIBUTE web_N_H_excess_10e22_cme_2_2 NUMERIC
@ATTRIBUTE bat_image_signif NUMERIC
@ATTRIBUTE bat_img_peak NUMERIC
@ATTRIBUTE bat_trigger_dur NUMERIC
@ATTRIBUTE PROB_Z_GT_4 NUMERIC
@ATTRIBUTE bat_is_rate_trig {yes, no}
@ATTRIBUTE uvot_detection {yes, no}
@ATTRIBUTE triggerid_str {yes, no}

@DATA
4.109e+00,-1.560e+00,1.350e+02,1.490e-05,2.400e+01,5.500e-02,8.830e+00,5.540e+02,2.688e+01,1.544e-01,yes,no,352190
2.296e+00,4.996e+00,8.277e+01,4.757e-07,5.400e+00,5.800e-02,6.590e+00,1.660e+02,1.024e+00,1.251e-01,yes,yes,178750
6.535e-01,-7.240e-01,1.496e+01,3.402e-07,1.750e+01,2.340e-01,1.100e+01,1.650e+02,5.120e-01,4.345e-03,yes,yes,114753
2.711e+00,-1.903e+00,5.317e+01,4.299e-06,4.400e+01,5.600e-02,8.780e+00,3.630e+02,4.096e+00,1.466e-01,yes,yes,219101
2.452e+00,-1.292e+00,2.718e+02,1.173e-05,7.850e+01,2.300e-02,1.025e+01,2.600e+02,1.024e+00,1.286e-01,yes,yes,359711
2.642e+00,-1.752e+00,9.048e+01,2.738e-06,3.660e+01,1.170e-01,1.785e+01,4.514e+03,8.000e+01,1.535e-01,no,yes,302888
4.650e+00,-8.902e-01,3.329e+01,1.923e-07,1.300e+01,4.100e-02,8.160e+00,3.970e+02,4.096e+00,1.256e-01,yes,no,342121
2.770e+00,-1.037e+00,1.350e+02,7.306e-06,1.476e+02,3.100e-02,8.080e+00,1.150e+02,2.560e-01,5.655e-02,yes,yes,337914
4.772e+00,-1.652e+00,8.187e+01,2.075e-06,2.330e+01,1.400e-02,1.040e+01,9.280e+02,1.216e+01,2.276e-01,yes,no,421814
2.580e+00,?,3.679e+01,1.574e-06,1.980e+01,-4.100e-02,1.502e+01,3.299e+03,6.400e+01,1.536e-01,no,no,334877
1.496e+00,-1.671e+00,1.196e+02,9.043e-06,8.540e+01,3.160e-01,9.850e+00,7.050e+02,1.216e+01,1.261e-01,yes,no,263361
8.454e-01,-1.260e+00,3.004e+02,3.242e-06,1.260e+01,4.200e-02,8.570e+00,3.870e+02,4.096e+00,1.772e-01,yes,yes,316534
6.887e-01,-1.084e+00,1.051e+02,5.551e-06,8.930e+01,1.840e-01,2.032e+01,8.600e+02,1.024e+00,1.408e-01,yes,yes,324895
2.030e+00,?,4.402e+01,5.119e-07,2.050e+01,6.200e-02,8.510e+00,2.420e+02,1.024e+00,1.415e-01,yes,no,176453
3.076e+00,-1.232e+00,4.482e+02,3.625e-06,1.300e+01,6.900e-02,7.640e+00,4.940e+02,1.638e+01,1.011e-01,yes,yes,375246
3.280e+00,-1.369e+00,1.649e+02,7.543e-07,9.300e+00,1.060e-01,1.105e+01,6.140e+02,4.096e+00,1.086e-01,yes,no,223217
5.200e+00,-1.666e+00,1.649e+02,1.097e-05,8.600e+01,7.300e-02,1.087e+01,2.035e+03,6.400e+01,1.739e-01,no,no,295301
1.710e+00,-1.585e+00,9.512e+01,2.727e-06,1.860e+01,2.700e-02,8.050e+00,2.060e+02,1.024e+00,1.281e-01,yes,yes,148646
1.380e+00,-1.963e+00,4.274e+01,3.258e-07,1.820e+01,-2.300e-02,1.025e+01,2.210e+02,5.120e-01,9.308e-02,yes,yes,148522
2.050e+00,-1.436e+00,2.014e+02,1.356e-05,8.030e+01,5.800e-02,7.560e+00,1.870e+02,1.024e+00,1.582e-01,yes,yes,336489
2.954e+00,-1.705e+00,1.198e+02,4.230e-06,3.040e+01,-2.800e-02,1.052e+01,6.000e+02,4.096e+00,2.168e-01,yes,yes,275087
4.270e+00,-1.407e+00,1.403e+02,4.836e-06,2.180e+01,4.800e-02,1.000e+01,2.280e+02,2.048e+00,1.477e-01,yes,no,117504
6.600e+00,-1.418e+00,1.649e+02,2.822e-06,1.150e+01,7.620e-01,6.580e+00,4.540e+02,1.638e+01,1.455e-01,yes,no,177533
3.533e+00,-1.148e+00,6.754e+01,1.873e-06,2.740e+01,-4.800e-02,1.048e+01,7.750e+02,8.192e+00,2.178e-01,yes,no,177408
7.670e-01,-1.740e+00,1.221e+02,1.859e-06,5.270e+01,1.480e-01,1.083e+01,2.620e+02,5.120e-01,1.073e-01,yes,yes,310613
5.295e-01,-1.353e+00,2.725e+01,5.909e-07,1.960e+01,2.670e-01,9.430e+00,2.210e+02,1.024e+00,2.560e-02,yes,yes,330856
2.500e+00,-1.346e+00,2.460e+02,5.220e-06,1.350e+01,1.190e-01,6.760e+00,4.190e+02,1.216e+01,1.627e-01,yes,yes,280706
1.967e+00,-1.303e+00,9.048e+01,5.613e-06,5.070e+01,4.400e-02,1.000e+01,3.820e+02,2.048e+00,2.061e-01,yes,yes,331093
3.360e+00,-1.313e+00,3.669e+02,9.705e-06,5.790e+01,1.400e-02,7.590e+00,1.960e+02,1.024e+00,1.549e-01,yes,yes,319584
