% 1. Title: Redshift Predictor for Swift GRBs
% 
% 2. Sources:
%     (a) Creator: Adam N. Morgan
%     (b) Data From: GCN Notices (http://gcn.gsfc.nasa.gov/),
%                    http://astro.berkeley.edu/~nat/Swift/
%                    http://swift.gsfc.nasa.gov/docs/swift/archive/grb_table.html/
%     (c) Date: Thu Apr 28 15:25:25 2011
% 
% 3. This file was created automatically. 
%    CHECK THE ATTRIBUTES before running Weka. 
% 
@RELATION swift_redshift

% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
@ATTRIBUTE Z NUMERIC
@ATTRIBUTE A NUMERIC
@ATTRIBUTE B NUMERIC
@ATTRIBUTE EP0 NUMERIC
@ATTRIBUTE FL NUMERIC
@ATTRIBUTE FLX_PC_LATE NUMERIC
@ATTRIBUTE GAM_PC NUMERIC
@ATTRIBUTE MAX_SNR NUMERIC
@ATTRIBUTE NH_PC NUMERIC
@ATTRIBUTE T90 NUMERIC
@ATTRIBUTE bat_image_signif NUMERIC
@ATTRIBUTE bat_img_peak NUMERIC
@ATTRIBUTE bat_trigger_dur NUMERIC
@ATTRIBUTE PROB_Z_GT_4 NUMERIC
@ATTRIBUTE bat_is_rate_trig {yes, no}
@ATTRIBUTE uvot_detection {yes, no}
@ATTRIBUTE triggerid_str {yes, no}

@DATA
1.33100e+00,-1.16300e+00,?,?,3.40010e-06,?,1.91100e+00,7.64000e+01,?,6.48000e+00,2.55700e+01,2.18300e+03,1.02400e+00,5.34918e-02,yes,no,296805
1.18000e+00,?,-2.28700e+00,3.61062e+01,2.51240e-07,?,2.22530e+00,1.80000e+01,-5.50000e-02,4.30000e+00,9.10000e+00,1.89000e+02,5.12000e-01,5.86255e-02,yes,yes,416103
5.90000e-02,?,-2.34810e+00,3.24207e+01,2.23020e-06,?,?,7.60000e+00,?,4.22000e+02,7.83000e+00,1.83500e+03,6.40000e+01,1.81122e-01,no,no,416135
1.16000e+00,?,-2.12680e+00,4.19671e+01,2.05850e-07,?,?,1.01000e+01,?,5.34000e+00,?,?,?,9.91990e-02,?,yes,279592
1.54700e+00,-1.35930e+00,?,1.82270e+02,1.42440e-05,6.50400e-05,1.77170e+00,3.55000e+01,?,3.06900e+01,9.37000e+00,2.39000e+02,2.04800e+00,7.97668e-02,yes,yes,338895
1.69200e+00,-1.73270e+00,?,6.33245e+01,3.95930e-06,1.09800e-04,2.11690e+00,3.98000e+01,?,2.84900e+02,8.92000e+00,2.44400e+03,1.12000e+02,2.02398e-01,no,yes,326115
3.85000e+00,-9.81000e-01,?,1.28993e+02,3.25400e-06,?,1.76340e+00,1.52000e+01,-3.20000e-02,8.17700e+01,8.61000e+00,6.47000e+02,1.21600e+01,1.08463e-01,yes,no,352648
4.10900e+00,-1.56040e+00,?,1.01184e+02,1.49030e-05,1.17100e-04,2.14060e+00,2.40000e+01,?,2.28480e+02,8.83000e+00,5.54000e+02,2.68800e+01,1.54407e-01,yes,no,352190
2.29600e+00,?,-2.00010e+00,2.96428e+01,4.75670e-07,1.79400e-04,2.01130e+00,5.40000e+00,5.80000e-02,8.16000e+00,6.59000e+00,1.66000e+02,1.02400e+00,1.25147e-01,yes,yes,178750
6.53500e-01,-8.64000e-01,?,2.41774e+01,3.51150e-07,2.55900e-05,2.07600e+00,1.75000e+01,2.34000e-01,2.91000e+00,1.10000e+01,?,5.12000e-01,4.34538e-03,yes,yes,114753
2.71100e+00,-1.90280e+00,?,?,4.29850e-06,1.25100e-05,2.03680e+00,4.40000e+01,?,1.18720e+02,8.78000e+00,3.63000e+02,4.09600e+00,1.46599e-01,yes,yes,219101
2.45200e+00,-1.29220e+00,?,1.51459e+02,1.17260e-05,1.24000e-04,1.81730e+00,7.85000e+01,?,9.97600e+01,1.02500e+01,2.60000e+02,1.02400e+00,1.28584e-01,yes,yes,359711
4.64970e+00,-8.90200e-01,?,4.49122e+01,1.92280e-07,?,2.04450e+00,1.30000e+01,?,1.06800e+01,8.16000e+00,3.97000e+02,4.09600e+00,1.25617e-01,yes,no,342121
2.77000e+00,-1.03660e+00,?,?,7.30560e-06,9.52700e-05,2.00690e+00,1.47600e+02,?,3.34800e+01,8.08000e+00,1.15000e+02,2.56000e-01,5.65464e-02,yes,yes,337914
4.77200e+00,-1.65230e+00,?,6.45207e+01,2.07530e-06,2.55900e-05,2.21970e+00,2.33000e+01,?,6.51000e+01,1.04000e+01,9.28000e+02,1.21600e+01,2.27631e-01,yes,no,421814
2.58000e+00,?,-2.13830e+00,5.18109e+01,1.57370e-06,?,?,1.98000e+01,-4.10000e-02,6.65500e+01,?,?,?,1.53556e-01,?,no,334877
1.49700e+00,-1.67100e+00,?,1.05029e+02,9.04340e-06,8.93700e-05,2.01010e+00,8.54000e+01,3.16000e-01,2.61360e+02,9.85000e+00,7.05000e+02,1.21600e+01,1.26068e-01,yes,no,263361
8.45000e-01,-1.26000e+00,?,8.05384e+01,3.24240e-06,6.02800e-05,1.99860e+00,1.26000e+01,?,1.39050e+02,8.57000e+00,3.87000e+02,4.09600e+00,1.77203e-01,yes,yes,316534
6.89000e-01,-1.08420e+00,?,?,5.55100e-06,2.17600e-05,1.91710e+00,8.93000e+01,1.84000e-01,6.25300e+01,2.03200e+01,8.60000e+02,1.02400e+00,1.40844e-01,yes,yes,324895
2.03000e+00,?,-2.00980e+00,4.32891e+02,5.11940e-07,2.39500e-05,2.10240e+00,2.05000e+01,?,1.52800e+01,8.51000e+00,2.42000e+02,1.02400e+00,1.41504e-01,yes,no,176453
3.07600e+00,-1.23160e+00,?,2.00427e+02,3.62490e-06,?,2.15040e+00,1.30000e+01,?,4.96800e+01,7.64000e+00,4.94000e+02,1.63840e+01,1.01077e-01,yes,yes,375246
2.14500e+00,-1.05140e+00,?,2.24352e+02,5.62280e-06,3.63800e-05,1.74950e+00,1.00300e+02,?,4.40000e+00,2.21900e+01,1.24500e+03,5.12000e-01,3.62426e-02,yes,no,294835
4.22000e-01,-1.32830e+00,?,1.22613e+02,4.42330e-06,5.24200e-05,1.96860e+00,1.99000e+01,1.29000e-01,8.82000e+01,7.61000e+00,1.45000e+03,7.20000e+01,1.44508e-01,no,no,148833
1.71000e+00,-1.58610e+00,?,7.11226e+01,?,3.88600e-05,1.82950e+00,1.86000e+01,?,1.42500e+01,8.05000e+00,2.06000e+02,1.02400e+00,1.28117e-01,yes,yes,148646
2.10000e+00,-1.43590e+00,?,1.28046e+02,1.35580e-05,6.02800e-05,2.02230e+00,8.03000e+01,?,2.54280e+02,7.56000e+00,1.87000e+02,1.02400e+00,1.58196e-01,yes,yes,336489
2.95400e+00,-1.70480e+00,?,1.07752e+02,4.22990e-06,2.11800e-05,2.06290e+00,3.04000e+01,-2.80000e-02,1.08560e+02,1.05200e+01,6.00000e+02,4.09600e+00,2.16848e-01,yes,yes,275087
3.48000e-01,?,-3.07300e+00,2.38777e+01,3.60810e-07,9.43100e-06,1.92090e+00,5.40000e+00,-4.60000e-02,2.04600e+01,1.42100e+01,4.77500e+03,1.28000e+02,6.88052e-02,no,yes,207399
4.27000e+00,-1.40720e+00,?,8.94259e+01,4.83630e-06,9.08700e-05,2.02580e+00,2.18000e+01,4.80000e-02,6.02000e+01,1.00000e+01,?,2.04800e+00,1.47656e-01,yes,no,117504
6.60000e+00,-1.39970e+00,?,9.53236e+01,2.87790e-06,?,2.19420e+00,1.15000e+01,?,3.60000e+01,6.58000e+00,4.54000e+02,1.63840e+01,1.45486e-01,yes,no,177533
3.53000e+00,-1.14760e+00,?,?,1.87330e-06,?,2.18640e+00,2.74000e+01,-4.80000e-02,1.09890e+02,1.04800e+01,7.75000e+02,8.19200e+00,2.17816e-01,yes,no,177408
7.67000e-01,-1.74040e+00,?,1.13124e+02,1.85910e-06,4.77200e-05,2.04460e+00,5.27000e+01,1.48000e-01,1.62000e+01,1.08300e+01,2.62000e+02,5.12000e-01,1.07340e-01,yes,yes,310613
5.29500e-01,-1.35290e+00,?,3.53059e+01,5.90870e-07,3.43100e-05,2.11880e+00,1.96000e+01,2.67000e-01,5.55000e+00,9.43000e+00,2.21000e+02,1.02400e+00,2.55989e-02,yes,yes,330856
2.49960e+00,-1.34560e+00,?,1.24439e+02,5.22000e-06,?,1.87390e+00,1.35000e+01,?,1.12210e+02,6.76000e+00,4.19000e+02,1.21600e+01,1.62741e-01,yes,yes,280706
1.96850e+00,-1.30280e+00,?,?,5.61320e-06,4.20700e-05,2.07580e+00,5.07000e+01,?,1.99320e+02,1.00000e+01,3.82000e+02,2.04800e+00,2.06132e-01,yes,yes,331093
7.14000e-01,-1.08840e+00,?,9.20250e+01,4.43230e-07,?,1.65200e+00,1.25000e+01,?,4.30000e+00,1.05900e+01,3.23000e+02,1.02400e+00,4.88872e-02,yes,no,174738
3.35000e+00,-1.31290e+00,?,1.74457e+02,9.70530e-06,4.21200e-05,2.11270e+00,5.79000e+01,?,4.53150e+02,7.59000e+00,1.96000e+02,1.02400e+00,1.54869e-01,yes,yes,319584
3.96900e+00,-1.37470e+00,?,1.10990e+02,2.60930e-06,2.54100e-04,1.60630e+00,1.32000e+01,?,6.04800e+01,1.09600e+01,1.01900e+03,1.21600e+01,1.74661e-01,yes,yes,148225
6.24000e-01,?,-2.06050e+00,2.59683e+01,4.77700e-07,1.14700e-05,1.95810e+00,1.33000e+01,?,9.63000e+00,7.06000e+00,1.77000e+02,1.02400e+00,1.03983e-01,yes,yes,419797
1.37000e+00,-1.77180e+00,?,?,4.93600e-07,2.25600e-05,2.19490e+00,1.43000e+01,?,1.83600e+01,1.14200e+01,2.36000e+02,5.12000e-01,8.04666e-02,yes,yes,370846
1.06300e+00,-1.28400e+00,?,?,3.82550e-06,5.42500e-05,2.11020e+00,2.95000e+01,2.19000e-01,1.52100e+01,9.31000e+00,1.68000e+02,1.02400e+00,3.32424e-02,yes,yes,378559
9.80000e-01,?,-2.10790e+00,4.20614e+01,4.73080e-07,?,2.26270e+00,7.50000e+00,?,2.24000e+01,7.17000e+00,3.74000e+02,4.09600e+00,1.04866e-01,yes,no,293707
4.81300e+00,?,-2.02980e+00,2.68926e+02,5.31880e-07,1.32700e-05,2.00060e+00,1.52000e+01,?,3.17200e+01,7.73000e+00,1.50200e+03,6.40000e+01,1.94801e-01,no,no,414592
1.31400e+00,-1.37480e+00,?,2.30426e+02,2.79200e-05,8.25000e-05,1.90350e+00,2.73800e+02,1.18000e-01,8.30000e+01,8.08000e+00,1.10000e+02,2.56000e-01,3.21642e-02,yes,yes,239899
1.15900e+00,-1.15930e+00,?,2.23072e+02,1.38680e-05,6.15900e-05,1.86310e+00,8.57000e+01,1.33000e-01,2.67800e+01,8.76000e+00,2.19000e+02,1.02400e+00,6.41420e-02,yes,yes,240766
3.00000e+00,-1.61290e+00,?,1.30059e+02,8.99490e-06,3.21300e-05,2.13170e+00,8.49000e+01,?,2.67540e+02,1.14800e+01,3.32000e+02,1.02400e+00,1.21287e-01,yes,yes,357512
6.70000e+00,-4.04800e-01,?,?,7.59650e-07,?,1.76190e+00,1.67000e+01,?,8.19000e+00,9.39000e+00,2.00000e+02,1.02400e+00,9.52019e-02,yes,no,324561
1.48900e+00,-1.54570e+00,?,1.46355e+02,1.36320e-05,?,1.90740e+00,8.06000e+01,?,1.03240e+02,1.08000e+01,2.95000e+02,1.02400e+00,9.42382e-02,yes,yes,205851
2.62500e+00,-8.03100e-01,?,?,1.09750e-06,8.60300e-06,2.15150e+00,1.77000e+01,?,7.97900e+01,8.87000e+00,1.73200e+03,6.40000e+01,2.00246e-01,no,yes,353540
4.41000e+00,-1.00800e+00,?,?,6.76210e-07,?,2.02580e+00,1.80000e+01,-1.50000e-02,8.40000e+00,9.99000e+00,2.69000e+02,1.02400e+00,1.40174e-01,yes,yes,192059
5.11000e+00,-6.85200e-01,?,?,1.21560e-06,?,2.00310e+00,1.65000e+01,-1.00000e-03,7.41000e+01,1.33600e+01,3.11000e+03,6.40000e+01,2.27997e-01,no,yes,211117
2.73700e+00,-1.69630e+00,?,?,?,?,2.02440e+00,1.18000e+01,?,1.92920e+02,?,?,?,1.22711e-01,?,yes,359530
1.80000e+00,-9.88500e-01,?,?,6.51420e-07,2.37000e-05,2.16170e+00,3.01000e+01,?,7.50000e+00,8.22000e+00,1.61000e+02,5.12000e-01,1.16582e-01,yes,yes,217805
3.42500e+00,-6.56500e-01,?,?,?,?,2.05640e+00,2.01000e+01,?,7.51400e+01,8.58000e+00,3.80000e+02,4.09600e+00,2.01207e-01,yes,yes,217704
