% 1. Title: Redshift Predictor for Swift GRBs
% 
% 2. Sources:
%     (a) Creator: Adam N. Morgan
%     (b) Data From: GCN Notices (http://gcn.gsfc.nasa.gov/),
%                    http://astro.berkeley.edu/~nat/Swift/
%                    http://swift.gsfc.nasa.gov/docs/swift/archive/grb_table.html/
%     (c) Date: Thu Apr 28 15:25:25 2011
% 
% 3. This file was created automatically. 
%    CHECK THE ATTRIBUTES before running Weka. 
% 
@RELATION swift_redshift

% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
@ATTRIBUTE Z NUMERIC
@ATTRIBUTE A NUMERIC
@ATTRIBUTE B NUMERIC
@ATTRIBUTE EP0 NUMERIC
@ATTRIBUTE FL NUMERIC
@ATTRIBUTE FLX_PC_LATE NUMERIC
@ATTRIBUTE GAM_PC NUMERIC
@ATTRIBUTE MAX_SNR NUMERIC
@ATTRIBUTE NH_PC NUMERIC
@ATTRIBUTE T90 NUMERIC
@ATTRIBUTE bat_image_signif NUMERIC
@ATTRIBUTE bat_img_peak NUMERIC
@ATTRIBUTE bat_trigger_dur NUMERIC
@ATTRIBUTE PROB_Z_GT_4 NUMERIC
@ATTRIBUTE bat_is_rate_trig {yes, no}
@ATTRIBUTE uvot_detection {yes, no}
@ATTRIBUTE triggerid_str {yes, no}

@DATA
3.24000e+00,-1.99880e+00,?,?,1.86520e-06,1.24900e-04,1.99950e+00,1.82000e+01,?,1.53550e+02,1.00000e+01,?,1.02400e+00,1.47537e-01,yes,yes,111622
2.17000e+00,-7.46100e-01,?,4.22270e+01,5.73800e-07,?,2.12910e+00,2.46000e+01,?,7.68000e+00,?,?,?,8.05385e-02,?,yes,287364
4.66700e+00,-1.37280e+00,?,5.85787e+01,8.44590e-07,?,1.65610e+00,1.04000e+01,-1.20000e-02,3.10500e+01,7.44000e+00,1.42600e+03,6.40000e+01,1.42291e-01,no,yes,412982
2.82100e+00,-1.11880e+00,?,1.87410e+02,1.71690e-05,1.91400e-05,1.95880e+00,4.20000e+01,?,9.80000e+00,1.60000e+01,?,5.12000e-01,2.63409e-02,yes,yes,131560
5.91500e-01,-1.74020e+00,?,5.12649e+01,?,?,1.96770e+00,1.34000e+01,-2.37000e-01,1.73800e+01,9.00000e+00,?,8.19200e+00,1.73641e-01,yes,no,106709
9.37000e-01,-1.69660e+00,?,1.42501e+02,2.24590e-06,?,2.03450e+00,4.35000e+01,?,5.92000e+00,1.98500e+01,9.27000e+02,1.02400e+00,5.78667e-02,yes,yes,229185
2.68000e+00,?,-2.17100e+00,2.05322e+01,?,1.87000e-05,2.10180e+00,6.40000e+00,?,3.99000e+01,6.78000e+00,3.45000e+02,4.09600e+00,1.16809e-01,yes,yes,213486
3.78000e+00,-3.39400e-01,?,?,6.05010e-07,1.16300e-04,2.08160e+00,1.64000e+01,?,1.85400e+01,7.96000e+00,3.63000e+02,3.07200e+00,1.34062e-01,yes,yes,213630
3.37500e+00,-1.88560e+00,?,?,2.15050e-06,5.13000e-05,2.22810e+00,1.24000e+01,1.92000e-01,9.02400e+01,7.12000e+00,1.01100e+03,6.40000e+01,2.13445e-01,no,yes,346386
8.36000e-01,-1.40670e+00,?,1.22638e+02,4.40720e-06,7.48100e-05,2.03030e+00,4.81000e+01,2.30000e-01,5.10000e+01,1.00300e+01,2.01000e+02,5.12000e-01,1.28738e-01,yes,yes,271019
3.35500e+00,-1.93930e+00,?,?,3.28460e-06,?,?,2.26000e+01,?,4.20000e+01,1.08300e+01,1.51000e+03,6.40000e+01,1.18595e-01,no,no,252593
3.62600e+00,-1.17770e+00,?,1.92945e+02,7.44790e-06,3.03300e-05,1.52390e+00,2.68000e+01,-2.00000e-03,3.30660e+02,?,?,?,1.15814e-01,?,yes,285654
2.64100e+00,-1.75220e+00,?,9.00227e+01,2.73750e-06,3.99400e-05,2.20390e+00,3.66000e+01,?,4.38900e+01,1.78500e+01,4.51400e+03,8.00000e+01,1.53451e-01,no,yes,302888
1.14000e+00,-1.57120e+00,?,5.67923e+01,1.03700e-06,1.39300e-03,1.77820e+00,1.00000e+01,-4.70000e-02,7.92000e+01,7.13000e+00,1.48500e+03,6.40000e+01,2.04159e-01,no,yes,297114
1.94900e+00,?,-2.06100e+00,6.20052e+01,4.31850e-06,1.80800e-04,2.00680e+00,4.37000e+01,9.60000e-02,9.46000e+01,8.00000e+00,?,1.02400e+00,9.27309e-02,yes,no,111063
1.75500e+00,-5.26100e-01,?,3.60217e+01,4.10910e-07,?,2.32170e+00,1.48000e+01,?,4.35600e+01,9.39000e+00,2.38000e+02,1.02400e+00,4.16163e-02,yes,no,420398
1.44000e+00,-1.21720e+00,?,5.08613e+01,1.40750e-06,1.28800e-04,1.95540e+00,4.90000e+01,?,3.09600e+01,9.00000e+00,?,5.12000e-01,6.29064e-02,yes,yes,111529
1.41600e+00,-1.72420e+00,?,5.57354e+01,1.45220e-06,?,1.86810e+00,1.61000e+01,-1.80000e-02,1.25280e+02,1.16800e+01,2.76300e+03,6.40000e+01,2.58199e-01,no,yes,313116
1.63980e+00,-1.12550e+00,?,?,2.23230e-05,4.12600e-05,1.79510e+00,1.57500e+02,?,1.95700e+01,2.58200e+01,1.60400e+03,1.02400e+00,2.89854e-02,yes,yes,313299
3.03600e+00,-1.16520e+00,?,8.60327e+02,5.11890e-05,4.24400e-05,2.16090e+00,1.23000e+02,1.42000e-01,8.36600e+01,1.78700e+01,7.41000e+02,1.02400e+00,2.82951e-02,yes,yes,313417
5.40000e-01,-1.29380e+00,?,1.41254e+02,1.47730e-04,1.62300e-04,1.97300e+00,7.19800e+02,9.70000e-02,1.15200e+02,2.25700e+01,1.09700e+03,1.02400e+00,2.61202e-02,yes,yes,355083
3.03800e+00,-1.31150e+00,?,?,4.31700e-06,9.48300e-05,2.04910e+00,4.20000e+01,?,2.75590e+02,1.79500e+01,6.71900e+03,1.28000e+02,2.85280e-01,no,no,332851
2.35200e+00,-1.52590e+00,?,8.22751e+01,2.49640e-06,2.69700e-05,2.07550e+00,2.59000e+01,-3.00000e-03,4.77000e+01,1.02300e+01,4.91000e+02,3.07200e+00,2.08746e-01,yes,yes,255445
4.90000e+00,-1.41330e+00,?,?,4.38320e-06,?,2.16230e+00,2.23000e+01,?,2.29890e+02,1.05400e+01,2.18800e+03,6.40000e+01,3.08321e-01,no,no,209352
2.71000e+00,-1.17710e+00,?,3.68820e+01,6.52380e-07,4.76500e-05,2.39960e+00,1.72000e+01,?,5.10300e+01,1.10700e+01,1.02000e+03,1.21600e+01,8.72283e-02,yes,yes,358422
8.20000e-01,-1.00400e+00,?,?,3.33700e-05,5.92600e-05,1.80980e+00,2.62100e+02,2.45000e-01,2.12000e+01,?,?,?,2.02600e-02,?,yes,278854
3.84790e+00,-1.43330e+00,?,1.29472e+02,3.34200e-06,3.56900e-05,1.95140e+00,1.60000e+01,?,1.69100e+02,1.14900e+01,2.13800e+03,6.40000e+01,2.18448e-01,no,yes,332931
2.31000e+00,?,-2.00150e+00,3.10335e+01,1.99410e-07,?,2.29680e+00,8.60000e+00,?,3.55000e+00,8.48000e+00,2.08300e+03,6.40000e+01,1.01626e-01,no,yes,278693
3.91000e+00,-1.47440e+00,?,9.64822e+01,1.42230e-05,3.05900e-04,2.10230e+00,4.28000e+01,7.20000e-02,3.69940e+02,8.42000e+00,2.04000e+02,1.02400e+00,1.75267e-01,yes,no,180977
3.44000e+00,-6.58800e-01,?,1.44268e+02,?,?,2.19260e+00,1.58000e+01,?,3.23900e+01,8.14000e+00,3.61000e+02,4.09600e+00,7.19493e-02,yes,no,238174
3.31000e-02,-8.43700e-01,?,?,7.85350e-07,?,3.83000e+00,6.30000e+00,3.90000e-01,1.28000e+02,7.84000e+00,2.11100e+03,8.00000e+01,2.71464e-01,no,yes,191157
6.96000e-01,-6.80300e-01,?,?,1.28540e-06,?,1.69820e+00,1.37000e+01,-7.90000e-02,1.13160e+02,1.00100e+01,1.83700e+03,8.80000e+01,2.16866e-01,no,yes,359951
2.51200e+00,-5.20800e-01,?,?,7.88460e-06,9.47200e-05,1.90290e+00,2.44000e+01,?,1.93800e+01,9.79000e+00,2.41000e+02,4.09600e+00,8.96585e-02,yes,yes,335105
8.30000e-01,?,-2.91370e+00,2.17193e+01,3.60540e-07,3.28700e-05,2.16160e+00,9.40000e+00,?,3.79500e+01,8.76000e+00,2.02000e+03,6.40000e+01,5.92313e-02,no,yes,151905
1.16500e+00,-4.45800e-01,?,?,5.67170e-07,?,2.21450e+00,1.03000e+01,?,5.24800e+01,7.29000e+00,1.87000e+02,1.40800e+00,1.63681e-01,yes,no,259714
8.10000e+00,-7.00200e-01,?,5.05504e+01,6.66490e-07,?,1.94770e+00,3.13000e+01,?,1.23600e+01,8.16000e+00,2.03000e+02,1.02400e+00,1.36544e-01,yes,no,350184
1.60800e+00,-1.38700e+00,?,1.72256e+02,8.70400e-06,1.71200e-04,2.12470e+00,5.24000e+01,1.95000e-01,5.79700e+01,8.16000e+00,1.63000e+02,1.02400e+00,1.26235e-01,yes,yes,349510
2.04000e+00,?,?,?,3.42410e-07,?,1.90440e+00,1.04000e+01,?,1.13100e+01,9.07000e+00,3.84000e+02,4.09600e+00,1.41616e-01,yes,yes,282003
2.75200e+00,-1.40190e+00,?,?,2.84190e-06,4.21100e-05,2.18270e+00,6.84000e+01,?,3.99600e+01,9.18000e+00,2.43000e+02,1.02400e+00,9.92083e-02,yes,yes,374210
1.09200e+00,-1.27590e+00,?,1.77028e+02,1.30740e-05,?,1.17070e+00,4.52000e+01,-3.20000e-02,1.14730e+02,9.06000e+00,1.95000e+02,1.02400e+00,1.32201e-01,yes,no,373674
5.40000e-01,-1.79490e+00,?,5.79955e+01,4.32170e-06,7.60000e-05,2.08370e+00,4.47000e+01,7.60000e-02,1.19510e+02,7.13000e+00,2.43000e+02,4.09600e+00,1.74465e-01,yes,yes,221755
1.71000e+00,-1.24320e+00,?,?,5.17500e-06,7.82800e-05,2.14890e+00,5.58000e+01,7.90000e-02,3.90000e+01,1.77000e+01,5.20000e+02,1.02400e+00,1.03873e-01,yes,yes,373458
2.90000e+00,-1.43920e+00,?,1.12311e+02,1.65220e-05,7.90400e-05,1.99040e+00,3.93000e+01,?,3.44100e+01,1.00000e+01,?,1.02400e+00,5.02642e-02,yes,no,113120
5.30000e+00,-4.33700e-01,?,?,8.08190e-07,2.29400e-05,1.91830e+00,6.80000e+00,?,2.75400e+01,?,?,?,2.13529e-01,?,no,150314
9.37000e-01,-1.08900e+00,?,1.38191e+03,4.11190e-04,3.15500e-05,1.87410e+00,7.25400e+02,?,1.47320e+02,2.25000e+01,1.90900e+03,1.02400e+00,1.69694e-02,yes,yes,306757
1.95000e+00,-1.02970e+00,?,?,5.37620e-06,?,1.62900e+00,6.05000e+01,?,3.28800e+01,1.51000e+01,4.59000e+02,1.02400e+00,9.71160e-02,yes,yes,306778
1.51000e+00,-1.41460e+00,?,1.31730e+02,4.53090e-06,2.71500e-05,1.91480e+00,4.57000e+01,?,3.02400e+01,1.26900e+01,3.32000e+02,1.02400e+00,1.25541e-01,yes,yes,208169
5.42000e-01,-1.59130e+00,?,6.81855e+01,2.38230e-05,5.87400e-04,2.36790e+00,2.95200e+02,5.92000e-01,6.63300e+01,1.86700e+01,8.13000e+02,1.02400e+00,4.88310e-02,yes,yes,425151
5.44000e-01,-1.07780e+00,?,1.26079e+02,2.83710e-05,4.80000e-05,1.95800e+00,1.31700e+02,1.95000e-01,5.02800e+01,2.33000e+01,3.34800e+03,1.02400e+00,9.01300e-03,yes,yes,350311
9.20000e-01,-1.32900e+00,?,7.17872e+01,1.42700e-06,?,1.89020e+00,3.58000e+01,?,6.41800e+01,1.21200e+01,2.25000e+02,1.28000e-01,7.59837e-02,yes,yes,284856
