@relation input_data
@attribute Z numeric
@attribute A numeric
@attribute B numeric
@attribute EP0 numeric
@attribute FL numeric
@attribute FLX_PC_LATE numeric
@attribute GAM_PC numeric
@attribute MAX_SNR numeric
@attribute NH_PC numeric
@attribute T90 numeric
@attribute bat_image_signif numeric
@attribute bat_img_peak numeric
@attribute bat_trigger_dur numeric
@attribute PROB_Z_GT_5 numeric
@attribute PROB_Z_GT_4 numeric
@attribute PROB_Z_GT_3 numeric
@attribute PROB_Z_GT_2 numeric
@attribute PROB_Z_GT_1 numeric
@attribute bat_is_rate_trig {'no','yes'}
@attribute uvot_detection {'no','yes'}
@attribute useless1 numeric
@attribute useless2 numeric
@attribute useless3 numeric
@attribute useless4 numeric
@attribute useless5 numeric
@attribute useless6 numeric
@attribute useless7 numeric
@attribute useless8 numeric
@attribute useless9 numeric
@attribute useless10 numeric
@data
2.03,?,-2.0098,?,?,2.395e-05,2.1024,20.5,?,?,8.51,242,1.024,0.0544613,0.141504,0.306831,0.547973,0.871854,'yes','no',0.0273079907055944,0.0471398632507771,0.703604699810967,0.424635682022199,0.0668950316030532,0.211733859963715,0.665873024147004,0.257957281311974,0.657081770943478,0.552993882447481
2.145,-1.0514,?,?,?,3.638e-05,1.7495,100.3,?,?,22.19,1245,0.512,0.00907489,0.0362426,0.114982,0.30185,0.731597,'yes','no',0.0441256312187761,0.609856926603243,0.907584588974714,0.654504807665944,0.0498341270722449,0.571484704734758,0.00493041821755469,0.146674752002582,0.979678099276498,0.841702060075477
0.422,-1.3283,?,?,?,5.242e-05,1.9686,19.9,?,?,7.61,1450,72,0.0512637,0.144508,0.328505,0.591575,0.90218,'no','no',0.882647834485397,0.0327774928882718,0.693229273194447,0.561787021579221,0.942943524802104,0.0370575725100935,0.979221507208422,0.951594882411882,0.0981783180031925,0.533222810830921
1.71,-1.5861,?,?,?,3.886e-05,1.8295,18.6,?,?,8.05,206,1.024,0.0443109,0.128117,0.298919,0.556056,0.884128,'yes','yes',0.687687899917364,0.634962883312255,0.947162741562352,0.425586269702762,0.268255382776260,0.398504789220169,0.646144069265574,0.156423007836565,0.163826094241813,0.754138640360907
2.1,-1.4359,?,?,?,6.028e-05,2.0223,80.3,?,?,7.56,187,1.024,0.0575577,0.158196,0.353578,0.625533,0.919728,'yes','yes',0.641132973134518,0.477806858718395,0.838451053248718,0.822869918076321,0.342051052022725,0.134171108715236,0.935749785974622,0.334904212038964,0.441891381982714,0.57898108032532
2.954,-1.7048,?,?,?,2.118e-05,2.0629,30.4,?,?,10.52,600,4.096,0.0875329,0.216848,0.4362,0.695007,0.938412,'yes','yes',0.737466689897701,0.311746899969876,0.124734757468104,0.550878468202427,0.694809137377888,0.700048018945381,0.448395259212703,0.0144177367910743,0.344966880278662,0.91195314982906
0.348,?,-3.073,?,?,9.431e-06,1.9209,5.4,?,?,14.21,4775,128,0.027668,0.0688052,0.150119,0.29503,0.673159,'no','yes',0.483522642869502,0.821581057738513,0.0867943353950977,0.790868957992643,0.62655634409748,0.9951127092354,0.514174431562424,0.690461098449305,0.729560624109581,0.0347511973232031
4.27,-1.4072,?,?,?,9.087e-05,2.0258,21.8,?,?,10,?,2.048,0.0523922,0.147656,0.334419,0.597405,0.903208,'yes','no',0.98722460749559,0.423373528989032,0.600988707970828,0.809147557010874,0.576254550600424,0.261293438496068,0.175572066102177,0.147818117868155,0.656826473539695,0.710669595282525
6.6,-1.3997,?,?,?,?,2.1942,11.5,?,?,6.58,454,16.384,0.0518948,0.145486,0.328473,0.588253,0.898535,'yes','no',0.877461904194206,0.936944629997015,0.0659713635686785,0.630265248939395,0.866782950237393,0.51544017996639,0.418378111207858,0.115454841172323,0.473918155999854,0.924313919851556
3.53,-1.1476,?,?,?,?,2.1864,27.4,?,?,10.48,775,8.192,0.0910875,0.217816,0.430556,0.686339,0.934499,'yes','no',0.2752603397239,0.149530084803700,0.0666526674758643,0.332218338502571,0.425536333583295,0.0627023086417466,0.552864305442199,0.792538010748103,0.867797691375017,0.00489246170036495
0.767,-1.7404,?,?,?,4.772e-05,2.0446,52.7,?,?,10.83,262,0.512,0.0354683,0.10734,0.261613,0.510469,0.86172,'yes','yes',0.472916709026322,0.219138616928831,0.726837821770459,0.296630515018478,0.473560532787815,0.201895324047655,0.0331379391718656,0.0347450189292431,0.0829294444993138,0.728801066987216
0.5295,-1.3529,?,?,?,3.431e-05,2.1188,19.6,?,?,9.43,221,1.024,0.00895126,0.0255989,0.0642216,0.150126,0.478981,'yes','yes',0.779257354093716,0.408344638766721,0.480824813945219,0.990398722002283,0.729240043787286,0.767406108556315,0.696389003889635,0.678652506088838,0.584780456498265,0.761207765899599
1.9685,-1.3028,?,?,?,4.207e-05,2.0758,50.7,?,?,10,382,2.048,0.0834827,0.206132,0.418599,0.682072,0.938463,'yes','yes',0.227744644740596,0.454569757916033,0.596053545828909,0.558741177432239,0.138036702061072,0.665530579397455,0.761144328862429,0.518731499556452,0.528363889083266,0.881007472518831
0.714,-1.0884,?,?,?,?,1.652,12.5,?,?,10.59,323,1.024,0.0133067,0.0488872,0.143924,0.347768,0.762541,'yes','no',0.664142069406807,0.9107684539631,0.0764786580111831,0.575572559377179,0.475537085905671,0.487785730743781,0.534267024602741,0.756626632297412,0.370328590972349,0.928688877029344
3.35,-1.3129,?,?,?,4.212e-05,2.1127,57.9,?,?,7.59,196,1.024,0.0560711,0.154869,0.346069,0.612214,0.911683,'yes','yes',0.0397408599965274,0.131176944123581,0.927345876116306,0.749108698684722,0.239808215526864,0.615538991289213,0.653207229450345,0.514769755769521,0.392969314474612,0.919572685379535
3.082,-1.0137,?,?,?,0.0001379,1.623,50.7,?,?,14.77,490,1.024,0.0636628,0.17201,0.374006,0.6393,0.919891,'yes','yes',0.219529716297984,0.524962515104562,0.73624050221406,0.258933307835832,0.331091431435198,0.167657260783017,0.27274714037776,0.829493367578834,0.224855991313234,0.195207101758569
3.969,-1.3747,?,?,?,0.0002541,1.6063,13.2,?,?,10.96,1019,12.16,0.0654957,0.174661,0.376063,0.639687,0.920021,'yes','yes',0.319004879333079,0.804978862870485,0.702773628756404,0.740084594348446,0.511567045934498,0.70231270394288,0.217497745295987,0.730762338731438,0.0652743314858526,0.137226629769430
0.624,?,-2.0605,?,?,1.147e-05,1.9581,13.3,?,?,7.06,177,1.024,0.0380973,0.103983,0.238602,0.460428,0.82205,'yes','yes',0.802543905330822,0.903203073889017,0.357292408356443,0.0388650691602379,0.902588199125603,0.373078761389479,0.730056792031974,0.0706395548768342,0.819017873844132,0.747808346524835
1.37,-1.7718,?,?,?,2.256e-05,2.1949,14.3,?,?,11.42,236,0.512,0.0260667,0.0804666,0.203206,0.423225,0.804554,'yes','yes',0.996979273157194,0.0635776882991195,0.49209652794525,0.951236041495577,0.457134424475953,0.64849569555372,0.98996659112163,0.89735751831904,0.590744226239622,0.370153500000015
1.063,-1.284,?,?,?,5.425e-05,2.1102,29.5,?,?,9.31,168,1.024,0.0105411,0.0332424,0.0889787,0.214785,0.621131,'yes','yes',0.276005051331595,0.961526804603636,0.331895408919081,0.679945225827396,0.860840528970584,0.0778424297459424,0.524002462392673,0.908159070182592,0.530667993007228,0.107478901278228
1.71,-1.2432,?,?,?,7.828e-05,2.1489,55.8,?,?,17.7,520,1.024,0.0341287,0.103873,0.258009,0.516716,0.875929,'yes','yes',0.573373669292778,0.0729461973533034,0.136831008130684,0.518323731143028,0.560170630225912,0.672132616862655,0.62101212516427,0.751999509055167,0.863750752760097,0.385353164048865
0.98,?,-2.1079,?,?,?,2.2627,7.5,?,?,7.17,374,4.096,0.0378806,0.104866,0.242588,0.468589,0.830227,'yes','no',0.479070448316634,0.453153929905966,0.758231947897002,0.638458010042086,0.858743242919445,0.458047157386318,0.578852058155462,0.41475298628211,0.259719673311338,0.135013157501817
4.813,?,-2.0298,?,?,1.327e-05,2.0006,15.2,?,?,7.73,1502,64,0.0811021,0.194801,0.390114,0.637478,0.910938,'no','no',0.870582402916625,0.297024794621393,0.577767557231709,0.150107695953920,0.515450592152774,0.250414551701397,0.701611746801063,0.319103494519368,0.297075359150767,0.273676211480051
3.076,-1.2316,?,?,?,?,2.1504,13,?,?,7.64,494,16.384,0.0327805,0.101077,0.250977,0.499725,0.859265,'yes','yes',0.80700820684433,0.501828524749726,0.858917518286034,0.0461277533322573,0.220662796171382,0.945708754705265,0.854942994192243,0.436861912487075,0.687695583095774,0.925942613510415
1.314,-1.3748,?,?,?,8.25e-05,1.9035,273.8,?,?,8.08,110,0.256,0.00845137,0.0321642,0.101671,0.281812,0.751098,'yes','yes',0.785716038895771,0.394770678598434,0.227557779056951,0.725007691886276,0.292117039207369,0.325458327541128,0.307772241299972,0.582147871144116,0.864826653618366,0.594282447826117
1.159,-1.1593,?,?,?,6.159e-05,1.8631,85.7,?,?,8.76,219,1.024,0.0181931,0.064142,0.18017,0.408481,0.811606,'yes','yes',0.532629079883918,0.209788003703579,0.434049895731732,0.0274403768125921,0.396466272417456,0.579449290642515,0.580963756656274,0.589873882941902,0.279514841735363,0.0575682884082198
3,-1.6129,?,?,?,3.213e-05,2.1317,84.9,?,?,11.48,332,1.024,0.0414583,0.121287,0.28945,0.554073,0.892863,'yes','yes',0.527556132758036,0.379481117241085,0.934818232199177,0.456916206050664,0.596419663634151,0.268914012238383,0.0779179378878325,0.395289531908929,0.950615461915731,0.379256631014869
1.489,-1.5457,?,?,?,?,1.9074,80.6,?,?,10.8,295,1.024,0.031608,0.0942382,0.233542,0.481025,0.868386,'yes','yes',0.996879166457802,0.67889986699447,0.848440928850323,0.171727853128687,0.928957119584084,0.541145171504468,0.34031055145897,0.534204721450806,0.846847856650129,0.197892618831247
2.625,-0.8031,?,?,?,8.603e-06,2.1515,17.7,?,?,8.87,1732,64,0.0873378,0.200246,0.391191,0.637879,0.919204,'no','yes',0.594428650569171,0.128150929696858,0.100220352644101,0.384484732057899,0.229102062992752,0.782485961681232,0.670042268466204,0.39389525889419,0.766537566436455,0.636835213983431
4.41,-1.008,?,?,?,?,2.0258,18,?,?,9.99,269,1.024,0.0507686,0.140174,0.313458,0.56318,0.881425,'yes','yes',0.486646987963468,0.898143129888922,0.80665991292335,0.901423521107063,0.559418212156743,0.951550036435947,0.962538391817361,0.588252956280485,0.90150661766529,0.729894511168823
2.737,-1.6963,?,?,?,?,2.0244,11.8,?,?,?,?,?,0.0437606,0.122711,0.281635,0.524851,0.863359,?,'yes',0.903548319358379,0.534054839517921,0.430769506376237,0.865924084791914,0.722357083577663,0.897161230444908,0.632974360603839,0.684798379428685,0.146828955737874,0.995076313382015
6.7,-0.4048,?,?,?,?,1.7619,16.7,?,?,9.39,200,1.024,0.0301146,0.0952019,0.240543,0.485038,0.848387,'yes','no',0.478091947734356,0.578316337661818,0.240573365706950,0.0390804149210453,0.855762832798064,0.508154298644513,0.15939630381763,0.346981076989323,0.162488775327802,0.162843702128157
1.8,-0.9885,?,?,?,2.37e-05,2.1617,30.1,?,?,8.22,161,0.512,0.0394281,0.116582,0.275957,0.522345,0.863079,'yes','yes',0.941494072554633,0.436408382374793,0.928529846481979,0.616856743581593,0.264148660935462,0.742603348800912,0.574900365900248,0.0668855146504939,0.429430848220363,0.933276482159272
3.425,-0.6565,?,?,?,?,2.0564,20.1,?,?,8.58,380,4.096,0.0834876,0.201207,0.404501,0.662262,0.928009,'yes','yes',0.743799074320123,0.433641844196245,0.251820929581299,0.0994320129975677,0.801063556689769,0.700807912508026,0.782817140221596,0.68358367192559,0.0461848850827664,0.87888086005114
2.4266,?,-2.3527,?,?,4.512e-05,2.0252,27.5,?,?,7.4,215,1.024,0.0312289,0.0703095,0.139165,0.244735,0.491676,'yes','yes',0.122816396644339,0.305631982162595,0.0854012318886817,0.721418004715815,0.156209388514981,0.466600025538355,0.34500797232613,0.00845980318263173,0.126816986827180,0.128151191631332
0.383,-1.1211,?,?,?,?,?,13.8,?,?,8.54,201,1.024,0.00998372,0.0386268,0.119705,0.307513,0.73048,'yes','yes',0.267250434029847,0.748887554276735,0.103499801130965,0.0867807508911937,0.683467385591939,0.346057048765942,0.477698936127126,0.850437295855954,0.0459253010340035,0.0924221146851778
0.617,-1.5818,?,?,?,?,?,24.9,?,?,14.22,1928,64,0.0742569,0.189871,0.398865,0.668414,0.936355,'no','no',0.216822122922167,0.84275436680764,0.515756932552904,0.880199966719374,0.316181648988277,0.429724062094465,0.602901551174,0.195293909404427,0.119550926377997,0.990526572568342
2.198,-0.992,?,?,?,3.18e-05,2.1811,60,?,?,22.78,1485,1.024,0.0169214,0.0602667,0.171777,0.396044,0.800639,'yes','yes',0.753298143623397,0.255112783052027,0.194267781218514,0.114674388198182,0.209364392794669,0.632174536120147,0.45284405676648,0.0441386203747243,0.664109160890803,0.348408943740651
1.23,-1.7095,?,?,?,?,1.7887,17.2,?,?,9.84,288,1.024,0.050505,0.139003,0.311746,0.56275,0.882884,'yes','yes',0.244264967506751,0.376396655803546,0.893555968767032,0.732165181310847,0.916558315278962,0.0847475440241396,0.119982474017888,0.145264560356736,0.338378899730742,0.859294020570815
1.261,-0.957,?,?,?,2.269e-05,2.122,330.4,?,?,15.62,384,1.024,0.0078299,0.0309487,0.100876,0.28623,0.749788,'yes','yes',0.550111877033487,0.143251382978633,0.301605446962640,0.139315190725029,0.121249000309035,0.843589962692931,0.254972996190190,0.824827582808211,0.570782485883683,0.920356404269114
2.374,-1.6678,?,?,?,5.422e-05,1.8992,22.8,?,?,8.01,259,2.048,0.0782047,0.197561,0.406194,0.665058,0.926947,'yes','yes',0.682156881084666,0.180996473412961,0.901184085290879,0.619833775330335,0.430021586595103,0.080432128161192,0.295877965632826,0.745139221660793,0.505978930974379,0.643712559016421
2.692,?,-2.268,?,?,?,1.9224,15.9,?,?,9.48,455,4.096,0.0691755,0.151807,0.289081,0.474151,0.769392,'yes','yes',0.981147632701322,0.510631952434778,0.289294927613810,0.0773935080505908,0.229983205907047,0.0974413738586009,0.379146799910814,0.440668887458742,0.761731065809727,0.242790622636676
3.3,-1.7938,?,?,?,?,1.9826,37.5,?,?,8.2,231,1.024,0.0383448,0.110285,0.260638,0.503353,0.855128,'yes','no',0.961013779975474,0.419259363319725,0.542013507802039,0.741114414762706,0.396210928680375,0.109288698993623,0.0229355189949274,0.451888296520337,0.646405950654298,0.107566137565300
0.703,-0.9957,?,?,?,3.161e-05,2.1399,34.2,?,?,8.68,162,0.512,0.0520701,0.143441,0.321967,0.581015,0.896823,'yes','yes',0.864967617671937,0.130389695754275,0.68686402682215,0.678297572536394,0.749736992409453,0.506591179408133,0.194478453835472,0.689661335665733,0.937176116975024,0.786198331508785
2.69,-1.2209,?,?,?,?,2.2763,70,?,?,10.63,213,0.512,0.031416,0.0854879,0.198377,0.404829,0.82335,'yes','yes',0.786165509140119,0.176830222131684,0.857020466355607,0.638674237532541,0.931598381372169,0.435674744192511,0.980940896319225,0.908514962997288,0.466625651810318,0.081094114575535
6.29,-1.1718,?,?,?,0.0001329,1.8576,38.4,?,?,13.26,2820,64,0.0528696,0.148584,0.335609,0.599798,0.90722,'no','no',0.223712941864505,0.321765667293221,0.733584564877674,0.166698681656271,0.845256427302957,0.0472949126269668,0.445939499884844,0.169722370104864,0.222909707576036,0.907858363119885
3.35,-1.7132,?,?,?,?,2.905,12.5,?,?,9.29,311,2.048,0.0585889,0.155611,0.337048,0.587704,0.892169,'yes','yes',0.241211220389232,0.375953019130975,0.372821970377117,0.967587993014604,0.0320663724560291,0.911245080875233,0.747853139881045,0.117828479269519,0.0251547002699226,0.895825365325436
1.1,-1.1896,?,?,?,9.997e-05,2.0197,64.4,?,?,23,1450,1.024,0.00551507,0.0172518,0.0463625,0.115916,0.412009,'yes','yes',0.115872302791104,0.456671820022166,0.364456024719402,0.110034928424284,0.166876370552927,0.993465420790017,0.077326386468485,0.876983359456062,0.185774911893532,0.87164225243032
2.433,-1.56,?,?,?,?,2.1677,74.8,?,?,9.06,209,0.512,0.0304007,0.0953979,0.24335,0.499351,0.866384,'yes','yes',0.843684737104923,0.609640269773081,0.552477286662906,0.222171058412641,0.999760238220915,0.76140128984116,0.95592532469891,0.4343445552513,0.896285373950377,0.361044548917562
0.606,-0.83,?,?,?,1.402e-05,1.9805,339.9,?,?,18,?,0.064,0.00412665,0.0123453,0.0313572,0.0724646,0.223949,'yes','yes',0.451023127883673,0.545683041447774,0.651740987086669,0.84706084872596,0.677173219621181,0.463902977528051,0.276038739364594,0.689352493034676,0.0758557033259422,0.0211788257583976
0.4428,-0.4666,?,?,?,8.364e-06,2.7283,8.1,?,?,9.39,437,4.096,0.0187787,0.052543,0.128091,0.282175,0.690975,'yes','yes',0.522060719551519,0.769041563617066,0.165912889176980,0.732573854736984,0.563626794843003,0.97879428952001,0.458861871389672,0.109130207914859,0.571558533702046,0.144433006178588
1.545,?,-3.3547,?,?,?,2.2331,8.3,?,?,?,?,?,0.00643553,0.0201623,0.0549656,0.139633,0.451003,?,'yes',0.0116016389802098,0.573348698439077,0.0577931515872478,0.472903954796493,0.562454634346068,0.0683136791922152,0.961784848710522,0.826053521363065,0.193129834253341,0.104952396359295
