% 1. Title: Redshift Predictor for Swift GRBs
% 
% 2. Sources:
%     (a) Creator: Adam N. Morgan
%     (b) Data From: GCN Notices (http://gcn.gsfc.nasa.gov/),
%                    http://astro.berkeley.edu/~nat/Swift/
%                    http://swift.gsfc.nasa.gov/docs/swift/archive/grb_table.html/
%     (c) Date: Wed Jul 20 23:57:44 2011
% 
% 3. This file was created automatically. 
%    CHECK THE ATTRIBUTES before running Weka. 
% 
@RELATION swift_redshift

% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
@ATTRIBUTE Z NUMERIC
@ATTRIBUTE A NUMERIC
@ATTRIBUTE EP0 NUMERIC
@ATTRIBUTE MAX_SNR NUMERIC
@ATTRIBUTE NH_PC NUMERIC
@ATTRIBUTE T90 NUMERIC
@ATTRIBUTE bat_image_signif NUMERIC
@ATTRIBUTE bat_img_peak NUMERIC
@ATTRIBUTE bat_trigger_dur NUMERIC
@ATTRIBUTE PROB_Z_GT_4 NUMERIC
@ATTRIBUTE bat_is_rate_trig {yes, no}
@ATTRIBUTE uvot_detection {yes, no}
@ATTRIBUTE triggerid_str {yes, no}

@DATA
2.10000e+00,-1.43590e+00,1.28046e+02,8.03000e+01,?,2.54280e+02,7.56000e+00,1.87000e+02,1.02400e+00,1.58196e-01,yes,yes,336489
2.95400e+00,-1.70480e+00,1.07752e+02,3.04000e+01,-2.80000e-02,1.08560e+02,1.05200e+01,6.00000e+02,4.09600e+00,2.16848e-01,yes,yes,275087
3.48000e-01,?,2.38777e+01,5.40000e+00,-4.60000e-02,2.04600e+01,1.42100e+01,4.77500e+03,1.28000e+02,6.88052e-02,no,yes,207399
4.27000e+00,-1.40720e+00,8.94259e+01,2.18000e+01,4.80000e-02,6.02000e+01,1.00000e+01,?,2.04800e+00,1.47656e-01,yes,no,117504
6.60000e+00,-1.39970e+00,9.53236e+01,1.15000e+01,?,3.60000e+01,6.58000e+00,4.54000e+02,1.63840e+01,1.45486e-01,yes,no,177533
3.53000e+00,-1.14760e+00,?,2.74000e+01,-4.80000e-02,1.09890e+02,1.04800e+01,7.75000e+02,8.19200e+00,2.17816e-01,yes,no,177408
7.67000e-01,-1.74040e+00,1.13124e+02,5.27000e+01,1.48000e-01,1.62000e+01,1.08300e+01,2.62000e+02,5.12000e-01,1.07340e-01,yes,yes,310613
5.29500e-01,-1.35290e+00,3.53059e+01,1.96000e+01,2.67000e-01,5.55000e+00,9.43000e+00,2.21000e+02,1.02400e+00,2.55989e-02,yes,yes,330856
2.49960e+00,-1.34560e+00,1.24439e+02,1.35000e+01,?,1.12210e+02,6.76000e+00,4.19000e+02,1.21600e+01,1.62741e-01,yes,yes,280706
1.96850e+00,-1.30280e+00,?,5.07000e+01,?,1.99320e+02,1.00000e+01,3.82000e+02,2.04800e+00,2.06132e-01,yes,yes,331093
7.14000e-01,-1.08840e+00,9.20250e+01,1.25000e+01,?,4.30000e+00,1.05900e+01,3.23000e+02,1.02400e+00,4.88872e-02,yes,no,174738
3.35000e+00,-1.31290e+00,1.74457e+02,5.79000e+01,?,4.53150e+02,7.59000e+00,1.96000e+02,1.02400e+00,1.54869e-01,yes,yes,319584
3.96900e+00,-1.37470e+00,1.10990e+02,1.32000e+01,?,6.04800e+01,1.09600e+01,1.01900e+03,1.21600e+01,1.74661e-01,yes,yes,148225
6.24000e-01,?,2.59683e+01,1.33000e+01,?,9.63000e+00,7.06000e+00,1.77000e+02,1.02400e+00,1.03983e-01,yes,yes,419797
1.37000e+00,-1.77180e+00,?,1.43000e+01,?,1.83600e+01,1.14200e+01,2.36000e+02,5.12000e-01,8.04666e-02,yes,yes,370846
4.81300e+00,?,2.68926e+02,1.52000e+01,?,3.17200e+01,7.73000e+00,1.50200e+03,6.40000e+01,1.94801e-01,no,no,414592
1.31400e+00,-1.37480e+00,2.30426e+02,2.73800e+02,1.18000e-01,8.30000e+01,8.08000e+00,1.10000e+02,2.56000e-01,3.21642e-02,yes,yes,239899
1.15900e+00,-1.15930e+00,2.23072e+02,8.57000e+01,1.33000e-01,2.67800e+01,8.76000e+00,2.19000e+02,1.02400e+00,6.41420e-02,yes,yes,240766
3.00000e+00,-1.61290e+00,1.30059e+02,8.49000e+01,?,2.67540e+02,1.14800e+01,3.32000e+02,1.02400e+00,1.21287e-01,yes,yes,357512
6.70000e+00,-4.04800e-01,?,1.67000e+01,?,8.19000e+00,9.39000e+00,2.00000e+02,1.02400e+00,9.52019e-02,yes,no,324561
1.48900e+00,-1.54570e+00,1.46355e+02,8.06000e+01,?,1.03240e+02,1.08000e+01,2.95000e+02,1.02400e+00,9.42382e-02,yes,yes,205851
2.62500e+00,-8.03100e-01,?,1.77000e+01,?,7.97900e+01,8.87000e+00,1.73200e+03,6.40000e+01,2.00246e-01,no,yes,353540
4.41000e+00,-1.00800e+00,?,1.80000e+01,-1.50000e-02,8.40000e+00,9.99000e+00,2.69000e+02,1.02400e+00,1.40174e-01,yes,yes,192059
5.11000e+00,-6.85200e-01,?,1.65000e+01,-1.00000e-03,7.41000e+01,1.33600e+01,3.11000e+03,6.40000e+01,2.27997e-01,no,yes,211117
2.73700e+00,-1.69630e+00,?,1.18000e+01,?,1.92920e+02,?,?,?,1.22711e-01,?,yes,359530
1.80000e+00,-9.88500e-01,?,3.01000e+01,?,7.50000e+00,8.22000e+00,1.61000e+02,5.12000e-01,1.16582e-01,yes,yes,217805
3.42500e+00,-6.56500e-01,?,2.01000e+01,?,7.51400e+01,8.58000e+00,3.80000e+02,4.09600e+00,2.01207e-01,yes,yes,217704
2.42660e+00,?,2.91842e+01,2.75000e+01,?,3.61920e+02,7.40000e+00,2.15000e+02,1.02400e+00,7.03095e-02,yes,yes,305288
3.83000e-01,-1.12110e+00,9.20247e+01,1.38000e+01,?,2.20000e+00,8.54000e+00,2.01000e+02,1.02400e+00,3.86268e-02,yes,yes,299787
8.36000e-01,-1.40670e+00,1.22638e+02,4.81000e+01,2.30000e-01,5.10000e+01,1.00300e+01,2.01000e+02,5.12000e-01,1.28738e-01,yes,yes,271019
2.19800e+00,-9.92000e-01,?,6.00000e+01,?,4.56000e+00,2.27800e+01,1.48500e+03,1.02400e+00,6.02667e-02,yes,yes,156467
1.23000e+00,-1.70950e+00,5.81324e+01,1.72000e+01,-3.20000e-02,3.02500e+01,9.84000e+00,2.88000e+02,1.02400e+00,1.39003e-01,yes,yes,316204
1.26100e+00,-9.57000e-01,5.88845e+02,3.30400e+02,1.18000e-01,7.49000e+01,1.56200e+01,3.84000e+02,1.02400e+00,3.09487e-02,yes,yes,232683
2.37400e+00,-1.66780e+00,6.50574e+01,2.28000e+01,1.93000e-01,1.03970e+02,8.01000e+00,2.59000e+02,2.04800e+00,1.97561e-01,yes,yes,323898
