@relation input_data
@attribute Z numeric
@attribute A numeric
@attribute EP0 numeric
@attribute FL numeric
@attribute FLX_PC_LATE numeric
@attribute MAX_SNR numeric
@attribute T90 numeric
@attribute bat_image_signif numeric
@attribute bat_img_peak numeric
@attribute bat_is_rate_trig_binary numeric
@attribute bat_trigger_dur numeric
@attribute uvot_detection_binary numeric
@attribute PROB_Z_GT_4 numeric
@attribute triggerid_str {'106709','111063','111529','111622','114753','117504','130088','148225','148646','148833','150314','151207','152113','153514','154112','156467','163136','163170','174738','176453','177408','177533','178750','179968','180455','180977','191157','192059','205851','207399','208169','209352','209755','211117','211957','213486','213630','213823','214805','217704','217805','219101','221755','228006','228316','228581','229185','231231','231362','232339','232683','238108','238174','239899','240766','252593','255445','259714','263361','271019','275087','276205','278693','278854','279592','280706','282003','284856','285654','286809','287364','295670','296805','297114','299787','301981','302888','305288','306757','306778','308041','309096','309111','310613','312047','313087','313116','313299','313417','316204','316534','317508','319016','319036','319584','323898','324561','324895','326115','330856','331093','332851','332931','334877','335105','336489','337914','338895','342121','349510','350184','350311','352190','352648','353540','355083','357512','359530','359711','359951','370791','370846','373172','373458','374210','375246','377179','378559','412982','414592','416103','416135','419797','420398','421814','425151'}
@attribute useless1 numeric
@attribute useless2 numeric
@data
4.27,-1.4072,89.4259,4.8363e-06,9.087e-05,21.8,60.2,10,?,1,2.048,0,0.147656,'117504',0.505603479687124,0.877907309914008
6.6,-1.3997,95.3236,2.8779e-06,?,11.5,36,6.58,454,1,16.384,0,0.145486,'177533',0.0845381142571568,0.879778491333127
3.53,-1.1476,?,1.8733e-06,?,27.4,109.89,10.48,775,1,8.192,0,0.217816,'177408',0.476960650412366,0.159930555382743
0.767,-1.7404,113.124,1.8591e-06,4.772e-05,52.7,16.2,10.83,262,1,0.512,1,0.10734,'310613',0.0525373483542353,0.126982756191865
0.5295,-1.3529,35.3059,5.9087e-07,3.431e-05,19.6,5.55,9.43,221,1,1.024,1,0.0255989,'330856',0.313304398674518,0.87099778209813
2.4996,-1.3456,124.439,5.22e-06,?,13.5,112.21,6.76,419,1,12.16,1,0.162741,'280706',0.0593435850460082,0.700876319315284
1.9685,-1.3028,?,5.6132e-06,4.207e-05,50.7,199.32,10,382,1,2.048,1,0.206132,'331093',0.223087158752605,0.608645512023941
0.714,-1.0884,92.025,4.4323e-07,?,12.5,4.3,10.59,323,1,1.024,0,0.0488872,'174738',0.3361029275693,0.0269805390853435
3.35,-1.3129,174.457,9.7053e-06,4.212e-05,57.9,453.15,7.59,196,1,1.024,1,0.154869,'319584',0.931810963200405,0.942739342572168
3.969,-1.3747,110.99,2.6093e-06,0.0002541,13.2,60.48,10.96,1019,1,12.16,1,0.174661,'148225',0.962137325666845,0.815086641581729
0.624,?,25.9683,4.777e-07,1.147e-05,13.3,9.63,7.06,177,1,1.024,1,0.103983,'419797',0.411853107390925,0.364362322492525
1.37,-1.7718,?,4.936e-07,2.256e-05,14.3,18.36,11.42,236,1,0.512,1,0.0804666,'370846',0.893793188035488,0.750420039752498
4.813,?,268.926,5.3188e-07,1.327e-05,15.2,31.72,7.73,1502,0,64,0,0.194801,'414592',0.256276819156483,0.561797431437299
1.314,-1.3748,230.426,2.792e-05,8.25e-05,273.8,83,8.08,110,1,0.256,1,0.0321642,'239899',0.49807573412545,0.647814459865913
1.159,-1.1593,223.072,1.3868e-05,6.159e-05,85.7,26.78,8.76,219,1,1.024,1,0.064142,'240766',0.392312894109637,0.386937137693167
3,-1.6129,130.059,8.9949e-06,3.213e-05,84.9,267.54,11.48,332,1,1.024,1,0.121287,'357512',0.090196386212483,0.818719773553312
6.7,-0.4048,?,7.5965e-07,?,16.7,8.19,9.39,200,1,1.024,0,0.0952019,'324561',0.9390543946065,0.184903727611527
1.489,-1.5457,146.355,1.3632e-05,?,80.6,103.24,10.8,295,1,1.024,1,0.0942382,'205851',0.794226550031453,0.744014910189435
2.625,-0.8031,?,1.0975e-06,8.603e-06,17.7,79.79,8.87,1732,0,64,1,0.200246,'353540',0.752322348766029,0.81317503633909
4.41,-1.008,?,6.7621e-07,?,18,8.4,9.99,269,1,1.024,1,0.140174,'192059',0.431289155734703,0.14001476415433
5.11,-0.6852,?,1.2156e-06,?,16.5,74.1,13.36,3110,0,64,1,0.227997,'211117',0.881884336005896,0.135057701496407
2.737,-1.6963,?,?,?,11.8,192.92,?,?,?,?,1,0.122711,'359530',0.306942963507026,0.446508848341182
1.8,-0.9885,?,6.5142e-07,2.37e-05,30.1,7.5,8.22,161,1,0.512,1,0.116582,'217805',0.353102537337691,0.65124456374906
3.425,-0.6565,?,?,?,20.1,75.14,8.58,380,1,4.096,1,0.201207,'217704',0.231409198604524,0.0629996114876121
2.4266,?,29.1842,2.6894e-06,4.512e-05,27.5,361.92,7.4,215,1,1.024,1,0.0703095,'305288',0.73872772953473,0.360839981585741
0.383,-1.1211,92.0247,5.2607e-07,?,13.8,2.2,8.54,201,1,1.024,1,0.0386268,'299787',0.884648404549807,0.366640601539984
