@relation input_data
@attribute Z numeric
@attribute A numeric
@attribute EP0 numeric
@attribute FL numeric
@attribute FLX_PC_LATE numeric
@attribute MAX_SNR numeric
@attribute T90 numeric
@attribute bat_image_signif numeric
@attribute bat_img_peak numeric
@attribute bat_is_rate_trig_binary numeric
@attribute bat_trigger_dur numeric
@attribute uvot_detection_binary numeric
@attribute PROB_Z_GT_4 numeric
@attribute triggerid_str {'106709','111063','111529','111622','114753','117504','130088','148225','148646','148833','150314','151207','152113','153514','154112','156467','163136','163170','174738','176453','177408','177533','178750','179968','180455','180977','191157','192059','205851','207399','208169','209352','209755','211117','211957','213486','213630','213823','214805','217704','217805','219101','221755','228006','228316','228581','229185','231231','231362','232339','232683','238108','238174','239899','240766','252593','255445','259714','263361','271019','275087','276205','278693','278854','279592','280706','282003','284856','285654','286809','287364','295670','296805','297114','299787','301981','302888','305288','306757','306778','308041','309096','309111','310613','312047','313087','313116','313299','313417','316204','316534','317508','319016','319036','319584','323898','324561','324895','326115','330856','331093','332851','332931','334877','335105','336489','337914','338895','342121','349510','350184','350311','352190','352648','353540','355083','357512','359530','359711','359951','370791','370846','373172','373458','374210','375246','377179','378559','412982','414592','416103','416135','419797','420398','421814','425151'}
@attribute useless1 numeric
@attribute useless2 numeric
@attribute useless3 numeric
@attribute useless4 numeric
@data
2.03,?,432.891,5.1194e-07,2.395e-05,20.5,15.28,8.51,242,1,1.024,0,0.141504,'176453',0.258472187910229,0.226038628490642,0.44571867142804,0.802414975361899
3.076,-1.2316,200.427,3.6249e-06,?,13,49.68,7.64,494,1,16.384,1,0.101077,'375246',0.224799917545170,0.786897846497595,0.721274238079786,0.122510485351086
0.422,-1.3283,122.613,4.4233e-06,5.242e-05,19.9,88.2,7.61,1450,0,72,0,0.144508,'148833',0.852410131134093,0.499431509291753,0.570425434503704,0.201820119749755
1.71,-1.5861,71.1226,?,3.886e-05,18.6,14.25,8.05,206,1,1.024,1,0.128117,'148646',0.229321253020316,0.130876035196707,0.882401200942695,0.896718023112044
2.1,-1.4359,128.046,1.3558e-05,6.028e-05,80.3,254.28,7.56,187,1,1.024,1,0.158196,'336489',0.75043719750829,0.139768985332921,0.580028120893985,0.35043811914511
2.954,-1.7048,107.752,4.2299e-06,2.118e-05,30.4,108.56,10.52,600,1,4.096,1,0.216848,'275087',0.535544059472159,0.557032371405512,0.0168278114870191,0.894565079594031
0.348,?,23.8777,3.6081e-07,9.431e-06,5.4,20.46,14.21,4775,0,128,1,0.0688052,'207399',0.704173451289535,0.997404646826908,0.0532390128355473,0.674659720854834
4.27,-1.4072,89.4259,4.8363e-06,9.087e-05,21.8,60.2,10,?,1,2.048,0,0.147656,'117504',0.246704882709309,0.261425445089117,0.570296927820891,0.434988488210365
6.6,-1.3997,95.3236,2.8779e-06,?,11.5,36,6.58,454,1,16.384,0,0.145486,'177533',0.0886151299346238,0.835176287218928,0.745742178987712,0.72380717867054
3.53,-1.1476,?,1.8733e-06,?,27.4,109.89,10.48,775,1,8.192,0,0.217816,'177408',0.250363537808880,0.759758380241692,0.115683187497780,0.379786618053913
0.767,-1.7404,113.124,1.8591e-06,4.772e-05,52.7,16.2,10.83,262,1,0.512,1,0.10734,'310613',0.148039498133585,0.920097611378878,0.232995734782889,0.0462306127883494
0.5295,-1.3529,35.3059,5.9087e-07,3.431e-05,19.6,5.55,9.43,221,1,1.024,1,0.0255989,'330856',0.814287453191355,0.0710292030125856,0.671369768679142,0.364948888076469
