% 1. Title: Redshift Predictor for Swift GRBs
% 
% 2. Sources:
%     (a) Creator: Adam N. Morgan
%     (b) Data From: GCN Notices (http://gcn.gsfc.nasa.gov/),
%                    http://astro.berkeley.edu/~nat/Swift/
%                    http://swift.gsfc.nasa.gov/docs/swift/archive/grb_table.html/
%     (c) Date: Wed Mar  2 23:00:48 2011
% 
% 3. This file was created automatically. 
%    CHECK THE ATTRIBUTES before running Weka. 
% 
@RELATION swift_redshift

% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
@ATTRIBUTE Z NUMERIC
@ATTRIBUTE A NUMERIC
@ATTRIBUTE B NUMERIC
@ATTRIBUTE CHI2 NUMERIC
@ATTRIBUTE DT_MAX_SNR NUMERIC
@ATTRIBUTE EP NUMERIC
@ATTRIBUTE EP0 NUMERIC
@ATTRIBUTE FL NUMERIC
@ATTRIBUTE FLX_PC NUMERIC
@ATTRIBUTE FLX_PC_LATE NUMERIC
@ATTRIBUTE FLX_WT NUMERIC
@ATTRIBUTE GAM_PC NUMERIC
@ATTRIBUTE GAM_PC_LATE NUMERIC
@ATTRIBUTE GAM_WT NUMERIC
@ATTRIBUTE MAX_SNR NUMERIC
@ATTRIBUTE NH_GAL NUMERIC
@ATTRIBUTE NH_PC NUMERIC
@ATTRIBUTE NH_PC_LATE NUMERIC
@ATTRIBUTE NH_WT NUMERIC
@ATTRIBUTE NU NUMERIC
@ATTRIBUTE PK_O_CTS NUMERIC
@ATTRIBUTE RT45 NUMERIC
@ATTRIBUTE T50 NUMERIC
@ATTRIBUTE T90 NUMERIC
@ATTRIBUTE bat_bkg_inten NUMERIC
@ATTRIBUTE bat_image_signif NUMERIC
@ATTRIBUTE bat_img_peak NUMERIC
@ATTRIBUTE bat_inten NUMERIC
@ATTRIBUTE bat_rate_signif NUMERIC
@ATTRIBUTE bat_trigger_dur NUMERIC
@ATTRIBUTE xrt_inten NUMERIC
@ATTRIBUTE xrt_signif NUMERIC
@ATTRIBUTE fluence NUMERIC
@ATTRIBUTE peakflux NUMERIC
@ATTRIBUTE xrt_column NUMERIC
@ATTRIBUTE gal_EB_V NUMERIC
@ATTRIBUTE uvot_time_delta NUMERIC
@ATTRIBUTE DT_MAX_SNR NUMERIC
@ATTRIBUTE FL_over_SQRT_T90 NUMERIC
@ATTRIBUTE PROB_Z_GT_5 NUMERIC
@ATTRIBUTE PROB_Z_GT_4 NUMERIC
@ATTRIBUTE PROB_Z_GT_3 NUMERIC
@ATTRIBUTE PROB_Z_GT_2 NUMERIC
@ATTRIBUTE PROB_Z_GT_1 NUMERIC
@ATTRIBUTE PROB_Z_LT_1 NUMERIC
@ATTRIBUTE PROB_Z_LT_2 NUMERIC
@ATTRIBUTE PROB_Z_LT_3 NUMERIC
@ATTRIBUTE PROB_Z_LT_4 NUMERIC
@ATTRIBUTE PROB_Z_LT_5 NUMERIC
@ATTRIBUTE MOST_PROB_Z NUMERIC
@ATTRIBUTE Z_LT_1_OVER_Z_GT_4 NUMERIC
@ATTRIBUTE CHI2_PC {yes, no}
@ATTRIBUTE CHI2_WT {yes, no}
@ATTRIBUTE CHI2_PC_LATE {yes, no}
@ATTRIBUTE bat_is_rate_trig {yes, no}
@ATTRIBUTE uvot_detection {yes, no}

@DATA
1.18000e+00,?,-2.28700e+00,3.87200e+01,4.50000e+00,?,3.61062e+01,2.51240e-07,3.71000e-05,?,?,2.22530e+00,?,?,1.80000e+01,9.92000e-02,-5.50000e-02,-5.59000e-01,?,5.60000e+01,3.54460e-01,1.25000e+00,2.50000e+00,4.30000e+00,3.63620e+04,9.10000e+00,1.89000e+02,3.09700e+03,1.54200e+01,5.12000e-01,1.00000e-10,1.00000e+01,2.00000e+00,1.30000e+00,4.10000e+00,1.42000e-01,6.70000e+01,4.50000e+00,1.21159e-07,2.03331e-02,5.86255e-02,1.45546e-01,3.19514e-01,7.19367e-01,2.80633e-01,6.80486e-01,8.54454e-01,9.41374e-01,9.79667e-01,1.00100e+00,4.78687e+00,19.84/12,na,29.07/18,yes,yes
5.90000e-02,?,-2.34810e+00,6.68800e+01,4.07000e+02,?,3.24207e+01,2.23020e-06,?,?,1.70300e-01,?,?,1.36790e+00,7.60000e+00,7.05000e-02,?,?,4.32000e-01,5.60000e+01,5.30035e-03,8.40000e+01,2.29000e+02,4.22000e+02,0.00000e+00,7.83000e+00,1.83500e+03,0.00000e+00,0.00000e+00,6.40000e+01,2.38000e-09,8.83000e+00,3.00000e+00,1.00000e-01,5.90000e+00,1.16000e-01,1.48000e+02,4.07000e+02,1.08564e-07,8.92773e-02,1.81122e-01,3.23466e-01,5.06618e-01,8.12567e-01,1.87433e-01,4.93382e-01,6.76534e-01,8.18878e-01,9.10723e-01,1.00100e+00,1.03485e+00,13.60/17,674.14/461,13.60/17,no,no
1.16000e+00,?,-2.12680e+00,6.60700e+01,5.94000e+00,?,4.19671e+01,2.05850e-07,?,?,7.38200e-02,?,?,2.48250e+00,1.01000e+01,1.49000e-02,?,?,?,5.60000e+01,4.58472e-01,1.20000e+00,2.88000e+00,5.34000e+00,?,?,?,?,?,?,5.81000e-10,5.50000e+00,1.62000e+00,6.80000e-01,9.60000e-01,1.70000e-02,8.20000e+01,5.94000e+00,8.90800e-08,3.53661e-02,9.91990e-02,2.32357e-01,4.54060e-01,8.14919e-01,1.85081e-01,5.45940e-01,7.67643e-01,9.00801e-01,9.64634e-01,1.00100e+00,1.86575e+00,6.75/17,99.23/89,11.08/17,?,yes
1.54700e+00,-1.35930e+00,?,5.59200e+01,3.36600e+01,?,1.82270e+02,1.42440e-05,9.66100e-05,6.50400e-05,7.22000e-02,1.77170e+00,1.84990e+00,1.80040e+00,3.55000e+01,4.05000e-02,?,?,?,5.60000e+01,6.38646e-02,8.25000e+00,1.28700e+01,3.06900e+01,7.80320e+04,9.37000e+00,2.39000e+02,1.37290e+04,7.75100e+01,2.04800e+00,6.09000e-10,5.09000e+00,6.80000e-01,5.50000e+00,7.00000e+00,4.80000e-02,3.95000e+02,3.36600e+01,2.57119e-06,2.43250e-02,7.97668e-02,2.12409e-01,4.59386e-01,8.47845e-01,1.52155e-01,5.40614e-01,7.87591e-01,9.20233e-01,9.75675e-01,1.20100e+00,1.90750e+00,77.35/67,54.33/55,52.24/42,yes,yes
1.69200e+00,-1.73270e+00,?,4.32600e+01,1.41400e+01,?,6.33245e+01,3.95930e-06,2.21900e-04,1.09800e-04,2.54500e-01,2.11690e+00,2.09360e+00,1.59110e+00,3.98000e+01,5.59000e-02,?,?,7.20000e-02,5.60000e+01,5.53467e-02,2.33800e+01,1.21800e+02,2.84900e+02,0.00000e+00,8.92000e+00,2.44400e+03,0.00000e+00,0.00000e+00,1.12000e+02,5.77000e-09,1.22800e+01,2.50000e+01,2.10000e+00,1.70000e+00,6.70000e-02,1.61000e+02,1.41400e+01,2.34570e-07,8.28640e-02,2.02398e-01,4.08279e-01,6.65804e-01,9.30790e-01,6.92097e-02,3.34196e-01,5.91721e-01,7.97602e-01,9.17136e-01,1.70100e+00,3.41949e-01,49.30/57,324.78/356,34.62/28,no,yes
3.85000e+00,-9.81000e-01,?,4.84500e+01,3.70000e+01,?,1.28993e+02,3.25400e-06,?,?,?,1.76340e+00,?,?,1.52000e+01,2.96000e-02,-3.20000e-02,-2.00000e-01,?,5.60000e+01,2.87026e-02,1.36900e+01,3.88500e+01,8.17700e+01,2.13586e+05,8.61000e+00,6.47000e+02,4.46070e+04,1.36700e+01,1.21600e+01,5.77000e-10,4.47000e+00,1.20000e+01,6.00000e-01,1.90000e+01,4.00000e-02,1.06000e+02,3.70000e+01,3.59849e-07,3.56824e-02,1.08463e-01,2.65136e-01,5.18273e-01,8.69925e-01,1.30075e-01,4.81727e-01,7.34864e-01,8.91537e-01,9.64318e-01,1.20100e+00,1.19925e+00,18.25/17,20.84/17,18.80/18,yes,no
4.10900e+00,-1.56040e+00,?,6.96500e+01,3.36000e+02,?,1.01184e+02,1.49030e-05,1.39400e-04,1.17100e-04,3.77200e-01,2.14060e+00,2.13510e+00,1.99180e+00,2.40000e+01,4.47000e-02,?,?,7.40000e-02,5.60000e+01,1.60735e-02,3.69600e+01,8.06400e+01,2.28480e+02,2.26336e+05,8.83000e+00,5.54000e+02,1.00540e+05,1.41000e+01,2.68800e+01,1.96000e-08,5.83000e+00,9.00000e+01,1.60000e+00,1.57000e+00,5.00000e-02,1.71000e+02,3.36000e+02,9.85938e-07,5.77652e-02,1.54407e-01,3.40195e-01,6.04896e-01,9.14813e-01,8.51866e-02,3.95104e-01,6.59805e-01,8.45593e-01,9.42235e-01,1.50100e+00,5.51702e-01,76.34/87,380.07/292,59.92/75,yes,no
2.29600e+00,?,-2.00010e+00,4.99100e+01,8.67000e+00,?,2.96428e+01,4.75670e-07,1.79600e-04,1.79400e-04,2.11500e-01,2.01130e+00,2.01070e+00,1.43400e+00,5.40000e+00,8.98000e-02,5.80000e-02,5.80000e-02,3.10000e-02,5.30000e+01,2.41197e-01,2.38000e+00,5.27000e+00,8.16000e+00,3.35160e+04,6.59000e+00,1.66000e+02,5.04200e+03,1.07200e+01,1.02400e+00,?,?,4.61000e+00,8.90000e-01,1.72000e+00,1.35000e-01,1.84000e+02,8.67000e+00,1.66518e-07,4.38734e-02,1.25147e-01,2.89047e-01,5.36701e-01,8.70017e-01,1.29983e-01,4.63299e-01,7.10953e-01,8.74853e-01,9.56127e-01,1.20100e+00,1.03864e+00,172.89/213,597.30/558,167.90/212,yes,yes
6.53500e-01,-8.64000e-01,?,3.78600e+01,2.88000e+00,?,2.41774e+01,3.51150e-07,3.82500e-05,2.55900e-05,?,2.07600e+00,2.12610e+00,?,1.75000e+01,2.44000e-02,2.34000e-01,2.47000e-01,?,5.40000e+01,1.13728e+00,6.30000e-01,1.23000e+00,2.91000e+00,3.53590e+04,1.10000e+01,?,?,1.92600e+01,5.12000e-01,?,?,3.67000e+00,4.88000e+00,2.50000e+00,3.00000e-02,6.50000e+01,2.88000e+00,2.05848e-07,1.40169e-03,4.34538e-03,1.18313e-02,3.07959e-02,1.21530e-01,8.78470e-01,9.69204e-01,9.88169e-01,9.95655e-01,9.98598e-01,3.01000e-01,2.02162e+02,84.44/82,19.07/17,45.77/54,yes,yes
2.71100e+00,-1.90280e+00,?,4.27000e+01,3.16800e+01,?,?,4.29850e-06,2.80600e-05,1.25100e-05,1.72400e-01,2.03680e+00,2.07280e+00,1.92390e+00,4.40000e+01,6.05000e-02,?,?,9.20000e-02,5.50000e+01,3.11573e-02,2.20800e+01,8.64000e+01,1.18720e+02,1.54785e+05,8.78000e+00,3.63000e+02,1.77900e+04,1.48600e+01,4.09600e+00,1.00000e-08,1.48300e+01,2.83000e+01,1.28000e+00,1.89000e+00,7.70000e-02,1.09000e+02,3.16800e+01,3.94507e-07,6.11277e-02,1.46599e-01,2.99483e-01,5.19938e-01,8.58780e-01,1.41220e-01,4.80062e-01,7.00517e-01,8.53401e-01,9.38872e-01,1.00100e+00,9.63314e-01,42.15/37,152.78/178,16.49/16,yes,yes
