% 1. Title: Redshift Predictor for Swift GRBs
% 
% 2. Sources:
%     (a) Creator: Adam N. Morgan
%     (b) Data From: GCN Notices (http://gcn.gsfc.nasa.gov/),
%                    http://astro.berkeley.edu/~nat/Swift/
%                    http://swift.gsfc.nasa.gov/docs/swift/archive/grb_table.html/
%     (c) Date: Fri Feb  4 11:18:43 2011
% 
% 3. This file was created automatically. 
%    CHECK THE ATTRIBUTES before running Weka. 
% 
@RELATION swift_redshift

% !CHECK ME:
% !CHECK ME:
@ATTRIBUTE Z NUMERIC
@ATTRIBUTE A NUMERIC
@ATTRIBUTE B NUMERIC
@ATTRIBUTE EP0 NUMERIC
@ATTRIBUTE FL NUMERIC
@ATTRIBUTE FLX_PC_LATE NUMERIC
@ATTRIBUTE GAM_PC NUMERIC
@ATTRIBUTE MAX_SNR NUMERIC
@ATTRIBUTE NH_PC NUMERIC
@ATTRIBUTE T90 NUMERIC
@ATTRIBUTE bat_image_signif NUMERIC
@ATTRIBUTE bat_img_peak NUMERIC
@ATTRIBUTE bat_trigger_dur NUMERIC
@ATTRIBUTE bat_is_rate_trig {yes, no}
@ATTRIBUTE uvot_detection {yes, no}

@DATA
2.95400e+00,-1.70480e+00,?,?,?,2.11800e-05,2.06290e+00,3.04000e+01,?,?,1.05200e+01,6.00000e+02,4.09600e+00,yes,yes
3.48000e-01,?,-3.07300e+00,?,?,9.43100e-06,1.92090e+00,5.40000e+00,?,?,1.42100e+01,4.77500e+03,1.28000e+02,no,yes
4.27000e+00,-1.40720e+00,?,?,?,9.08700e-05,2.02580e+00,2.18000e+01,?,?,1.00000e+01,?,2.04800e+00,yes,no
6.60000e+00,-1.39970e+00,?,?,?,?,2.19420e+00,1.15000e+01,?,?,6.58000e+00,4.54000e+02,1.63840e+01,yes,no
3.53000e+00,-1.14760e+00,?,?,?,?,2.18640e+00,2.74000e+01,?,?,1.04800e+01,7.75000e+02,8.19200e+00,yes,no
7.67000e-01,-1.74040e+00,?,?,?,4.77200e-05,2.04460e+00,5.27000e+01,?,?,1.08300e+01,2.62000e+02,5.12000e-01,yes,yes
5.29500e-01,-1.35290e+00,?,?,?,3.43100e-05,2.11880e+00,1.96000e+01,?,?,9.43000e+00,2.21000e+02,1.02400e+00,yes,yes
1.96850e+00,-1.30280e+00,?,?,?,4.20700e-05,2.07580e+00,5.07000e+01,?,?,1.00000e+01,3.82000e+02,2.04800e+00,yes,yes
7.14000e-01,-1.08840e+00,?,?,?,?,1.65200e+00,1.25000e+01,?,?,1.05900e+01,3.23000e+02,1.02400e+00,yes,no
3.35000e+00,-1.31290e+00,?,?,?,4.21200e-05,2.11270e+00,5.79000e+01,?,?,7.59000e+00,1.96000e+02,1.02400e+00,yes,yes
