% 1. Title: Redshift Predictor for Swift GRBs
% 
% 2. Sources:
%     (a) Creator: Adam N. Morgan
%     (b) Data From: GCN Notices (http://gcn.gsfc.nasa.gov/),
%                    http://astro.berkeley.edu/~nat/Swift/
%                    http://swift.gsfc.nasa.gov/docs/swift/archive/grb_table.html/
%     (c) Date: Tue Sep  6 02:24:03 2011
% 
% 3. This file was created automatically. 
%    CHECK THE ATTRIBUTES before running Weka. 
% 
@RELATION swift_redshift

% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
@ATTRIBUTE Z NUMERIC
@ATTRIBUTE web_alpha NUMERIC
@ATTRIBUTE web_Bayes_Ep_keV NUMERIC
@ATTRIBUTE web_Energy_Fluence_15_350_keV_erg_cme2 NUMERIC
@ATTRIBUTE web_S_N NUMERIC
@ATTRIBUTE web_N_H_excess_10e22_cme_2_2 NUMERIC
@ATTRIBUTE web_T_90 NUMERIC
@ATTRIBUTE bat_img_peak NUMERIC
@ATTRIBUTE bat_trigger_dur NUMERIC
@ATTRIBUTE PROB_Z_GT_4 NUMERIC
@ATTRIBUTE bat_is_rate_trig {yes, no}
@ATTRIBUTE uvot_detection {yes, no}
@ATTRIBUTE triggerid_str {yes, no}

@DATA
3.350e+00,-1.313e+00,3.669e+02,9.705e-06,5.790e+01,1.400e-02,4.532e+02,1.960e+02,1.024e+00,1.549e-01,yes,yes,319584
3.969e+00,-1.394e+00,1.649e+02,2.550e-06,1.320e+01,5.000e-03,6.048e+01,1.019e+03,1.216e+01,1.747e-01,yes,yes,148225
6.240e-01,?,3.679e+01,4.777e-07,1.330e+01,4.700e-02,9.630e+00,1.770e+02,1.024e+00,1.040e-01,yes,yes,419797
1.370e+00,-1.772e+00,6.065e+01,4.936e-07,1.430e+01,7.100e-02,1.836e+01,2.360e+02,5.120e-01,8.047e-02,yes,yes,370846
4.813e+00,?,4.274e+01,5.319e-07,1.520e+01,1.800e-02,3.172e+01,1.502e+03,6.400e+01,1.948e-01,no,no,414592
1.314e+00,-1.375e+00,3.458e+02,2.792e-05,2.738e+02,1.180e-01,8.300e+01,1.100e+02,2.560e-01,3.216e-02,yes,yes,239899
1.159e+00,-1.159e+00,3.894e+02,1.387e-05,8.570e+01,1.330e-01,2.678e+01,2.190e+02,1.024e+00,6.414e-02,yes,yes,240766
3.000e+00,-1.613e+00,1.822e+02,8.995e-06,8.490e+01,7.100e-02,2.675e+02,3.320e+02,1.024e+00,1.213e-01,yes,yes,357512
6.700e+00,-4.048e-01,1.350e+02,7.597e-07,1.670e+01,3.800e-02,8.190e+00,2.000e+02,1.024e+00,9.520e-02,yes,no,324561
1.489e+00,-1.606e+00,1.350e+02,1.313e-05,8.060e+01,6.400e-02,1.032e+02,2.950e+02,1.024e+00,9.424e-02,yes,yes,205851
2.625e+00,-8.031e-01,4.274e+01,1.098e-06,1.770e+01,7.000e-03,7.979e+01,1.732e+03,6.400e+01,2.002e-01,no,yes,353540
4.410e+00,-1.008e+00,7.450e+01,6.762e-07,1.800e+01,-1.500e-02,8.400e+00,2.690e+02,1.024e+00,1.402e-01,yes,yes,192059
5.110e+00,-6.852e-01,9.038e+01,1.216e-06,1.650e+01,-1.000e-03,7.410e+01,3.110e+03,6.400e+01,2.280e-01,no,yes,211117
2.737e+00,-1.696e+00,7.408e+01,9.220e-07,1.180e+01,7.300e-02,1.929e+02,?,?,1.227e-01,?,yes,359530
1.800e+00,-9.344e-01,9.048e+01,6.053e-07,3.010e+01,2.800e-02,7.500e+00,1.610e+02,5.120e-01,1.166e-01,yes,yes,217805
3.425e+00,-6.565e-01,6.425e+01,1.880e-06,2.010e+01,2.400e-02,7.514e+01,3.800e+02,4.096e+00,2.012e-01,yes,yes,217704
2.427e+00,?,2.231e+01,2.689e-06,2.750e+01,5.000e-03,3.619e+02,2.150e+02,1.024e+00,7.031e-02,yes,yes,305288
3.830e-01,-1.121e+00,3.320e+02,5.261e-07,1.380e+01,2.600e-02,2.200e+00,2.010e+02,1.024e+00,3.863e-02,yes,yes,299787
8.360e-01,-1.407e+00,1.962e+02,4.407e-06,4.810e+01,2.300e-01,5.100e+01,2.010e+02,5.120e-01,1.287e-01,yes,yes,271019
2.198e+00,-9.920e-01,1.834e+02,2.659e-06,6.000e+01,2.400e-02,4.560e+00,1.485e+03,1.024e+00,6.027e-02,yes,yes,156467
1.230e+00,-1.710e+00,7.408e+01,9.673e-07,1.720e+01,-3.200e-02,3.025e+01,2.880e+02,1.024e+00,1.390e-01,yes,yes,316204
1.261e+00,-9.570e-01,8.380e+02,1.146e-04,3.304e+02,1.180e-01,7.490e+01,3.840e+02,1.024e+00,3.095e-02,yes,yes,232683
2.374e+00,-1.668e+00,8.187e+01,2.784e-06,2.280e+01,1.930e-01,1.040e+02,2.590e+02,2.048e+00,1.976e-01,yes,yes,323898
2.692e+00,?,1.225e+01,1.103e-06,1.590e+01,2.400e-02,1.872e+02,4.550e+02,4.096e+00,1.518e-01,yes,yes,295670
3.300e+00,-1.794e+00,6.376e+01,8.902e-07,3.750e+01,-1.100e-02,6.540e+00,2.310e+02,1.024e+00,1.103e-01,yes,no,232339
7.030e-01,-9.957e-01,8.320e+01,1.881e-06,3.420e+01,1.300e-01,1.710e+02,1.620e+02,5.120e-01,1.434e-01,yes,yes,228006
2.690e+00,-1.221e+00,7.047e+01,2.869e-06,7.000e+01,7.100e-02,5.950e+01,2.130e+02,5.120e-01,8.549e-02,yes,yes,313087
6.290e+00,-1.172e+00,5.318e+02,1.223e-05,3.840e+01,8.000e-03,1.972e+02,2.820e+03,6.400e+01,1.486e-01,no,no,153514
3.350e+00,-1.724e+00,6.703e+01,5.997e-07,1.250e+01,-2.400e-02,1.080e+01,3.110e+02,2.048e+00,1.556e-01,yes,yes,154112
1.100e+00,-1.190e+00,6.703e+01,3.703e-06,6.440e+01,9.500e-02,7.040e+00,1.450e+03,1.024e+00,1.725e-02,yes,yes,309111
2.433e+00,-1.560e+00,1.492e+02,5.881e-06,7.480e+01,6.600e-02,4.662e+01,2.090e+02,5.120e-01,9.540e-02,yes,yes,309096
6.060e-01,-8.300e-01,8.186e+01,1.861e-05,3.399e+02,4.900e-02,9.100e+00,?,6.400e-02,1.235e-02,yes,yes,130088
4.428e-01,-4.666e-01,2.256e+01,2.032e-07,8.100e+00,-5.400e-02,8.370e+00,4.370e+02,4.096e+00,5.254e-02,yes,yes,209755
1.545e+00,?,1.108e+01,5.814e-08,8.300e+00,2.050e-01,2.970e+00,?,?,2.016e-02,?,yes,312047
