% 1. Title: Redshift Predictor for Swift GRBs
% 
% 2. Sources:
%     (a) Creator: Adam N. Morgan
%     (b) Data From: GCN Notices (http://gcn.gsfc.nasa.gov/),
%                    http://astro.berkeley.edu/~nat/Swift/
%                    http://swift.gsfc.nasa.gov/docs/swift/archive/grb_table.html/
%     (c) Date: Mon Jul 18 22:35:52 2011
% 
% 3. This file was created automatically. 
%    CHECK THE ATTRIBUTES before running Weka. 
% 
@RELATION swift_redshift

% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
@ATTRIBUTE Z NUMERIC
@ATTRIBUTE A NUMERIC
@ATTRIBUTE EP0 NUMERIC
@ATTRIBUTE FL NUMERIC
@ATTRIBUTE MAX_SNR NUMERIC
@ATTRIBUTE NH_PC NUMERIC
@ATTRIBUTE T90 NUMERIC
@ATTRIBUTE bat_image_signif NUMERIC
@ATTRIBUTE bat_img_peak NUMERIC
@ATTRIBUTE bat_trigger_dur NUMERIC
@ATTRIBUTE PROB_Z_GT_4 NUMERIC
@ATTRIBUTE bat_is_rate_trig {yes, no}
@ATTRIBUTE uvot_detection {yes, no}
@ATTRIBUTE triggerid_str {yes, no}

@DATA
?,-1.99790e+00,?,4.10570e-06,5.01000e+01,-2.00000e-02,1.62480e+02,1.08300e+01,2.04300e+03,6.40000e+01,9.43597e-02,no,no,361830
?,-7.38500e-01,?,3.38890e-06,4.32000e+01,?,4.06800e+01,8.49000e+00,3.17000e+02,2.04800e+00,1.90269e-01,yes,yes,180241
?,-1.45440e+00,6.81400e+01,1.04660e-06,2.41000e+01,4.91000e-01,4.58000e+01,9.03000e+00,1.20000e+02,2.56000e-01,9.13275e-02,yes,no,352420
?,-1.43960e+00,1.01359e+02,4.79490e-06,4.49000e+01,-1.20000e-02,3.42000e+01,1.73800e+01,5.76000e+02,1.02400e+00,1.06493e-01,yes,yes,316910
?,-1.72850e+00,3.93923e+01,5.96860e-07,1.17000e+01,?,3.27600e+01,8.08000e+00,7.18000e+02,1.21600e+01,1.81588e-01,yes,no,411248
?,-1.33020e+00,8.09013e+01,3.54280e-06,1.39000e+01,?,1.69990e+02,8.24000e+00,1.14300e+03,6.40000e+01,1.92809e-01,no,no,414905
?,-9.27400e-01,?,1.76900e-06,3.75000e+01,-3.80000e-02,6.93000e+01,8.95000e+00,2.85000e+02,1.02400e+00,2.05318e-01,yes,yes,323542
?,-1.87480e+00,8.43019e+01,1.28250e-05,1.11600e+02,1.85000e-01,5.01800e+01,1.02500e+01,1.94000e+02,1.02400e+00,4.86403e-02,yes,no,304379
?,-3.55800e-01,6.76193e+01,3.61200e-06,2.47000e+01,?,1.32240e+02,7.18000e+00,3.01000e+02,4.09600e+00,2.41899e-01,yes,yes,303105
?,-1.98890e+00,?,1.43120e-07,9.70000e+00,?,3.78000e+00,7.61000e+00,1.94000e+02,1.02400e+00,7.82645e-02,yes,no,338338
?,-1.10340e+00,8.25903e+01,2.24380e-05,2.78700e+02,3.50000e-01,3.42300e+01,8.37000e+00,1.52000e+02,5.12000e-01,2.86580e-02,yes,no,337889
?,-1.45180e+00,5.26474e+01,1.12900e-06,1.15000e+01,-3.10000e-02,3.38100e+01,?,?,?,1.54193e-01,?,yes,324907
?,-1.35060e+00,8.42659e+01,?,9.30000e+00,1.06000e-01,1.09200e+01,1.10500e+01,6.14000e+02,4.09600e+00,1.08621e-01,yes,no,223217
?,-1.66600e+00,1.24245e+02,1.09740e-05,8.60000e+01,?,1.61170e+02,1.08700e+01,2.03500e+03,6.40000e+01,1.73852e-01,no,no,295301
?,-1.94880e+00,?,3.34170e-07,1.82000e+01,-2.30000e-02,5.88000e+00,1.02500e+01,2.21000e+02,5.12000e-01,9.30783e-02,yes,yes,148522
?,?,2.85422e+01,3.49170e-06,1.26000e+01,?,1.89750e+02,7.37000e+00,1.92000e+02,4.09600e+00,9.86002e-02,yes,no,234516
?,-1.46180e+00,6.21623e+01,9.14180e-07,1.49000e+01,?,3.43500e+01,7.32000e+00,1.50000e+02,5.12000e-01,1.30354e-01,yes,no,275119
?,-1.06560e+00,3.86599e+02,4.39280e-05,1.34400e+02,1.78000e-01,5.52000e+01,1.44000e+01,4.50000e+02,1.02400e+00,5.91807e-02,yes,no,175942
?,-1.36260e+00,9.27733e+01,2.04190e-06,2.15000e+01,?,1.61000e+01,7.53000e+00,1.16000e+02,5.12000e-01,9.23205e-02,yes,no,315080
?,?,?,5.07020e-07,1.11000e+01,?,6.30000e+00,7.25000e+00,2.08000e+02,4.09600e+00,1.04267e-02,yes,no,303631
?,-1.21390e+00,?,2.51920e-06,4.25000e+01,2.89000e-01,6.09600e+01,1.99800e+01,8.25000e+02,1.02400e+00,6.70646e-02,yes,no,200638
?,-1.34620e+00,9.08144e+01,4.74440e-06,1.43000e+01,?,4.33320e+02,8.88000e+00,2.10600e+03,6.40000e+01,2.49308e-01,no,yes,349592
?,-1.34680e+00,1.52158e+02,1.63730e-05,1.18600e+02,5.22000e-01,5.61200e+02,1.14600e+01,3.31000e+02,1.02400e+00,7.64772e-02,yes,no,279935
?,-4.79000e-01,?,?,1.06000e+01,?,5.69800e+01,7.22000e+00,1.62000e+02,1.02400e+00,1.40464e-01,yes,no,230662
?,?,3.14902e+01,5.67510e-07,1.30000e+01,-5.00000e-03,8.91000e+00,9.40000e+00,4.64000e+02,4.09600e+00,3.29419e-02,yes,no,230702
?,-1.36270e+00,4.83405e+02,1.78960e-05,8.37000e+01,?,9.10000e+01,1.52800e+01,4.87000e+02,1.02400e+00,8.16422e-02,yes,yes,307931
?,-1.66840e+00,8.63613e+01,7.66560e-06,1.81000e+01,-4.00000e-03,1.83920e+02,7.46000e+00,9.87000e+02,6.40000e+01,2.23498e-01,no,no,307604
?,-1.61150e+00,6.27721e+01,5.63600e-07,1.36000e+01,?,2.14200e+01,7.64000e+00,2.45000e+02,1.40800e+00,1.40097e-01,yes,no,306858
?,-1.93600e+00,?,?,9.00000e+00,?,2.64060e+02,8.92000e+00,1.95100e+03,6.40000e+01,1.97826e-01,no,no,345777
?,-1.28830e+00,3.05529e+02,2.07560e-05,1.14600e+02,?,1.50670e+02,1.05100e+01,2.96000e+02,1.02400e+00,9.05220e-02,yes,no,261299
?,-1.21390e+00,?,1.74180e-06,1.46000e+01,?,7.63200e+01,7.24000e+00,3.36000e+02,3.07200e+00,2.40777e-01,yes,no,261664
?,?,4.31244e+01,3.33160e-07,9.50000e+00,-7.70000e-02,2.40300e+01,7.50000e+00,1.50800e+03,6.40000e+01,1.48376e-01,no,no,261880
?,-1.78790e+00,4.85224e+01,9.99950e-07,2.29000e+01,?,1.51200e+01,1.20800e+01,2.58000e+02,5.12000e-01,1.34199e-01,yes,yes,382399
?,-1.95590e+00,?,2.93440e-06,3.36000e+01,?,1.13270e+02,8.53000e+00,1.89000e+02,1.02400e+00,1.59663e-01,yes,yes,302506
?,?,2.92585e+01,8.36420e-08,7.80000e+00,?,3.72000e+00,6.51000e+00,2.55000e+02,2.04800e+00,7.45757e-02,yes,no,295779
?,-1.05170e+00,1.70333e+02,8.11300e-06,8.14000e+01,?,?,1.07300e+01,1.12000e+02,6.40000e-02,5.01516e-02,yes,no,318101
