% 1. Title: Redshift Predictor for Swift GRBs
% 
% 2. Sources:
%     (a) Creator: Adam N. Morgan
%     (b) Data From: GCN Notices (http://gcn.gsfc.nasa.gov/),
%                    http://astro.berkeley.edu/~nat/Swift/
%                    http://swift.gsfc.nasa.gov/docs/swift/archive/grb_table.html/
%     (c) Date: Mon Jul 18 22:35:52 2011
% 
% 3. This file was created automatically. 
%    CHECK THE ATTRIBUTES before running Weka. 
% 
@RELATION swift_redshift

% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
@ATTRIBUTE Z NUMERIC
@ATTRIBUTE A NUMERIC
@ATTRIBUTE EP0 NUMERIC
@ATTRIBUTE FL NUMERIC
@ATTRIBUTE MAX_SNR NUMERIC
@ATTRIBUTE NH_PC NUMERIC
@ATTRIBUTE T90 NUMERIC
@ATTRIBUTE bat_image_signif NUMERIC
@ATTRIBUTE bat_img_peak NUMERIC
@ATTRIBUTE bat_trigger_dur NUMERIC
@ATTRIBUTE PROB_Z_GT_4 NUMERIC
@ATTRIBUTE bat_is_rate_trig {yes, no}
@ATTRIBUTE uvot_detection {yes, no}
@ATTRIBUTE triggerid_str {yes, no}

@DATA
?,-1.44110e+00,1.03273e+02,1.35500e-06,1.82000e+01,-8.50000e-02,2.77000e+01,1.00300e+01,2.58000e+02,1.02400e+00,9.49770e-02,yes,no,355942
?,?,3.23935e+01,3.12550e-06,3.17000e+01,?,1.04880e+02,9.73000e+00,4.25000e+02,2.04800e+00,5.76578e-02,yes,no,151486
?,-9.38900e-01,?,5.47340e-06,3.62000e+01,?,4.50800e+01,?,?,?,1.60957e-01,?,no,114298|114299
?,-6.10300e-01,1.52174e+02,?,1.37000e+01,-3.00000e-02,1.39500e+01,9.00000e+00,?,2.04800e+00,5.37603e-02,yes,no,114485
?,-1.52070e+00,1.45159e+02,1.19170e-05,8.46000e+01,7.00000e-02,1.33750e+02,7.02000e+00,1.73000e+02,1.02400e+00,1.91780e-01,yes,no,276212
?,?,2.78332e+01,7.29130e-08,6.90000e+00,?,3.40000e+00,?,?,?,3.15912e-02,?,yes,285653
?,-1.47180e+00,9.49494e+01,1.02630e-06,6.80000e+00,?,1.76400e+01,9.72000e+00,4.75000e+02,4.09600e+00,1.21224e-01,yes,yes,202505
?,-1.59060e+00,9.18486e+01,4.67480e-06,2.46000e+01,-1.00000e-02,1.41960e+02,7.15000e+00,1.55000e+02,1.02400e+00,2.07368e-01,yes,yes,340895
?,-1.58470e+00,8.31684e+01,6.38370e-06,4.72000e+01,?,1.59280e+02,?,?,?,2.15687e-01,?,yes,323984
?,-1.57270e+00,6.34614e+01,1.84360e-06,2.37000e+01,?,4.07600e+01,9.41000e+00,1.32000e+02,2.56000e-01,1.15412e-01,yes,yes,353567
?,-1.47240e+00,8.96426e+01,2.32600e-06,2.43000e+01,?,5.72000e+01,1.32000e+01,3.60000e+02,1.02400e+00,1.24070e-01,yes,no,287260
?,-1.55430e+00,1.32547e+02,1.13030e-06,6.90000e+00,?,2.25000e+01,9.19000e+00,4.41000e+02,4.09600e+00,1.28580e-01,yes,no,287088
?,?,3.73448e+01,7.43500e-07,1.02000e+01,?,6.06300e+01,1.00700e+01,1.62900e+03,6.40000e+01,1.02698e-01,no,no,145994
?,-1.08280e+00,?,5.47320e-07,8.30000e+00,?,2.86000e+01,1.25500e+01,4.07700e+03,1.28000e+02,2.24416e-01,no,no,181126
?,-1.55050e+00,9.67331e+01,9.75930e-07,1.75000e+01,-1.00000e-03,4.46800e+01,7.67000e+00,1.33000e+02,5.12000e-01,1.02484e-01,yes,yes,304549
?,-1.72050e+00,4.63635e+01,4.55480e-07,1.19000e+01,-2.00000e-03,1.11300e+01,9.03000e+00,3.15000e+02,2.04800e+00,1.46484e-01,yes,no,181156
?,-1.13580e+00,2.73146e+02,1.95960e-05,1.10400e+02,1.78000e-01,4.96000e+01,1.65500e+01,6.55000e+02,1.02400e+00,7.93610e-02,yes,no,272773
?,-1.77580e+00,5.06742e+01,?,1.72000e+01,?,4.70000e+00,9.13000e+00,2.22000e+02,1.02400e+00,1.03763e-01,yes,no,230115
?,-8.00900e-01,?,2.08720e-06,2.42000e+01,?,1.55200e+01,9.09000e+00,1.82000e+02,1.02400e+00,1.26817e-01,yes,no,282073
?,-1.06820e+00,?,1.45390e-05,1.39900e+02,3.07000e-01,8.16500e+01,7.21000e+00,3.19000e+02,4.09600e+00,7.97917e-02,yes,no,252588
?,-1.36440e+00,4.55977e+02,1.05950e-05,9.44000e+01,-1.70000e-02,8.32100e+01,1.13200e+01,2.41000e+02,2.56000e-01,8.76095e-02,yes,no,313954
?,-1.50890e+00,8.02432e+01,6.09110e-06,3.95000e+01,?,8.51200e+01,8.11000e+00,2.33000e+02,2.04800e+00,1.22318e-01,yes,no,312958
?,-1.78560e+00,4.20966e+01,?,8.50000e+00,?,4.26400e+01,8.77000e+00,2.19100e+03,1.20000e+02,2.12861e-01,no,no,155408
?,-1.22780e+00,?,1.27910e-06,4.73000e+01,-1.70000e-02,8.55000e+00,2.00900e+01,9.50000e+02,1.02400e+00,1.31328e-01,yes,no,226382
?,?,3.04444e+01,?,1.11000e+01,?,6.38580e+02,7.19000e+00,5.70000e+01,6.40000e-02,1.74627e-01,yes,no,382941
?,-1.50750e+00,4.78384e+01,?,6.10000e+00,?,2.44900e+01,6.75000e+00,5.67000e+02,1.21600e+01,1.48177e-01,yes,no,236430
?,?,5.21019e+01,9.15370e-07,2.67000e+01,?,9.35000e+00,1.61000e+01,4.49000e+02,1.02400e+00,6.84798e-02,yes,no,315615
?,-1.66210e+00,7.46926e+01,3.29980e-06,1.57000e+01,?,5.20800e+01,7.19000e+00,1.42000e+02,1.02400e+00,2.15819e-01,yes,no,208870
?,-1.23190e+00,1.09283e+02,?,2.23000e+01,?,1.21800e+01,1.11500e+01,2.63000e+02,1.02400e+00,8.72333e-02,yes,no,208050
?,-1.23920e+00,8.17009e+01,4.18780e-07,9.60000e+00,?,7.28000e+00,8.36000e+00,4.60000e+02,5.50400e+00,7.02138e-02,yes,no,361489
?,-1.77660e+00,?,5.00570e-07,1.19000e+01,?,6.84000e+00,8.61000e+00,1.49000e+02,5.12000e-01,9.53699e-02,yes,no,311762
?,-1.50730e+00,5.59322e+01,8.68220e-07,1.12000e+01,?,2.68800e+01,9.81000e+00,6.15000e+02,8.19200e+00,1.35792e-01,yes,no,311874
?,-1.77000e+00,6.57216e+01,1.67270e-05,2.78000e+01,-9.00000e-03,2.18500e+01,9.16000e+00,1.96000e+02,1.02400e+00,2.83181e-02,yes,yes,209351
?,-1.33910e+00,6.76298e+01,2.56710e-06,1.23000e+01,?,3.00600e+02,8.11000e+00,2.72000e+02,2.04800e+00,1.74350e-01,yes,no,358520
?,?,1.47996e+02,1.78620e-07,1.08000e+01,?,4.75000e+00,8.66000e+00,2.45000e+02,1.02400e+00,1.09369e-01,yes,no,278903
?,4.99860e+00,5.11461e+01,3.24420e-07,6.00000e+00,?,2.18400e+01,5.73000e+00,4.98000e+02,1.21600e+01,9.72082e-02,yes,no,345551
?,-1.82310e+00,?,1.43030e-06,1.50000e+01,?,3.27600e+01,?,?,?,1.73543e-01,?,no,358574
?,-1.20420e+00,?,5.09090e-06,8.55000e+01,4.13000e-01,1.25350e+02,6.94000e+00,3.45000e+02,4.09600e+00,1.44745e-01,yes,no,241963
?,?,3.44535e+01,1.34830e-07,6.60000e+00,?,8.84000e+00,7.20000e+00,5.37000e+02,8.19200e+00,9.19545e-02,yes,no,191512
?,-9.37300e-01,?,6.01400e-06,5.29000e+01,?,5.96000e+01,1.44500e+01,4.65000e+02,1.02400e+00,9.52508e-02,yes,yes,335647
?,-1.98070e+00,?,6.48400e-07,1.03000e+01,?,2.20800e+01,7.25000e+00,4.92000e+02,8.19200e+00,1.53180e-01,yes,no,335715
?,-8.59200e-01,4.67424e+01,2.46590e-06,3.62000e+01,?,1.08480e+02,2.02200e+01,7.71400e+03,8.80000e+01,1.31374e-01,no,no,335895
?,-1.73630e+00,1.00968e+02,3.13010e-06,2.51000e+01,8.96000e-01,2.52350e+02,9.81000e+00,4.84700e+03,3.20000e+02,2.97723e-01,no,no,349450
?,-1.33320e+00,?,2.88740e-05,1.49200e+02,?,4.43520e+02,8.92000e+00,1.71400e+03,6.40000e+01,1.81258e-01,no,yes,282445
?,?,6.11343e+01,?,5.30000e+00,?,2.57400e+01,7.04000e+00,5.20000e+01,6.40000e-02,1.41217e-01,yes,no,301578
?,-1.22650e+00,6.05094e+01,2.82480e-07,7.90000e+00,?,5.64000e+00,7.30000e+00,4.12000e+02,5.50400e+00,6.75338e-02,yes,no,318094
?,-1.43680e+00,1.08360e+02,2.19040e-06,1.63000e+01,?,5.73400e+01,8.89000e+00,1.23600e+03,2.68800e+01,1.64116e-01,yes,yes,145581
?,-9.44900e-01,?,8.75380e-06,7.62000e+01,?,9.98400e+01,7.95000e+00,2.05000e+02,1.02400e+00,1.44779e-01,yes,no,318170
?,-1.04990e+00,?,8.68610e-06,6.19000e+01,6.16000e-01,3.10980e+02,1.58300e+01,3.86000e+03,6.40000e+01,2.40920e-01,no,no,302728
?,-7.98700e-01,?,8.66200e-06,2.07000e+01,?,6.42400e+01,8.00000e+00,2.03000e+02,2.04800e+00,1.73040e-01,yes,no,146227
?,-1.13030e+00,1.09541e+02,2.48070e-06,8.50000e+00,?,3.13100e+01,7.32000e+00,3.07000e+02,4.09600e+00,1.11859e-01,yes,no,279898
?,-1.94500e-01,?,3.30800e-07,7.50000e+00,?,3.13500e+01,7.99000e+00,1.84200e+03,8.80000e+01,1.68139e-01,no,no,279817
?,-1.70910e+00,8.07684e+01,8.85320e-06,7.81000e+01,2.45000e-01,1.94560e+02,?,?,?,1.22784e-01,?,no,426722
?,-1.70080e+00,6.38510e+01,2.98240e-06,3.00000e+01,?,7.74200e+01,1.20800e+01,2.67000e+02,1.02400e+00,1.38928e-01,yes,no,373871
?,?,3.23454e+01,7.05270e-08,8.00000e+00,-8.10000e-02,5.34000e+00,8.00000e+00,?,2.04800e+00,8.67803e-02,yes,yes,113872
?,-6.57800e-01,3.15038e+01,3.28630e-07,1.10000e+01,-2.70000e-02,4.68000e+01,8.79000e+00,1.30800e+03,2.68800e+01,8.39027e-02,yes,no,151131
?,-1.99160e+00,?,?,9.60000e+00,-1.59000e-01,3.03000e+00,8.78000e+00,3.70000e+02,2.04800e+00,9.21317e-02,yes,no,150532
?,-1.55870e+00,4.37782e+01,3.87660e-07,1.00000e+01,-2.30000e-02,1.87200e+01,7.49000e+00,3.90000e+02,4.09600e+00,1.32848e-01,yes,yes,331332
?,-5.73600e-01,1.09087e+02,2.84250e-06,8.07000e+01,?,1.26900e+01,8.76000e+00,2.65000e+02,1.02400e+00,1.10013e-01,yes,no,151334
?,-1.76450e+00,6.70687e+01,7.37650e-06,5.38000e+01,9.20000e-02,2.38140e+02,1.28400e+01,6.43000e+02,4.09600e+00,2.32736e-01,yes,yes,164268
?,-1.68520e+00,4.68871e+01,?,1.05000e+01,?,1.21500e+02,8.10000e+00,1.82400e+03,1.28000e+02,2.27123e-01,no,no,235715
?,?,3.38761e+01,2.15710e-07,8.30000e+00,?,3.03600e+01,7.22000e+00,1.59700e+03,6.40000e+01,1.71708e-01,no,yes,306793
?,-1.79120e+00,?,?,4.60000e+00,?,?,7.05000e+00,1.44800e+03,6.40000e+01,1.10611e-01,no,no,235645
?,-1.23490e+00,2.89773e+02,5.13420e-06,5.09000e+01,?,1.20600e+01,9.12000e+00,2.46000e+02,1.02400e+00,5.12695e-02,yes,yes,234905
?,-1.63670e+00,8.31230e+01,7.18710e-06,2.39000e+01,?,4.56300e+01,7.23000e+00,3.95000e+02,1.21600e+01,1.44388e-01,yes,yes,306754
?,-1.04330e+00,?,1.70420e-05,1.32700e+02,?,3.02400e+01,2.10000e+01,?,5.12000e-01,5.66850e-02,yes,no,112453
?,-1.66300e+00,4.98014e+01,7.35100e-07,8.60000e+00,-8.00000e-03,8.41000e+00,8.92000e+00,3.95000e+02,8.19200e+00,1.34877e-01,yes,yes,222546
?,?,8.93371e+01,4.57220e-07,2.33000e+01,?,1.17600e+01,9.00000e+00,?,1.02400e+00,1.23728e-01,yes,no,118707
?,?,2.26174e+01,2.40390e-07,1.32000e+01,3.51000e-01,5.28000e+00,9.87000e+00,1.97700e+03,7.20000e+01,6.69824e-02,no,no,202035
?,-3.32100e-01,?,3.61890e-07,1.27000e+01,-1.45000e-01,2.12500e+01,7.06000e+00,2.84000e+02,3.07200e+00,1.64809e-01,yes,yes,421962
?,-1.11270e+00,2.19577e+02,1.40080e-05,4.77000e+01,2.03000e-01,1.97400e+02,1.05900e+01,8.76000e+02,1.63840e+01,1.46068e-01,yes,no,419404
?,-1.60710e+00,4.10956e+01,5.98420e-07,1.61000e+01,?,5.58200e+01,7.00000e+00,5.20000e+01,6.40000e-02,8.82893e-02,yes,no,349931
?,-1.28860e+00,9.19068e+01,?,1.26000e+01,?,2.13900e+01,7.68000e+00,1.86000e+02,1.02400e+00,1.14944e-01,yes,no,155242
?,-1.30110e+00,6.39376e+01,3.93670e-06,6.06000e+01,-1.89000e-01,4.12000e+01,2.33500e+01,9.11000e+03,6.40000e+01,1.07782e-01,no,no,155284
?,-8.83400e-01,1.09569e+02,3.48120e-06,1.63000e+01,?,3.20000e+01,7.78000e+00,2.32000e+02,2.04800e+00,7.67417e-02,yes,no,331475
?,-1.93180e+00,?,1.99070e-06,2.22000e+01,?,9.21500e+01,7.28000e+00,1.24600e+03,6.40000e+01,2.06638e-01,no,no,258408
?,?,?,?,4.60000e+00,?,4.70000e+01,7.04000e+00,1.36700e+03,6.40000e+01,1.01455e-01,no,no,257741
?,-1.23430e+00,7.13439e+01,1.73580e-06,1.15000e+01,?,5.97800e+01,7.47000e+00,1.44700e+03,6.40000e+01,1.47926e-01,no,yes,421386
?,?,2.13808e+01,1.67860e-07,2.15000e+01,?,2.56000e+00,?,?,?,1.12698e-02,?,no,284850
