% 1. Title: Redshift Predictor for Swift GRBs
% 
% 2. Sources:
%     (a) Creator: Adam N. Morgan
%     (b) Data From: GCN Notices (http://gcn.gsfc.nasa.gov/),
%                    http://astro.berkeley.edu/~nat/Swift/
%                    http://swift.gsfc.nasa.gov/docs/swift/archive/grb_table.html/
%     (c) Date: Mon Sep 19 00:52:24 2011
% 
% 3. This file was created automatically. 
%    CHECK THE ATTRIBUTES before running Weka. 
% 
@RELATION swift_redshift

% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
@ATTRIBUTE Z NUMERIC
@ATTRIBUTE web_alpha NUMERIC
@ATTRIBUTE web_Bayes_Ep_keV NUMERIC
@ATTRIBUTE web_Energy_Fluence_15_350_keV_erg_cme2 NUMERIC
@ATTRIBUTE web_S_N NUMERIC
@ATTRIBUTE web_N_H_excess_10e22_cme_2_2 NUMERIC
@ATTRIBUTE web_T_90 NUMERIC
@ATTRIBUTE bat_image_signif NUMERIC
@ATTRIBUTE bat_img_peak NUMERIC
@ATTRIBUTE bat_trigger_dur NUMERIC
@ATTRIBUTE PROB_Z_GT_4 NUMERIC
@ATTRIBUTE bat_is_rate_trig {yes, no}
@ATTRIBUTE uvot_detection {yes, no}
@ATTRIBUTE triggerid_str {yes, no}

@DATA
?,-1.998e+00,4.382e+01,4.106e-06,5.010e+01,-2.000e-02,1.625e+02,1.083e+01,2.043e+03,6.400e+01,9.436e-02,no,no,361830
?,-6.923e-01,1.105e+02,3.158e-06,4.320e+01,1.100e-01,4.068e+01,8.490e+00,3.170e+02,2.048e+00,1.903e-01,yes,yes,180241
?,-1.454e+00,1.350e+02,1.047e-06,2.410e+01,4.910e-01,4.580e+01,9.030e+00,1.200e+02,2.560e-01,9.133e-02,yes,no,352420
?,-1.440e+00,1.492e+02,4.795e-06,4.490e+01,-1.200e-02,3.420e+01,1.738e+01,5.760e+02,1.024e+00,1.065e-01,yes,yes,316910
?,-1.729e+00,7.408e+01,5.969e-07,1.170e+01,5.000e-02,3.276e+01,8.080e+00,7.180e+02,1.216e+01,1.816e-01,yes,no,411248
?,-1.330e+00,1.822e+02,3.543e-06,1.390e+01,4.800e-02,1.700e+02,8.240e+00,1.143e+03,6.400e+01,1.928e-01,no,no,414905
?,-9.274e-01,6.376e+01,1.769e-06,3.750e+01,-3.800e-02,6.930e+01,8.950e+00,2.850e+02,1.024e+00,2.053e-01,yes,yes,323542
?,-1.875e+00,9.512e+01,1.283e-05,1.116e+02,1.850e-01,5.018e+01,1.025e+01,1.940e+02,1.024e+00,4.864e-02,yes,no,304379
?,-3.558e-01,7.408e+01,3.612e-06,2.470e+01,1.290e-01,1.322e+02,7.180e+00,3.010e+02,4.096e+00,2.419e-01,yes,yes,303105
?,-1.989e+00,3.867e+01,1.431e-07,9.700e+00,5.000e-02,3.780e+00,7.610e+00,1.940e+02,1.024e+00,7.826e-02,yes,no,338338
?,-1.103e+00,8.187e+01,2.244e-05,2.787e+02,3.500e-01,3.423e+01,8.370e+00,1.520e+02,5.120e-01,2.866e-02,yes,no,337889
?,-1.452e+00,1.000e+02,1.129e-06,1.150e+01,-3.100e-02,3.381e+01,7.330e+00,3.380e+02,4.096e+00,1.542e-01,yes,yes,324907
?,-1.369e+00,1.649e+02,7.543e-07,9.300e+00,1.060e-01,1.092e+01,1.105e+01,6.140e+02,4.096e+00,1.086e-01,yes,no,223217
?,-1.666e+00,1.649e+02,1.097e-05,8.600e+01,7.300e-02,1.612e+02,1.087e+01,2.035e+03,6.400e+01,1.739e-01,no,no,295301
?,-1.963e+00,4.274e+01,3.258e-07,1.820e+01,-2.300e-02,5.880e+00,1.025e+01,2.210e+02,5.120e-01,9.308e-02,yes,yes,148522
?,?,4.615e+01,3.492e-06,1.260e+01,5.690e-01,1.898e+02,7.370e+00,1.920e+02,4.096e+00,9.860e-02,yes,no,234516
?,-1.462e+00,1.147e+02,9.142e-07,1.490e+01,2.000e-01,3.435e+01,7.320e+00,1.500e+02,5.120e-01,1.304e-01,yes,no,275119
?,-1.066e+00,6.200e+02,4.393e-05,1.344e+02,1.780e-01,5.520e+01,1.440e+01,4.500e+02,1.024e+00,5.918e-02,yes,no,175942
?,-1.363e+00,1.822e+02,2.042e-06,2.150e+01,1.080e-01,1.610e+01,7.530e+00,1.160e+02,5.120e-01,9.232e-02,yes,no,315080
?,7.883e-01,1.653e+01,5.070e-07,1.110e+01,3.490e-01,6.300e+00,7.250e+00,2.080e+02,4.096e+00,1.043e-02,yes,no,303631
?,-1.128e+00,6.376e+01,2.364e-06,4.250e+01,2.890e-01,6.096e+01,1.998e+01,8.250e+02,1.024e+00,6.706e-02,yes,no,200638
?,-1.346e+00,1.822e+02,4.744e-06,1.430e+01,4.740e-01,4.333e+02,8.880e+00,2.106e+03,6.400e+01,2.493e-01,no,yes,349592
?,-1.347e+00,3.004e+02,1.637e-05,1.186e+02,5.220e-01,5.612e+02,1.146e+01,3.310e+02,1.024e+00,7.648e-02,yes,no,279935
?,-3.710e-01,4.966e+01,8.400e-07,1.060e+01,6.400e-02,5.698e+01,7.220e+00,1.620e+02,1.024e+00,1.405e-01,yes,no,230662
?,?,2.138e+01,5.675e-07,1.300e+01,-5.000e-03,8.910e+00,9.400e+00,4.640e+02,4.096e+00,3.294e-02,yes,no,230702
