% 1. Title: Redshift Predictor for Swift GRBs
% 
% 2. Sources:
%     (a) Creator: Adam N. Morgan
%     (b) Data From: GCN Notices (http://gcn.gsfc.nasa.gov/),
%                    http://astro.berkeley.edu/~nat/Swift/
%                    http://swift.gsfc.nasa.gov/docs/swift/archive/grb_table.html/
%     (c) Date: Mon Sep 19 00:52:24 2011
% 
% 3. This file was created automatically. 
%    CHECK THE ATTRIBUTES before running Weka. 
% 
@RELATION swift_redshift

% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
@ATTRIBUTE Z NUMERIC
@ATTRIBUTE web_alpha NUMERIC
@ATTRIBUTE web_Bayes_Ep_keV NUMERIC
@ATTRIBUTE web_Energy_Fluence_15_350_keV_erg_cme2 NUMERIC
@ATTRIBUTE web_S_N NUMERIC
@ATTRIBUTE web_N_H_excess_10e22_cme_2_2 NUMERIC
@ATTRIBUTE web_T_90 NUMERIC
@ATTRIBUTE bat_image_signif NUMERIC
@ATTRIBUTE bat_img_peak NUMERIC
@ATTRIBUTE bat_trigger_dur NUMERIC
@ATTRIBUTE PROB_Z_GT_4 NUMERIC
@ATTRIBUTE bat_is_rate_trig {yes, no}
@ATTRIBUTE uvot_detection {yes, no}
@ATTRIBUTE triggerid_str {yes, no}

@DATA
?,-1.566e+00,1.006e+02,1.146e-06,1.200e+01,1.460e-01,7.440e+00,9.720e+00,3.190e+02,4.096e+00,1.075e-01,yes,no,159913
?,-1.441e+00,2.014e+02,1.355e-06,1.820e+01,-8.500e-02,2.770e+01,1.003e+01,2.580e+02,1.024e+00,9.498e-02,yes,no,355942
?,?,2.786e+01,3.126e-06,3.170e+01,7.600e-02,1.049e+02,9.730e+00,4.250e+02,2.048e+00,5.766e-02,yes,no,151486
?,-6.561e-01,6.050e+02,1.667e-06,1.370e+01,-3.000e-02,1.395e+01,9.000e+00,3.290e+02,2.048e+00,5.376e-02,yes,no,114485
?,-1.363e+00,1.492e+02,1.005e-05,8.460e+01,7.000e-02,1.338e+02,7.020e+00,1.730e+02,1.024e+00,1.918e-01,yes,no,276212
?,?,1.496e+01,7.291e-08,6.900e+00,1.600e-01,3.400e+00,8.230e+00,2.170e+02,1.024e+00,3.159e-02,yes,yes,285653
?,-1.472e+00,1.462e+02,1.026e-06,6.800e+00,6.500e-02,1.764e+01,9.720e+00,4.750e+02,4.096e+00,1.212e-01,yes,yes,202505
?,-1.591e+00,1.162e+02,4.675e-06,2.460e+01,-1.000e-02,1.420e+02,7.150e+00,1.550e+02,1.024e+00,2.074e-01,yes,yes,340895
?,-1.585e+00,1.051e+02,6.384e-06,4.720e+01,1.570e-01,1.593e+02,6.720e+00,1.660e+02,1.024e+00,2.157e-01,yes,yes,323984
?,-1.573e+00,9.048e+01,1.844e-06,2.370e+01,8.100e-02,4.076e+01,9.410e+00,1.320e+02,2.560e-01,1.154e-01,yes,yes,353567
?,-1.472e+00,1.350e+02,2.326e-06,2.430e+01,5.590e-01,5.720e+01,1.320e+01,3.600e+02,1.024e+00,1.241e-01,yes,no,287260
?,-1.554e+00,2.014e+02,1.130e-06,6.900e+00,2.270e-01,2.250e+01,9.190e+00,4.410e+02,4.096e+00,1.286e-01,yes,no,287088
?,?,2.417e+01,7.435e-07,1.020e+01,2.280e-01,6.063e+01,1.007e+01,1.629e+03,6.400e+01,1.027e-01,no,no,145994
?,-9.906e-01,4.274e+01,5.219e-07,8.300e+00,6.000e-02,2.860e+01,1.255e+01,4.077e+03,1.280e+02,2.244e-01,no,no,181126
?,-1.551e+00,1.822e+02,9.759e-07,1.750e+01,-1.000e-03,4.468e+01,7.670e+00,1.330e+02,5.120e-01,1.025e-01,yes,yes,304549
?,-1.736e+00,6.065e+01,4.418e-07,1.190e+01,-2.000e-03,1.113e+01,9.030e+00,3.150e+02,2.048e+00,1.465e-01,yes,no,181156
?,-1.136e+00,4.586e+02,1.960e-05,1.104e+02,1.780e-01,4.960e+01,1.655e+01,6.550e+02,1.024e+00,7.936e-02,yes,no,272773
?,-1.776e+00,6.614e+01,7.674e-07,1.720e+01,6.000e-01,4.700e+00,9.130e+00,2.220e+02,1.024e+00,1.038e-01,yes,no,230115
?,-8.009e-01,9.048e+01,2.087e-06,2.420e+01,4.620e-01,1.552e+01,9.090e+00,1.820e+02,1.024e+00,1.268e-01,yes,no,282073
?,-1.068e+00,2.301e+02,1.454e-05,1.399e+02,3.070e-01,8.165e+01,7.210e+00,3.190e+02,4.096e+00,7.979e-02,yes,no,252588
?,-1.364e+00,5.474e+02,1.060e-05,9.440e+01,-1.700e-02,8.321e+01,1.132e+01,2.410e+02,2.560e-01,8.761e-02,yes,no,313954
?,-1.509e+00,1.162e+02,6.091e-06,3.950e+01,1.120e-01,8.512e+01,8.110e+00,2.330e+02,2.048e+00,1.223e-01,yes,no,312958
?,-1.792e+00,5.488e+01,1.225e-06,8.500e+00,3.210e-01,4.264e+01,8.770e+00,2.191e+03,1.200e+02,2.129e-01,no,no,155408
?,-1.228e+00,8.048e+01,1.279e-06,4.730e+01,-1.700e-02,8.550e+00,2.009e+01,9.500e+02,1.024e+00,1.313e-01,yes,no,226382
?,?,1.000e+02,6.101e-07,1.110e+01,8.200e-02,6.386e+02,7.190e+00,5.700e+01,6.400e-02,1.746e-01,yes,no,382941
?,4.996e+00,1.000e+02,2.795e-07,6.100e+00,4.280e-01,2.449e+01,6.750e+00,5.670e+02,1.216e+01,1.482e-01,yes,no,236430
?,?,4.274e+01,9.154e-07,2.670e+01,6.080e-01,9.350e+00,1.610e+01,4.490e+02,1.024e+00,6.848e-02,yes,no,315615
?,-1.682e+00,8.187e+01,3.221e-06,1.570e+01,4.800e-02,5.208e+01,7.190e+00,1.420e+02,1.024e+00,2.158e-01,yes,no,208870
?,-1.232e+00,2.167e+02,2.625e-06,2.230e+01,5.130e-01,1.218e+01,1.115e+01,2.630e+02,1.024e+00,8.723e-02,yes,no,208050
?,-1.239e+00,3.004e+02,4.188e-07,9.600e+00,8.000e-03,7.280e+00,8.360e+00,4.600e+02,5.504e+00,7.021e-02,yes,no,361489
?,-1.777e+00,6.703e+01,5.006e-07,1.190e+01,6.400e-01,6.840e+00,8.610e+00,1.490e+02,5.120e-01,9.537e-02,yes,no,311762
?,-1.507e+00,1.000e+02,8.682e-07,1.120e+01,2.560e-01,2.688e+01,9.810e+00,6.150e+02,8.192e+00,1.358e-01,yes,no,311874
?,-1.770e+00,7.402e+01,1.673e-05,2.780e+01,-9.000e-03,2.185e+01,9.160e+00,1.960e+02,1.024e+00,2.832e-02,yes,yes,209351
?,-1.339e+00,1.649e+02,2.567e-06,1.230e+01,3.400e-02,3.006e+02,8.110e+00,2.720e+02,2.048e+00,1.744e-01,yes,no,358520
?,?,3.848e+01,1.786e-07,1.080e+01,2.690e-01,4.750e+00,8.660e+00,2.450e+02,1.024e+00,1.094e-01,yes,no,278903
?,4.999e+00,3.320e+02,3.244e-07,6.000e+00,3.810e-01,2.184e+01,5.730e+00,4.980e+02,1.216e+01,9.721e-02,yes,no,345551
?,-1.823e+00,6.065e+01,1.430e-06,1.500e+01,2.200e-02,3.276e+01,9.640e+00,3.730e+02,4.096e+00,1.735e-01,yes,no,358574
?,-1.204e+00,1.160e+02,5.091e-06,8.550e+01,4.130e-01,1.254e+02,6.940e+00,3.450e+02,4.096e+00,1.447e-01,yes,no,241963
?,2.481e-01,2.122e+01,1.307e-07,6.600e+00,2.920e-01,8.840e+00,7.200e+00,5.370e+02,8.192e+00,9.195e-02,yes,no,191512
?,-9.373e-01,2.460e+02,6.014e-06,5.290e+01,6.100e-02,5.960e+01,1.445e+01,4.650e+02,1.024e+00,9.525e-02,yes,yes,335647
?,-1.981e+00,4.966e+01,6.484e-07,1.030e+01,?,2.208e+01,7.250e+00,4.920e+02,8.192e+00,1.532e-01,yes,no,335715
?,-8.592e-01,4.607e+01,2.466e-06,3.620e+01,8.000e-03,1.085e+02,2.022e+01,7.714e+03,8.800e+01,1.314e-01,no,no,335895
?,-1.736e+00,1.105e+02,3.130e-06,2.510e+01,8.960e-01,2.524e+02,9.810e+00,4.847e+03,3.200e+02,2.977e-01,no,no,349450
?,-1.333e+00,1.492e+02,2.887e-05,1.492e+02,7.700e-02,4.435e+02,8.920e+00,1.714e+03,6.400e+01,1.813e-01,no,yes,282445
?,?,4.493e+01,1.797e-07,5.300e+00,1.980e-01,2.574e+01,7.040e+00,5.200e+01,6.400e-02,1.412e-01,yes,no,301578
?,-1.227e+00,2.226e+02,2.825e-07,7.900e+00,4.000e-02,5.640e+00,7.300e+00,4.120e+02,5.504e+00,6.753e-02,yes,no,318094
?,-1.437e+00,1.834e+02,2.190e-06,1.630e+01,4.200e-02,5.734e+01,8.890e+00,1.236e+03,2.688e+01,1.641e-01,yes,yes,145581
?,-9.449e-01,1.916e+02,8.754e-06,7.620e+01,6.260e-01,9.984e+01,7.950e+00,2.050e+02,1.024e+00,1.448e-01,yes,no,318170
?,-1.050e+00,1.000e+02,8.686e-06,6.190e+01,6.160e-01,3.110e+02,1.583e+01,3.860e+03,6.400e+01,2.409e-01,no,no,302728
?,-7.987e-01,1.356e+02,8.662e-06,2.070e+01,5.900e-02,6.424e+01,8.000e+00,2.030e+02,2.048e+00,1.730e-01,yes,no,146227
?,-1.130e+00,3.669e+02,2.481e-06,8.500e+00,2.870e-01,3.131e+01,7.320e+00,3.070e+02,4.096e+00,1.119e-01,yes,no,279898
?,-1.945e-01,7.408e+01,3.308e-07,7.500e+00,1.250e-01,3.135e+01,7.990e+00,1.842e+03,8.800e+01,1.681e-01,no,no,279817
?,-9.563e-01,5.220e+01,8.384e-07,2.220e+01,6.300e-02,5.510e+01,1.675e+01,3.950e+03,6.400e+01,2.211e-01,no,yes,338633
?,-1.701e+00,7.408e+01,2.982e-06,3.000e+01,1.860e-01,7.742e+01,1.208e+01,2.670e+02,1.024e+00,1.389e-01,yes,no,373871
?,2.678e+00,2.470e+01,7.053e-08,8.000e+00,-8.100e-02,5.340e+00,8.000e+00,2.970e+02,2.048e+00,8.678e-02,yes,yes,113872
?,-6.578e-01,2.042e+01,3.286e-07,1.100e+01,-2.700e-02,4.680e+01,8.790e+00,1.308e+03,2.688e+01,8.390e-02,yes,no,151131
?,-1.992e+00,4.199e+01,1.419e-07,9.600e+00,-1.590e-01,3.030e+00,8.780e+00,3.700e+02,2.048e+00,9.213e-02,yes,no,150532
?,-1.559e+00,8.187e+01,3.877e-07,1.000e+01,-2.300e-02,1.872e+01,7.490e+00,3.900e+02,4.096e+00,1.328e-01,yes,yes,331332
?,-5.736e-01,1.163e+02,2.843e-06,8.070e+01,2.880e-01,1.269e+01,8.760e+00,2.650e+02,1.024e+00,1.100e-01,yes,no,151334
?,-1.765e+00,7.571e+01,7.377e-06,5.380e+01,9.200e-02,2.381e+02,1.284e+01,6.430e+02,4.096e+00,2.327e-01,yes,yes,164268
?,-1.685e+00,7.941e+01,1.637e-06,1.050e+01,2.940e-01,1.215e+02,8.100e+00,1.824e+03,1.280e+02,2.271e-01,no,no,235715
?,3.931e+00,3.679e+01,2.157e-07,8.300e+00,7.500e-02,3.036e+01,7.220e+00,1.597e+03,6.400e+01,1.717e-01,no,yes,306793
?,-1.791e+00,1.194e+02,4.401e-07,4.600e+00,?,1.080e+01,7.050e+00,1.448e+03,6.400e+01,1.106e-01,no,no,235645
?,-1.271e+00,4.055e+02,4.945e-06,5.090e+01,4.500e-02,1.206e+01,9.120e+00,2.460e+02,1.024e+00,5.127e-02,yes,yes,234905
?,-1.637e+00,1.051e+02,7.187e-06,2.390e+01,9.400e-02,4.563e+01,7.230e+00,3.950e+02,1.216e+01,1.444e-01,yes,yes,306754
?,-1.043e+00,3.405e+02,1.704e-05,1.327e+02,3.800e-02,3.024e+01,2.100e+01,1.840e+04,5.120e-01,5.668e-02,yes,no,112453
?,-1.670e+00,7.408e+01,7.228e-07,8.600e+00,-8.000e-03,8.410e+00,8.920e+00,3.950e+02,8.192e+00,1.349e-01,yes,yes,222546
?,?,4.203e+01,4.572e-07,2.330e+01,1.106e+00,1.176e+01,9.000e+00,3.190e+02,1.024e+00,1.237e-01,yes,no,118707
?,?,2.466e+01,2.340e-07,1.320e+01,3.510e-01,5.280e+00,9.870e+00,1.977e+03,7.200e+01,6.698e-02,no,no,202035
?,-3.321e-01,4.966e+01,3.619e-07,1.270e+01,-1.450e-01,2.125e+01,7.060e+00,2.840e+02,3.072e+00,1.648e-01,yes,yes,421962
?,-1.113e+00,4.482e+02,1.401e-05,4.770e+01,2.030e-01,1.974e+02,1.059e+01,8.760e+02,1.638e+01,1.461e-01,yes,no,419404
?,-1.607e+00,9.048e+01,5.984e-07,1.610e+01,8.600e-02,5.582e+01,7.000e+00,5.200e+01,6.400e-02,8.829e-02,yes,no,349931
?,-1.313e+00,1.649e+02,1.277e-06,1.260e+01,8.800e-02,2.139e+01,7.680e+00,1.860e+02,1.024e+00,1.149e-01,yes,no,155242
?,-1.301e+00,6.166e+01,3.937e-06,6.060e+01,-1.890e-01,4.120e+01,2.335e+01,9.110e+03,6.400e+01,1.078e-01,no,no,155284
?,-8.834e-01,4.482e+02,3.481e-06,1.630e+01,?,3.200e+01,7.780e+00,2.320e+02,2.048e+00,7.674e-02,yes,no,331475
?,-1.331e+00,4.493e+01,1.429e-06,2.220e+01,9.600e-02,9.215e+01,7.280e+00,1.246e+03,6.400e+01,2.066e-01,no,no,258408
?,2.233e+00,3.301e+01,1.241e-07,4.600e+00,?,8.900e+00,7.040e+00,1.367e+03,6.400e+01,1.015e-01,no,no,257741
?,-1.234e+00,2.014e+02,1.736e-06,1.150e+01,6.800e-02,5.978e+01,7.470e+00,1.447e+03,6.400e+01,1.479e-01,no,yes,421386
?,?,1.738e+01,1.679e-07,2.150e+01,5.460e-01,2.560e+00,1.237e+01,2.980e+02,5.120e-01,1.127e-02,yes,no,284850
