@relation input_data
@attribute Z numeric
@attribute A numeric
@attribute EP0 numeric
@attribute FL numeric
@attribute MAX_SNR numeric
@attribute NH_PC numeric
@attribute T90 numeric
@attribute bat_image_signif numeric
@attribute bat_img_peak numeric
@attribute bat_trigger_dur numeric
@attribute PROB_Z_GT_4 numeric
@attribute bat_is_rate_trig {'no','yes'}
@attribute uvot_detection {'no','yes'}
@attribute triggerid_str {'106709','111063','111529','111622','114753','117504','130088','148225','148646','148833','150314','151207','152113','153514','154112','156467','163136','163170','174738','176453','177408','177533','178750','179968','180455','180977','191157','192059','205851','207399','208169','209352','209755','211117','211957','213486','213630','213823','214805','217704','217805','219101','221755','228006','228316','228581','229185','231231','231362','232339','232683','238108','238174','239899','240766','252593','255445','259714','263361','271019','275087','276205','278693','278854','279592','280706','282003','284856','285654','286809','287364','295670','296805','297114','299787','301981','302888','305288','306757','306778','308041','309096','309111','310613','312047','313087','313116','313299','313417','316204','316534','317508','319016','319036','319584','323898','324561','324895','326115','330856','331093','332851','332931','334877','335105','336489','337914','338895','342121','349510','350184','350311','352190','352648','353540','355083','357512','359530','359711','359951','370791','370846','373172','373458','374210','375246','377179','378559','412982','414592','416103','416135','419797','420398','421814','425151'}
@attribute useless1 numeric
@attribute useless2 numeric
@attribute useless3 numeric
@attribute useless4 numeric
@attribute useless5 numeric
@attribute useless6 numeric
@attribute useless7 numeric
@attribute useless8 numeric
@data
2.641,-1.752,90.02,2.738e-06,36.6,0.117,43.89,17.85,4514,80,0.1535,'no','yes','302888',0.600908546941355,0.899618903873488,0.699770530685782,0.69820831855759,0.915168276056647,0.71457994543016,0.387408214388415,0.514927200507373
4.65,-0.8902,44.91,1.923e-07,13,0.041,10.68,8.16,397,4.096,0.1256,'yes','no','342121',0.424528130097315,0.00675819464959204,0.155333323869854,0.861726397648454,0.0826020662207156,0.388875925214961,0.669462608871982,0.250175263965502
2.77,-1.037,136.2,7.306e-06,147.6,0.031,33.48,8.08,115,0.256,0.05655,'yes','yes','337914',0.642512924037874,0.0534514000173658,0.383104179287329,0.94648535689339,0.333600799785927,0.501358464360237,0.279368560295552,0.205404269276187
4.772,-1.652,64.52,2.075e-06,23.3,0.014,65.1,10.4,928,12.16,0.2276,'yes','no','421814',0.228260696167126,0.0599893536418676,0.625126191647723,0.775432078866288,0.136634502327070,0.623663160251454,0.948285005055368,0.251716541592032
2.58,?,51.81,1.574e-06,19.8,-0.041,66.55,?,?,?,0.1536,?,'no','334877',0.277495478047058,0.411937525495887,0.9373749345541,0.951543048257008,0.670794071163982,0.899175248574466,0.0208985663484782,0.0760745923034847
1.497,-1.671,105,9.043e-06,85.4,0.316,261.4,9.85,705,12.16,0.1261,'yes','no','263361',0.561247233301401,0.404877942288294,0.773753385292366,0.101738965604454,0.171344255330041,0.0869780499488115,0.572136269649491,0.140508140437305
0.845,-1.26,80.54,3.242e-06,12.6,0.042,139.1,8.57,387,4.096,0.1772,'yes','yes','316534',0.545719474786893,0.981145092053339,0.745287148747593,0.0614804467186332,0.893163192318752,0.392650451511145,0.750716193113476,0.468844986287877
0.689,-1.084,107.6,5.551e-06,89.3,0.184,62.53,20.32,860,1.024,0.1408,'yes','yes','324895',0.173703036038205,0.302043454954401,0.498473998624831,0.00167948217131197,0.985080178594217,0.0895373192615807,0.4825360015966,0.235986641608179
2.03,?,432.9,5.119e-07,20.5,0.062,15.28,8.51,242,1.024,0.1415,'yes','no','176453',0.103291090810671,0.137504893355072,0.370267536723986,0.186138527002186,0.0719780169893056,0.349779045907781,0.619645592290908,0.244428490055725
3.076,-1.232,200.4,3.625e-06,13,0.069,49.68,7.64,494,16.38,0.1011,'yes','yes','375246',0.49184077559039,0.402492893626913,0.855821158736944,0.273505697259679,0.0464836356695741,0.993014908861369,0.128003598656505,0.553327808855101
0.422,-1.328,122.6,4.423e-06,19.9,0.129,88.2,7.61,1450,72,0.1445,'no','no','148833',0.783190154004842,0.99197968840599,0.306071326369420,0.182845457689837,0.427574561210349,0.475190253928304,0.631601834669709,0.653609382919967
1.71,-1.586,71.12,2.737e-06,18.6,0.027,14.25,8.05,206,1.024,0.1281,'yes','yes','148646',0.0462115004193038,0.972478569718078,0.414286334300414,0.879088160581887,0.193039658479393,0.388961435062811,0.477220100117847,0.596292784204707
2.1,-1.436,128,1.356e-05,80.3,0.058,254.3,7.56,187,1.024,0.1582,'yes','yes','336489',0.313975336495787,0.120412561111152,0.129544911207631,0.327536802738905,0.34133791946806,0.089343995321542,0.974992626579478,0.0222130385227501
2.954,-1.705,107.8,4.23e-06,30.4,-0.028,108.6,10.52,600,4.096,0.2168,'yes','yes','275087',0.909227354452014,1.29798427224159e-05,0.472146890126169,0.278490946395323,0.333144123200327,0.319984345464036,0.218160894233733,0.780245025642216
0.348,4.998,23.88,3.608e-07,5.4,-0.046,20.46,14.21,4775,128,0.06881,'no','yes','207399',0.616426994791254,0.54693300370127,0.782345496118069,0.91659857914783,0.864294308936223,0.0630540051497519,0.878234060946852,0.448282031575218
4.27,-1.407,89.43,4.836e-06,21.8,0.048,60.2,10,?,2.048,0.1477,'yes','no','117504',0.653892745729536,0.915769058978185,0.828561744885519,0.925057025859132,0.117475592065603,0.12614461267367,0.903086150996387,0.514188027242199
6.6,-1.4,95.32,2.878e-06,11.5,0.762,36,6.58,454,16.38,0.1455,'yes','no','177533',0.204214027151465,0.173899741843343,0.480535193346441,0.660666501149535,0.765966794453561,0.219189605908468,0.893693340942264,0.306325776968151
3.53,-1.148,69.81,1.873e-06,27.4,-0.048,109.9,10.48,775,8.192,0.2178,'yes','no','177408',0.0801111951004714,0.786241684341803,0.346827848348767,0.987831645878032,0.382802820298821,0.605812792899087,0.965319956187159,0.538235391257331
0.767,-1.74,113.1,1.859e-06,52.7,0.148,16.2,10.83,262,0.512,0.1073,'yes','yes','310613',0.780657265568152,0.794509671861306,0.404380278429016,0.893252891721204,0.282214769860730,0.621477579465136,0.852978507988155,0.492402391741052
0.5295,-1.353,35.31,5.909e-07,19.6,0.267,5.55,9.43,221,1.024,0.0256,'yes','yes','330856',0.860011181561276,0.87413746258244,0.794657988473773,0.229420555057004,0.397932508960366,0.676482894457877,0.653138566063717,0.688668379792944
2.5,-1.346,124.4,5.22e-06,13.5,0.119,112.2,6.76,419,12.16,0.1627,'yes','yes','280706',0.354459766531363,0.178035247838125,0.400605181697756,0.705539202550426,0.79452950693667,0.686888747382909,0.82828741054982,0.769359791185707
1.969,-1.303,105.2,5.613e-06,50.7,0.044,199.3,10,382,2.048,0.2061,'yes','yes','331093',0.092866756953299,0.19830285361968,0.106987646780908,0.517854368546978,0.0821567317470908,0.61525180703029,0.270551742520183,0.640361033612862
0.714,-1.088,92.03,4.432e-07,12.5,0.007,4.3,10.59,323,1.024,0.04889,'yes','no','174738',0.0664877102244645,0.851667316164821,0.061388885602355,0.984927396057174,0.332403130596504,0.00796334957703948,0.0247497283853590,0.903063649078831
3.35,-1.313,174.5,9.705e-06,57.9,0.014,453.2,7.59,196,1.024,0.1549,'yes','yes','319584',0.646095101721585,0.97092370595783,0.313341358909383,0.811581866350025,0.952352057443932,0.553388189058751,0.0239130712579936,0.301790840690956
3.969,-1.375,111,2.609e-06,13.2,0.005,60.48,10.96,1019,12.16,0.1747,'yes','yes','148225',0.296120586339384,0.839539326960221,0.658121866639704,0.692113566910848,0.224303096299991,0.0478586943354458,0.0274425256066024,0.685026036342606
0.624,?,25.97,4.777e-07,13.3,0.047,9.63,7.06,177,1.024,0.104,'yes','yes','419797',0.0652171215042472,0.709545693360269,0.400422412669286,0.383911195443943,0.702788391150534,0.66791199054569,0.74599139392376,0.66705428273417
1.37,-1.772,?,4.936e-07,14.3,0.071,18.36,11.42,236,0.512,0.08047,'yes','yes','370846',0.776493107434362,0.693651053356007,0.762155054369941,0.641302258474752,0.0133827722165734,0.672375387279317,0.529278988251463,0.328501121606678
4.813,?,268.9,5.319e-07,15.2,0.018,31.72,7.73,1502,64,0.1948,'no','no','414592',0.751066847704351,0.7188356872648,0.872457202756777,0.732227925676852,0.990388432517648,0.753622768213972,0.729065479710698,0.64385972940363
1.314,-1.375,230.4,2.792e-05,273.8,0.118,83,8.08,110,0.256,0.03216,'yes','yes','239899',0.534942947560921,0.0167778260074556,0.622148061636835,0.586974546778947,0.371038274373859,0.863471893128008,0.0257799648679793,0.313459098571911
1.159,-1.159,223.1,1.387e-05,85.7,0.133,26.78,8.76,219,1.024,0.06414,'yes','yes','240766',0.93511232221499,0.217157261911780,0.604739691829309,0.109926568344235,0.743641330394894,0.00998500711284578,0.309238029411063,0.738936690846458
3,-1.613,130.1,8.995e-06,84.9,0.071,267.5,11.48,332,1.024,0.1213,'yes','yes','357512',0.853093437151983,0.453361321007833,0.416555401403457,0.0947107498068362,0.55665829940699,0.868432878982276,0.91342291678302,0.671374398982152
6.7,-0.4048,98.2,7.597e-07,16.7,0.038,8.19,9.39,200,1.024,0.0952,'yes','no','324561',0.82338442816399,0.249607510399073,0.572669858345762,0.76195139461197,0.00899140117689967,0.564172926358879,0.423496943665668,0.522362295771018
1.489,-1.546,146.4,1.363e-05,80.6,0.064,103.2,10.8,295,1.024,0.09424,'yes','yes','205851',0.479516247520223,0.797384707722813,0.86493329051882,0.562188914744183,0.0334744392894208,0.510871070204303,0.144906087545678,0.0257654348388314
2.625,-0.8031,43.47,1.098e-06,17.7,0.007,79.79,8.87,1732,64,0.2002,'no','yes','353540',0.960590953705832,0.618309245910496,0.000259413151070476,0.341711428714916,0.744583911262453,0.359771180897951,0.92869220324792,0.092395847896114
4.41,-1.008,74.01,6.762e-07,18,-0.015,8.4,9.99,269,1.024,0.1402,'yes','yes','192059',0.956567463232204,0.980738864978775,0.787188971415162,0.921255542663857,0.717648606514558,0.322237807326019,0.589134503155947,0.30204932554625
5.11,-0.6852,76.95,1.216e-06,16.5,-0.001,74.1,13.36,3110,64,0.228,'no','yes','211117',0.331480375491083,0.770106436917558,0.567248970270157,0.123179286718369,0.0926833269186318,0.117972547188401,0.760429677786306,0.481349837034941
2.737,-1.696,?,9.22e-07,11.8,0.073,192.9,?,?,?,0.1227,?,'yes','359530',0.446570262312889,0.345155678456649,0.0245909101795405,0.356777734821662,0.273881641915068,0.146333505399525,0.503274522256106,0.86250131088309
1.8,-0.9885,97.7,6.514e-07,30.1,0.028,7.5,8.22,161,0.512,0.1166,'yes','yes','217805',0.769027115078643,0.816631485009566,0.0807307113427669,0.978264827746898,0.0161882787942886,0.262864882592112,0.611876767827198,0.780905276304111
3.425,-0.6565,60.94,1.88e-06,20.1,0.024,75.14,8.58,380,4.096,0.2012,'yes','yes','217704',0.686976502183825,0.132119796937332,0.389100305037573,0.557634661206976,0.0329942211974412,0.892641736892983,0.173435256583616,0.000359972240403295
2.427,?,29.18,2.689e-06,27.5,0.005,361.9,7.4,215,1.024,0.07031,'yes','yes','305288',0.602219820022583,0.80771588999778,0.923244699835777,0.35436757770367,0.891376900719479,0.708151899045333,0.0168023770675063,0.999589377082884
0.383,-1.121,92.02,5.261e-07,13.8,0.026,2.2,8.54,201,1.024,0.03863,'yes','yes','299787',0.470732346409932,0.0733924901578575,0.0716199525631964,0.782987074926496,0.596532228402793,0.0191009433474392,0.187334497459233,0.926256355596706
0.836,-1.407,122.6,4.407e-06,48.1,0.23,51,10.03,201,0.512,0.1287,'yes','yes','271019',0.856701856246218,0.349273328436539,0.0887709171511233,0.46029292838648,0.982271722052246,0.603021580725908,0.134481974411756,0.617129273246974
2.198,-0.992,177.9,2.659e-06,60,0.024,4.56,22.78,1485,1.024,0.06027,'yes','yes','156467',0.176591282710433,0.506736256415024,0.236398340435699,0.0892112164292485,0.350442560389638,0.152509512146935,0.709684423636645,0.316345170140266
1.23,-1.71,58.13,9.673e-07,17.2,-0.032,30.25,9.84,288,1.024,0.139,'yes','yes','316204',0.537649106932804,0.384823385858908,0.62325027375482,0.762477931799367,0.101739134406671,0.564285553526133,0.876760164741427,0.319974917219952
1.261,-0.957,588.8,0.0001146,330.4,0.118,74.9,15.62,384,1.024,0.03095,'yes','yes','232683',0.37598186917603,0.308926669415087,0.901979747693986,0.766862251562998,0.65757882129401,0.00778832728974521,0.0847609229385853,0.396003634203225
2.374,-1.668,65.06,2.784e-06,22.8,0.193,104,8.01,259,2.048,0.1976,'yes','yes','323898',0.0288100964389741,0.82027943409048,0.56091737980023,0.0903352580498904,0.61586750834249,0.318783349823207,0.74432917078957,0.356480797054246
2.692,?,26.85,1.103e-06,15.9,0.024,187.2,9.48,455,4.096,0.1518,'yes','yes','295670',0.217580460244790,0.85846927529201,0.567530355649069,0.216343403561041,0.788457326823846,0.387271780986339,0.239559275796637,0.345407458255067
3.3,-1.794,56.53,8.902e-07,37.5,-0.011,6.54,8.2,231,1.024,0.1103,'yes','no','232339',0.608346179127693,0.263657210161909,0.819290274055675,0.383649780182168,0.822306642774493,0.340848326450214,0.365747231058776,0.0407061669975519
0.703,-0.9957,82.48,1.881e-06,34.2,0.13,171,8.68,162,0.512,0.1434,'yes','yes','228006',0.592618227703497,0.511030420660973,0.245072656078264,0.0840293688233942,0.941788867348805,0.382054889807478,0.594853307586163,0.141894165193662
2.69,-1.221,72.27,2.869e-06,70,0.071,59.5,10.63,213,0.512,0.08549,'yes','yes','313087',0.644633038667962,0.886844286229461,0.299844951834530,0.813963321968913,0.0334334042854607,0.187601986574009,0.69456772482954,0.799260618165135
6.29,-1.172,322.6,1.223e-05,38.4,0.008,197.2,13.26,2820,64,0.1486,'no','no','153514',0.623645762912929,0.545872018206865,0.770970116602257,0.487385646672919,0.270082046277821,0.879408977692947,0.235848097130656,0.754605022259057
3.35,-1.713,52.96,6.151e-07,12.5,-0.024,10.8,9.29,311,2.048,0.1556,'yes','yes','154112',0.879639069084078,0.491200370481238,0.929299392271787,0.90742469090037,0.504541999194771,0.497435580007732,0.447187307523564,0.424807757837698
