@relation input_data
@attribute Z numeric
@attribute A numeric
@attribute EP0 numeric
@attribute FL numeric
@attribute MAX_SNR numeric
@attribute NH_PC numeric
@attribute T90 numeric
@attribute bat_image_signif numeric
@attribute bat_img_peak numeric
@attribute bat_trigger_dur numeric
@attribute PROB_Z_GT_4 numeric
@attribute bat_is_rate_trig {'no','yes'}
@attribute uvot_detection {'no','yes'}
@attribute triggerid_str {'106709','111063','111529','111622','114753','117504','130088','148225','148646','148833','150314','151207','152113','153514','154112','156467','163136','163170','174738','176453','177408','177533','178750','179968','180455','180977','191157','192059','205851','207399','208169','209352','209755','211117','211957','213486','213630','213823','214805','217704','217805','219101','221755','228006','228316','228581','229185','231231','231362','232339','232683','238108','238174','239899','240766','252593','255445','259714','263361','271019','275087','276205','278693','278854','279592','280706','282003','284856','285654','286809','287364','295670','296805','297114','299787','301981','302888','305288','306757','306778','308041','309096','309111','310613','312047','313087','313116','313299','313417','316204','316534','317508','319016','319036','319584','323898','324561','324895','326115','330856','331093','332851','332931','334877','335105','336489','337914','338895','342121','349510','350184','350311','352190','352648','353540','355083','357512','359530','359711','359951','370791','370846','373172','373458','374210','375246','377179','378559','412982','414592','416103','416135','419797','420398','421814','425151'}
@attribute useless1 numeric
@attribute useless2 numeric
@attribute useless3 numeric
@attribute useless4 numeric
@attribute useless5 numeric
@attribute useless6 numeric
@attribute useless7 numeric
@attribute useless8 numeric
@data
2.17,-0.7461,42.23,5.738e-07,24.6,0.068,7.68,?,?,?,0.08054,?,'yes','287364',0.0431255118455738,0.48301306925714,0.039926327066496,0.539253502385691,0.978688987670466,0.943080464378,0.269266141578555,0.76402247743681
4.667,-1.373,58.58,8.446e-07,10.4,-0.012,31.05,7.44,1426,64,0.1423,'no','yes','412982',0.110223833005875,0.510247287573293,0.427785461768508,0.551129340659827,0.491382812615484,0.711395882535726,0.795172692742199,0.445657420204952
0.5915,-1.74,51.26,8.752e-07,13.4,-0.237,17.38,9,?,8.192,0.1736,'yes','no','106709',0.92514814902097,0.964042923180386,0.551458788570017,0.417964410968125,0.144141362980008,0.48183499998413,0.649064122932032,0.157357404241338
0.937,-1.697,142.5,2.246e-06,43.5,0.136,5.92,19.85,927,1.024,0.05787,'yes','yes','229185',0.863435546634719,0.501082151196897,0.158542320830747,0.743451355723664,0.325802389997989,0.615337795577943,0.631203903118148,0.407409626990557
2.68,?,20.53,2.666e-07,6.4,0.035,39.9,6.78,345,4.096,0.1168,'yes','yes','213486',0.489075839519501,0.136364254401997,0.909403859637678,0.497583883814514,0.726655988255516,0.581831746501848,0.520725959446281,0.296071962919086
3.78,-0.3394,94.66,6.05e-07,16.4,0.02,18.54,7.96,363,3.072,0.1341,'yes','yes','213630',0.593577148625627,0.847180525306612,0.785973630147055,0.997494457522407,0.0828627697192132,0.932061778381467,0.783461078768596,0.90516491420567
3.355,-1.939,?,3.285e-06,22.6,0.055,42,10.83,1510,64,0.1186,'no','no','252593',0.951946761691943,0.196106348885223,0.340353924315423,0.0417202382814139,0.628711188677698,0.735278971027583,0.621855253353715,0.856284238863736
3.626,-1.178,192.9,7.448e-06,26.8,-0.002,330.7,?,?,?,0.1158,?,'yes','285654',0.760869205230847,0.406716633820906,0.869835894322023,0.249700346030295,0.962667080108076,0.132393300766125,0.00421975250355899,0.699753128690645
1.14,-1.571,56.79,1.037e-06,10,-0.047,79.2,7.13,1485,64,0.2042,'no','yes','297114',0.42132902587764,0.226941242814064,0.179096198175102,0.626164737856016,0.694201141828671,0.807320687454194,0.902815662324429,0.92900942871347
1.949,?,62.01,4.319e-06,43.7,0.096,94.6,8,?,1.024,0.09273,'yes','no','111063',0.51220648502931,0.381200089817867,0.082167879678309,0.497904789634049,0.740291487658396,0.534565445501357,0.953032306628302,0.97336693922989
3.24,-1.999,?,1.865e-06,18.2,0.015,153.6,10,?,1.024,0.1475,'yes','yes','111622',0.97753570578061,0.141489729750901,0.346169104101136,0.68371840659529,0.592551446752623,0.422392704756930,0.916561620077118,0.129185044672340
1.44,-1.217,50.86,1.408e-06,49,0.018,30.96,9,?,0.512,0.06291,'yes','yes','111529',0.244906917680055,0.307981539983302,0.428100970806554,0.414424927672371,0.816178961424157,0.544276650995016,0.0784379884134978,0.677089652046561
1.416,-1.724,55.74,1.452e-06,16.1,-0.018,125.3,11.68,2763,64,0.2582,'no','yes','313116',0.471499576000497,0.641638292232528,0.411087415413931,0.799454427091405,0.657469428610057,0.215402899309993,0.00631292862817645,0.389578368281946
1.64,-1.126,227.8,2.232e-05,157.5,0.152,19.57,25.82,1604,1.024,0.02899,'yes','yes','313299',0.660323552787304,0.744867815868929,0.776824213331565,0.420977483503520,0.343659297097474,0.115281112026423,0.291825431864709,0.805493351304904
3.036,-1.165,860.3,5.119e-05,123,0.142,83.66,17.87,741,1.024,0.0283,'yes','yes','313417',0.223766530398279,0.0762239550240338,0.75002098060213,0.936126361135393,0.672399341361597,0.756859017536044,0.5229350712616,0.58038512035273
0.54,-1.294,141.3,0.0001477,719.8,0.097,115.2,22.57,1097,1.024,0.02612,'yes','yes','355083',0.71466836379841,0.884031380759552,0.139937447849661,0.179768127622083,0.427271603373811,0.0447071674279869,0.0833345118444413,0.95747172855772
3.038,-1.312,70.74,4.317e-06,42,0.018,275.6,17.95,6719,128,0.2853,'no','yes','332851',0.998883360996842,0.57818456273526,0.891380836023018,0.590607486665249,0.910012461710721,0.418094607302919,0.818497643107548,0.573533515213057
2.352,-1.526,82.28,2.496e-06,25.9,-0.003,47.7,10.23,491,3.072,0.2087,'yes','yes','255445',0.0986846184823662,0.091088006971404,0.754838836379349,0.71574056125246,0.728489292319864,0.405272884527221,0.152945933165029,0.336167657980695
4.9,-1.413,88.2,4.383e-06,22.3,0.027,229.9,10.54,2188,64,0.3083,'no','no','209352',0.471701672766358,0.54264251771383,0.965754751581699,0.530955135822296,0.520690759643912,0.72727004182525,0.777741355122998,0.553920857841149
0.82,-1.004,207.5,3.337e-05,262.1,0.245,21.2,?,?,?,0.02026,?,'yes','278854',0.869461751310155,0.712403174489737,0.0184225884731859,0.177541841985658,0.900625462876633,0.196471109287813,0.985401985934004,0.915674369083717
3.848,-1.433,129.5,3.342e-06,16,0.019,169.1,11.49,2138,64,0.2184,'no','yes','332931',0.849999888800085,0.647208214737475,0.410586242564023,0.860291187884286,0.198679678607732,0.86665462818928,0.0560275963507593,0.957768378546461
2.31,5,31.03,1.994e-07,8.6,0.152,3.55,8.48,2083,64,0.1016,'no','yes','278693',0.0415712213143706,0.231532113160938,0.928425685269758,0.4196007468272,0.678167830454186,0.353249858599156,0.723152439342812,0.112900064326823
3.91,-1.474,96.48,1.422e-05,42.8,0.072,369.9,8.42,204,1.024,0.1753,'yes','no','180977',0.0104971786495298,0.2060935376212,0.489905575290322,0.136998658301309,0.621996858622879,0.503031086875126,0.317269419087097,0.949650196824223
3.44,-0.6588,144.3,2.573e-06,15.8,0.168,32.39,8.14,361,4.096,0.07195,'yes','no','238174',0.418459680629894,0.97396949119866,0.253760907100514,0.641173163196072,0.961069234181195,0.181853969115764,0.598344611236826,0.736728701973334
0.0331,-0.8437,41,7.854e-07,6.3,0.39,128,7.84,2111,80,0.2715,'no','yes','191157',0.62889625551179,0.619418523740023,0.372900392394513,0.517568795010448,0.347063363762572,0.793739412678406,0.682323400396854,0.153057641582564
0.696,-0.6803,46.37,1.285e-06,13.7,-0.079,113.2,10.01,1837,88,0.2169,'no','yes','359951',0.089658590964973,0.106065979925916,0.142373237293214,0.242564028128982,0.438031327212229,0.63649042090401,0.0812370642088354,0.566790864570066
2.512,-0.5208,133.8,7.885e-06,24.4,0.026,19.38,9.79,241,4.096,0.08966,'yes','yes','335105',0.333846349036321,0.75982250017114,0.380814444972202,0.572269379394129,0.42150303395465,0.208661147160456,0.63337573967874,0.885580855654553
1.165,-0.4458,60.39,5.672e-07,10.3,0.182,52.48,7.29,187,1.408,0.1637,'yes','no','259714',0.853473662398756,0.79638539860025,0.0765494343359023,0.84223213000223,0.316203060792759,0.596159844659269,0.105024494929239,0.0540874979924411
1.608,-1.387,172.3,8.704e-06,52.4,0.195,57.97,8.16,163,1.024,0.1262,'yes','yes','349510',0.486576534574851,0.0677590186242014,0.131744590355083,0.00256111635826528,0.473538793157786,0.711987972492352,0.283811052562669,0.394767828518525
2.04,0.0691,54.89,3.424e-07,10.4,0.012,11.31,9.07,384,4.096,0.1416,'yes','yes','282003',0.91211594059132,0.165787490317598,0.734943453921005,0.137473935028538,0.858280365355313,0.762963354587555,0.0135851947125047,0.571178914513439
2.752,-1.402,59.35,2.842e-06,68.4,0.04,39.96,9.18,243,1.024,0.09921,'yes','yes','374210',0.877579841995612,0.627421169308946,0.140002558939159,0.942690402735025,0.520410887431353,0.922367729945108,0.776726799551398,0.392978291260079
0.54,-1.795,58,4.322e-06,44.7,0.076,119.5,7.13,243,4.096,0.1745,'yes','yes','221755',0.099735425086692,0.785568665945902,0.931473162956536,0.0440340784844011,0.364330141339451,0.453789629274979,0.624137121485546,0.58568823360838
1.71,-1.243,140,5.175e-06,55.8,0.079,39,17.7,520,1.024,0.1039,'yes','yes','373458',0.396045056171715,0.200866787461564,0.551185949938372,0.252199154114351,0.101094295037910,0.492498691892251,0.110275651328266,0.685183919267729
5.3,-0.4337,58.16,8.082e-07,6.8,0.005,27.54,?,?,?,0.2135,?,'no','150314',0.370861924253404,0.640700118150562,0.253790597198531,0.842746874084696,0.120197031414136,0.326424401020631,0.346924093319103,0.240284445229918
0.937,-1.089,1382,0.0004112,725.4,0.053,147.3,22.5,1909,1.024,0.01697,'yes','yes','306757',0.0376484524458647,0.836393084609881,0.98012282536365,0.0115796101745218,0.992472576210275,0.808440584456548,0.617562710074708,0.922564656939358
1.95,-1.03,158.8,5.376e-06,60.5,0.073,32.88,15.1,459,1.024,0.09712,'yes','yes','306778',0.907508421922103,0.563699294347316,0.337603084277362,0.84173197299242,0.461195554817095,0.679780425038189,0.318800098029897,0.890995184192434
1.51,-1.415,131.7,4.531e-06,45.7,0.041,30.24,12.69,332,1.024,0.1255,'yes','yes','208169',0.896026322385296,0.678073063725606,0.422541997395456,0.108589628711343,0.474566319724545,0.644026419846341,0.0963675756938756,0.227566652232781
0.542,-1.591,68.19,2.382e-05,295.2,0.592,66.33,18.67,813,1.024,0.04883,'yes','yes','425151',0.75921897822991,0.67890050355345,0.616240166127682,0.76130146952346,0.00524028716608882,0.465497047174722,0.560597032541409,0.573529713554308
8.1,-0.7002,50.55,6.665e-07,31.3,0.071,12.36,8.16,203,1.024,0.1365,'yes','no','350184',0.82386721437797,0.748912952607498,0.77466170839034,0.681884193094447,0.8546966498252,0.189912928733975,0.64958680095151,0.421284645562991
0.544,-1.078,126.1,2.837e-05,131.7,0.195,50.28,23.3,3348,1.024,0.009013,'yes','yes','350311',0.0231799457687885,0.66381207946688,0.506367291556671,0.285870175343007,0.59978465270251,0.28861989825964,0.23542563803494,0.69828560971655
1.063,-1.284,76.77,3.826e-06,29.5,0.219,15.21,9.31,168,1.024,0.03324,'yes','yes','378559',0.812728469492868,0.638570274459198,0.510976533172652,0.80592640163377,0.462619474157691,0.986202859086916,0.890831479802728,0.211650741985068
0.92,-1.329,71.79,1.427e-06,35.8,0.073,64.18,12.12,225,0.128,0.07598,'yes','yes','284856',0.579424690688029,0.0687157390639186,0.538017377257347,0.195749432081357,0.836150878109038,0.180782083421946,0.216772267827764,0.669694430893287
