@relation input_data
@attribute Z numeric
@attribute A numeric
@attribute EP0 numeric
@attribute FL numeric
@attribute MAX_SNR numeric
@attribute NH_PC numeric
@attribute T90 numeric
@attribute bat_image_signif numeric
@attribute bat_img_peak numeric
@attribute bat_trigger_dur numeric
@attribute PROB_Z_GT_4 numeric
@attribute bat_is_rate_trig {'no','yes'}
@attribute uvot_detection {'no','yes'}
@attribute triggerid_str {'106709','111063','111529','111622','114753','117504','130088','148225','148646','148833','150314','151207','152113','153514','154112','156467','163136','163170','174738','176453','177408','177533','178750','179968','180455','180977','191157','192059','205851','207399','208169','209352','209755','211117','211957','213486','213630','213823','214805','217704','217805','219101','221755','228006','228316','228581','229185','231231','231362','232339','232683','238108','238174','239899','240766','252593','255445','259714','263361','271019','275087','276205','278693','278854','279592','280706','282003','284856','285654','286809','287364','295670','296805','297114','299787','301981','302888','305288','306757','306778','308041','309096','309111','310613','312047','313087','313116','313299','313417','316204','316534','317508','319016','319036','319584','323898','324561','324895','326115','330856','331093','332851','332931','334877','335105','336489','337914','338895','342121','349510','350184','350311','352190','352648','353540','355083','357512','359530','359711','359951','370791','370846','373172','373458','374210','375246','377179','378559','412982','414592','416103','416135','419797','420398','421814','425151'}
@attribute useless1 numeric
@data
1.71,-1.586,71.12,2.737e-06,18.6,0.027,14.25,8.05,206,1.024,0.1281,'yes','yes','148646',0.0432128224056214
2.1,-1.436,128,1.356e-05,80.3,0.058,254.3,7.56,187,1.024,0.1582,'yes','yes','336489',0.330785377183929
2.954,-1.705,107.8,4.23e-06,30.4,-0.028,108.6,10.52,600,4.096,0.2168,'yes','yes','275087',0.08814392471686
0.348,4.998,23.88,3.608e-07,5.4,-0.046,20.46,14.21,4775,128,0.06881,'no','yes','207399',0.769165362697095
4.27,-1.407,89.43,4.836e-06,21.8,0.048,60.2,10,?,2.048,0.1477,'yes','no','117504',0.376146727940068
6.6,-1.4,95.32,2.878e-06,11.5,0.762,36,6.58,454,16.38,0.1455,'yes','no','177533',0.877477190690115
3.53,-1.148,69.81,1.873e-06,27.4,-0.048,109.9,10.48,775,8.192,0.2178,'yes','no','177408',0.591424964135513
0.767,-1.74,113.1,1.859e-06,52.7,0.148,16.2,10.83,262,0.512,0.1073,'yes','yes','310613',0.34045093646273
0.5295,-1.353,35.31,5.909e-07,19.6,0.267,5.55,9.43,221,1.024,0.0256,'yes','yes','330856',0.286026274785399
2.5,-1.346,124.4,5.22e-06,13.5,0.119,112.2,6.76,419,12.16,0.1627,'yes','yes','280706',0.261269652983174
1.969,-1.303,105.2,5.613e-06,50.7,0.044,199.3,10,382,2.048,0.2061,'yes','yes','331093',0.0230375714600086
0.714,-1.088,92.03,4.432e-07,12.5,0.007,4.3,10.59,323,1.024,0.04889,'yes','no','174738',0.671968071721494
3.35,-1.313,174.5,9.705e-06,57.9,0.014,453.2,7.59,196,1.024,0.1549,'yes','yes','319584',0.850286197615787
3.969,-1.375,111,2.609e-06,13.2,0.005,60.48,10.96,1019,12.16,0.1747,'yes','yes','148225',0.59901831112802
0.624,?,25.97,4.777e-07,13.3,0.047,9.63,7.06,177,1.024,0.104,'yes','yes','419797',0.388966535683721
1.37,-1.772,?,4.936e-07,14.3,0.071,18.36,11.42,236,0.512,0.08047,'yes','yes','370846',0.847200410207734
4.813,?,268.9,5.319e-07,15.2,0.018,31.72,7.73,1502,64,0.1948,'no','no','414592',0.293845178559422
1.314,-1.375,230.4,2.792e-05,273.8,0.118,83,8.08,110,0.256,0.03216,'yes','yes','239899',0.129094292875379
1.159,-1.159,223.1,1.387e-05,85.7,0.133,26.78,8.76,219,1.024,0.06414,'yes','yes','240766',0.0918632957618684
3,-1.613,130.1,8.995e-06,84.9,0.071,267.5,11.48,332,1.024,0.1213,'yes','yes','357512',0.654871013248339
6.7,-0.4048,98.2,7.597e-07,16.7,0.038,8.19,9.39,200,1.024,0.0952,'yes','no','324561',0.827203709632158
1.489,-1.546,146.4,1.363e-05,80.6,0.064,103.2,10.8,295,1.024,0.09424,'yes','yes','205851',0.119338780874386
2.625,-0.8031,43.47,1.098e-06,17.7,0.007,79.79,8.87,1732,64,0.2002,'no','yes','353540',0.0856581795960665
4.41,-1.008,74.01,6.762e-07,18,-0.015,8.4,9.99,269,1.024,0.1402,'yes','yes','192059',0.637303165625781
5.11,-0.6852,76.95,1.216e-06,16.5,-0.001,74.1,13.36,3110,64,0.228,'no','yes','211117',0.733229541918263
2.737,-1.696,?,9.22e-07,11.8,0.073,192.9,?,?,?,0.1227,?,'yes','359530',0.498457729583606
1.8,-0.9885,97.7,6.514e-07,30.1,0.028,7.5,8.22,161,0.512,0.1166,'yes','yes','217805',0.786895078606904
3.425,-0.6565,60.94,1.88e-06,20.1,0.024,75.14,8.58,380,4.096,0.2012,'yes','yes','217704',0.403166245669127
2.427,?,29.18,2.689e-06,27.5,0.005,361.9,7.4,215,1.024,0.07031,'yes','yes','305288',0.0877535555046052
0.383,-1.121,92.02,5.261e-07,13.8,0.026,2.2,8.54,201,1.024,0.03863,'yes','yes','299787',0.713128114119172
0.836,-1.407,122.6,4.407e-06,48.1,0.23,51,10.03,201,0.512,0.1287,'yes','yes','271019',0.124901122180745
2.198,-0.992,177.9,2.659e-06,60,0.024,4.56,22.78,1485,1.024,0.06027,'yes','yes','156467',0.632983955089003
1.23,-1.71,58.13,9.673e-07,17.2,-0.032,30.25,9.84,288,1.024,0.139,'yes','yes','316204',0.676915057003498
1.261,-0.957,588.8,0.0001146,330.4,0.118,74.9,15.62,384,1.024,0.03095,'yes','yes','232683',0.826775781577453
2.374,-1.668,65.06,2.784e-06,22.8,0.193,104,8.01,259,2.048,0.1976,'yes','yes','323898',0.726161236409098
2.692,?,26.85,1.103e-06,15.9,0.024,187.2,9.48,455,4.096,0.1518,'yes','yes','295670',0.713843945879489
3.3,-1.794,56.53,8.902e-07,37.5,-0.011,6.54,8.2,231,1.024,0.1103,'yes','no','232339',0.0482604615390301
0.703,-0.9957,82.48,1.881e-06,34.2,0.13,171,8.68,162,0.512,0.1434,'yes','yes','228006',0.871586373774335
2.69,-1.221,72.27,2.869e-06,70,0.071,59.5,10.63,213,0.512,0.08549,'yes','yes','313087',0.618168571498245
6.29,-1.172,322.6,1.223e-05,38.4,0.008,197.2,13.26,2820,64,0.1486,'no','no','153514',0.979857988655567
3.35,-1.713,52.96,6.151e-07,12.5,-0.024,10.8,9.29,311,2.048,0.1556,'yes','yes','154112',0.354221817804500
1.1,-1.19,69,3.703e-06,64.4,0.095,7.04,23,1450,1.024,0.01725,'yes','yes','309111',0.213789809029549
2.433,-1.56,109.2,5.881e-06,74.8,0.066,46.62,9.06,209,0.512,0.0954,'yes','yes','309096',0.469779955223203
0.606,-0.83,81.58,1.861e-05,339.9,0.049,9.1,18,?,0.064,0.01235,'yes','yes','130088',0.652243765536696
0.4428,-0.4666,33.45,2.032e-07,8.1,-0.054,8.37,9.39,437,4.096,0.05254,'yes','yes','209755',0.505776105448604
1.545,?,19.02,5.814e-08,8.3,0.205,2.97,?,?,?,0.02016,?,'yes','312047',0.155733248218894
0.783,-1.737,74.31,3.802e-06,15.1,0.483,205.9,7,1260,64,0.2905,'no','no','179968',0.229065805207938
4.045,-1.184,87.03,1.044e-06,45.1,0.037,6.06,10.17,199,0.512,0.1164,'yes','yes','180455',0.044175285147503
3.221,-1.876,?,1.846e-06,23.5,-0.021,295.6,9.05,179,0.512,0.1812,'yes','yes','211957',0.802056123735383
2.615,-1.165,286.6,8.688e-06,41.4,0.021,239.7,8.38,234,1.024,0.08937,'yes','yes','151207',0.417770091444254
5.6,-0.82,70.9,1.318e-06,43.1,-0.022,23.03,12.06,220,0.256,0.1242,'yes','no','231362',0.175534307723865
3.2,?,23.71,2.477e-07,17,0.162,7.05,11.6,371,1.024,0.02986,'yes','no','231231',0.444326604017988
2.346,1.229,51.84,1.558e-06,14.1,0.05,4.9,11.47,264,2.048,0.08455,'yes','yes','163136',0.730954192113131
0.08,-0.2721,52.99,1.671e-07,7.3,0.011,8.32,9.84,527,4.096,0.1338,'yes','no','163170',0.798960170941427
4.349,-1.219,77.24,1.915e-06,11.6,0.165,45.6,7.51,1323,64,0.1347,'no','no','301981',0.462730302009732
0.297,-1.216,108.9,1.031e-06,12.5,0.235,34.44,8.16,533,8.192,0.1019,'yes','no','152113',0.495791604742408
0.97,-0.275,30.46,5.423e-07,12.5,0.16,161.3,10.8,2494,64,0.1994,'no','yes','276205',0.220346505520865
0.49,?,42.51,1.239e-05,50.7,0.036,9.57,17.95,660,1.024,0.004874,'yes','yes','377179',0.142628807108849
1.24,-0.464,78.25,7.75e-06,63.3,0.168,126.4,6.74,156,1.024,0.107,'yes','no','370791',0.064107921672985
3.082,-1.014,137.5,3.684e-06,50.7,0.02,102.6,14.77,490,1.024,0.172,'yes','yes','213823',0.865360924741253
2.45,-1.82,?,3.96e-07,7.3,0.014,14.72,7.15,1465,64,0.1593,'no','no','286809',0.919887169497088
0.971,-1.688,22.74,1.458e-06,83.3,0.055,4.44,11.47,200,0.256,0.009347,'yes','yes','373172',0.4884808070492
1.755,-0.5261,36.02,4.109e-07,14.8,0.054,43.56,9.39,238,1.024,0.04162,'yes','no','420398',0.75578378373757
2.17,-0.7461,42.23,5.738e-07,24.6,0.068,7.68,?,?,?,0.08054,?,'yes','287364',0.385679829865694
4.667,-1.373,58.58,8.446e-07,10.4,-0.012,31.05,7.44,1426,64,0.1423,'no','yes','412982',0.332237143535167
0.5915,-1.74,51.26,8.752e-07,13.4,-0.237,17.38,9,?,8.192,0.1736,'yes','no','106709',0.734163825400174
0.937,-1.697,142.5,2.246e-06,43.5,0.136,5.92,19.85,927,1.024,0.05787,'yes','yes','229185',0.243162861792371
2.68,?,20.53,2.666e-07,6.4,0.035,39.9,6.78,345,4.096,0.1168,'yes','yes','213486',0.893834224669263
3.78,-0.3394,94.66,6.05e-07,16.4,0.02,18.54,7.96,363,3.072,0.1341,'yes','yes','213630',0.506216830341145
3.355,-1.939,?,3.285e-06,22.6,0.055,42,10.83,1510,64,0.1186,'no','no','252593',0.399020708631724
3.626,-1.178,192.9,7.448e-06,26.8,-0.002,330.7,?,?,?,0.1158,?,'yes','285654',0.711911173537374
1.14,-1.571,56.79,1.037e-06,10,-0.047,79.2,7.13,1485,64,0.2042,'no','yes','297114',0.739335011225194
1.949,?,62.01,4.319e-06,43.7,0.096,94.6,8,?,1.024,0.09273,'yes','no','111063',0.200011856621131
3.24,-1.999,?,1.865e-06,18.2,0.015,153.6,10,?,1.024,0.1475,'yes','yes','111622',0.41366030019708
1.44,-1.217,50.86,1.408e-06,49,0.018,30.96,9,?,0.512,0.06291,'yes','yes','111529',0.439593713963404
1.416,-1.724,55.74,1.452e-06,16.1,-0.018,125.3,11.68,2763,64,0.2582,'no','yes','313116',0.379690158879384
1.64,-1.126,227.8,2.232e-05,157.5,0.152,19.57,25.82,1604,1.024,0.02899,'yes','yes','313299',0.052801645360887
3.036,-1.165,860.3,5.119e-05,123,0.142,83.66,17.87,741,1.024,0.0283,'yes','yes','313417',0.838778605917469
0.54,-1.294,141.3,0.0001477,719.8,0.097,115.2,22.57,1097,1.024,0.02612,'yes','yes','355083',0.165012882091105
3.038,-1.312,70.74,4.317e-06,42,0.018,275.6,17.95,6719,128,0.2853,'no','yes','332851',0.948456260142848
2.352,-1.526,82.28,2.496e-06,25.9,-0.003,47.7,10.23,491,3.072,0.2087,'yes','yes','255445',0.631039378000423
4.9,-1.413,88.2,4.383e-06,22.3,0.027,229.9,10.54,2188,64,0.3083,'no','no','209352',0.743544362252578
0.82,-1.004,207.5,3.337e-05,262.1,0.245,21.2,?,?,?,0.02026,?,'yes','278854',0.804528722772375
3.848,-1.433,129.5,3.342e-06,16,0.019,169.1,11.49,2138,64,0.2184,'no','yes','332931',0.960498322499916
2.31,5,31.03,1.994e-07,8.6,0.152,3.55,8.48,2083,64,0.1016,'no','yes','278693',0.457386247348040
3.91,-1.474,96.48,1.422e-05,42.8,0.072,369.9,8.42,204,1.024,0.1753,'yes','no','180977',0.0631024311296642
3.44,-0.6588,144.3,2.573e-06,15.8,0.168,32.39,8.14,361,4.096,0.07195,'yes','no','238174',0.237814029911533
0.0331,-0.8437,41,7.854e-07,6.3,0.39,128,7.84,2111,80,0.2715,'no','yes','191157',0.435791750904173
0.696,-0.6803,46.37,1.285e-06,13.7,-0.079,113.2,10.01,1837,88,0.2169,'no','yes','359951',0.226635277271271
2.512,-0.5208,133.8,7.885e-06,24.4,0.026,19.38,9.79,241,4.096,0.08966,'yes','yes','335105',0.355085687479004
1.165,-0.4458,60.39,5.672e-07,10.3,0.182,52.48,7.29,187,1.408,0.1637,'yes','no','259714',0.299821525812149
1.608,-1.387,172.3,8.704e-06,52.4,0.195,57.97,8.16,163,1.024,0.1262,'yes','yes','349510',0.452452332247049
2.04,0.0691,54.89,3.424e-07,10.4,0.012,11.31,9.07,384,4.096,0.1416,'yes','yes','282003',0.518732310039923
2.752,-1.402,59.35,2.842e-06,68.4,0.04,39.96,9.18,243,1.024,0.09921,'yes','yes','374210',0.632058597868308
0.54,-1.795,58,4.322e-06,44.7,0.076,119.5,7.13,243,4.096,0.1745,'yes','yes','221755',0.908120306674391
1.71,-1.243,140,5.175e-06,55.8,0.079,39,17.7,520,1.024,0.1039,'yes','yes','373458',0.339118811767548
5.3,-0.4337,58.16,8.082e-07,6.8,0.005,27.54,?,?,?,0.2135,?,'no','150314',0.342976397369057
0.937,-1.089,1382,0.0004112,725.4,0.053,147.3,22.5,1909,1.024,0.01697,'yes','yes','306757',0.74348143930547
1.95,-1.03,158.8,5.376e-06,60.5,0.073,32.88,15.1,459,1.024,0.09712,'yes','yes','306778',0.175723375286907
1.51,-1.415,131.7,4.531e-06,45.7,0.041,30.24,12.69,332,1.024,0.1255,'yes','yes','208169',0.558988206088543
0.542,-1.591,68.19,2.382e-05,295.2,0.592,66.33,18.67,813,1.024,0.04883,'yes','yes','425151',0.261057803174481
8.1,-0.7002,50.55,6.665e-07,31.3,0.071,12.36,8.16,203,1.024,0.1365,'yes','no','350184',0.899082771036774
0.544,-1.078,126.1,2.837e-05,131.7,0.195,50.28,23.3,3348,1.024,0.009013,'yes','yes','350311',0.973170079290867
1.063,-1.284,76.77,3.826e-06,29.5,0.219,15.21,9.31,168,1.024,0.03324,'yes','yes','378559',0.367505243979394
0.92,-1.329,71.79,1.427e-06,35.8,0.073,64.18,12.12,225,0.128,0.07598,'yes','yes','284856',0.375002122716978
