% 1. Title: Redshift Predictor for Swift GRBs
% 
% 2. Sources:
%     (a) Creator: Adam N. Morgan
%     (b) Data From: GCN Notices (http://gcn.gsfc.nasa.gov/),
%                    http://astro.berkeley.edu/~nat/Swift/
%                    http://swift.gsfc.nasa.gov/docs/swift/archive/grb_table.html/
%     (c) Date: Tue Aug  2 03:55:26 2011
% 
% 3. This file was created automatically. 
%    CHECK THE ATTRIBUTES before running Weka. 
% 
@RELATION swift_redshift

% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
@ATTRIBUTE Z NUMERIC
@ATTRIBUTE A NUMERIC
@ATTRIBUTE DT_MAX_SNR NUMERIC
@ATTRIBUTE EP NUMERIC
@ATTRIBUTE EP0 NUMERIC
@ATTRIBUTE FL NUMERIC
@ATTRIBUTE FLX_PC NUMERIC
@ATTRIBUTE FLX_PC_LATE NUMERIC
@ATTRIBUTE FLX_WT NUMERIC
@ATTRIBUTE GAM_PC NUMERIC
@ATTRIBUTE GAM_PC_LATE NUMERIC
@ATTRIBUTE GAM_WT NUMERIC
@ATTRIBUTE MAX_SNR NUMERIC
@ATTRIBUTE NH_GAL NUMERIC
@ATTRIBUTE NH_PC NUMERIC
@ATTRIBUTE NH_PC_LATE NUMERIC
@ATTRIBUTE NH_WT NUMERIC
@ATTRIBUTE NU NUMERIC
@ATTRIBUTE PK_O_CTS NUMERIC
@ATTRIBUTE RT45 NUMERIC
@ATTRIBUTE T50 NUMERIC
@ATTRIBUTE T90 NUMERIC
@ATTRIBUTE bat_bkg_inten NUMERIC
@ATTRIBUTE bat_image_signif NUMERIC
@ATTRIBUTE bat_img_peak NUMERIC
@ATTRIBUTE bat_inten NUMERIC
@ATTRIBUTE bat_rate_signif NUMERIC
@ATTRIBUTE bat_trigger_dur NUMERIC
@ATTRIBUTE xrt_inten NUMERIC
@ATTRIBUTE xrt_signif NUMERIC
@ATTRIBUTE fluence NUMERIC
@ATTRIBUTE peakflux NUMERIC
@ATTRIBUTE xrt_column NUMERIC
@ATTRIBUTE gal_EB_V NUMERIC
@ATTRIBUTE uvot_time_delta NUMERIC
@ATTRIBUTE DT_MAX_SNR NUMERIC
@ATTRIBUTE FL_over_SQRT_T90 NUMERIC
@ATTRIBUTE PROB_Z_GT_5 NUMERIC
@ATTRIBUTE PROB_Z_GT_4 NUMERIC
@ATTRIBUTE PROB_Z_GT_3 NUMERIC
@ATTRIBUTE PROB_Z_GT_2 NUMERIC
@ATTRIBUTE PROB_Z_GT_1 NUMERIC
@ATTRIBUTE PROB_Z_LT_1 NUMERIC
@ATTRIBUTE PROB_Z_LT_2 NUMERIC
@ATTRIBUTE PROB_Z_LT_3 NUMERIC
@ATTRIBUTE PROB_Z_LT_4 NUMERIC
@ATTRIBUTE PROB_Z_LT_5 NUMERIC
@ATTRIBUTE MOST_PROB_Z NUMERIC
@ATTRIBUTE Z_LT_1_OVER_Z_GT_4 NUMERIC
@ATTRIBUTE bat_is_rate_trig {yes, no}
@ATTRIBUTE uvot_detection {yes, no}
@ATTRIBUTE triggerid_str {yes, no}

@DATA
1.710e+00,-1.586e+00,9.750e+00,9.876e+01,7.112e+01,2.737e-06,1.071e-04,3.886e-05,1.720e-02,1.830e+00,1.835e+00,1.869e+00,1.860e+01,1.860e-02,2.700e-02,3.200e-02,4.300e-02,5.500e+01,1.712e-01,4.050e+00,6.750e+00,1.425e+01,5.524e+04,8.050e+00,2.060e+02,8.046e+03,1.264e+01,1.024e+00,?,?,2.000e+01,2.750e+00,6.600e-01,2.100e-02,2.860e+02,9.750e+00,7.249e-07,4.431e-02,1.281e-01,2.989e-01,5.561e-01,8.841e-01,1.159e-01,4.439e-01,7.011e-01,8.719e-01,9.557e-01,1.301e+00,9.044e-01,yes,yes,148646
2.100e+00,-1.436e+00,7.878e+01,2.014e+02,1.280e+02,1.356e-05,1.729e-04,6.028e-05,8.919e-02,2.022e+00,1.907e+00,1.892e+00,8.030e+01,1.710e-02,5.800e-02,3.300e-02,3.200e-02,5.600e+01,2.736e-02,3.120e+01,4.602e+01,2.543e+02,2.859e+04,7.560e+00,1.870e+02,4.590e+03,1.452e+01,1.024e+00,1.780e-08,5.830e+00,7.700e+01,2.900e+00,6.000e-01,2.100e-02,9.300e+01,7.878e+01,8.502e-07,5.756e-02,1.582e-01,3.536e-01,6.255e-01,9.197e-01,8.027e-02,3.745e-01,6.464e-01,8.418e-01,9.424e-01,1.701e+00,5.074e-01,yes,yes,336489
2.954e+00,-1.705e+00,1.133e+02,1.198e+02,1.078e+02,4.230e-06,3.139e-05,2.118e-05,?,2.063e+00,2.315e+00,?,3.040e+01,2.630e-01,-2.800e-02,-7.700e-02,?,5.500e+01,2.443e-02,3.186e+01,6.372e+01,1.086e+02,2.075e+05,1.052e+01,6.000e+02,2.342e+04,8.000e+00,4.096e+00,5.100e-09,1.161e+01,2.700e+01,9.100e-01,2.900e+00,2.850e-01,2.430e+02,1.133e+02,4.060e-07,8.753e-02,2.168e-01,4.362e-01,6.950e-01,9.384e-01,6.159e-02,3.050e-01,5.638e-01,7.832e-01,9.125e-01,2.001e+00,2.840e-01,yes,yes,275087
3.480e-01,4.998e+00,1.984e+01,2.054e+01,2.388e+01,3.608e-07,2.079e-05,9.431e-06,8.259e-02,1.921e+00,1.953e+00,2.799e+00,5.400e+00,1.330e-02,-4.600e-02,-3.300e-02,3.700e-02,5.300e+01,8.578e-02,7.440e+00,1.178e+01,2.046e+01,0.000e+00,1.421e+01,4.775e+03,0.000e+00,0.000e+00,1.280e+02,2.330e-09,1.034e+01,8.230e+00,6.600e-01,6.700e-01,1.500e-02,1.940e+02,1.984e+01,7.977e-08,2.767e-02,6.881e-02,1.501e-01,2.950e-01,6.732e-01,3.268e-01,7.050e-01,8.499e-01,9.312e-01,9.723e-01,9.010e-01,4.750e+00,no,yes,207399
4.270e+00,-1.407e+00,1.980e+01,1.403e+02,8.943e+01,4.836e-06,1.394e-04,9.087e-05,?,2.026e+00,2.017e+00,?,2.180e+01,1.710e-02,4.800e-02,3.800e-02,?,5.500e+01,7.457e-02,9.600e+00,2.720e+01,6.020e+01,7.423e+04,1.000e+01,?,?,1.545e+01,2.048e+00,?,?,2.490e+01,1.850e+00,?,2.200e-02,2.807e+03,1.980e+01,6.233e-07,5.239e-02,1.477e-01,3.344e-01,5.974e-01,9.032e-01,9.679e-02,4.026e-01,6.656e-01,8.523e-01,9.476e-01,1.501e+00,6.555e-01,yes,no,117504
6.600e+00,-1.400e+00,3.552e+01,1.790e+02,9.532e+01,2.878e-06,6.736e-05,8.521e-06,?,2.194e+00,1.547e+00,?,1.150e+01,1.760e-01,7.620e-01,9.160e-01,?,5.500e+01,7.626e-02,9.600e+00,1.968e+01,3.600e+01,1.992e+05,6.580e+00,4.540e+02,5.397e+04,1.044e+01,1.638e+01,?,?,2.410e+01,1.110e+00,8.100e+00,2.640e-01,1.540e+02,3.552e+01,4.796e-07,5.189e-02,1.455e-01,3.285e-01,5.883e-01,8.985e-01,1.015e-01,4.117e-01,6.715e-01,8.545e-01,9.481e-01,1.401e+00,6.974e-01,yes,no,177533
3.530e+00,-1.148e+00,2.727e+01,6.754e+01,6.981e+01,1.873e-06,9.048e-05,2.766e-05,4.080e-02,2.186e+00,2.200e+00,1.814e+00,2.740e+01,9.480e-02,-4.800e-02,1.130e-01,6.400e-02,5.400e+01,4.913e-02,1.566e+01,8.694e+01,1.099e+02,2.689e+05,1.048e+01,7.750e+02,3.773e+04,1.385e+01,8.192e+00,4.060e-09,1.113e+01,1.710e+01,8.700e-01,1.500e+00,1.330e-01,1.190e+02,2.727e+01,1.787e-07,9.109e-02,2.178e-01,4.306e-01,6.863e-01,9.345e-01,6.550e-02,3.137e-01,5.694e-01,7.822e-01,9.089e-01,1.901e+00,3.007e-01,yes,no,177408
7.670e-01,-1.740e+00,8.550e+00,1.221e+02,1.131e+02,1.859e-06,5.554e-05,4.772e-05,6.757e-02,2.045e+00,2.077e+00,2.355e+00,5.270e+01,9.600e-03,1.480e-01,1.610e-01,4.000e-02,5.600e+01,1.446e-01,3.420e+00,5.400e+00,1.620e+01,3.731e+04,1.083e+01,2.620e+02,3.362e+03,1.933e+01,5.120e-01,1.260e-09,7.810e+00,1.200e+01,2.600e+00,4.600e-01,1.200e-02,1.640e+02,8.550e+00,4.619e-07,3.547e-02,1.073e-01,2.616e-01,5.105e-01,8.617e-01,1.383e-01,4.895e-01,7.384e-01,8.927e-01,9.645e-01,1.201e+00,1.288e+00,yes,yes,310613
5.295e-01,-1.353e+00,5.700e+00,2.725e+01,3.531e+01,5.909e-07,5.506e-05,3.431e-05,1.201e-01,2.119e+00,2.087e+00,2.908e+00,1.960e+01,1.380e-02,2.670e-01,2.490e-01,3.200e-01,5.500e+01,3.071e-01,1.600e+00,2.700e+00,5.550e+00,3.871e+04,9.430e+00,2.210e+02,5.896e+03,1.473e+01,1.024e+00,1.530e-09,8.060e+00,7.100e+00,2.600e+00,6.600e+00,1.500e-02,1.090e+02,5.700e+00,2.508e-07,8.951e-03,2.560e-02,6.422e-02,1.501e-01,4.790e-01,5.210e-01,8.499e-01,9.358e-01,9.744e-01,9.910e-01,7.010e-01,2.035e+01,yes,yes,330856
2.500e+00,-1.346e+00,1.214e+02,2.460e+02,1.244e+02,5.220e-06,4.101e-05,1.362e-05,9.816e-02,1.874e+00,1.962e+00,3.419e+00,1.350e+01,1.790e-01,1.190e-01,1.750e-01,4.690e-01,5.600e+01,2.440e-02,2.290e+01,5.954e+01,1.122e+02,2.434e+05,6.760e+00,4.190e+02,5.037e+04,1.212e+01,1.216e+01,4.000e-11,2.200e+01,2.570e+01,1.430e+00,3.500e+00,3.020e-01,1.340e+02,1.214e+02,4.928e-07,5.990e-02,1.627e-01,3.573e-01,6.211e-01,9.134e-01,8.658e-02,3.789e-01,6.427e-01,8.373e-01,9.401e-01,1.601e+00,5.320e-01,yes,yes,280706
1.969e+00,-1.303e+00,1.525e+02,9.048e+01,1.052e+02,5.613e-06,1.343e-04,4.207e-05,2.639e-01,2.076e+00,2.008e+00,1.901e+00,5.070e+01,7.100e-02,4.400e-02,2.400e-02,7.300e-02,5.500e+01,2.036e-02,3.171e+01,1.117e+02,1.993e+02,8.805e+04,1.000e+01,3.820e+02,1.011e+04,1.977e+01,2.048e+00,1.500e-09,7.740e+00,4.300e+01,1.300e+00,5.900e-01,9.500e-02,9.600e+01,1.525e+02,3.976e-07,8.348e-02,2.061e-01,4.186e-01,6.821e-01,9.385e-01,6.154e-02,3.179e-01,5.814e-01,7.939e-01,9.165e-01,1.901e+00,2.985e-01,yes,yes,331093
7.140e-01,-1.088e+00,2.650e+00,3.403e+02,9.203e+01,4.432e-07,9.234e-06,2.812e-06,2.463e-02,1.652e+00,1.772e+00,1.234e+00,1.250e+01,3.350e-02,7.000e-03,-4.500e-02,1.290e-01,5.500e+01,7.143e-01,8.500e-01,1.750e+00,4.300e+00,3.442e+04,1.059e+01,3.230e+02,6.018e+03,2.282e+01,1.024e+00,1.120e-09,6.700e+00,6.990e+00,9.500e-01,1.800e+00,4.200e-02,9.600e+01,2.650e+00,2.137e-07,1.331e-02,4.889e-02,1.439e-01,3.478e-01,7.625e-01,2.375e-01,6.522e-01,8.561e-01,9.511e-01,9.867e-01,1.001e+00,4.857e+00,yes,no,174738
3.350e+00,-1.313e+00,5.700e+01,3.669e+02,1.745e+02,9.705e-06,9.551e-05,4.212e-05,7.937e-02,2.113e+00,2.160e+00,1.695e+00,5.790e+01,3.280e-02,1.400e-02,4.300e-02,-7.000e-03,5.600e+01,2.388e-02,3.135e+01,8.892e+01,4.532e+02,3.144e+04,7.590e+00,1.960e+02,5.019e+03,1.473e+01,1.024e+00,4.260e-09,1.161e+01,4.600e+01,2.000e+00,3.280e-01,2.900e-02,6.500e+01,5.700e+01,4.559e-07,5.607e-02,1.549e-01,3.461e-01,6.122e-01,9.117e-01,8.832e-02,3.878e-01,6.539e-01,8.451e-01,9.439e-01,1.601e+00,5.703e-01,yes,yes,319584
3.969e+00,-1.375e+00,3.402e+01,1.962e+02,1.110e+02,2.609e-06,4.055e-04,2.541e-04,6.309e-02,1.606e+00,1.682e+00,1.617e+00,1.320e+01,2.990e-02,5.000e-03,5.000e-03,2.500e-02,5.500e+01,3.073e-02,2.079e+01,3.213e+01,6.048e+01,2.810e+05,1.096e+01,1.019e+03,5.713e+04,1.195e+01,1.216e+01,?,?,2.380e+01,5.500e-01,1.000e+00,5.000e-02,1.190e+02,3.402e+01,3.355e-07,6.550e-02,1.747e-01,3.761e-01,6.397e-01,9.200e-01,7.998e-02,3.603e-01,6.239e-01,8.253e-01,9.345e-01,1.701e+00,4.579e-01,yes,yes,148225
6.240e-01,?,9.000e+00,3.679e+01,2.597e+01,4.777e-07,1.360e-05,1.147e-05,6.542e-02,1.958e+00,1.935e+00,4.490e+00,1.330e+01,4.780e-02,4.700e-02,1.030e-01,8.400e-02,5.600e+01,1.386e-01,2.250e+00,4.680e+00,9.630e+00,3.642e+04,7.060e+00,1.770e+02,5.137e+03,8.660e+00,1.024e+00,1.270e-09,7.810e+00,3.400e+00,1.000e+00,2.100e+00,7.200e-02,8.700e+01,9.000e+00,1.539e-07,3.810e-02,1.040e-01,2.386e-01,4.604e-01,8.221e-01,1.779e-01,5.396e-01,7.614e-01,8.960e-01,9.619e-01,1.001e+00,1.711e+00,yes,yes,419797
1.370e+00,-1.772e+00,1.920e+00,6.065e+01,?,4.936e-07,4.015e-05,2.256e-05,?,2.195e+00,2.165e+00,?,1.430e+01,2.920e-02,7.100e-02,6.000e-02,?,5.600e+01,5.293e-01,8.400e-01,1.254e+01,1.836e+01,3.865e+04,1.142e+01,2.360e+02,3.729e+03,2.582e+01,5.120e-01,1.000e-10,1.000e+01,2.000e+00,2.000e+00,2.920e-01,3.400e-02,2.121e+03,1.920e+00,1.152e-07,2.607e-02,8.047e-02,2.032e-01,4.232e-01,8.046e-01,1.954e-01,5.768e-01,7.968e-01,9.195e-01,9.739e-01,1.001e+00,2.429e+00,yes,yes,370846
4.813e+00,?,2.626e+01,4.274e+01,2.689e+02,5.319e-07,2.288e-05,1.327e-05,9.810e-02,2.001e+00,1.983e+00,2.922e+00,1.520e+01,1.930e-02,1.800e-02,2.600e-02,1.020e-01,5.600e+01,5.450e-02,7.280e+00,1.482e+01,3.172e+01,0.000e+00,7.730e+00,1.502e+03,0.000e+00,0.000e+00,6.400e+01,1.960e-09,9.050e+00,3.100e+00,5.000e-01,1.100e+00,2.200e-02,1.320e+02,2.626e+01,9.444e-08,8.110e-02,1.948e-01,3.901e-01,6.375e-01,9.109e-01,8.906e-02,3.625e-01,6.099e-01,8.052e-01,9.189e-01,1.501e+00,4.572e-01,no,no,414592
1.314e+00,-1.375e+00,1.880e+01,3.458e+02,2.304e+02,2.792e-05,1.422e-04,8.250e-05,5.538e-02,1.904e+00,1.907e+00,1.449e+00,2.738e+02,3.990e-02,1.180e-01,1.110e-01,9.100e-02,5.500e+01,1.330e-01,5.800e+00,7.600e+00,8.300e+01,2.835e+04,8.080e+00,1.100e+02,1.423e+03,1.679e+01,2.560e-01,1.840e-08,1.846e+01,1.370e+02,2.110e+01,2.300e+00,4.600e-02,6.200e+01,1.880e+01,3.065e-06,8.451e-03,3.216e-02,1.017e-01,2.818e-01,7.511e-01,2.489e-01,7.182e-01,8.983e-01,9.678e-01,9.915e-01,1.001e+00,7.738e+00,yes,yes,239899
1.159e+00,-1.159e+00,2.600e+01,3.894e+02,2.231e+02,1.387e-05,1.328e-04,6.159e-05,2.525e-02,1.863e+00,1.879e+00,1.781e+00,8.570e+01,1.020e-01,1.330e-01,1.190e-01,9.300e-02,5.500e+01,1.601e-01,5.460e+00,1.144e+01,2.678e+01,2.507e+04,8.760e+00,2.190e+02,4.695e+03,2.461e+01,1.024e+00,?,?,6.770e+01,9.760e+00,2.700e+00,1.820e-01,1.605e+03,2.600e+01,2.680e-06,1.819e-02,6.414e-02,1.802e-01,4.085e-01,8.116e-01,1.884e-01,5.915e-01,8.198e-01,9.359e-01,9.818e-01,1.001e+00,2.937e+00,yes,yes,240766
3.000e+00,-1.613e+00,1.300e+01,1.822e+02,1.301e+02,8.995e-06,4.018e-05,3.213e-05,2.652e-01,2.132e+00,2.178e+00,1.913e+00,8.490e+01,1.340e-02,7.100e-02,7.500e-02,8.100e-02,5.600e+01,4.576e-02,1.534e+01,6.383e+01,2.675e+02,3.099e+04,1.148e+01,3.320e+02,5.636e+03,2.495e+01,1.024e+00,4.190e-09,1.090e+01,5.700e+01,3.800e+00,1.090e+00,1.500e-02,5.300e+01,1.300e+01,5.499e-07,4.146e-02,1.213e-01,2.895e-01,5.541e-01,8.929e-01,1.071e-01,4.459e-01,7.105e-01,8.787e-01,9.585e-01,1.401e+00,8.833e-01,yes,yes,357512
6.700e+00,-4.048e-01,9.000e+00,1.350e+02,9.820e+01,7.597e-07,9.092e-06,2.840e-06,?,1.762e+00,2.668e+00,?,1.670e+01,3.170e-02,3.800e-02,2.140e-01,?,5.500e+01,1.673e-01,2.160e+00,4.140e+00,8.190e+00,3.152e+04,9.390e+00,2.000e+02,4.881e+03,1.392e+01,1.024e+00,1.000e-10,1.000e+01,5.600e+00,1.400e+00,3.200e-01,4.300e-02,1.050e+02,9.000e+00,2.654e-07,3.011e-02,9.520e-02,2.405e-01,4.850e-01,8.484e-01,1.516e-01,5.150e-01,7.595e-01,9.048e-01,9.699e-01,1.101e+00,1.593e+00,yes,no,324561
1.489e+00,-1.546e+00,4.814e+01,2.167e+02,1.464e+02,1.363e-05,5.608e-05,1.076e-05,5.027e-02,1.907e+00,2.343e+00,2.110e+00,8.060e+01,8.810e-02,6.400e-02,2.030e-01,1.030e-01,5.500e+01,5.889e-02,1.450e+01,2.436e+01,1.032e+02,3.800e+04,1.080e+01,2.950e+02,6.599e+03,2.893e+01,1.024e+00,1.600e-08,5.190e+00,8.330e+01,6.520e+00,1.900e+00,2.240e-01,8.800e+01,4.814e+01,1.342e-06,3.161e-02,9.424e-02,2.335e-01,4.810e-01,8.684e-01,1.316e-01,5.190e-01,7.665e-01,9.058e-01,9.684e-01,1.201e+00,1.397e+00,yes,yes,205851
2.625e+00,-8.031e-01,7.900e+01,4.274e+01,4.347e+01,1.098e-06,2.519e-05,8.603e-06,5.556e-02,2.152e+00,2.299e+00,2.534e+00,1.770e+01,1.610e-02,7.000e-03,-5.700e-02,-3.000e-03,5.500e+01,1.751e-02,1.896e+01,3.634e+01,7.979e+01,0.000e+00,8.870e+00,1.732e+03,0.000e+00,0.000e+00,6.400e+01,1.480e-09,7.810e+00,6.800e+00,4.000e-01,2.300e-01,2.100e-02,2.040e+02,7.900e+01,1.229e-07,8.734e-02,2.002e-01,3.912e-01,6.379e-01,9.192e-01,8.080e-02,3.621e-01,6.088e-01,7.998e-01,9.127e-01,1.501e+00,4.035e-01,no,yes,353540
4.410e+00,-1.008e+00,4.400e+00,7.450e+01,7.401e+01,6.762e-07,4.978e-05,5.741e-06,6.462e+11,2.026e+00,2.402e+00,1.249e+01,1.800e+01,6.920e-02,-1.500e-02,-4.700e-02,1.647e+02,5.400e+01,2.500e-01,2.600e+00,4.300e+00,8.400e+00,3.144e+04,9.990e+00,2.690e+02,5.231e+03,1.786e+01,1.024e+00,?,?,6.730e+00,1.350e+00,5.900e-01,1.160e-01,7.200e+01,4.400e+00,2.333e-07,5.077e-02,1.402e-01,3.135e-01,5.632e-01,8.814e-01,1.186e-01,4.368e-01,6.865e-01,8.598e-01,9.492e-01,1.301e+00,8.459e-01,yes,yes,192059
5.110e+00,-6.852e-01,7.800e+01,9.038e+01,7.695e+01,1.216e-06,2.125e-05,7.997e-06,2.297e-02,2.003e+00,-2.000e+00,1.434e+00,1.650e+01,4.100e-02,-1.000e-03,7.166e+01,5.200e-02,5.400e+01,3.111e-02,1.950e+01,4.446e+01,7.410e+01,0.000e+00,1.336e+01,3.110e+03,0.000e+00,0.000e+00,6.400e+01,1.000e-10,5.000e+00,1.140e+01,5.500e-01,4.600e-01,5.400e-02,1.290e+02,7.800e+01,1.412e-07,9.421e-02,2.280e-01,4.487e-01,7.024e-01,9.388e-01,6.116e-02,2.976e-01,5.513e-01,7.720e-01,9.058e-01,2.101e+00,2.682e-01,no,yes,211117
2.737e+00,-1.696e+00,6.650e+00,7.408e+01,?,9.220e-07,1.822e-04,3.600e-05,1.267e-01,2.024e+00,2.071e+00,1.626e+00,1.180e+01,6.080e-02,7.300e-02,2.700e-02,1.540e-01,5.600e+01,9.706e-02,3.430e+00,1.257e+02,1.929e+02,?,?,?,?,?,?,1.000e-10,1.000e+01,3.400e+00,1.100e+00,2.400e+00,9.400e-02,1.080e+02,6.650e+00,6.638e-08,4.376e-02,1.227e-01,2.816e-01,5.249e-01,8.634e-01,1.366e-01,4.751e-01,7.184e-01,8.773e-01,9.562e-01,1.101e+00,1.114e+00,?,yes,359530
1.800e+00,-9.885e-01,5.880e+00,9.899e+01,9.770e+01,6.514e-07,4.038e-05,2.370e-05,5.688e-02,2.162e+00,2.079e+00,3.090e+00,3.010e+01,2.100e-02,2.800e-02,1.800e-02,1.170e-01,5.400e+01,3.578e-01,1.860e+00,2.760e+00,7.500e+00,2.974e+04,8.220e+00,1.610e+02,2.721e+03,1.813e+01,5.120e-01,3.440e-09,1.216e+01,4.940e+00,1.940e+00,1.500e+00,1.100e-02,7.200e+01,5.880e+00,2.379e-07,3.943e-02,1.166e-01,2.760e-01,5.223e-01,8.631e-01,1.369e-01,4.777e-01,7.240e-01,8.834e-01,9.606e-01,1.101e+00,1.174e+00,yes,yes,217805
3.425e+00,-6.565e-01,2.626e+01,6.425e+01,6.094e+01,1.880e-06,2.218e-05,8.997e-06,1.566e-02,2.056e+00,2.182e+00,1.933e+00,2.010e+01,1.440e-02,2.400e-02,1.900e-01,?,5.400e+01,4.698e-02,1.430e+01,3.510e+01,7.514e+01,1.548e+05,8.580e+00,3.800e+02,1.760e+04,1.144e+01,4.096e+00,1.000e-10,5.000e+00,1.600e+01,1.010e+00,1.800e-01,2.200e-02,1.260e+02,2.626e+01,2.169e-07,8.349e-02,2.012e-01,4.045e-01,6.623e-01,9.280e-01,7.199e-02,3.377e-01,5.955e-01,7.988e-01,9.165e-01,1.801e+00,3.578e-01,yes,yes,217704
2.427e+00,?,1.584e+01,2.231e+01,2.918e+01,2.689e-06,8.621e-05,4.512e-05,1.596e-01,2.025e+00,1.919e+00,1.785e+00,2.750e+01,3.280e-02,5.000e-03,3.600e-02,3.400e-02,5.600e+01,2.496e-02,2.368e+01,2.506e+02,3.619e+02,3.801e+04,7.400e+00,2.150e+02,5.801e+03,1.260e+01,1.024e+00,1.500e-09,8.120e+00,2.300e+01,1.300e+00,7.000e+00,3.900e-02,1.000e+02,1.584e+01,1.414e-07,3.123e-02,7.031e-02,1.392e-01,2.447e-01,4.917e-01,5.083e-01,7.553e-01,8.608e-01,9.297e-01,9.688e-01,5.010e-01,7.230e+00,yes,yes,305288
3.830e-01,-1.121e+00,2.420e+00,3.320e+02,9.202e+01,5.261e-07,8.155e-06,7.006e-05,4.063e-02,1.227e+00,4.151e+00,1.556e+00,1.380e+01,1.250e-02,2.600e-02,2.218e+00,1.330e-01,5.600e+01,7.243e-01,5.000e-01,8.600e-01,2.200e+00,2.184e+04,8.540e+00,2.010e+02,4.931e+03,3.785e+01,1.024e+00,9.590e-10,6.000e+00,2.200e+00,1.600e+00,9.300e-01,1.300e-02,8.600e+01,2.420e+00,3.547e-07,9.984e-03,3.863e-02,1.197e-01,3.075e-01,7.305e-01,2.695e-01,6.925e-01,8.803e-01,9.614e-01,9.900e-01,1.001e+00,6.978e+00,yes,yes,299787
8.360e-01,-1.407e+00,2.475e+01,1.962e+02,1.226e+02,4.407e-06,1.125e-04,7.481e-05,6.404e-02,2.030e+00,2.181e+00,1.624e+00,4.810e+01,1.440e-02,2.300e-01,2.540e-01,1.420e-01,5.500e+01,6.841e-02,1.025e+01,2.050e+01,5.100e+01,3.257e+04,1.003e+01,2.010e+02,2.934e+03,1.794e+01,5.120e-01,2.610e-09,9.530e+00,2.480e+01,1.760e+00,1.500e+00,1.700e-02,1.800e+02,2.475e+01,6.171e-07,4.408e-02,1.287e-01,3.024e-01,5.631e-01,8.900e-01,1.100e-01,4.369e-01,6.976e-01,8.713e-01,9.559e-01,1.401e+00,8.542e-01,yes,yes,271019
2.198e+00,-9.920e-01,3.090e+00,1.834e+02,1.779e+02,2.659e-06,1.180e-04,3.180e-05,3.882e-02,2.181e+00,2.114e+00,1.977e+00,6.000e+01,5.370e-02,2.400e-02,-4.100e-02,1.000e-02,5.400e+01,5.419e-01,1.200e+00,1.470e+00,4.560e+00,2.997e+04,2.278e+01,1.485e+03,1.087e+04,1.067e+02,1.024e+00,?,6.160e+00,1.620e+01,7.260e+00,6.500e-01,1.030e-01,1.110e+02,3.090e+00,1.245e-06,1.692e-02,6.027e-02,1.718e-01,3.960e-01,8.006e-01,1.994e-01,6.040e-01,8.282e-01,9.397e-01,9.831e-01,1.001e+00,3.308e+00,yes,yes,156467
1.230e+00,-1.710e+00,5.450e+00,7.408e+01,5.813e+01,9.673e-07,3.108e-05,3.127e-05,7.344e-03,1.789e+00,2.104e+00,3.073e+00,1.720e+01,6.990e-02,-3.200e-02,4.500e-02,7.400e-02,5.600e+01,9.610e-02,3.300e+00,2.405e+01,3.025e+01,3.337e+04,9.840e+00,2.880e+02,5.692e+03,2.037e+01,1.024e+00,3.590e-10,4.470e+00,5.200e+00,1.000e+00,6.990e-01,1.000e-01,8.000e+01,5.450e+00,1.759e-07,5.050e-02,1.390e-01,3.117e-01,5.628e-01,8.829e-01,1.171e-01,4.372e-01,6.883e-01,8.610e-01,9.495e-01,1.301e+00,8.425e-01,yes,yes,316204
1.261e+00,-9.570e-01,3.500e+01,8.380e+02,5.888e+02,1.146e-04,4.894e-05,2.269e-05,1.124e-01,2.122e+00,2.132e+00,1.922e+00,3.304e+02,1.770e-02,1.180e-01,8.600e-02,1.050e-01,5.500e+01,3.489e-02,1.680e+01,2.310e+01,7.490e+01,2.694e+04,1.562e+01,3.840e+02,8.020e+03,7.318e+01,1.024e+00,3.360e-08,7.000e+00,4.440e+02,1.460e+01,1.400e+00,2.100e-02,8.000e+01,3.500e+01,1.324e-05,7.830e-03,3.095e-02,1.009e-01,2.862e-01,7.498e-01,2.502e-01,7.138e-01,8.991e-01,9.691e-01,9.922e-01,1.001e+00,8.085e+00,yes,yes,232683
2.374e+00,-1.668e+00,3.774e+01,8.187e+01,6.506e+01,2.784e-06,1.268e-04,5.422e-05,3.768e-02,1.899e+00,2.068e+00,1.462e+00,2.280e+01,3.490e-02,1.930e-01,2.030e-01,8.000e-02,5.600e+01,5.426e-02,1.332e+01,7.807e+01,1.040e+02,8.673e+04,8.010e+00,2.590e+02,9.121e+03,1.577e+01,2.048e+00,2.110e-09,8.600e+00,1.800e+01,5.000e-01,1.320e+01,4.700e-02,9.400e+01,3.774e+01,2.730e-07,7.820e-02,1.976e-01,4.062e-01,6.651e-01,9.269e-01,7.305e-02,3.349e-01,5.938e-01,8.024e-01,9.218e-01,1.801e+00,3.698e-01,yes,yes,323898
