% 1. Title: Redshift Predictor for Swift GRBs
% 
% 2. Sources:
%     (a) Creator: Adam N. Morgan
%     (b) Data From: GCN Notices (http://gcn.gsfc.nasa.gov/),
%                    http://astro.berkeley.edu/~nat/Swift/
%                    http://swift.gsfc.nasa.gov/docs/swift/archive/grb_table.html/
%     (c) Date: Tue Aug  2 03:55:26 2011
% 
% 3. This file was created automatically. 
%    CHECK THE ATTRIBUTES before running Weka. 
% 
@RELATION swift_redshift

% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
@ATTRIBUTE Z NUMERIC
@ATTRIBUTE A NUMERIC
@ATTRIBUTE DT_MAX_SNR NUMERIC
@ATTRIBUTE EP NUMERIC
@ATTRIBUTE EP0 NUMERIC
@ATTRIBUTE FL NUMERIC
@ATTRIBUTE FLX_PC NUMERIC
@ATTRIBUTE FLX_PC_LATE NUMERIC
@ATTRIBUTE FLX_WT NUMERIC
@ATTRIBUTE GAM_PC NUMERIC
@ATTRIBUTE GAM_PC_LATE NUMERIC
@ATTRIBUTE GAM_WT NUMERIC
@ATTRIBUTE MAX_SNR NUMERIC
@ATTRIBUTE NH_GAL NUMERIC
@ATTRIBUTE NH_PC NUMERIC
@ATTRIBUTE NH_PC_LATE NUMERIC
@ATTRIBUTE NH_WT NUMERIC
@ATTRIBUTE NU NUMERIC
@ATTRIBUTE PK_O_CTS NUMERIC
@ATTRIBUTE RT45 NUMERIC
@ATTRIBUTE T50 NUMERIC
@ATTRIBUTE T90 NUMERIC
@ATTRIBUTE bat_bkg_inten NUMERIC
@ATTRIBUTE bat_image_signif NUMERIC
@ATTRIBUTE bat_img_peak NUMERIC
@ATTRIBUTE bat_inten NUMERIC
@ATTRIBUTE bat_rate_signif NUMERIC
@ATTRIBUTE bat_trigger_dur NUMERIC
@ATTRIBUTE xrt_inten NUMERIC
@ATTRIBUTE xrt_signif NUMERIC
@ATTRIBUTE fluence NUMERIC
@ATTRIBUTE peakflux NUMERIC
@ATTRIBUTE xrt_column NUMERIC
@ATTRIBUTE gal_EB_V NUMERIC
@ATTRIBUTE uvot_time_delta NUMERIC
@ATTRIBUTE DT_MAX_SNR NUMERIC
@ATTRIBUTE FL_over_SQRT_T90 NUMERIC
@ATTRIBUTE PROB_Z_GT_5 NUMERIC
@ATTRIBUTE PROB_Z_GT_4 NUMERIC
@ATTRIBUTE PROB_Z_GT_3 NUMERIC
@ATTRIBUTE PROB_Z_GT_2 NUMERIC
@ATTRIBUTE PROB_Z_GT_1 NUMERIC
@ATTRIBUTE PROB_Z_LT_1 NUMERIC
@ATTRIBUTE PROB_Z_LT_2 NUMERIC
@ATTRIBUTE PROB_Z_LT_3 NUMERIC
@ATTRIBUTE PROB_Z_LT_4 NUMERIC
@ATTRIBUTE PROB_Z_LT_5 NUMERIC
@ATTRIBUTE MOST_PROB_Z NUMERIC
@ATTRIBUTE Z_LT_1_OVER_Z_GT_4 NUMERIC
@ATTRIBUTE bat_is_rate_trig {yes, no}
@ATTRIBUTE uvot_detection {yes, no}
@ATTRIBUTE triggerid_str {yes, no}

@DATA
5.900e-02,?,4.070e+02,2.725e+01,3.242e+01,2.230e-06,1.530e-04,1.530e-04,1.703e-01,5.491e+00,5.491e+00,1.368e+00,7.600e+00,7.050e-02,1.212e+00,1.212e+00,4.320e-01,5.600e+01,5.300e-03,8.400e+01,2.290e+02,4.220e+02,0.000e+00,7.830e+00,1.835e+03,0.000e+00,0.000e+00,6.400e+01,2.380e-09,8.830e+00,3.000e+00,1.000e-01,5.900e+00,1.160e-01,1.480e+02,4.070e+02,1.086e-07,8.928e-02,1.811e-01,3.235e-01,5.066e-01,8.126e-01,1.874e-01,4.934e-01,6.765e-01,8.189e-01,9.107e-01,1.001e+00,1.035e+00,no,no,416135
1.160e+00,?,5.940e+00,3.499e+01,4.197e+01,2.059e-07,4.990e-06,5.105e-06,7.382e-02,2.124e+00,2.903e+00,2.483e+00,1.010e+01,1.490e-02,9.100e-02,3.360e-01,6.400e-02,5.600e+01,4.585e-01,1.200e+00,2.880e+00,5.340e+00,?,?,?,?,?,?,5.810e-10,5.500e+00,1.620e+00,6.800e-01,9.600e-01,1.700e-02,8.200e+01,5.940e+00,8.908e-08,3.537e-02,9.920e-02,2.324e-01,4.541e-01,8.149e-01,1.851e-01,5.459e-01,7.676e-01,9.008e-01,9.646e-01,1.001e+00,1.866e+00,?,yes,279592
1.547e+00,-1.359e+00,3.366e+01,3.669e+02,1.823e+02,1.424e-05,9.661e-05,6.504e-05,7.220e-02,1.772e+00,1.850e+00,1.800e+00,3.550e+01,4.050e-02,7.900e-02,8.600e-02,8.400e-02,5.600e+01,6.386e-02,8.250e+00,1.287e+01,3.069e+01,7.803e+04,9.370e+00,2.390e+02,1.373e+04,7.751e+01,2.048e+00,6.090e-10,5.090e+00,6.800e-01,5.500e+00,7.000e+00,4.800e-02,3.950e+02,3.366e+01,2.571e-06,2.433e-02,7.977e-02,2.124e-01,4.594e-01,8.478e-01,1.522e-01,5.406e-01,7.876e-01,9.202e-01,9.757e-01,1.201e+00,1.907e+00,yes,yes,338895
1.692e+00,-1.733e+00,1.414e+01,7.408e+01,6.332e+01,3.959e-06,2.219e-04,1.098e-04,2.545e-01,2.117e+00,2.094e+00,1.591e+00,3.980e+01,5.590e-02,6.400e-02,5.300e-02,7.200e-02,5.600e+01,5.535e-02,2.338e+01,1.218e+02,2.849e+02,0.000e+00,8.920e+00,2.444e+03,0.000e+00,0.000e+00,1.120e+02,5.770e-09,1.228e+01,2.500e+01,2.100e+00,1.700e+00,6.700e-02,1.610e+02,1.414e+01,2.346e-07,8.286e-02,2.024e-01,4.083e-01,6.658e-01,9.308e-01,6.921e-02,3.342e-01,5.917e-01,7.976e-01,9.171e-01,1.701e+00,3.419e-01,no,yes,326115
3.850e+00,-9.810e-01,3.700e+01,4.055e+02,1.290e+02,3.254e-06,2.826e-05,1.168e-06,2.250e-02,1.763e+00,3.929e-01,1.548e+00,1.520e+01,2.960e-02,-3.200e-02,-2.000e-01,2.530e-01,5.600e+01,2.870e-02,1.369e+01,3.885e+01,8.177e+01,2.136e+05,8.610e+00,6.470e+02,4.461e+04,1.367e+01,1.216e+01,5.770e-10,4.470e+00,1.200e+01,6.000e-01,1.900e+01,4.000e-02,1.060e+02,3.700e+01,3.598e-07,3.568e-02,1.085e-01,2.651e-01,5.183e-01,8.699e-01,1.301e-01,4.817e-01,7.349e-01,8.915e-01,9.643e-01,1.201e+00,1.199e+00,yes,no,352648
4.109e+00,-1.560e+00,3.360e+02,1.350e+02,1.012e+02,1.490e-05,1.394e-04,1.171e-04,3.772e-01,2.141e+00,2.135e+00,1.992e+00,2.400e+01,4.470e-02,5.500e-02,5.500e-02,7.400e-02,5.600e+01,1.607e-02,3.696e+01,8.064e+01,2.285e+02,2.263e+05,8.830e+00,5.540e+02,1.005e+05,1.410e+01,2.688e+01,1.960e-08,5.830e+00,9.000e+01,1.600e+00,1.570e+00,5.000e-02,1.710e+02,3.360e+02,9.859e-07,5.777e-02,1.544e-01,3.402e-01,6.049e-01,9.148e-01,8.519e-02,3.951e-01,6.598e-01,8.456e-01,9.422e-01,1.501e+00,5.517e-01,yes,no,352190
2.296e+00,4.996e+00,8.670e+00,8.277e+01,2.964e+01,4.757e-07,1.796e-04,1.794e-04,2.115e-01,2.011e+00,2.011e+00,1.434e+00,5.400e+00,8.980e-02,5.800e-02,5.800e-02,3.100e-02,5.300e+01,2.412e-01,2.380e+00,5.270e+00,8.160e+00,3.352e+04,6.590e+00,1.660e+02,5.042e+03,1.072e+01,1.024e+00,?,?,4.610e+00,8.900e-01,1.720e+00,1.350e-01,1.840e+02,8.670e+00,1.665e-07,4.387e-02,1.251e-01,2.890e-01,5.367e-01,8.700e-01,1.300e-01,4.633e-01,7.110e-01,8.749e-01,9.561e-01,1.201e+00,1.039e+00,yes,yes,178750
6.535e-01,-8.640e-01,2.880e+00,1.519e+01,2.418e+01,3.512e-07,3.825e-05,2.559e-05,1.240e-02,2.076e+00,2.126e+00,3.031e+00,1.750e+01,2.440e-02,2.340e-01,2.470e-01,7.400e-02,5.400e+01,1.137e+00,6.300e-01,1.230e+00,2.910e+00,3.536e+04,1.100e+01,?,?,1.926e+01,5.120e-01,?,?,3.670e+00,4.880e+00,2.500e+00,3.000e-02,6.500e+01,2.880e+00,2.058e-07,1.402e-03,4.345e-03,1.183e-02,3.080e-02,1.215e-01,8.785e-01,9.692e-01,9.882e-01,9.957e-01,9.986e-01,3.010e-01,2.022e+02,yes,yes,114753
2.711e+00,-1.903e+00,3.168e+01,5.317e+01,?,4.299e-06,2.806e-05,1.251e-05,1.724e-01,2.037e+00,2.073e+00,1.924e+00,4.400e+01,6.050e-02,5.600e-02,9.700e-02,9.200e-02,5.500e+01,3.116e-02,2.208e+01,8.640e+01,1.187e+02,1.548e+05,8.780e+00,3.630e+02,1.779e+04,1.486e+01,4.096e+00,1.000e-08,1.483e+01,2.830e+01,1.280e+00,1.890e+00,7.700e-02,1.090e+02,3.168e+01,3.945e-07,6.113e-02,1.466e-01,2.995e-01,5.199e-01,8.588e-01,1.412e-01,4.801e-01,7.005e-01,8.534e-01,9.389e-01,1.001e+00,9.633e-01,yes,yes,219101
2.452e+00,-1.292e+00,4.429e+01,2.718e+02,1.515e+02,1.173e-05,2.126e-04,1.240e-04,1.226e-01,1.817e+00,2.051e+00,2.072e+00,7.850e+01,2.260e-02,2.300e-02,7.700e-02,7.000e-02,5.600e+01,5.404e-02,1.849e+01,2.623e+01,9.976e+01,2.720e+04,1.025e+01,2.600e+02,4.950e+03,2.338e+01,1.024e+00,4.950e-09,1.148e+01,5.800e+01,3.600e+00,1.000e+01,2.400e-02,8.600e+01,4.429e+01,1.174e-06,4.393e-02,1.286e-01,3.031e-01,5.667e-01,8.940e-01,1.060e-01,4.333e-01,6.969e-01,8.714e-01,9.561e-01,1.401e+00,8.241e-01,yes,yes,359711
2.641e+00,-1.752e+00,2.163e+01,9.048e+01,9.002e+01,2.738e-06,7.454e-05,3.994e-05,1.059e-01,2.204e+00,2.240e+00,2.743e+00,3.660e+01,5.470e-02,1.170e-01,1.090e-01,2.040e-01,5.600e+01,5.465e-02,8.820e+00,1.197e+01,4.389e+01,0.000e+00,1.785e+01,4.514e+03,0.000e+00,0.000e+00,8.000e+01,1.000e-10,1.000e+01,1.800e+01,1.600e+00,2.150e+00,8.300e-02,1.600e+02,2.163e+01,4.132e-07,5.664e-02,1.535e-01,3.385e-01,5.979e-01,9.030e-01,9.704e-02,4.021e-01,6.615e-01,8.465e-01,9.434e-01,1.501e+00,6.324e-01,no,yes,302888
4.650e+00,-8.902e-01,1.224e+01,3.329e+01,4.491e+01,1.923e-07,6.683e-05,4.274e+01,1.107e+04,2.045e+00,4.669e+00,6.447e-01,1.300e+01,7.720e-02,4.100e-02,1.360e+02,8.836e+02,5.500e+01,1.121e-01,2.640e+00,5.160e+00,1.068e+01,1.363e+05,8.160e+00,3.970e+02,1.593e+04,1.513e+01,4.096e+00,1.000e-10,1.000e+01,1.900e+00,5.000e-01,7.700e-01,1.170e-01,9.200e+01,1.224e+01,5.884e-08,4.776e-02,1.256e-01,2.786e-01,5.160e-01,8.591e-01,1.409e-01,4.840e-01,7.214e-01,8.744e-01,9.522e-01,1.101e+00,1.121e+00,yes,no,342121
2.770e+00,-1.037e+00,1.140e+01,1.350e+02,1.362e+02,7.306e-06,1.962e-04,9.527e-05,5.487e-02,2.007e+00,2.080e+00,2.014e+00,1.476e+02,2.240e-02,3.100e-02,4.300e-02,2.400e-02,5.500e+01,1.210e-01,4.200e+00,5.760e+00,3.348e+01,2.694e+04,8.080e+00,1.150e+02,1.521e+03,2.204e+01,2.560e-01,3.910e-09,1.100e+01,4.800e+01,7.700e+00,4.610e-01,2.100e-02,6.000e+01,1.140e+01,1.263e-06,1.730e-02,5.655e-02,1.553e-01,3.684e-01,8.128e-01,1.872e-01,6.316e-01,8.447e-01,9.435e-01,9.827e-01,1.101e+00,3.311e+00,yes,yes,337914
4.772e+00,-1.652e+00,6.138e+01,8.187e+01,6.452e+01,2.075e-06,5.551e-05,2.559e-05,2.733e-02,2.220e+00,2.290e+00,2.145e+00,2.330e+01,4.190e-02,1.400e-02,7.700e-02,3.600e-02,5.600e+01,2.334e-02,1.860e+01,3.286e+01,6.510e+01,2.055e+05,1.040e+01,9.280e+02,4.373e+04,1.086e+01,1.216e+01,1.000e-10,1.000e+01,1.400e+01,6.000e-01,1.900e+01,5.300e-02,1.300e+02,6.138e+01,2.572e-07,9.438e-02,2.276e-01,4.474e-01,7.007e-01,9.381e-01,6.188e-02,2.993e-01,5.526e-01,7.724e-01,9.056e-01,2.001e+00,2.719e-01,yes,no,421814
2.580e+00,?,5.445e+01,3.679e+01,5.181e+01,1.574e-06,1.610e-05,1.249e-05,3.779e-02,2.124e+00,2.501e+00,2.647e+00,1.980e+01,3.740e-02,-4.100e-02,8.700e-02,1.000e-03,5.600e+01,1.967e-02,1.815e+01,2.860e+01,6.655e+01,?,?,?,?,?,?,6.010e-10,5.740e+00,1.200e+01,6.000e-01,3.700e-01,4.500e-02,1.500e+02,5.445e+01,1.929e-07,6.627e-02,1.536e-01,3.081e-01,5.337e-01,8.718e-01,1.282e-01,4.663e-01,6.919e-01,8.464e-01,9.337e-01,1.101e+00,8.348e-01,?,no,334877
1.497e+00,-1.671e+00,1.800e+01,1.196e+02,1.050e+02,9.043e-06,1.194e-04,8.937e-05,2.866e-01,2.010e+00,2.038e+00,2.125e+00,8.540e+01,2.850e-02,3.160e-01,3.110e-01,3.730e-01,5.500e+01,5.772e-02,1.602e+01,3.006e+01,2.614e+02,2.178e+05,9.850e+00,7.050e+02,4.485e+04,1.330e+01,1.216e+01,1.280e-08,4.890e+00,5.380e+01,4.070e+00,3.900e+00,2.700e-02,1.460e+02,1.800e+01,5.594e-07,4.445e-02,1.261e-01,2.936e-01,5.534e-01,8.934e-01,1.066e-01,4.466e-01,7.064e-01,8.739e-01,9.555e-01,1.401e+00,8.458e-01,yes,no,263361
8.450e-01,-1.260e+00,1.350e+02,3.004e+02,8.054e+01,3.242e-06,9.914e-05,6.028e-05,?,1.999e+00,1.993e+00,?,1.260e+01,4.100e-02,4.200e-02,4.000e-02,?,5.600e+01,3.274e-02,2.295e+01,7.290e+01,1.391e+02,1.656e+05,8.570e+00,3.870e+02,1.862e+04,1.200e+01,4.096e+00,?,?,1.400e+01,1.000e+00,1.600e+00,7.500e-02,3.186e+03,1.350e+02,2.750e-07,6.720e-02,1.772e-01,3.783e-01,6.401e-01,9.195e-01,8.053e-02,3.599e-01,6.217e-01,8.228e-01,9.328e-01,1.701e+00,4.545e-01,yes,yes,316534
6.890e-01,-1.084e+00,3.700e+01,1.051e+02,1.076e+02,5.551e-06,3.628e-05,2.176e-05,2.364e-01,1.917e+00,1.995e+00,2.233e+00,8.930e+01,1.830e-02,1.840e-01,1.540e-01,2.730e-01,5.500e+01,4.678e-02,1.332e+01,2.368e+01,6.253e+01,3.275e+04,2.032e+01,8.600e+02,8.314e+03,5.992e+01,1.024e+00,1.000e-10,1.000e+01,4.000e+01,2.700e+00,2.600e+00,1.900e-02,7.800e+01,3.700e+01,7.020e-07,5.118e-02,1.408e-01,3.191e-01,5.858e-01,9.079e-01,9.212e-02,4.142e-01,6.809e-01,8.592e-01,9.488e-01,1.501e+00,6.541e-01,yes,yes,324895
2.030e+00,?,6.640e+00,4.402e+01,4.329e+02,5.119e-07,3.918e-05,2.395e-05,4.686e-04,2.102e+00,2.073e+00,1.598e+00,2.050e+01,1.780e-02,6.200e-02,1.030e-01,-2.200e-02,5.500e+01,1.930e-01,3.360e+00,5.520e+00,1.528e+01,3.242e+04,8.510e+00,2.420e+02,5.091e+03,1.374e+01,1.024e+00,?,?,3.690e+00,7.700e-01,1.700e-01,1.800e-02,7.600e+01,6.640e+00,1.310e-07,5.446e-02,1.415e-01,3.068e-01,5.480e-01,8.719e-01,1.281e-01,4.520e-01,6.932e-01,8.585e-01,9.455e-01,1.201e+00,9.056e-01,yes,no,176453
3.076e+00,-1.232e+00,3.636e+01,4.482e+02,2.004e+02,3.625e-06,2.895e-05,1.585e-05,1.870e-02,2.150e+00,2.276e+00,2.795e+00,1.300e+01,2.990e-02,6.900e-02,6.800e-02,1.100e-01,5.600e+01,4.987e-02,8.280e+00,1.656e+01,4.968e+01,1.917e+05,7.640e+00,4.940e+02,5.305e+04,1.352e+01,1.638e+01,1.000e-10,1.000e+01,1.600e+01,1.300e+00,9.900e-01,3.100e-02,1.560e+02,3.636e+01,5.143e-07,3.278e-02,1.011e-01,2.510e-01,4.997e-01,8.593e-01,1.407e-01,5.003e-01,7.490e-01,8.989e-01,9.672e-01,1.201e+00,1.392e+00,yes,yes,375246
4.220e-01,-1.328e+00,2.520e+01,2.354e+02,1.226e+02,4.423e-06,8.129e-05,5.242e-05,6.030e-02,1.969e+00,2.099e+00,1.772e+00,1.990e+01,5.040e-02,1.290e-01,1.570e-01,1.440e-01,5.500e+01,3.466e-02,1.680e+01,3.885e+01,8.820e+01,0.000e+00,7.610e+00,1.450e+03,0.000e+00,0.000e+00,7.200e+01,?,1.067e+01,2.150e+01,9.600e-01,1.980e+00,7.400e-02,1.850e+02,2.520e+01,4.710e-07,5.126e-02,1.445e-01,3.285e-01,5.916e-01,9.022e-01,9.782e-02,4.084e-01,6.715e-01,8.555e-01,9.487e-01,1.501e+00,6.769e-01,no,no,148833
