% 1. Title: Redshift Predictor for Swift GRBs
% 
% 2. Sources:
%     (a) Creator: Adam N. Morgan
%     (b) Data From: GCN Notices (http://gcn.gsfc.nasa.gov/),
%                    http://astro.berkeley.edu/~nat/Swift/
%                    http://swift.gsfc.nasa.gov/docs/swift/archive/grb_table.html/
%     (c) Date: Tue Aug  2 03:55:28 2011
% 
% 3. This file was created automatically. 
%    CHECK THE ATTRIBUTES before running Weka. 
% 
@RELATION swift_redshift

% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
@ATTRIBUTE grb {yes, no}
@ATTRIBUTE Q_hat_train {yes, no}
@ATTRIBUTE Z {yes, no}
@ATTRIBUTE A {yes, no}
@ATTRIBUTE EP0 {yes, no}
@ATTRIBUTE FL {yes, no}
@ATTRIBUTE MAX_SNR {yes, no}
@ATTRIBUTE NH_PC {yes, no}
@ATTRIBUTE T90 {yes, no}
@ATTRIBUTE bat_image_signif {yes, no}
@ATTRIBUTE bat_img_peak {yes, no}
@ATTRIBUTE bat_is_rate_trig {yes, no}
@ATTRIBUTE bat_trigger_dur {yes, no}
@ATTRIBUTE uvot_detection {yes, no}
@ATTRIBUTE PROB_Z_GT_4 {yes, no}

@DATA
100425A,5.211e-01,1.755e+00,-5.261e-01,3.602e+01,4.109e-07,1.480e+01,5.400e-02,4.356e+01,9.390e+00,2.380e+02,yes,1.024e+00,no,4.162e-02
050318,7.298e-01,1.440e+00,-1.217e+00,5.086e+01,1.408e-06,4.900e+01,1.800e-02,3.096e+01,9.000e+00,?,yes,5.120e-01,yes,6.291e-02
060614,8.160e-01,1.250e-01,-1.903e+00,2.082e+02,2.822e-05,1.919e+02,1.400e-02,1.088e+02,1.845e+01,5.630e+02,yes,1.024e+00,yes,6.397e-02
060906,4.623e-01,3.686e+00,-1.966e+00,?,3.557e-06,3.050e+01,2.100e-02,7.296e+01,7.960e+00,1.462e+03,no,6.400e+01,no,1.018e-01
060908,3.143e-01,2.430e+00,-7.727e-01,1.460e+02,4.128e-06,4.740e+01,1.800e-02,1.848e+01,8.730e+00,2.400e+02,yes,1.024e+00,yes,1.208e-01
080604,4.428e-01,1.416e+00,-1.724e+00,5.574e+01,1.452e-06,1.610e+01,-1.800e-02,1.253e+02,1.168e+01,2.763e+03,no,6.400e+01,yes,2.582e-01
080605,8.138e-01,1.640e+00,-1.125e+00,2.278e+02,2.232e-05,1.575e+02,1.520e-01,1.957e+01,2.582e+01,1.604e+03,yes,1.024e+00,yes,2.899e-02
080607,8.249e-01,3.036e+00,-1.165e+00,8.603e+02,5.119e-05,1.230e+02,1.420e-01,8.366e+01,1.787e+01,7.410e+02,yes,1.024e+00,yes,2.830e-02
090618,8.210e-01,5.400e-01,-1.294e+00,1.413e+02,1.477e-04,7.198e+02,9.700e-02,1.152e+02,2.257e+01,1.097e+03,yes,1.024e+00,yes,2.612e-02
071117,6.804e-01,1.331e+00,-1.163e+00,1.324e+02,3.400e-06,7.640e+01,1.020e-01,6.480e+00,2.557e+01,2.183e+03,yes,1.024e+00,no,5.349e-02
081028A,2.875e-01,3.038e+00,-1.311e+00,7.074e+01,4.317e-06,4.200e+01,1.800e-02,2.756e+02,1.795e+01,6.719e+03,no,1.280e+02,yes,2.853e-01
080520,8.117e-01,1.545e+00,?,1.902e+01,5.814e-08,8.300e+00,2.050e-01,2.970e+00,?,?,?,?,yes,2.016e-02
070611,7.610e-02,2.040e+00,6.910e-02,5.489e+01,3.424e-07,1.040e+01,1.200e-02,1.131e+01,9.070e+00,3.840e+02,yes,4.096e+00,yes,1.416e-01
060604,4.128e-01,2.680e+00,?,2.053e+01,2.666e-07,6.400e+00,3.500e-02,3.990e+01,6.780e+00,3.450e+02,yes,4.096e+00,yes,1.168e-01
060202,4.158e-01,7.830e-01,-1.737e+00,7.431e+01,3.802e-06,1.510e+01,4.830e-01,2.059e+02,7.000e+00,1.260e+03,no,6.400e+01,no,2.905e-01
050814,1.240e-01,5.300e+00,-4.337e-01,5.816e+01,8.082e-07,6.800e+00,5.000e-03,2.754e+01,?,?,?,?,no,2.135e-01
100316B,7.193e-01,1.180e+00,?,3.611e+01,2.512e-07,1.800e+01,-5.500e-02,4.300e+00,9.100e+00,1.890e+02,yes,5.120e-01,yes,5.863e-02
060605,9.179e-02,3.780e+00,-3.394e-01,9.466e+01,6.050e-07,1.640e+01,2.000e-02,1.854e+01,7.960e+00,3.630e+02,yes,3.072e+00,yes,1.341e-01
100316D,2.315e-01,5.900e-02,?,3.242e+01,2.230e-06,7.600e+00,1.212e+00,4.220e+02,7.830e+00,1.835e+03,no,6.400e+01,no,1.811e-01
050730,1.274e-01,3.969e+00,-1.375e+00,1.110e+02,2.609e-06,1.320e+01,5.000e-03,6.048e+01,1.096e+01,1.019e+03,yes,1.216e+01,yes,1.747e-01
100418A,6.221e-01,6.240e-01,?,2.597e+01,4.777e-07,1.330e+01,4.700e-02,9.630e+00,7.060e+00,1.770e+02,yes,1.024e+00,yes,1.040e-01
070110,9.994e-02,2.352e+00,-1.526e+00,8.228e+01,2.496e-06,2.590e+01,-3.000e-03,4.770e+01,1.023e+01,4.910e+02,yes,3.072e+00,yes,2.087e-01
060510B,9.655e-02,4.900e+00,-1.413e+00,8.820e+01,4.383e-06,2.230e+01,2.700e-02,2.299e+02,1.054e+01,2.188e+03,no,6.400e+01,no,3.083e-01
090927,7.151e-01,1.370e+00,-1.772e+00,?,4.936e-07,1.430e+01,7.100e-02,1.836e+01,1.142e+01,2.360e+02,yes,5.120e-01,yes,8.047e-02
070508,8.166e-01,8.200e-01,-1.004e+00,2.075e+02,3.337e-05,2.621e+02,2.450e-01,2.120e+01,?,?,?,?,yes,2.026e-02
081029,1.706e-01,3.848e+00,-1.433e+00,1.295e+02,3.342e-06,1.600e+01,1.900e-02,1.691e+02,1.149e+01,2.138e+03,no,6.400e+01,yes,2.184e-01
091208B,7.129e-01,1.063e+00,-1.284e+00,7.677e+01,3.825e-06,2.950e+01,2.190e-01,1.521e+01,9.310e+00,1.680e+02,yes,1.024e+00,yes,3.324e-02
070506,5.477e-01,2.310e+00,5.000e+00,3.103e+01,1.994e-07,8.600e+00,1.520e-01,3.550e+00,8.480e+00,2.083e+03,no,6.400e+01,yes,1.016e-01
060210,1.554e-01,3.910e+00,-1.474e+00,9.648e+01,1.422e-05,4.280e+01,7.200e-02,3.699e+02,8.420e+00,2.040e+02,yes,1.024e+00,no,1.753e-01
061110B,3.942e-01,3.440e+00,-6.588e-01,1.443e+02,2.573e-06,1.580e+01,1.680e-01,3.239e+01,8.140e+00,3.610e+02,yes,4.096e+00,no,7.195e-02
061110A,2.343e-01,7.570e-01,-1.556e+00,7.669e+01,2.015e-06,2.410e+01,-4.700e-02,4.704e+01,7.330e+00,2.860e+02,yes,2.048e+00,no,1.941e-01
