@relation input_data
@attribute Z numeric
@attribute A numeric
@attribute EP0 numeric
@attribute FL numeric
@attribute MAX_SNR numeric
@attribute NH_PC numeric
@attribute T90 numeric
@attribute bat_image_signif numeric
@attribute bat_img_peak numeric
@attribute bat_trigger_dur numeric
@attribute PROB_Z_GT_4 numeric
@attribute bat_is_rate_trig {'no','yes'}
@attribute uvot_detection {'no','yes'}
@attribute triggerid_str {'106709','111063','111529','111622','114753','117504','130088','148225','148646','148833','150314','151207','152113','153514','154112','156467','163136','163170','174738','176453','177408','177533','178750','179968','180455','180977','191157','192059','205851','207399','208169','209352','209755','211117','211957','213486','213630','213823','214805','217704','217805','219101','221755','228006','228316','228581','229185','231231','231362','232339','232683','238108','238174','239899','240766','252593','255445','259714','263361','271019','275087','276205','278693','278854','279592','280706','282003','284856','285654','286809','287364','295670','296805','297114','299787','301981','302888','305288','306757','306778','308041','309096','309111','310613','312047','313087','313116','313299','313417','316204','316534','317508','319016','319036','319584','323898','324561','324895','326115','330856','331093','332851','332931','334877','335105','336489','337914','338895','342121','349510','350184','350311','352190','352648','353540','355083','357512','359530','359711','359951','370791','370846','373172','373458','374210','375246','377179','378559','412982','414592','416103','416135','419797','420398','421814','425151'}
@attribute useless1 numeric
@attribute useless2 numeric
@data
4.27,-1.407,89.43,4.836e-06,21.8,0.048,60.2,10,?,2.048,0.1477,'yes','no','117504',0.707917525200173,0.517183917108923
6.6,-1.4,95.32,2.878e-06,11.5,0.762,36,6.58,454,16.38,0.1455,'yes','no','177533',0.161175095243379,0.356221164111048
3.53,-1.148,69.81,1.873e-06,27.4,-0.048,109.9,10.48,775,8.192,0.2178,'yes','no','177408',0.0304211180191487,0.226672193501145
0.767,-1.74,113.1,1.859e-06,52.7,0.148,16.2,10.83,262,0.512,0.1073,'yes','yes','310613',0.181452360237017,0.681901458417997
0.5295,-1.353,35.31,5.909e-07,19.6,0.267,5.55,9.43,221,1.024,0.0256,'yes','yes','330856',0.148007834795862,0.939999355003238
2.5,-1.346,124.4,5.22e-06,13.5,0.119,112.2,6.76,419,12.16,0.1627,'yes','yes','280706',0.79617636394687,0.943213525461033
1.969,-1.303,105.2,5.613e-06,50.7,0.044,199.3,10,382,2.048,0.2061,'yes','yes','331093',0.322095222072676,0.908763900399208
0.714,-1.088,92.03,4.432e-07,12.5,0.007,4.3,10.59,323,1.024,0.04889,'yes','no','174738',0.101826052181423,0.383704280713573
3.35,-1.313,174.5,9.705e-06,57.9,0.014,453.2,7.59,196,1.024,0.1549,'yes','yes','319584',0.453706290340051,0.0793013309594244
3.969,-1.375,111,2.609e-06,13.2,0.005,60.48,10.96,1019,12.16,0.1747,'yes','yes','148225',0.0657825160305947,0.598111766623333
0.624,?,25.97,4.777e-07,13.3,0.047,9.63,7.06,177,1.024,0.104,'yes','yes','419797',0.340480720391497,0.43790589668788
1.37,-1.772,?,4.936e-07,14.3,0.071,18.36,11.42,236,0.512,0.08047,'yes','yes','370846',0.137383594643325,0.539141933200881
4.813,?,268.9,5.319e-07,15.2,0.018,31.72,7.73,1502,64,0.1948,'no','no','414592',0.548267541220412,0.639965331647545
1.314,-1.375,230.4,2.792e-05,273.8,0.118,83,8.08,110,0.256,0.03216,'yes','yes','239899',0.406413377728313,0.0465533279348165
1.159,-1.159,223.1,1.387e-05,85.7,0.133,26.78,8.76,219,1.024,0.06414,'yes','yes','240766',0.0478095235303044,0.00777434115298092
3,-1.613,130.1,8.995e-06,84.9,0.071,267.5,11.48,332,1.024,0.1213,'yes','yes','357512',0.75274598505348,0.151675437344238
6.7,-0.4048,98.2,7.597e-07,16.7,0.038,8.19,9.39,200,1.024,0.0952,'yes','no','324561',0.876121246488765,0.428199447225779
1.489,-1.546,146.4,1.363e-05,80.6,0.064,103.2,10.8,295,1.024,0.09424,'yes','yes','205851',0.30967995012179,0.0293716965243220
2.625,-0.8031,43.47,1.098e-06,17.7,0.007,79.79,8.87,1732,64,0.2002,'no','yes','353540',0.275780841941014,0.974610593169928
4.41,-1.008,74.01,6.762e-07,18,-0.015,8.4,9.99,269,1.024,0.1402,'yes','yes','192059',0.234260383993387,0.92885093553923
5.11,-0.6852,76.95,1.216e-06,16.5,-0.001,74.1,13.36,3110,64,0.228,'no','yes','211117',0.608437104150653,0.203384221764281
2.737,-1.696,?,9.22e-07,11.8,0.073,192.9,?,?,?,0.1227,?,'yes','359530',0.96745777479373,0.0511182793416083
1.8,-0.9885,97.7,6.514e-07,30.1,0.028,7.5,8.22,161,0.512,0.1166,'yes','yes','217805',0.596280212281272,0.700086569646373
3.425,-0.6565,60.94,1.88e-06,20.1,0.024,75.14,8.58,380,4.096,0.2012,'yes','yes','217704',0.386293213814497,0.92062986898236
2.427,?,29.18,2.689e-06,27.5,0.005,361.9,7.4,215,1.024,0.07031,'yes','yes','305288',0.120932658202946,0.854840488405898
0.383,-1.121,92.02,5.261e-07,13.8,0.026,2.2,8.54,201,1.024,0.03863,'yes','yes','299787',0.576526536606252,0.657413032604381
0.836,-1.407,122.6,4.407e-06,48.1,0.23,51,10.03,201,0.512,0.1287,'yes','yes','271019',0.0755505221895874,0.996090047992766
2.198,-0.992,177.9,2.659e-06,60,0.024,4.56,22.78,1485,1.024,0.06027,'yes','yes','156467',0.658212063135579,0.696318663656712
1.23,-1.71,58.13,9.673e-07,17.2,-0.032,30.25,9.84,288,1.024,0.139,'yes','yes','316204',0.527301032328978,0.558747665956616
1.261,-0.957,588.8,0.0001146,330.4,0.118,74.9,15.62,384,1.024,0.03095,'yes','yes','232683',0.248373705660924,0.905689864652231
2.374,-1.668,65.06,2.784e-06,22.8,0.193,104,8.01,259,2.048,0.1976,'yes','yes','323898',0.263932915637270,0.0658579766750336
2.692,?,26.85,1.103e-06,15.9,0.024,187.2,9.48,455,4.096,0.1518,'yes','yes','295670',0.247162397485226,0.365618162322789
3.3,-1.794,56.53,8.902e-07,37.5,-0.011,6.54,8.2,231,1.024,0.1103,'yes','no','232339',0.724533614702523,0.484669465105981
0.703,-0.9957,82.48,1.881e-06,34.2,0.13,171,8.68,162,0.512,0.1434,'yes','yes','228006',0.832794355927035,0.771992736961693
2.69,-1.221,72.27,2.869e-06,70,0.071,59.5,10.63,213,0.512,0.08549,'yes','yes','313087',0.105126054724678,0.412437698803842
6.29,-1.172,322.6,1.223e-05,38.4,0.008,197.2,13.26,2820,64,0.1486,'no','no','153514',0.092384132090956,0.274746279697865
3.35,-1.713,52.96,6.151e-07,12.5,-0.024,10.8,9.29,311,2.048,0.1556,'yes','yes','154112',0.319075219798833,0.297402572818100
1.1,-1.19,69,3.703e-06,64.4,0.095,7.04,23,1450,1.024,0.01725,'yes','yes','309111',0.694444226566702,0.490554509218782
2.433,-1.56,109.2,5.881e-06,74.8,0.066,46.62,9.06,209,0.512,0.0954,'yes','yes','309096',0.388629192486405,0.359300219919533
0.606,-0.83,81.58,1.861e-05,339.9,0.049,9.1,18,?,0.064,0.01235,'yes','yes','130088',0.96333859837614,0.58146765246056
0.4428,-0.4666,33.45,2.032e-07,8.1,-0.054,8.37,9.39,437,4.096,0.05254,'yes','yes','209755',0.0712165685836226,0.678178088041022
1.545,?,19.02,5.814e-08,8.3,0.205,2.97,?,?,?,0.02016,?,'yes','312047',0.264065050985664,0.859366350341588
0.783,-1.737,74.31,3.802e-06,15.1,0.483,205.9,7,1260,64,0.2905,'no','no','179968',0.613939862698317,0.539082541363314
4.045,-1.184,87.03,1.044e-06,45.1,0.037,6.06,10.17,199,0.512,0.1164,'yes','yes','180455',0.941975452005863,0.93783749686554
3.221,-1.876,?,1.846e-06,23.5,-0.021,295.6,9.05,179,0.512,0.1812,'yes','yes','211957',0.284662415273488,0.231394388247281
2.615,-1.165,286.6,8.688e-06,41.4,0.021,239.7,8.38,234,1.024,0.08937,'yes','yes','151207',0.377321811160073,0.225988147547469
5.6,-0.82,70.9,1.318e-06,43.1,-0.022,23.03,12.06,220,0.256,0.1242,'yes','no','231362',0.649306175066158,0.698376904241741
3.2,?,23.71,2.477e-07,17,0.162,7.05,11.6,371,1.024,0.02986,'yes','no','231231',0.407187931938097,0.567007334437221
2.346,1.229,51.84,1.558e-06,14.1,0.05,4.9,11.47,264,2.048,0.08455,'yes','yes','163136',0.221215858357027,0.0693511285353452
0.08,-0.2721,52.99,1.671e-07,7.3,0.011,8.32,9.84,527,4.096,0.1338,'yes','no','163170',0.34376644808799,0.491490548709407
4.349,-1.219,77.24,1.915e-06,11.6,0.165,45.6,7.51,1323,64,0.1347,'no','no','301981',0.241017078282312,0.560271534603089
0.297,-1.216,108.9,1.031e-06,12.5,0.235,34.44,8.16,533,8.192,0.1019,'yes','no','152113',0.208289328496903,0.531203281832859
0.97,-0.275,30.46,5.423e-07,12.5,0.16,161.3,10.8,2494,64,0.1994,'no','yes','276205',0.0385247168596834,0.457483116304502
0.49,?,42.51,1.239e-05,50.7,0.036,9.57,17.95,660,1.024,0.004874,'yes','yes','377179',0.918517532059923,0.763146662386134
1.24,-0.464,78.25,7.75e-06,63.3,0.168,126.4,6.74,156,1.024,0.107,'yes','no','370791',0.247115498408675,0.995592990191653
3.082,-1.014,137.5,3.684e-06,50.7,0.02,102.6,14.77,490,1.024,0.172,'yes','yes','213823',0.903693093219772,0.244251107564196
2.45,-1.82,?,3.96e-07,7.3,0.014,14.72,7.15,1465,64,0.1593,'no','no','286809',0.809922630432993,0.194535101298243
