@relation input_data
@attribute Z numeric
@attribute A numeric
@attribute EP0 numeric
@attribute FL numeric
@attribute MAX_SNR numeric
@attribute NH_PC numeric
@attribute T90 numeric
@attribute bat_image_signif numeric
@attribute bat_img_peak numeric
@attribute bat_trigger_dur numeric
@attribute PROB_Z_GT_4 numeric
@attribute bat_is_rate_trig {'no','yes'}
@attribute uvot_detection {'no','yes'}
@attribute triggerid_str {'106709','111063','111529','111622','114753','117504','130088','148225','148646','148833','150314','151207','152113','153514','154112','156467','163136','163170','174738','176453','177408','177533','178750','179968','180455','180977','191157','192059','205851','207399','208169','209352','209755','211117','211957','213486','213630','213823','214805','217704','217805','219101','221755','228006','228316','228581','229185','231231','231362','232339','232683','238108','238174','239899','240766','252593','255445','259714','263361','271019','275087','276205','278693','278854','279592','280706','282003','284856','285654','286809','287364','295670','296805','297114','299787','301981','302888','305288','306757','306778','308041','309096','309111','310613','312047','313087','313116','313299','313417','316204','316534','317508','319016','319036','319584','323898','324561','324895','326115','330856','331093','332851','332931','334877','335105','336489','337914','338895','342121','349510','350184','350311','352190','352648','353540','355083','357512','359530','359711','359951','370791','370846','373172','373458','374210','375246','377179','378559','412982','414592','416103','416135','419797','420398','421814','425151'}
@attribute useless1 numeric
@attribute useless2 numeric
@attribute useless3 numeric
@attribute useless4 numeric
@data
2.2,-1.033,164.6,9.019e-06,31.1,0.009,61.74,7.49,143,1.024,0.08176,'yes','yes','319016',0.522235911572352,0.44114222866483,0.912589789833874,0.649519238620996
1.505,-1.54,151,4.47e-06,49.7,0.194,111.8,8.81,224,1.024,0.1589,'yes','no','319036',0.452848633052781,0.146526410477236,0.88438638439402,0.328889008145779
1.51,?,27.89,4.41e-07,13.4,0.081,66.1,7.58,187,1.024,0.0862,'yes','yes','308041',0.939906225074083,0.959470739588141,0.99326559714973,0.185487388633192
2.602,-0.9507,283.3,3.411e-05,37.2,0.058,29.92,10.24,271,1.024,0.03663,'yes','yes','317508',0.87946303980425,0.0581086804158986,0.583046560408548,0.971812656382099
0.757,-1.556,76.69,2.015e-06,24.1,-0.047,47.04,7.33,286,2.048,0.1941,'yes','no','238108',0.308208743110299,0.710902293911204,0.620651160366833,0.0292851033154875
0.125,-1.903,208.2,2.822e-05,191.9,0.014,108.8,18.45,563,1.024,0.06397,'yes','yes','214805',0.538792564533651,0.0227862170431763,0.950882817618549,0.228428222937509
3.686,-1.966,?,3.558e-06,30.5,0.021,72.96,7.96,1462,64,0.1018,'no','no','228316',0.74842034955509,0.466417013667524,0.72666071425192,0.0978256941307336
2.43,-0.7727,146,4.128e-06,47.4,0.018,18.48,8.73,240,1.024,0.1208,'yes','yes','228581',0.743968995288014,0.4604405623395,0.441221258835867,0.823689604643732
1.331,-1.163,132.4,3.4e-06,76.4,0.102,6.48,25.57,2183,1.024,0.05349,'yes','no','296805',0.692172116832808,0.317353772232309,0.469596656737849,0.382653016597033
1.18,?,36.11,2.512e-07,18,-0.055,4.3,9.1,189,0.512,0.05863,'yes','yes','416103',0.163063664920628,0.610365378903225,0.567622715607285,0.592564092483371
0.059,?,32.42,2.23e-06,7.6,1.212,422,7.83,1835,64,0.1811,'no','no','416135',0.61011427314952,0.150110684335232,0.0641639728564769,0.692584662232548
1.16,?,41.97,2.059e-07,10.1,0.091,5.34,?,?,?,0.0992,?,'yes','279592',0.344952423125505,0.0048381513915956,0.315550439292565,0.927791074384004
1.547,-1.359,182.3,1.424e-05,35.5,0.079,30.69,9.37,239,2.048,0.07977,'yes','yes','338895',0.465855225455016,0.817680767038837,0.224156506359577,0.944399050204083
