% 1. Title: Redshift Predictor for Swift GRBs
% 
% 2. Sources:
%     (a) Creator: Adam N. Morgan
%     (b) Data From: http://swift.gsfc.nasa.gov/docs/swift/archive/grb_table.html/
%     (c) Date: July 21, 2009
% 
@RELATION swift_redshift

@ATTRIBUTE t90 NUMERIC
@ATTRIBUTE fluence NUMERIC
@ATTRIBUTE peakflux NUMERIC
@ATTRIBUTE xrt_column NUMERIC
@ATTRIBUTE wh_mag_isupper NUMERIC
@ATTRIBUTE v_mag_isupper NUMERIC
@ATTRIBUTE class {high_z, medium_z, low_z}

@DATA
24.8,8.38,0.71,?,?,?,low_z
37.2,22.0,3.94,8.2,?,0,medium_z
10.3,5.9,1.7,0.87,1,1,high_z
14.0,41.0,4.4,0.97,0,0,medium_z
48.0,210.0,71.0,2.7,0,0,low_z
1.2,1.8,2.4,0.15,0,0,medium_z
139.6,17.1,0.87,1.5,1,1,medium_z
20.9,196.0,24.1,3.8,0,0,low_z
22.5,11.3,2.7,0.8,1,1,high_z
8.0,2.19,1.09,2.2,?,1,medium_z
75.3,444.0,14.6,1.4,?,0,low_z
128.0,18.0,0.5,13.2,0,0,medium_z
180.0,9.0,0.5,0.7,0,0,medium_z
35.5,4.13,0.38,8.0,?,1,low_z
270.0,21.0,0.5,0.27,0,0,medium_z
5.4,0.68,0.36,0.33,?,0,medium_z
47.7,4.45,0.9,2.6,?,?,low_z
56.0,46.0,1.9,12.0,?,0,low_z
150.9,20.1,0.71,0.694,?,1,high_z
27.0,0.68,5.5,7.0,0,0,low_z
19.0,20.0,2.75,0.66,?,0,low_z
64.0,7.2,2.7,1.3,0,0,low_z
81.3,137.0,21.1,2.3,0,0,low_z
14.3,2.56,0.55,3.1,?,1,low_z
171.5,16.2,2.44,4.09,?,0,low_z
