@relation input_data
@attribute Z numeric
@attribute A numeric
@attribute B numeric
@attribute EP0 numeric
@attribute FL numeric
@attribute FLX_PC_LATE numeric
@attribute GAM_PC numeric
@attribute MAX_SNR numeric
@attribute NH_PC numeric
@attribute T90 numeric
@attribute bat_image_signif numeric
@attribute bat_img_peak numeric
@attribute bat_trigger_dur numeric
@attribute PROB_Z_GT_4 numeric
@attribute bat_is_rate_trig {'no','yes'}
@attribute uvot_detection {'no','yes'}
@attribute triggerid_str {'103780','106709','111063','111529','111622','113120','114753','117504','130088','131560','147478','148225','148646','148833','150314','151207','151905','152113','153514','154112','156467','163136','163170','163438','174738','176453','177408','177533','178750','179968','180455','180977','191157','192059','205851','207399','208169','209352','209755','211117','211957','213486','213630','213823','214805','217704','217805','219101','221755','228006','228316','228581','229185','231231','231362','232339','232683','238108','238174','239899','240766','252593','255445','259714','263361','271019','275087','276205','278693','278854','279592','280706','282003','282066','284856','285654','286809','287364','292934','293707','293795','294835','295670','296805','297114','299787','301981','302888','305288','306757','306778','308041','309010','309096','309111','310613','312047','313087','313116','313299','313417','316204','316534','317508','319016','319036','319584','323898','324561','324895','326115','330856','331093','332851','332931','334877','335105','336489','337914','338895','342121','346386','349510','350184','350311','352190','352648','353540','355083','357512','358422','359530','359711','359951','370791','370846','373172','373458','373674','374210','375246','377179','378559','412982','414592','416103','416135','419797','420398','421814','425151'}
@attribute useless1 numeric
@attribute useless2 numeric
@attribute useless3 numeric
@attribute useless4 numeric
@data
4.772,-1.6523,?,64.5207,2.0753e-06,2.559e-05,2.2197,23.3,?,65.1,10.4,928,12.16,0.227631,'yes','no','421814',0.272516150493175,0.0176422551739961,0.583736760541797,0.00824390584602952
2.58,?,-2.1383,51.8109,1.5737e-06,?,?,19.8,-0.041,66.55,?,?,?,0.153556,?,'no','334877',0.617893405025825,0.822732995962724,0.149741260800511,0.693990263156593
1.497,-1.671,?,105.029,9.0434e-06,8.937e-05,2.0101,85.4,0.316,261.36,9.85,705,12.16,0.126068,'yes','no','263361',0.0540054237935692,0.697472178842872,0.24464991572313,0.146704553626478
0.845,-1.26,?,80.5384,3.2424e-06,6.028e-05,1.9986,12.6,?,139.05,8.57,387,4.096,0.177203,'yes','yes','316534',0.9842547965236,0.908919818000868,0.950774030061439,0.996038782875985
0.689,-1.0842,?,?,5.551e-06,2.176e-05,1.9171,89.3,0.184,62.53,20.32,860,1.024,0.140844,'yes','yes','324895',0.392055527307093,0.163323150249198,0.527258528629318,0.883784427773207
2.03,?,-2.0098,432.891,5.1194e-07,2.395e-05,2.1024,20.5,?,15.28,8.51,242,1.024,0.141504,'yes','no','176453',0.32179697137326,0.74892827286385,0.256001655710861,0.0350277773104608
3.076,-1.2316,?,200.427,3.6249e-06,?,2.1504,13,?,49.68,7.64,494,16.384,0.101077,'yes','yes','375246',0.085886207409203,0.244220445165411,0.211926025571302,0.449742154683918
2.145,-1.0514,?,224.352,5.6228e-06,3.638e-05,1.7495,100.3,?,4.4,22.19,1245,0.512,0.0362426,'yes','no','294835',0.0517851612530649,0.430352049181238,0.91489495546557,0.463348056422547
0.422,-1.3283,?,122.613,4.4233e-06,5.242e-05,1.9686,19.9,0.129,88.2,7.61,1450,72,0.144508,'no','no','148833',0.535060415044427,0.214190587867051,0.684308133786544,0.355657940497622
1.71,-1.5861,?,71.1226,?,3.886e-05,1.8295,18.6,?,14.25,8.05,206,1.024,0.128117,'yes','yes','148646',0.415852356469259,0.744418431073427,0.689339832868427,0.798821130534634
2.1,-1.4359,?,128.046,1.3558e-05,6.028e-05,2.0223,80.3,?,254.28,7.56,187,1.024,0.158196,'yes','yes','336489',0.910757995210588,0.505729629192501,0.466262957779691,0.16272187163122
2.954,-1.7048,?,107.752,4.2299e-06,2.118e-05,2.0629,30.4,-0.028,108.56,10.52,600,4.096,0.216848,'yes','yes','275087',0.166622285731137,0.875214736443013,0.06712358398363,0.694307023892179
0.348,?,-3.073,23.8777,3.6081e-07,9.431e-06,1.9209,5.4,-0.046,20.46,14.21,4775,128,0.0688052,'no','yes','207399',0.176919182529673,0.796319615561515,0.377404976636171,0.314275283599272
4.27,-1.4072,?,89.4259,4.8363e-06,9.087e-05,2.0258,21.8,0.048,60.2,10,?,2.048,0.147656,'yes','no','117504',0.64024931867607,0.385762725956738,0.301639882614836,0.855686330236495
6.6,-1.3997,?,95.3236,2.8779e-06,?,2.1942,11.5,?,36,6.58,454,16.384,0.145486,'yes','no','177533',0.106364099076018,0.828313808422536,0.737478650873527,0.553245500661433
3.53,-1.1476,?,?,1.8733e-06,?,2.1864,27.4,-0.048,109.89,10.48,775,8.192,0.217816,'yes','no','177408',0.0391076172236353,0.98111475375481,0.998686398612335,0.336145904613659
0.767,-1.7404,?,113.124,1.8591e-06,4.772e-05,2.0446,52.7,0.148,16.2,10.83,262,0.512,0.10734,'yes','yes','310613',0.402031877776608,0.338486988563091,0.271813766565174,0.739827063400298
