@relation input_data
@attribute Z numeric
@attribute A numeric
@attribute B numeric
@attribute EP0 numeric
@attribute FL numeric
@attribute FLX_PC_LATE numeric
@attribute GAM_PC numeric
@attribute MAX_SNR numeric
@attribute NH_PC numeric
@attribute T90 numeric
@attribute bat_image_signif numeric
@attribute bat_img_peak numeric
@attribute bat_trigger_dur numeric
@attribute PROB_Z_GT_4 numeric
@attribute bat_is_rate_trig {'no','yes'}
@attribute uvot_detection {'no','yes'}
@attribute triggerid_str {'103780','106709','111063','111529','111622','113120','114753','117504','130088','131560','147478','148225','148646','148833','150314','151207','151905','152113','153514','154112','156467','163136','163170','163438','174738','176453','177408','177533','178750','179968','180455','180977','191157','192059','205851','207399','208169','209352','209755','211117','211957','213486','213630','213823','214805','217704','217805','219101','221755','228006','228316','228581','229185','231231','231362','232339','232683','238108','238174','239899','240766','252593','255445','259714','263361','271019','275087','276205','278693','278854','279592','280706','282003','282066','284856','285654','286809','287364','292934','293707','293795','294835','295670','296805','297114','299787','301981','302888','305288','306757','306778','308041','309010','309096','309111','310613','312047','313087','313116','313299','313417','316204','316534','317508','319016','319036','319584','323898','324561','324895','326115','330856','331093','332851','332931','334877','335105','336489','337914','338895','342121','346386','349510','350184','350311','352190','352648','353540','355083','357512','358422','359530','359711','359951','370791','370846','373172','373458','373674','374210','375246','377179','378559','412982','414592','416103','416135','419797','420398','421814','425151'}
@attribute useless1 numeric
@attribute useless2 numeric
@attribute useless3 numeric
@attribute useless4 numeric
@data
0.836,-1.4067,?,122.638,4.4072e-06,7.481e-05,2.0303,48.1,0.23,51,10.03,201,0.512,0.128738,'yes','yes','271019',0.414855896495283,0.0590122232679278,0.804865373764187,0.734253028640524
3.355,-1.9393,?,?,3.2846e-06,?,?,22.6,?,42,10.83,1510,64,0.118595,'no','no','252593',0.290257752407342,0.276050258195028,0.835786069044843,0.989082396263257
3.626,-1.1777,?,192.945,7.4479e-06,3.033e-05,1.5239,26.8,-0.002,330.66,?,?,?,0.115814,?,'yes','285654',0.0803820164874196,0.829076817026362,0.0328357173129916,0.715408521005884
2.641,-1.7522,?,90.0227,2.7375e-06,3.994e-05,2.2039,36.6,?,43.89,17.85,4514,80,0.153451,'no','yes','302888',0.886746655916795,0.81503005628474,0.123498616507277,0.100329406792298
1.14,-1.5712,?,56.7923,1.037e-06,0.001393,1.7782,10,-0.047,79.2,7.13,1485,64,0.204159,'no','yes','297114',0.219440779415891,0.940090034157038,0.0329603790305555,0.824263027636334
1.949,?,-2.061,62.0052,4.3185e-06,0.0001808,2.0068,43.7,0.096,94.6,8,?,1.024,0.0927309,'yes','no','111063',0.0741960904560983,0.506406316068023,0.876826125895604,0.876303322147578
1.755,-0.5261,?,36.0217,4.1091e-07,?,2.3217,14.8,?,43.56,9.39,238,1.024,0.0416163,'yes','no','420398',0.114616292528808,0.289353189524263,0.64166474249214,0.447813990991563
1.44,-1.2172,?,50.8613,1.4075e-06,0.0001288,1.9554,49,?,30.96,9,?,0.512,0.0629064,'yes','yes','111529',0.389820124953985,0.536256535444409,0.814070445019752,0.512901508016512
1.416,-1.7242,?,55.7354,1.4522e-06,?,1.8681,16.1,-0.018,125.28,11.68,2763,64,0.258199,'no','yes','313116',0.974671494681388,0.375910071190447,0.115962250158191,0.0576129865366966
1.6398,-1.1255,?,?,2.2323e-05,4.126e-05,1.7951,157.5,?,19.57,25.82,1604,1.024,0.0289854,'yes','yes','313299',0.193066634470597,0.640736493514851,0.274944693548605,0.87594963866286
3.036,-1.1652,?,860.327,5.1189e-05,4.244e-05,2.1609,123,0.142,83.66,17.87,741,1.024,0.0282951,'yes','yes','313417',0.908525120234117,0.237656062003225,0.89226134866476,0.370309013640508
0.54,-1.2938,?,141.254,0.00014773,0.0001623,1.973,719.8,0.097,115.2,22.57,1097,1.024,0.0261202,'yes','yes','355083',0.0554615396540612,0.989612488308921,0.0470791484694928,0.963677442166954
3.038,-1.3115,?,?,4.317e-06,9.483e-05,2.0491,42,?,275.59,17.95,6719,128,0.28528,'no','no','332851',0.196341641480103,0.341704849386588,0.73552368953824,0.538027209695429
2.352,-1.5259,?,82.2751,2.4964e-06,2.697e-05,2.0755,25.9,-0.003,47.7,10.23,491,3.072,0.208746,'yes','yes','255445',0.78455557813868,0.756214617518708,0.503755175741389,0.637244742596522
4.9,-1.4133,?,?,4.3832e-06,?,2.1623,22.3,?,229.89,10.54,2188,64,0.308321,'no','no','209352',0.347579734399915,0.729541588807479,0.652623176109046,0.579418604727834
2.71,-1.1771,?,36.882,6.5238e-07,4.765e-05,2.3996,17.2,?,51.03,11.07,1020,12.16,0.0872283,'yes','yes','358422',0.646120482357219,0.939045490231365,0.140236238949001,0.679352628998458
0.82,-1.004,?,?,3.337e-05,5.926e-05,1.8098,262.1,0.245,21.2,?,?,?,0.02026,?,'yes','278854',0.936353320721537,0.467373318271711,0.749927744269371,0.561043220339343
3.8479,-1.4333,?,129.472,3.342e-06,3.569e-05,1.9514,16,?,169.1,11.49,2138,64,0.218448,'no','yes','332931',0.0999330163467675,0.524995572166517,0.110756750684232,0.48215299192816
2.31,?,-2.0015,31.0335,1.9941e-07,?,2.2968,8.6,?,3.55,8.48,2083,64,0.101626,'no','yes','278693',0.9654384998139,0.95812331372872,0.206151000922546,0.616868756944314
3.91,-1.4744,?,96.4822,1.4223e-05,0.0003059,2.1023,42.8,0.072,369.94,8.42,204,1.024,0.175267,'yes','no','180977',0.220526680815965,0.421868689591065,0.143638359382749,0.0699070920236409
3.44,-0.6588,?,144.268,?,?,2.1926,15.8,?,32.39,8.14,361,4.096,0.0719493,'yes','no','238174',0.87108966615051,0.580422189552337,0.192951692268252,0.0312054720707238
0.0331,-0.8437,?,?,7.8535e-07,?,3.83,6.3,0.39,128,7.84,2111,80,0.271464,'no','yes','191157',0.853791307192296,0.84385291277431,0.852392047643661,0.473044847603887
0.696,-0.6803,?,?,1.2854e-06,?,1.6982,13.7,-0.079,113.16,10.01,1837,88,0.216866,'no','yes','359951',0.555828943382949,0.0362015990540385,0.506834428291768,0.0142797718290240
2.512,-0.5208,?,?,7.8846e-06,9.472e-05,1.9029,24.4,?,19.38,9.79,241,4.096,0.0896585,'yes','yes','335105',0.701363661093637,0.0535133813973516,0.230714632896706,0.173788222484291
0.83,?,-2.9137,21.7193,3.6054e-07,3.287e-05,2.1616,9.4,?,37.95,8.76,2020,64,0.0592313,'no','yes','151905',0.161074986448511,0.265684430254623,0.248001891421154,0.724575513741001
1.165,-0.4458,?,?,5.6717e-07,?,2.2145,10.3,?,52.48,7.29,187,1.408,0.163681,'yes','no','259714',0.00350784463807940,0.952194304671139,0.529784287093207,0.690126589965075
8.1,-0.7002,?,50.5504,6.6649e-07,?,1.9477,31.3,?,12.36,8.16,203,1.024,0.136544,'yes','no','350184',0.668496479047462,0.961965916212648,0.0482685535680503,0.17632171115838
1.608,-1.387,?,172.256,8.704e-06,0.0001712,2.1247,52.4,0.195,57.97,8.16,163,1.024,0.126235,'yes','yes','349510',0.328208761988208,0.0947974072769284,0.299697323236614,0.459196012699977
2.04,?,?,?,3.4241e-07,?,1.9044,10.4,?,11.31,9.07,384,4.096,0.141616,'yes','yes','282003',0.946747100446373,0.768491138936952,0.389496045419946,0.642384247854352
2.752,-1.4019,?,?,2.8419e-06,4.211e-05,2.1827,68.4,?,39.96,9.18,243,1.024,0.0992083,'yes','yes','374210',0.0428591086529195,0.482957565225661,0.166671412764117,0.76318042143248
1.092,-1.2759,?,177.028,1.3074e-05,?,1.1707,45.2,-0.032,114.73,9.06,195,1.024,0.132201,'yes','no','373674',0.855144345667213,0.663553127786145,0.160601597046480,0.424853980075568
0.54,-1.7949,?,57.9955,4.3217e-06,7.6e-05,2.0837,44.7,0.076,119.51,7.13,243,4.096,0.174465,'yes','yes','221755',0.0525716545525938,0.262936319690198,0.0237191708292812,0.41146228578873
1.71,-1.2432,?,?,5.175e-06,7.828e-05,2.1489,55.8,0.079,39,17.7,520,1.024,0.103873,'yes','yes','373458',0.364934366894886,0.995371659984812,0.909129940904677,0.00215189973823726
2.9,-1.4392,?,112.311,1.6522e-05,7.904e-05,1.9904,39.3,?,34.41,10,?,1.024,0.0502642,'yes','no','113120',0.496763171162456,0.150891535449773,0.182170637417585,0.679971881909296
5.3,-0.4337,?,?,8.0819e-07,2.294e-05,1.9183,6.8,?,27.54,?,?,?,0.213529,?,'no','150314',0.306313476059586,0.567420890089124,0.95020892797038,0.856851427350193
0.937,-1.089,?,1381.91,0.00041119,3.155e-05,1.8741,725.4,?,147.32,22.5,1909,1.024,0.0169694,'yes','yes','306757',0.0479945668485016,0.401761435437948,0.0576461823657155,0.79248794238083
1.95,-1.0297,?,?,5.3762e-06,?,1.629,60.5,?,32.88,15.1,459,1.024,0.097116,'yes','yes','306778',0.557958096032962,0.920744456117973,0.660654608858749,0.103922002483159
1.51,-1.4146,?,131.73,4.5309e-06,2.715e-05,1.9148,45.7,?,30.24,12.69,332,1.024,0.125541,'yes','yes','208169',0.583146868739277,0.428211896913126,0.750639660516754,0.828181928023696
0.542,-1.5913,?,68.1855,2.3823e-05,0.0005874,2.3679,295.2,0.592,66.33,18.67,813,1.024,0.048831,'yes','yes','425151',0.260607808129862,0.324637442128733,0.989674126263708,0.317750771297142
0.544,-1.0778,?,126.079,2.8371e-05,4.8e-05,1.958,131.7,0.195,50.28,23.3,3348,1.024,0.009013,'yes','yes','350311',0.688869712175801,0.0594160717446357,0.633786691352725,0.239434649702162
0.92,-1.329,?,71.7872,1.427e-06,?,1.8902,35.8,?,64.18,12.12,225,0.128,0.0759837,'yes','yes','284856',0.36962930415757,0.498762386385351,0.644421047531068,0.971567067084834
