@relation input_data
@attribute Z numeric
@attribute A numeric
@attribute B numeric
@attribute EP0 numeric
@attribute FL numeric
@attribute FLX_PC_LATE numeric
@attribute GAM_PC numeric
@attribute MAX_SNR numeric
@attribute NH_PC numeric
@attribute T90 numeric
@attribute bat_image_signif numeric
@attribute bat_img_peak numeric
@attribute bat_trigger_dur numeric
@attribute PROB_Z_GT_4 numeric
@attribute bat_is_rate_trig {'no','yes'}
@attribute uvot_detection {'no','yes'}
@attribute triggerid_str {'103780','106709','111063','111529','111622','113120','114753','117504','130088','131560','147478','148225','148646','148833','150314','151207','151905','152113','153514','154112','156467','163136','163170','163438','174738','176453','177408','177533','178750','179968','180455','180977','191157','192059','205851','207399','208169','209352','209755','211117','211957','213486','213630','213823','214805','217704','217805','219101','221755','228006','228316','228581','229185','231231','231362','232339','232683','238108','238174','239899','240766','252593','255445','259714','263361','271019','275087','276205','278693','278854','279592','280706','282003','282066','284856','285654','286809','287364','292934','293707','293795','294835','295670','296805','297114','299787','301981','302888','305288','306757','306778','308041','309010','309096','309111','310613','312047','313087','313116','313299','313417','316204','316534','317508','319016','319036','319584','323898','324561','324895','326115','330856','331093','332851','332931','334877','335105','336489','337914','338895','342121','346386','349510','350184','350311','352190','352648','353540','355083','357512','358422','359530','359711','359951','370791','370846','373172','373458','373674','374210','375246','377179','378559','412982','414592','416103','416135','419797','420398','421814','425151'}
@attribute useless1 numeric
@attribute useless2 numeric
@attribute useless3 numeric
@attribute useless4 numeric
@attribute useless5 numeric
@attribute useless6 numeric
@attribute useless7 numeric
@attribute useless8 numeric
@data
0.783,-1.7367,?,74.3109,3.8019e-06,0.0001085,2.7826,15.1,0.483,205.92,7,1260,64,0.290466,'no','no','179968',0.800795331830159,0.964800527086481,0.163008034229279,0.457742125960067,0.250554461963475,0.299006927525625,0.887081311782822,0.197601869702339
4.045,-1.1843,?,?,1.0442e-06,5.761e-06,1.8758,45.1,?,6.06,10.17,199,0.512,0.11637,'yes','yes','180455',0.0279621346853673,0.0489098755642772,0.801687869941816,0.55850779497996,0.341895924881101,0.733659681165591,0.872005994897336,0.44028011104092
0.947,-1.4663,?,57.3167,5.1358e-06,?,2.0516,136.3,?,34.68,0,0,0,0.0341254,'yes','no','293795',0.0279110185801983,0.373350195819512,0.0672338269650936,0.058920560637489,0.391904226504266,0.471324887592345,0.212867161491886,0.977431887760758
3.221,-1.8763,?,?,1.8464e-06,1.082e-05,1.9953,23.5,-0.021,295.55,9.05,179,0.512,0.181242,'yes','yes','211957',0.890646115411073,0.973243864951655,0.177924944320694,0.555738001130521,0.257986193988472,0.335638796677813,0.464975642506033,0.748106917133555
2.6147,-1.1652,?,286.555,8.6884e-06,9.562e-05,1.9662,41.4,?,239.68,8.38,234,1.024,0.0893744,'yes','yes','151207',0.722449925728142,0.940686789574102,0.657093519344926,0.0205211064312607,0.111814066534862,0.194725848268718,0.463444480206817,0.30441330303438
5.6,-0.82,?,70.8974,1.3183e-06,?,1.959,43.1,-0.022,23.03,12.06,220,0.256,0.124197,'yes','no','231362',0.289636181900278,0.761422710726038,0.43730977550149,0.971903139259666,0.371391034685075,0.963739863131195,0.529740472091362,0.959710499504581
3.2,?,-2.482,23.707,2.4765e-07,?,2.2036,17,?,7.05,11.6,371,1.024,0.0298625,'yes','no','231231',0.990141320275143,0.297686129342765,0.42900903406553,0.451731281355023,0.0787594423163682,0.63033803505823,0.735058191232383,0.410203165607527
2.346,?,-2,?,1.5581e-06,6.881e-05,2.0518,14.1,?,4.9,11.47,264,2.048,0.0845535,'yes','yes','163136',0.818446640856564,0.666034768335521,0.827858845936134,0.658771796151996,0.838940708665177,0.198941165115684,0.133460287703201,0.451053155120462
0.08,-0.2721,?,?,1.6713e-07,?,1.981,7.3,?,8.32,9.84,527,4.096,0.133826,'yes','no','163170',0.426966674393043,0.419321850175038,0.661719237454236,0.0445745449978858,0.948289846535772,0.431411955272779,0.393507992848754,0.398980126017705
4.349,-1.219,?,77.2381,1.9154e-06,?,2.1199,11.6,?,45.6,7.51,1323,64,0.134745,'no','no','301981',0.00360605190508068,0.301204474875703,0.443320547929034,0.258571017766371,0.0323135158978403,0.0603878118563443,0.312629041261971,0.693092845147476
1.55,-1.016,?,?,6.9914e-06,4.785e-05,2.202,62.6,?,50.96,15.07,525,1.024,0.123815,'yes','yes','163438',0.437020480167121,0.81529892468825,0.252377361990511,0.465769364498556,0.31136058177799,0.406824179692194,0.263618440134451,0.863591615110636
0.97,-0.275,?,?,5.4231e-07,?,2.3829,12.5,?,161.25,10.8,2494,64,0.199427,'no','yes','276205',0.119828938972205,0.371574984863400,0.799234987935051,0.962592327268794,0.411320599261671,0.38653921126388,0.739817432826385,0.67119498574175
1.605,-1.3081,?,240.469,1.6687e-05,5.896e-05,1.9889,79.7,?,148.32,?,?,?,0.0806349,?,'no','292934',0.944148915121332,0.123779147630557,0.793262065388262,0.742642808938399,0.758521280949935,0.583927135681733,0.726091534132138,0.202731414698064
0.49,?,-2.1326,42.5112,1.2386e-05,4.086e-05,1.8144,50.7,?,9.57,17.95,660,1.024,0.00487404,'yes','yes','377179',0.705075906356797,0.333343302132562,0.792730987304822,0.0927052334882319,0.352791790850461,0.943890664726496,0.0988374224398285,0.0117493250872940
1.24,-0.464,?,78.2516,7.7496e-06,?,1.6634,63.3,?,126.36,6.74,156,1.024,0.107049,'yes','no','370791',0.581073699053377,0.151290426030755,0.501843156991526,0.667648755479604,0.857794120442122,0.555239951005206,0.452896859496832,0.345750014763325
1.29,-1.2931,?,85.2292,?,?,2.2108,16.2,-0.124,28.71,?,?,?,0.130951,?,'no','103780',0.968849710421637,0.560315542621538,0.189060957869515,0.0506388717330992,0.602209109812975,0.942264038370922,0.554757502861321,0.246962279547006
3.082,-1.0137,?,?,3.6843e-06,0.0001379,1.623,50.7,?,102.55,14.77,490,1.024,0.17201,'yes','yes','213823',0.121015240205452,0.424802495166659,0.106279123108834,0.409883844899014,0.702224407345057,0.948497897945344,0.0887215677648783,0.963428918970749
1.03,-1.6781,?,298.132,4.3132e-05,0.0001608,1.9873,379.3,0.134,58.29,8.14,77,0.064,0.0161621,'yes','yes','309010',0.807318379636854,0.568890257971361,0.509408008074388,0.79846789361909,0.88468579784967,0.131822093622759,0.99089324218221,0.741887168493122
2.45,-1.8196,?,?,3.9601e-07,?,1.9658,7.3,?,14.72,7.15,1465,64,0.159326,'no','no','286809',0.50913944025524,0.678958946140483,0.95141178695485,0.76566296373494,0.134584699990228,0.34327390906401,0.367073080968112,0.82502089603804
0.971,-1.6883,?,?,1.458e-06,6.29e-05,2.0584,83.3,?,4.44,11.47,200,0.256,0.00934695,'yes','yes','373172',0.382982354611158,0.671758198877797,0.59074396151118,0.255108012584969,0.635808551451191,0.151609384454787,0.154203955782577,0.903594278497621
3.24,-1.9988,?,?,1.8652e-06,0.0001249,1.9995,18.2,?,153.55,10,?,1.024,0.147537,'yes','yes','111622',0.731614066055045,0.15746268350631,0.331864284584299,0.640206225216389,0.302683491958305,0.623388666892424,0.100862152175978,0.7177785995882
2.17,-0.7461,?,42.227,5.738e-07,?,2.1291,24.6,?,7.68,?,?,?,0.0805385,?,'yes','287364',0.827433264115825,0.674966316204518,0.273335521342233,0.630514959339052,0.163575400598347,0.22186642838642,0.813047509640455,0.64372167759575
4.667,-1.3728,?,58.5787,8.4459e-07,?,1.6561,10.4,-0.012,31.05,7.44,1426,64,0.142291,'no','yes','412982',0.65091930073686,0.224345704307780,0.691072206478566,0.195341318845749,0.423436509910971,0.915177938295528,0.315450777998194,0.0378647283650935
2.821,-1.1188,?,187.41,1.7169e-05,1.914e-05,1.9588,42,?,9.8,16,?,0.512,0.0263409,'yes','yes','131560',0.664823433151469,0.619209602475166,0.495659620733932,0.492917096475139,0.650735246948898,0.16045232093893,0.6760839659255,0.767219126690179
0.5915,-1.7402,?,51.2649,?,?,1.9677,13.4,-0.237,17.38,9,?,8.192,0.173641,'yes','no','106709',0.745462562190369,0.436490088235587,0.167774616973475,0.290446826955304,0.572655050083995,0.825405968120322,0.533875364344567,0.624268051004037
0.937,-1.6966,?,142.501,2.2459e-06,?,2.0345,43.5,?,5.92,19.85,927,1.024,0.0578667,'yes','yes','229185',0.801446096273139,0.00945087638683617,0.0230133098084480,0.989797877147794,0.709800073644146,0.116163973929361,0.0775332855992019,0.676413840381429
2.68,?,-2.171,20.5322,?,1.87e-05,2.1018,6.4,?,39.9,6.78,345,4.096,0.116809,'yes','yes','213486',0.449818229768425,0.83463765005581,0.865513775730506,0.205163427861407,0.142213518964127,0.315816563088447,0.237347475020215,0.263975138310343
3.78,-0.3394,?,?,6.0501e-07,0.0001163,2.0816,16.4,?,18.54,7.96,363,3.072,0.134062,'yes','yes','213630',0.89451936329715,0.243844536831602,0.300652492791414,0.666969157988206,0.00561060849577188,0.558385224780068,0.273452390683815,0.314333754824474
3.375,-1.8856,?,?,2.1505e-06,5.13e-05,2.2281,12.4,0.192,90.24,7.12,1011,64,0.213445,'no','yes','346386',0.674287529895082,0.303331054979935,0.528622553683817,0.563677781494334,0.910029181744903,0.465576907154173,0.323399944463745,0.0218422280158848
0.836,-1.4067,?,122.638,4.4072e-06,7.481e-05,2.0303,48.1,0.23,51,10.03,201,0.512,0.128738,'yes','yes','271019',0.8049532470759,0.221744129899889,0.777255573077127,0.459067253861576,0.819486967520788,0.345052039483562,0.375122833298519,0.892130742082372
3.355,-1.9393,?,?,3.2846e-06,?,?,22.6,?,42,10.83,1510,64,0.118595,'no','no','252593',0.448507203022018,0.681490042246878,0.601287295576185,0.0096617117524147,0.258217019960284,0.85764946648851,0.58731778850779,0.322812422178686
3.626,-1.1777,?,192.945,7.4479e-06,3.033e-05,1.5239,26.8,-0.002,330.66,?,?,?,0.115814,?,'yes','285654',0.9553817959968,0.447243730304763,0.0811777641065419,0.75350166624412,0.555671906331554,0.764278184855357,0.753343465272337,0.218856405699626
2.641,-1.7522,?,90.0227,2.7375e-06,3.994e-05,2.2039,36.6,?,43.89,17.85,4514,80,0.153451,'no','yes','302888',0.0346513052936643,0.964489174773917,0.320436332141981,0.600439632777125,0.0309147189836949,0.443944094702601,0.060340661322698,0.207549398066476
1.14,-1.5712,?,56.7923,1.037e-06,0.001393,1.7782,10,-0.047,79.2,7.13,1485,64,0.204159,'no','yes','297114',0.34415258304216,0.377215128624812,0.197826667223126,0.100392800755799,0.848214268917218,0.273306432645768,0.00424651359207928,0.653065333375707
1.949,?,-2.061,62.0052,4.3185e-06,0.0001808,2.0068,43.7,0.096,94.6,8,?,1.024,0.0927309,'yes','no','111063',0.797172732418403,0.701060457387939,0.854375511640683,0.139089266536757,0.839569311589003,0.0808272541034967,0.589423929108307,0.461795784300193
1.755,-0.5261,?,36.0217,4.1091e-07,?,2.3217,14.8,?,43.56,9.39,238,1.024,0.0416163,'yes','no','420398',0.691395655274391,0.229316884884611,0.0679971391800791,0.178693071706221,0.857570701744407,0.760000131558627,0.708161564776674,0.985469170846045
1.44,-1.2172,?,50.8613,1.4075e-06,0.0001288,1.9554,49,?,30.96,9,?,0.512,0.0629064,'yes','yes','111529',0.427107837516814,0.419682564679533,0.414809863548726,0.240345415193588,0.356499640271068,0.963896094355732,0.515001266729087,0.161195998545736
1.416,-1.7242,?,55.7354,1.4522e-06,?,1.8681,16.1,-0.018,125.28,11.68,2763,64,0.258199,'no','yes','313116',0.8751376431901,0.374024439137429,0.751491750357673,0.528435712680221,0.372836546041071,0.988654123386368,0.404606059659272,0.453131807269529
1.6398,-1.1255,?,?,2.2323e-05,4.126e-05,1.7951,157.5,?,19.57,25.82,1604,1.024,0.0289854,'yes','yes','313299',0.50486405310221,0.822170943953097,0.981218361994252,0.523965945467353,0.968822166323662,0.8314645125065,0.0199988386593759,0.729679047130048
3.036,-1.1652,?,860.327,5.1189e-05,4.244e-05,2.1609,123,0.142,83.66,17.87,741,1.024,0.0282951,'yes','yes','313417',0.791858055396006,0.633825044613332,0.149463078705594,0.732479485915974,0.210093984613195,0.518300490221009,0.242254626238719,0.653183931019157
0.54,-1.2938,?,141.254,0.00014773,0.0001623,1.973,719.8,0.097,115.2,22.57,1097,1.024,0.0261202,'yes','yes','355083',0.559785007266328,0.602535957703367,0.740884035360068,0.767604570602998,0.71773972385563,0.750425897538662,0.763941053533927,0.710050156805664
3.038,-1.3115,?,?,4.317e-06,9.483e-05,2.0491,42,?,275.59,17.95,6719,128,0.28528,'no','no','332851',0.209797853138298,0.0422925797756761,0.741877334192395,0.365847272332758,0.758765851613134,0.536592500982806,0.574570224387571,0.361701359739527
2.352,-1.5259,?,82.2751,2.4964e-06,2.697e-05,2.0755,25.9,-0.003,47.7,10.23,491,3.072,0.208746,'yes','yes','255445',0.304501408943906,0.52276498102583,0.988613285357133,0.17886457988061,0.513938848627731,0.906508390558884,0.906017176341265,0.860070176888257
4.9,-1.4133,?,?,4.3832e-06,?,2.1623,22.3,?,229.89,10.54,2188,64,0.308321,'no','no','209352',0.293000606819987,0.831070552114397,0.318425683770329,0.675489852204919,0.459428812144324,0.127075275406241,0.482229403918609,0.497848133090883
2.71,-1.1771,?,36.882,6.5238e-07,4.765e-05,2.3996,17.2,?,51.03,11.07,1020,12.16,0.0872283,'yes','yes','358422',0.784035071497783,0.3301944185514,0.254714065231383,0.554984331596643,0.280606683110818,0.637166690081358,0.457759657641873,0.187470717355609
0.82,-1.004,?,?,3.337e-05,5.926e-05,1.8098,262.1,0.245,21.2,?,?,?,0.02026,?,'yes','278854',0.275826008757576,0.208559467690066,0.389358441112563,0.458945481339470,0.78855736902915,0.217363066738471,0.554665957344696,0.908103367779404
3.8479,-1.4333,?,129.472,3.342e-06,3.569e-05,1.9514,16,?,169.1,11.49,2138,64,0.218448,'no','yes','332931',0.443432346452028,0.447887677699327,0.543540811398998,0.734930991660804,0.967256931122392,0.427625505719334,0.408768827328458,0.145594358444214
2.31,?,-2.0015,31.0335,1.9941e-07,?,2.2968,8.6,?,3.55,8.48,2083,64,0.101626,'no','yes','278693',0.631996449548751,0.29088684450835,0.414137275656685,0.191397310234606,0.694327689241618,0.388547880109400,0.918094741180539,0.445637564640492
3.91,-1.4744,?,96.4822,1.4223e-05,0.0003059,2.1023,42.8,0.072,369.94,8.42,204,1.024,0.175267,'yes','no','180977',0.838816399220377,0.592320138355717,0.59618758270517,0.843568194657564,0.182406867621467,0.465066693257540,0.0893131087068468,0.463400416309014
3.44,-0.6588,?,144.268,?,?,2.1926,15.8,?,32.39,8.14,361,4.096,0.0719493,'yes','no','238174',0.650920081418008,0.782479302957654,0.53599943453446,0.78370195813477,0.49557366897352,0.267109121661633,0.727657028939575,0.167817907873541
0.0331,-0.8437,?,?,7.8535e-07,?,3.83,6.3,0.39,128,7.84,2111,80,0.271464,'no','yes','191157',0.465754676377401,0.463995605008677,0.170784380752593,0.80483628041111,0.250807079486549,0.37098821462132,0.936067047063261,0.729528246680275
0.696,-0.6803,?,?,1.2854e-06,?,1.6982,13.7,-0.079,113.16,10.01,1837,88,0.216866,'no','yes','359951',0.604921456426382,0.660388472955674,0.388676802162081,0.461607648758218,0.817978928098455,0.511114045511931,0.335795149905607,0.879971548682079
2.512,-0.5208,?,?,7.8846e-06,9.472e-05,1.9029,24.4,?,19.38,9.79,241,4.096,0.0896585,'yes','yes','335105',0.651322004618123,0.740911270258948,0.109111482277513,0.214729304192588,0.289256097516045,0.573235034942627,0.558578232768923,0.082518519135192
0.83,?,-2.9137,21.7193,3.6054e-07,3.287e-05,2.1616,9.4,?,37.95,8.76,2020,64,0.0592313,'no','yes','151905',0.640013927360997,0.728875608416274,0.612502887379378,0.169224368408322,0.95249584526755,0.890432390850037,0.924968841020018,0.192706112284213
1.165,-0.4458,?,?,5.6717e-07,?,2.2145,10.3,?,52.48,7.29,187,1.408,0.163681,'yes','no','259714',0.433331552427262,0.0464730758685619,0.0773228260222822,0.931156233185902,0.581539674894884,0.876727437833324,0.687816930236295,0.854959442513064
8.1,-0.7002,?,50.5504,6.6649e-07,?,1.9477,31.3,?,12.36,8.16,203,1.024,0.136544,'yes','no','350184',0.720131622627378,0.9050419179257,0.72533508692868,0.853012081468478,0.255817287601531,0.0783645268529654,0.702126067597419,0.201124522136524
1.608,-1.387,?,172.256,8.704e-06,0.0001712,2.1247,52.4,0.195,57.97,8.16,163,1.024,0.126235,'yes','yes','349510',0.938326326198876,0.825084684416652,0.731768831377849,0.54748662468046,0.0130645041354001,0.402690917253494,0.414571699453518,0.389680318534374
2.04,?,?,?,3.4241e-07,?,1.9044,10.4,?,11.31,9.07,384,4.096,0.141616,'yes','yes','282003',0.142486860277131,0.83814900717698,0.96053476142697,0.377534438623115,0.403768256772310,0.657041611615568,0.921533387620002,0.0699345066677779
2.752,-1.4019,?,?,2.8419e-06,4.211e-05,2.1827,68.4,?,39.96,9.18,243,1.024,0.0992083,'yes','yes','374210',0.192436730256304,0.180255242623389,0.75488738133572,0.429661364527419,0.966003861976787,0.635592724196613,0.645580957178026,0.654828927479684
1.092,-1.2759,?,177.028,1.3074e-05,?,1.1707,45.2,-0.032,114.73,9.06,195,1.024,0.132201,'yes','no','373674',0.0182673977687955,0.0826130353379995,0.185831591952592,0.295213834848255,0.117020308971405,0.58476595627144,0.592093464452773,0.972996956668794
0.54,-1.7949,?,57.9955,4.3217e-06,7.6e-05,2.0837,44.7,0.076,119.51,7.13,243,4.096,0.174465,'yes','yes','221755',0.875883280299604,0.504939117701724,0.321545944083482,0.341503031784669,0.192764776526019,0.0707155191339552,0.939590291585773,0.233125344384462
1.71,-1.2432,?,?,5.175e-06,7.828e-05,2.1489,55.8,0.079,39,17.7,520,1.024,0.103873,'yes','yes','373458',0.387431663228199,0.717648445861414,0.81429556850344,0.782472585793585,0.186979752965271,0.512272869236767,0.306519260397181,0.0387648218311369
2.9,-1.4392,?,112.311,1.6522e-05,7.904e-05,1.9904,39.3,?,34.41,10,?,1.024,0.0502642,'yes','no','113120',0.124564743135124,0.597757058218122,0.281375283608213,0.533447434427217,0.711051363730803,0.160520286532119,0.890307807829231,0.377761959098279
5.3,-0.4337,?,?,8.0819e-07,2.294e-05,1.9183,6.8,?,27.54,?,?,?,0.213529,?,'no','150314',0.728191591566429,0.773805318865925,0.00929756974801421,0.972737065749243,0.478231491986662,0.49152296455577,0.785922581097111,0.399114082800224
0.937,-1.089,?,1381.91,0.00041119,3.155e-05,1.8741,725.4,?,147.32,22.5,1909,1.024,0.0169694,'yes','yes','306757',0.873680376214907,0.375029900344089,0.419292018283159,0.432541268412024,0.183680707821622,0.654211837099865,0.640924748731777,0.417492296313867
1.95,-1.0297,?,?,5.3762e-06,?,1.629,60.5,?,32.88,15.1,459,1.024,0.097116,'yes','yes','306778',0.921934045152739,0.627857187530026,0.430106960935518,0.51250410778448,0.875009788898751,0.471350108040497,0.990700983209535,0.0617789817042649
1.51,-1.4146,?,131.73,4.5309e-06,2.715e-05,1.9148,45.7,?,30.24,12.69,332,1.024,0.125541,'yes','yes','208169',0.332161046797410,0.491400932660326,0.156003464478999,0.919101985637099,0.174468099372461,0.69255328248255,0.936603847658262,0.399305412080139
0.542,-1.5913,?,68.1855,2.3823e-05,0.0005874,2.3679,295.2,0.592,66.33,18.67,813,1.024,0.048831,'yes','yes','425151',0.355788420652971,0.0469794706441462,0.910911672981456,0.381099586607888,0.432485169731081,0.340371252037585,0.935748404823244,0.175108191091567
0.544,-1.0778,?,126.079,2.8371e-05,4.8e-05,1.958,131.7,0.195,50.28,23.3,3348,1.024,0.009013,'yes','yes','350311',0.13794983481057,0.773614918114617,0.701826668577269,0.0482321835588664,0.67975956806913,0.507980621187016,0.66435417975299,0.63609876926057
0.92,-1.329,?,71.7872,1.427e-06,?,1.8902,35.8,?,64.18,12.12,225,0.128,0.0759837,'yes','yes','284856',0.68510820181109,0.815020021051168,0.0867003197781742,0.388221369823441,0.433845321182162,0.258301504887640,0.434949002694339,0.921640621265396
