@relation input_data
@attribute Z numeric
@attribute A numeric
@attribute B numeric
@attribute EP0 numeric
@attribute FL numeric
@attribute FLX_PC_LATE numeric
@attribute GAM_PC numeric
@attribute MAX_SNR numeric
@attribute NH_PC numeric
@attribute T90 numeric
@attribute bat_image_signif numeric
@attribute bat_img_peak numeric
@attribute bat_trigger_dur numeric
@attribute PROB_Z_GT_4 numeric
@attribute bat_is_rate_trig {'no','yes'}
@attribute uvot_detection {'no','yes'}
@attribute triggerid_str {'103780','106709','111063','111529','111622','113120','114753','117504','130088','131560','147478','148225','148646','148833','150314','151207','151905','152113','153514','154112','156467','163136','163170','163438','174738','176453','177408','177533','178750','179968','180455','180977','191157','192059','205851','207399','208169','209352','209755','211117','211957','213486','213630','213823','214805','217704','217805','219101','221755','228006','228316','228581','229185','231231','231362','232339','232683','238108','238174','239899','240766','252593','255445','259714','263361','271019','275087','276205','278693','278854','279592','280706','282003','282066','284856','285654','286809','287364','292934','293707','293795','294835','295670','296805','297114','299787','301981','302888','305288','306757','306778','308041','309010','309096','309111','310613','312047','313087','313116','313299','313417','316204','316534','317508','319016','319036','319584','323898','324561','324895','326115','330856','331093','332851','332931','334877','335105','336489','337914','338895','342121','346386','349510','350184','350311','352190','352648','353540','355083','357512','358422','359530','359711','359951','370791','370846','373172','373458','373674','374210','375246','377179','378559','412982','414592','416103','416135','419797','420398','421814','425151'}
@attribute useless1 numeric
@attribute useless2 numeric
@attribute useless3 numeric
@attribute useless4 numeric
@attribute useless5 numeric
@attribute useless6 numeric
@attribute useless7 numeric
@attribute useless8 numeric
@data
2.296,?,-2.0001,29.6428,4.7567e-07,0.0001794,2.0113,5.4,0.058,8.16,6.59,166,1.024,0.125147,'yes','yes','178750',0.26967677497305,0.502724090823904,0.368796670343727,0.502588581060991,0.419041157467291,0.836337884888053,0.71217271219939,0.701248400146142
0.6535,-0.864,?,24.1774,3.5115e-07,2.559e-05,2.076,17.5,0.234,2.91,11,?,0.512,0.00434538,'yes','yes','114753',0.614170951070264,0.219999956898391,0.811640072381124,0.543748416472226,0.969133995240554,0.133626920869574,0.856434880988672,0.8741761429701
2.711,-1.9028,?,?,4.2985e-06,1.251e-05,2.0368,44,?,118.72,8.78,363,4.096,0.146599,'yes','yes','219101',0.367101294454187,0.392985991435125,0.580814092187211,0.0741982380859554,0.942695666570216,0.948915373766795,0.077318660914898,0.051430749706924
2.452,-1.2922,?,151.459,1.1726e-05,0.000124,1.8173,78.5,?,99.76,10.25,260,1.024,0.128584,'yes','yes','359711',0.720281286397949,0.852874943986535,0.171012400183827,0.97142836684361,0.956621146760881,0.895560018951073,0.0542917589191347,0.637424685293809
4.6497,-0.8902,?,44.9122,1.9228e-07,?,2.0445,13,?,10.68,8.16,397,4.096,0.125617,'yes','no','342121',0.888271826785058,0.464815875282511,0.317156821954995,0.49425183958374,0.0115055257920176,0.378369467332959,0.32726223859936,0.378009802196175
2.77,-1.0366,?,?,7.3056e-06,9.527e-05,2.0069,147.6,?,33.48,8.08,115,0.256,0.0565464,'yes','yes','337914',0.103320109192282,0.33876837301068,0.0372748465742916,0.0435197476763278,0.350068078376353,0.642672792077065,0.209496991243213,0.346379016060382
4.772,-1.6523,?,64.5207,2.0753e-06,2.559e-05,2.2197,23.3,?,65.1,10.4,928,12.16,0.227631,'yes','no','421814',0.988798929844052,0.135751889320090,0.748303391737863,0.466406095540151,0.863874875707552,0.475708350772038,0.898769398452714,0.432536528678611
2.58,?,-2.1383,51.8109,1.5737e-06,?,?,19.8,-0.041,66.55,?,?,?,0.153556,?,'no','334877',0.45395847922191,0.775514190783724,0.37495603854768,0.67885690741241,0.900269058765844,0.157871222589165,0.69974503130652,0.171674504643306
1.497,-1.671,?,105.029,9.0434e-06,8.937e-05,2.0101,85.4,0.316,261.36,9.85,705,12.16,0.126068,'yes','no','263361',0.376527982996777,0.786170011386275,0.797409480437636,0.772513846168295,0.590627225581557,0.82494832132943,0.143569794483483,0.867453529965132
0.845,-1.26,?,80.5384,3.2424e-06,6.028e-05,1.9986,12.6,?,139.05,8.57,387,4.096,0.177203,'yes','yes','316534',0.290171808563173,0.733524227282032,0.510745901148766,0.873707849765196,0.515631467103958,0.56377401156351,0.482554942835122,0.736684185452759
0.689,-1.0842,?,?,5.551e-06,2.176e-05,1.9171,89.3,0.184,62.53,20.32,860,1.024,0.140844,'yes','yes','324895',0.774688552133739,0.958925701212138,0.357657314045355,0.046391605399549,0.942677724873647,0.629469829844311,0.954864211613312,0.774101005401462
2.03,?,-2.0098,432.891,5.1194e-07,2.395e-05,2.1024,20.5,?,15.28,8.51,242,1.024,0.141504,'yes','no','176453',0.635445596184582,0.40193703584373,0.651528571499512,0.504860041663051,0.917758787050843,0.720386952161789,0.660893588559702,0.98514810227789
3.076,-1.2316,?,200.427,3.6249e-06,?,2.1504,13,?,49.68,7.64,494,16.384,0.101077,'yes','yes','375246',0.0942658591084182,0.063231787411496,0.507760519860312,0.985714872833341,0.101319104200229,0.245144549524412,0.679617389803752,0.401637863134965
2.145,-1.0514,?,224.352,5.6228e-06,3.638e-05,1.7495,100.3,?,4.4,22.19,1245,0.512,0.0362426,'yes','no','294835',0.409250964643434,0.361581956734881,0.377240098081529,0.0179124865680933,0.178505967836827,0.780681354459375,0.138315295102075,0.441794964950532
0.422,-1.3283,?,122.613,4.4233e-06,5.242e-05,1.9686,19.9,0.129,88.2,7.61,1450,72,0.144508,'no','no','148833',0.183652875712141,0.714217962231487,0.157048244029284,0.769073941046372,0.920113062951714,0.439896709052846,0.207219814416021,0.61856106785126
1.71,-1.5861,?,71.1226,?,3.886e-05,1.8295,18.6,?,14.25,8.05,206,1.024,0.128117,'yes','yes','148646',0.885936382459477,0.567392746219411,0.342320619150996,0.846403474919498,0.116718622855842,0.780412842519581,0.223221677355468,0.496453219791874
2.1,-1.4359,?,128.046,1.3558e-05,6.028e-05,2.0223,80.3,?,254.28,7.56,187,1.024,0.158196,'yes','yes','336489',0.61491304403171,0.237633287906647,0.699811767786741,0.575484303757548,0.385953365825117,0.154412954812869,0.807508596684784,0.873047736706212
2.954,-1.7048,?,107.752,4.2299e-06,2.118e-05,2.0629,30.4,-0.028,108.56,10.52,600,4.096,0.216848,'yes','yes','275087',0.0884237338323146,0.227894551819190,0.158054310828447,0.528732806909829,0.960724771488458,0.0923682323191315,0.282792850164697,0.811605471652001
0.348,?,-3.073,23.8777,3.6081e-07,9.431e-06,1.9209,5.4,-0.046,20.46,14.21,4775,128,0.0688052,'no','yes','207399',0.0762117775157094,0.747265134938061,0.805121604120359,0.0576113902498037,0.277332614408806,0.597305172588676,0.921397308353335,0.237744692014530
4.27,-1.4072,?,89.4259,4.8363e-06,9.087e-05,2.0258,21.8,0.048,60.2,10,?,2.048,0.147656,'yes','no','117504',0.462060374673456,0.560303902020678,0.679179649334401,0.434960554121062,0.56874420447275,0.344559192657471,0.712295644218102,0.122405858244747
6.6,-1.3997,?,95.3236,2.8779e-06,?,2.1942,11.5,?,36,6.58,454,16.384,0.145486,'yes','no','177533',0.527751808986068,0.532868817681447,0.110671648755670,0.775890158955008,0.00373388919979334,0.322671759175137,0.923636398045346,0.0406970356125385
3.53,-1.1476,?,?,1.8733e-06,?,2.1864,27.4,-0.048,109.89,10.48,775,8.192,0.217816,'yes','no','177408',0.0272173045668751,0.00808071717619896,0.418111181585118,0.519160037161782,0.720400103600696,0.844641382573172,0.867731640813872,0.473393428837880
0.767,-1.7404,?,113.124,1.8591e-06,4.772e-05,2.0446,52.7,0.148,16.2,10.83,262,0.512,0.10734,'yes','yes','310613',0.244257238693535,0.0204825657419860,0.519236563472077,0.0185578789096326,0.107947861542925,0.8535598651506,0.587159667862579,0.175588102079928
0.5295,-1.3529,?,35.3059,5.9087e-07,3.431e-05,2.1188,19.6,0.267,5.55,9.43,221,1.024,0.0255989,'yes','yes','330856',0.706809266004711,0.53823851631023,0.600734610343352,0.254193786997348,0.762090619420633,0.439356075134128,0.113274072529748,0.902616591658443
