@relation input_data
@attribute Z numeric
@attribute A numeric
@attribute B numeric
@attribute EP0 numeric
@attribute FL numeric
@attribute FLX_PC_LATE numeric
@attribute GAM_PC numeric
@attribute MAX_SNR numeric
@attribute NH_PC numeric
@attribute T90 numeric
@attribute bat_image_signif numeric
@attribute bat_img_peak numeric
@attribute bat_trigger_dur numeric
@attribute PROB_Z_GT_5 numeric
@attribute PROB_Z_GT_4 numeric
@attribute PROB_Z_GT_3 numeric
@attribute PROB_Z_GT_2 numeric
@attribute PROB_Z_GT_1 numeric
@attribute bat_is_rate_trig {'no','yes'}
@attribute uvot_detection {'no','yes'}
@attribute useless1 numeric
@attribute useless2 numeric
@attribute useless3 numeric
@attribute useless4 numeric
@attribute useless5 numeric
@attribute useless6 numeric
@attribute useless7 numeric
@attribute useless8 numeric
@attribute useless9 numeric
@attribute useless10 numeric
@data
2.296,?,-2.0001,?,?,0.0001794,2.0113,5.4,?,?,6.59,166,1.024,0.0438734,0.125147,0.289047,0.536701,0.870017,'yes','yes',0.64826425909996,0.797063811914995,0.189335949718952,0.3317978347186,0.313095894642174,0.0251097662840039,0.945606092456728,0.175128502538428,0.614889357006177,0.856549525866285
0.6535,-0.864,?,?,?,2.559e-05,2.076,17.5,?,?,11,?,0.512,0.00140169,0.00434538,0.0118313,0.0307959,0.12153,'yes','yes',0.482797516742721,0.485243942122906,0.703370314557105,0.209190471796319,0.568944422062486,0.98106199153699,0.186220540199429,0.437044305726886,0.968101456295699,0.521236769389361
2.711,-1.9028,?,?,?,1.251e-05,2.0368,44,?,?,8.78,363,4.096,0.0611277,0.146599,0.299483,0.519938,0.85878,'yes','yes',0.352863193256781,0.474423612933606,0.325359770795330,0.617955353809521,0.444375285180286,0.746073647169396,0.68246766505763,0.255497791338712,0.817946180002764,0.624226987594739
2.452,-1.2922,?,?,?,0.000124,1.8173,78.5,?,?,10.25,260,1.024,0.0439328,0.128584,0.303109,0.566691,0.89404,'yes','yes',0.0590592483058572,0.716061638435349,0.442313201492652,0.453661503037438,0.0434551851358265,0.517195060616359,0.642280000727624,0.78227580501698,0.60041777882725,0.454472483368590
2.641,-1.7522,?,?,?,3.994e-05,2.2039,36.6,?,?,17.85,4514,80,0.0566354,0.153451,0.338519,0.597887,0.902958,'no','yes',0.040507011115551,0.636373741086572,0.279980281833559,0.0838181853760034,0.982822456397116,0.136338939191774,0.992450189776719,0.732394160469994,0.971279627177864,0.98078317544423
4.6497,-0.8902,?,?,?,?,2.0445,13,?,?,8.16,397,4.096,0.0477577,0.125617,0.278609,0.515954,0.859135,'yes','no',0.0959240151569247,0.303351475857198,0.158217642921954,0.0432326355949044,0.364737366791815,0.317700168117881,0.384636924369261,0.853117615217343,0.739389916649088,0.429679807508364
2.77,-1.0366,?,?,?,9.527e-05,2.0069,147.6,?,?,8.08,115,0.256,0.0172983,0.0565464,0.155269,0.36841,0.812793,'yes','yes',0.910915807355195,0.999442668166012,0.836496334755793,0.685083882883191,0.296468423912302,0.273304423317313,0.807780022965744,0.927793213399127,0.937326381448656,0.611703925067559
4.772,-1.6523,?,?,?,2.559e-05,2.2197,23.3,?,?,10.4,928,12.16,0.0943802,0.227631,0.447391,0.700737,0.938118,'yes','no',0.290850616758689,0.563411455368623,0.241922728717327,0.515682856086642,0.109693919308484,0.449207255151123,0.385200086049736,0.728531450033188,0.203906589420512,0.0990321149583906
1.497,-1.671,?,?,?,8.937e-05,2.0101,85.4,?,?,9.85,705,12.16,0.0444502,0.126068,0.293583,0.553367,0.893372,'yes','no',0.440600408473983,0.838381165638566,0.817486424231902,0.637767506064847,0.90825246553868,0.658766202395782,0.0231303905602545,0.656038598390296,0.0203205321449786,0.210299682337791
0.845,-1.26,?,?,?,6.028e-05,1.9986,12.6,?,?,8.57,387,4.096,0.0672015,0.177203,0.378322,0.640143,0.919468,'yes','yes',0.125631958479062,0.934873122023419,0.594183874549344,0.142418768955395,0.62739285454154,0.810774423880503,0.23294706386514,0.67874349351041,0.80999998236075,0.114062423352152
