"alpha.hat" "prob.high" "prob.low" "triggerids"
"1" 0.392592592592593 0.0902 0.9098 "318832"
"2" 0.00740740740740741 0.5041 0.4959 "173904"
"3" 0.185185185185185 0.1983 0.8017 "331332"
"4" 0.377777777777778 0.0974 0.9026 "423181"
"5" 0.333333333333333 0.1103 0.8897 "420367"
"6" 0.4 0.0853 0.9147 "349592"
"7" 0.666666666666667 0.0201 0.9799 "311762"
"8" 0.459259259259259 0.0639 0.9361 "164279"
"9" 0.474074074074074 0.0619 0.9381 "230115"
"10" 0.57037037037037 0.0365 0.9635 "273180"
"11" 0.177777777777778 0.2085 0.7915 "282073"
"12" 0.0518518518518519 0.3643 0.6357 "348650"
"13" 0.207407407407407 0.1853 0.8147 "317662"
"14" 0.496296296296296 0.0554 0.9446 "424031"
"15" 0.4 0.0829 0.9171 "424716"
"16" 0.577777777777778 0.0353 0.9647 "230702"
"17" 0.162962962962963 0.2377 0.7623 "176620"
"18" 0.318518518518519 0.1253 0.8747 "106106"
"19" 0.177777777777778 0.2123 0.7877 "106107"
"20" 0.325925925925926 0.1167 0.8833 "210084"
"21" 0.451851851851852 0.0663 0.9337 "147788"
"22" 0.037037037037037 0.4075 0.5925 "312958"
"23" 0.00740740740740741 0.6312 0.3688 "423184"
"24" 0.214814814814815 0.1789 0.8211 "230662"
"25" 0.325925925925926 0.1142 0.8858 "362633"
"26" 0.2 0.1898 0.8102 "280958"
"27" 0.762962962962963 0.0093 0.9907 "318101"
"28" 0.985185185185185 2e-04 0.9998 "307931"
"29" 0.6 0.032 0.968 "349931"
"30" 0.037037037037037 0.4165 0.5835 "307604"
"31" 0.637037037037037 0.0251 0.9749 "254532"
"32" 0.362962962962963 0.0986 0.9014 "296856"
"33" 0.844444444444444 0.0058 0.9942 "113872"
"34" 0.00740740740740741 0.4801 0.5199 "306858"
"35" 0.222222222222222 0.1773 0.8227 "416076"
"36" 0.207407407407407 0.1843 0.8157 "416115"
"37" 0.637037037037037 0.0248 0.9752 "151131"
"38" 0.562962962962963 0.0371 0.9629 "345777"
"39" 0.748148148148148 0.0122 0.9878 "261299"
"40" 0.0518518518518519 0.365 0.635 "261664"
"41" 0.0592592592592593 0.3537 0.6463 "116116"
"42" 0.259259259259259 0.1701 0.8299 "236430"
"43" 0.340740740740741 0.1084 0.8916 "261880"
"44" 0.762962962962963 0.0094 0.9906 "251863"
"45" 0.918518518518519 0.0026 0.9974 "276321"
"46" 0.933333333333333 0.0019 0.9981 "371050"
"47" 0.496296296296296 0.0535 0.9465 "382399"
"48" 0.2 0.1889 0.8111 "226382"
"49" 0.133333333333333 0.2727 0.7273 "145581"
"50" 0.377777777777778 0.0941 0.9059 "208870"
"51" 0.696296296296296 0.0161 0.9839 "337115"
"52" 0.562962962962963 0.0448 0.9552 "208050"
"53" 0.637037037037037 0.0264 0.9736 "361489"
"54" 0.00740740740740741 0.5096 0.4904 "311874"
"55" 0.355555555555556 0.1033 0.8967 "158855"
"56" 0.577777777777778 0.0349 0.9651 "331475"
"57" 0.933333333333333 0.0016 0.9984 "302506"
"58" 0.185185185185185 0.1928 0.8072 "158593"
"59" 0.666666666666667 0.0213 0.9787 "255029"
"60" 0.637037037037037 0.0238 0.9762 "145675"
"61" 0.00740740740740741 0.5833 0.4167 "157870"
"62" 0.82962962962963 0.0063 0.9937 "209351"
"63" 0.037037037037037 0.3988 0.6012 "145754"
"64" 0.296296296296296 0.1493 0.8507 "151334"
"65" 0.748148148148148 0.0114 0.9886 "295779"
"66" 0.318518518518519 0.1237 0.8763 "355942"
"67" 0.377777777777778 0.0936 0.9064 "278903"
"68" 0.00740740740740741 0.5996 0.4004 "180151"
"69" 0.496296296296296 0.0584 0.9416 "261132"
"70" 0.681481481481481 0.018 0.982 "354299"
"71" 0.00740740740740741 0.5713 0.4287 "146227"
"72" 0.755555555555556 0.0113 0.9887 "412081"
"73" 0.585185185185185 0.0333 0.9667 "340895"
"74" 0.962962962962963 6e-04 0.9994 "283320"
"75" 0.748148148148148 0.0118 0.9882 "191512"
"76" 0.303703703703704 0.1469 0.8531 "282808"
"77" 0.177777777777778 0.2062 0.7938 "279817"
"78" 0.303703703703704 0.1465 0.8535 "235715"
"79" 0.82962962962963 0.0063 0.9937 "345945"
"80" 0.496296296296296 0.0547 0.9453 "345551"
"81" 0.444444444444444 0.0734 0.9266 "155408"
"82" 0.162962962962963 0.2318 0.7682 "202505"
"83" 0.703703703703704 0.0154 0.9846 "310785"
"84" 0.4 0.086 0.914 "306793"
"85" 0.548148148148148 0.0483 0.9517 "231702"
"86" 0.837037037037037 0.0059 0.9941 "279935"
"87" 0.325925925925926 0.1169 0.8831 "206257"
"88" 0.711111111111111 0.0139 0.9861 "311159"
"89" 0.140740740740741 0.2592 0.7408 "358520"
"90" 0.162962962962963 0.2396 0.7604 "335895"
"91" 0.585185185185185 0.0344 0.9656 "235645"
"92" 0.933333333333333 0.0021 0.9979 "285653"
"93" 0.696296296296296 0.0165 0.9835 "115135"
"94" 0.177777777777778 0.206 0.794 "115214"
"95" 0.644444444444444 0.0235 0.9765 "424733"
"96" 0.451851851851852 0.0653 0.9347 "421124"
"97" 0.674074074074074 0.0187 0.9813 "207364"
"98" 0.637037037037037 0.0244 0.9756 "114485"
"99" 0.562962962962963 0.0373 0.9627 "334112"
"100" 0.637037037037037 0.0274 0.9726 "374598"
"101" 0.303703703703704 0.1472 0.8528 "374875"
"102" 0.318518518518519 0.133 0.867 "203755"
"103" 0.451851851851852 0.0654 0.9346 "382941"
